,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3510000,10/01/2019 03:00:00 PM,338,1.6,8,8,Chicago Carriage Cab Corp
3510001,10/01/2019 03:00:00 PM,527,0.99,28,32,City Service
3510002,10/01/2019 03:00:00 PM,401,0.98,32,28,Chicago Carriage Cab Corp
3510003,10/01/2019 03:00:00 PM,299,0.7,8,8,Nova Taxi Affiliation Llc
3510004,10/01/2019 03:00:00 PM,359,0.85,32,8,City Service
3510005,10/01/2019 03:00:00 PM,594,1.08,8,8,Chicago Carriage Cab Corp
3510006,10/01/2019 03:00:00 PM,420,1.1,32,8,Medallion Leasin
3510007,10/01/2019 03:00:00 PM,365,0.9,8,32,Sun Taxi
3510008,10/01/2019 03:00:00 PM,302,1.11,28,28,Sun Taxi
3510009,10/01/2019 03:00:00 PM,378,0.98,32,8,City Service
3510010,10/01/2019 03:00:00 PM,360,0.7,8,8,Taxi Affiliation Services
3510011,10/01/2019 03:00:00 PM,264,0.64,8,8,Chicago Carriage Cab Corp
3510012,10/01/2019 03:00:00 PM,240,0.6,32,8,Medallion Leasin
3510013,10/01/2019 03:00:00 PM,540,1.4,8,32,Star North Management LLC
3510014,10/01/2019 03:00:00 PM,397,0.78,8,32,Sun Taxi
3510015,10/01/2019 03:00:00 PM,468,1.61,32,8,Chicago Carriage Cab Corp
3510016,10/01/2019 03:00:00 PM,367,1.0,32,8,Chicago Taxicab
3510017,10/01/2019 03:00:00 PM,360,1.3,8,8,Choice Taxi Association
3510018,10/01/2019 03:00:00 PM,426,1.29,32,8,City Service
3510019,10/01/2019 03:00:00 PM,357,0.89,32,32,Nova Taxi Affiliation Llc
3510020,10/01/2019 03:00:00 PM,480,0.85,8,28,Sun Taxi
3510021,10/01/2019 03:00:00 PM,360,1.0,32,28,Star North Management LLC
3510022,10/01/2019 03:00:00 PM,295,0.57,8,8,Flash Cab
3510023,10/01/2019 03:00:00 PM,538,0.89,28,32,Flash Cab
3510024,10/01/2019 03:00:00 PM,538,1.25,8,28,Flash Cab
3510025,10/01/2019 03:00:00 PM,518,1.73,32,8,City Service
3510026,10/01/2019 03:00:00 PM,300,0.7,32,28,Taxi Affiliation Services
3510027,10/01/2019 03:00:00 PM,300,0.6,28,32,Taxi Affiliation Services
3510028,10/01/2019 03:00:00 PM,240,0.6,8,32,Medallion Leasin
3510029,10/01/2019 03:00:00 PM,497,1.31,8,8,Chicago Carriage Cab Corp
3510030,10/01/2019 03:00:00 PM,300,1.0,8,32,Chicago Medallion Management
3510031,10/01/2019 03:00:00 PM,540,1.2,8,8,Taxi Affiliation Services
3510032,10/01/2019 03:00:00 PM,509,1.2,32,8,Flash Cab
3510033,10/01/2019 03:00:00 PM,360,0.8,28,8,Taxi Affiliation Services
3510034,10/01/2019 03:00:00 PM,561,1.72,8,28,Chicago Carriage Cab Corp
3510035,10/01/2019 03:00:00 PM,248,0.91,8,8,Chicago Carriage Cab Corp
3510036,10/01/2019 03:00:00 PM,293,0.76,32,28,Sun Taxi
3510037,10/01/2019 03:00:00 PM,540,1.9,4,14,Taxi Affiliation Services
3510038,10/01/2019 03:00:00 PM,261,0.71,8,8,Flash Cab
3510039,10/01/2019 03:00:00 PM,427,0.9,32,32,Sun Taxi
3510040,10/01/2019 03:00:00 PM,540,1.4,8,32,Choice Taxi Association
3510041,10/01/2019 03:00:00 PM,480,1.7,28,8,Medallion Leasin
3510042,10/01/2019 03:00:00 PM,420,0.8,32,32,Taxi Affiliation Services
3510043,10/01/2019 03:00:00 PM,476,0.95,28,32,Flash Cab
3510044,10/01/2019 03:00:00 PM,416,0.9,32,28,City Service
3510045,10/01/2019 03:00:00 PM,300,0.6,32,32,Taxi Affiliation Services
3510046,10/01/2019 03:00:00 PM,523,1.5,8,28,Setare Inc
3510047,10/01/2019 03:00:00 PM,360,0.8,8,32,"Taxicab Insurance Agency, LLC"
3510048,10/01/2019 03:00:00 PM,300,0.7,32,8,Taxi Affiliation Services
3510049,10/01/2019 03:00:00 PM,397,0.6,32,8,Medallion Leasin
3510050,10/01/2019 03:00:00 PM,291,0.9,28,32,Medallion Leasin
