,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3520000,10/02/2019 10:00:00 AM,468,1.93,76,76,Flash Cab
3520001,10/02/2019 10:00:00 AM,2760,1.2,32,76,Taxi Affiliation Services
3520002,10/02/2019 10:00:00 AM,4200,1.1,76,8,Blue Ribbon Taxi Association Inc.
3520003,10/02/2019 10:00:00 AM,478,1.05,32,8,Chicago Carriage Cab Corp
3520004,10/02/2019 10:00:00 AM,478,1.08,8,32,Taxi Affiliation Service Yellow
3520005,10/02/2019 10:00:00 AM,512,1.22,32,32,Chicago Carriage Cab Corp
3520006,10/02/2019 10:00:00 AM,590,1.09,28,8,Chicago Carriage Cab Corp
3520007,10/02/2019 10:00:00 AM,360,0.6,32,28,Taxi Affiliation Services
3520008,10/02/2019 10:00:00 AM,256,0.6,32,8,City Service
3520009,10/02/2019 10:15:00 AM,527,1.6,6,3,Medallion Leasin
3520010,10/02/2019 10:15:00 AM,480,1.1,32,28,Medallion Leasin
3520011,10/02/2019 10:15:00 AM,266,0.72,28,28,Flash Cab
3520012,10/02/2019 10:15:00 AM,461,0.76,8,8,Flash Cab
3520013,10/02/2019 10:15:00 AM,271,0.57,7,8,24 Seven Taxi
3520014,10/02/2019 10:15:00 AM,480,1.0,32,32,Taxi Affiliation Services
3520015,10/02/2019 10:15:00 AM,254,0.66,8,8,Sun Taxi
3520016,10/02/2019 10:15:00 AM,236,0.75,8,32,Chicago Carriage Cab Corp
3520017,10/02/2019 10:15:00 AM,348,0.77,28,32,Sun Taxi
3520018,10/02/2019 10:15:00 AM,420,0.9,32,8,Choice Taxi Association
3520019,10/02/2019 10:15:00 AM,291,0.72,28,28,Flash Cab
3520020,10/02/2019 10:15:00 AM,441,0.83,8,32,Chicago Carriage Cab Corp
3520021,10/02/2019 10:15:00 AM,571,0.55,32,32,Patriot Taxi Dba Peace Taxi Associat
3520022,10/02/2019 10:15:00 AM,365,0.53,32,32,Flash Cab
3520023,10/02/2019 10:15:00 AM,513,0.9,32,8,Chicago Carriage Cab Corp
3520024,10/02/2019 10:15:00 AM,300,0.7,32,28,Taxi Affiliation Services
3520025,10/02/2019 10:15:00 AM,551,0.83,32,32,Sun Taxi
3520026,10/02/2019 10:15:00 AM,474,1.4,32,33,City Service
3520027,10/02/2019 10:15:00 AM,2829,10.25,25,8,Flash Cab
3520028,10/02/2019 10:15:00 AM,360,1.1,8,8,Taxi Affiliation Services
3520029,10/02/2019 10:15:00 AM,480,0.9,32,32,Star North Management LLC
3520030,10/02/2019 10:15:00 AM,527,1.07,8,8,Flash Cab
3520031,10/02/2019 10:15:00 AM,358,0.55,32,32,Flash Cab
3520032,10/02/2019 10:15:00 AM,240,0.6,8,8,Star North Management LLC
3520033,10/02/2019 10:15:00 AM,480,0.7,32,32,City Service
3520034,10/02/2019 10:15:00 AM,420,1.4,32,28,Taxi Affiliation Services
3520035,10/02/2019 10:15:00 AM,3900,1.2,76,33,Taxi Affiliation Services
3520036,10/02/2019 10:15:00 AM,480,1.2,28,32,Taxi Affiliation Services
3520037,10/02/2019 10:15:00 AM,240,0.7,32,8,"Taxicab Insurance Agency, LLC"
3520038,10/02/2019 10:15:00 AM,3180,1.5,39,76,Taxi Affiliation Services
3520039,10/02/2019 10:15:00 AM,578,0.8,28,32,Flash Cab
3520040,10/02/2019 10:15:00 AM,480,0.7,8,32,Taxi Affiliation Services
3520041,10/02/2019 10:15:00 AM,492,1.0,32,8,Taxi Affiliation Service Yellow
3520042,10/02/2019 10:15:00 AM,360,0.9,32,28,Star North Management LLC
3520043,10/02/2019 10:15:00 AM,251,0.7,8,8,Chicago Carriage Cab Corp
3520044,10/02/2019 10:15:00 AM,589,1.3,8,32,Medallion Leasin
3520045,10/02/2019 10:15:00 AM,4020,1.0,76,32,Taxi Affiliation Services
3520046,10/02/2019 10:15:00 AM,526,0.65,28,32,Patriot Taxi Dba Peace Taxi Associat
3520047,10/02/2019 10:15:00 AM,361,0.6,28,32,Chicago Independents
3520048,10/02/2019 10:15:00 AM,472,1.03,8,28,Chicago Carriage Cab Corp
3520049,10/02/2019 10:15:00 AM,420,0.8,32,32,Taxi Affiliation Services
3520050,10/02/2019 10:15:00 AM,241,0.68,6,6,Flash Cab
3520051,10/02/2019 10:15:00 AM,420,0.8,8,32,Chicago Medallion Management
3520052,10/02/2019 10:15:00 AM,485,1.46,8,8,Flash Cab
3520053,10/02/2019 10:15:00 AM,540,0.6,28,28,Taxi Affiliation Services
3520054,10/02/2019 10:15:00 AM,522,1.04,8,8,Flash Cab
3520055,10/02/2019 10:15:00 AM,282,0.57,8,8,Sun Taxi
3520056,10/02/2019 10:15:00 AM,361,1.07,32,8,Chicago Carriage Cab Corp
3520057,10/02/2019 10:15:00 AM,300,0.7,32,8,Taxi Affiliation Services
3520058,10/02/2019 10:15:00 AM,319,0.67,8,32,Flash Cab
3520059,10/02/2019 10:15:00 AM,568,0.96,8,8,Flash Cab
3520060,10/02/2019 10:15:00 AM,497,1.5,8,28,Chicago Independents
3520061,10/02/2019 10:15:00 AM,420,0.7,8,32,Medallion Leasin
3520062,10/02/2019 10:15:00 AM,420,0.9,32,32,Medallion Leasin
3520063,10/02/2019 10:15:00 AM,2640,1.0,3,63,Blue Ribbon Taxi Association Inc.
3520064,10/02/2019 10:15:00 AM,538,1.1,32,32,Chicago Carriage Cab Corp
3520065,10/02/2019 10:15:00 AM,417,0.93,28,32,Chicago Carriage Cab Corp
3520066,10/02/2019 10:15:00 AM,540,1.0,28,8,Medallion Leasin
3520067,10/02/2019 10:15:00 AM,520,1.3,32,8,Sun Taxi
3520068,10/02/2019 10:15:00 AM,302,0.72,32,32,Chicago Carriage Cab Corp
3520069,10/02/2019 10:15:00 AM,405,0.71,32,32,Flash Cab
3520070,10/02/2019 10:15:00 AM,420,0.8,28,32,"Taxicab Insurance Agency, LLC"
3520071,10/02/2019 10:15:00 AM,495,1.82,8,7,Chicago Carriage Cab Corp
3520072,10/02/2019 10:15:00 AM,540,0.8,8,32,Taxi Affiliation Services
3520073,10/02/2019 10:15:00 AM,4620,1.2,76,8,Blue Ribbon Taxi Association Inc.
3520074,10/02/2019 10:15:00 AM,538,1.11,8,8,City Service
3520075,10/02/2019 10:15:00 AM,294,0.52,32,32,Sun Taxi
3520076,10/02/2019 10:15:00 AM,423,1.1,32,28,Medallion Leasin
3520077,10/02/2019 10:15:00 AM,219,0.7,32,28,Chicago Independents
3520078,10/02/2019 10:15:00 AM,577,1.88,32,33,Chicago Carriage Cab Corp
3520079,10/02/2019 10:15:00 AM,360,1.2,7,6,Taxi Affiliation Services
3520080,10/02/2019 10:15:00 AM,2580,10.7,56,32,U Taxicab
3520081,10/02/2019 10:15:00 AM,374,0.92,32,8,Chicago Carriage Cab Corp
3520082,10/02/2019 10:15:00 AM,540,1.8,32,28,Taxi Affiliation Services
3520083,10/02/2019 10:15:00 AM,535,1.02,28,32,Chicago Carriage Cab Corp
3520084,10/02/2019 10:15:00 AM,396,0.8,32,32,City Service
3520085,10/02/2019 10:15:00 AM,388,0.65,32,32,Sun Taxi
3520086,10/02/2019 10:15:00 AM,494,0.61,8,8,Chicago Carriage Cab Corp
3520087,10/02/2019 10:15:00 AM,403,0.99,32,8,Chicago Carriage Cab Corp
3520088,10/02/2019 10:15:00 AM,268,0.6,32,32,City Service
3520089,10/02/2019 10:15:00 AM,387,0.73,8,32,Chicago Independents
3520090,10/02/2019 10:15:00 AM,318,0.89,32,8,Nova Taxi Affiliation Llc
3520091,10/02/2019 10:15:00 AM,505,1.0,32,32,City Service
3520092,10/02/2019 10:15:00 AM,496,0.89,8,32,Flash Cab
3520093,10/02/2019 10:15:00 AM,420,1.5,8,32,Star North Management LLC
3520094,10/02/2019 10:15:00 AM,507,0.6,8,8,Leonard Cab Co
3520095,10/02/2019 10:15:00 AM,348,0.77,32,8,24 Seven Taxi
3520096,10/02/2019 10:15:00 AM,360,0.6,32,8,KOAM Taxi Association
3520097,10/02/2019 10:15:00 AM,581,0.94,28,32,Sun Taxi
3520098,10/02/2019 10:15:00 AM,1860,0.8,32,66,Taxi Affiliation Services
3520099,10/02/2019 10:15:00 AM,342,0.78,8,32,Chicago Carriage Cab Corp
3520100,10/02/2019 10:15:00 AM,360,1.2,32,32,Choice Taxi Association
3520101,10/02/2019 10:15:00 AM,447,0.8,8,8,Flash Cab
3520102,10/02/2019 10:15:00 AM,466,0.78,8,8,Chicago Carriage Cab Corp
3520103,10/02/2019 10:15:00 AM,331,1.0,32,28,Chicago Carriage Cab Corp
3520104,10/02/2019 10:15:00 AM,210,0.52,32,32,Patriot Taxi Dba Peace Taxi Associat
3520105,10/02/2019 10:15:00 AM,501,0.88,8,8,Chicago Carriage Cab Corp
3520106,10/02/2019 10:15:00 AM,489,0.74,6,6,Flash Cab
3520107,10/02/2019 10:15:00 AM,540,0.9,8,32,Star North Management LLC
3520108,10/02/2019 10:15:00 AM,256,0.58,28,32,City Service
3520109,10/02/2019 10:15:00 AM,252,0.54,32,32,Nova Taxi Affiliation Llc
3520110,10/02/2019 10:15:00 AM,2700,1.1,32,76,Taxi Affiliation Services
3520111,10/02/2019 10:15:00 AM,540,1.4,8,32,Medallion Leasin
3520112,10/02/2019 10:15:00 AM,456,0.98,32,8,Flash Cab
3520113,10/02/2019 10:15:00 AM,570,1.46,8,8,Sun Taxi
3520114,10/02/2019 10:15:00 AM,420,0.9,28,8,Taxi Affiliation Services
3520115,10/02/2019 10:15:00 AM,526,0.72,8,8,Flash Cab
3520116,10/02/2019 10:15:00 AM,360,0.6,76,32,Medallion Leasin
3520117,10/02/2019 10:15:00 AM,480,0.8,32,32,Star North Management LLC
3520118,10/02/2019 10:15:00 AM,463,0.89,32,8,City Service
3520119,10/02/2019 10:15:00 AM,508,0.9,28,8,Taxi Affiliation Service Yellow
3520120,10/02/2019 10:15:00 AM,515,1.21,32,8,Chicago Carriage Cab Corp
3520121,10/02/2019 10:15:00 AM,360,0.6,32,8,Choice Taxi Association
3520122,10/02/2019 10:15:00 AM,426,1.1,8,32,City Service
3520123,10/02/2019 10:15:00 AM,367,0.7,32,32,Chicago Carriage Cab Corp
3520124,10/02/2019 10:15:00 AM,465,1.05,8,32,Chicago Carriage Cab Corp
3520125,10/02/2019 10:15:00 AM,360,1.0,8,32,Taxi Affiliation Services
3520126,10/02/2019 10:15:00 AM,349,0.66,8,8,Sun Taxi
3520127,10/02/2019 10:15:00 AM,540,1.0,28,32,Taxi Affiliation Services
3520128,10/02/2019 10:15:00 AM,572,1.1,32,32,Medallion Leasin
3520129,10/02/2019 10:15:00 AM,480,0.9,8,8,KOAM Taxi Association
3520130,10/02/2019 10:15:00 AM,379,0.7,8,8,Chicago Independents
