,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3530000,10/02/2019 08:15:00 PM,420,1.1,32,8,Choice Taxi Association
3530001,10/02/2019 08:15:00 PM,360,1.3,77,77,Taxi Affiliation Services
3530002,10/02/2019 08:15:00 PM,471,1.58,8,32,Flash Cab
3530003,10/02/2019 08:15:00 PM,300,0.6,8,8,"Taxicab Insurance Agency, LLC"
3530004,10/02/2019 08:15:00 PM,543,1.75,28,32,Nova Taxi Affiliation Llc
3530005,10/02/2019 08:15:00 PM,272,0.86,8,28,Flash Cab
3530006,10/02/2019 08:15:00 PM,300,1.2,32,32,Taxi Affiliation Services
3530007,10/02/2019 08:15:00 PM,550,1.21,8,8,Sun Taxi
3530008,10/02/2019 08:15:00 PM,480,1.2,28,32,Taxi Affiliation Services
3530009,10/02/2019 08:15:00 PM,366,1.01,8,32,Sun Taxi
3530010,10/02/2019 08:15:00 PM,429,1.13,32,28,City Service
3530011,10/02/2019 08:15:00 PM,348,0.6,8,8,City Service
3530012,10/02/2019 08:15:00 PM,439,1.48,32,32,City Service
3530013,10/02/2019 08:15:00 PM,540,1.4,8,28,Star North Management LLC
3530014,10/02/2019 08:15:00 PM,2940,0.9,76,24,Taxi Affiliation Services
3530015,10/02/2019 08:15:00 PM,547,1.27,8,32,Sun Taxi
3530016,10/02/2019 08:15:00 PM,480,1.0,28,28,Taxi Affiliation Services
3530017,10/02/2019 08:15:00 PM,480,1.1,8,28,KOAM Taxi Association
3530018,10/02/2019 08:15:00 PM,524,1.2,32,32,Chicago Carriage Cab Corp
3530019,10/02/2019 08:15:00 PM,3120,1.0,76,28,Taxi Affiliation Services
3530020,10/02/2019 08:15:00 PM,480,0.8,8,32,Taxi Affiliation Services
3530021,10/02/2019 08:15:00 PM,209,0.61,8,8,Patriot Taxi Dba Peace Taxi Associat
3530022,10/02/2019 08:15:00 PM,201,0.54,28,32,Flash Cab
3530023,10/02/2019 08:15:00 PM,454,0.96,32,8,Flash Cab
3530024,10/02/2019 08:15:00 PM,341,0.8,8,28,City Service
3530025,10/02/2019 08:15:00 PM,319,1.08,8,8,Sun Taxi
3530026,10/02/2019 08:15:00 PM,480,1.2,28,32,Top Cab Affiliation
3530027,10/02/2019 08:15:00 PM,240,0.6,32,28,Top Cab Affiliation
3530028,10/02/2019 08:15:00 PM,420,1.1,6,7,Taxi Affiliation Services
3530029,10/02/2019 08:15:00 PM,460,0.96,8,8,Flash Cab
3530030,10/02/2019 08:15:00 PM,324,1.5,24,24,City Service
3530031,10/02/2019 08:15:00 PM,300,0.7,8,8,Taxi Affiliation Services
3530032,10/02/2019 08:15:00 PM,300,1.5,28,28,Taxi Affiliation Services
3530033,10/02/2019 08:15:00 PM,480,1.8,32,8,Taxi Affiliation Services
3530034,10/02/2019 08:15:00 PM,241,0.95,32,32,Nova Taxi Affiliation Llc
3530035,10/02/2019 08:15:00 PM,300,0.8,32,8,Medallion Leasin
3530036,10/02/2019 08:15:00 PM,360,0.9,28,32,Star North Management LLC
3530037,10/02/2019 08:15:00 PM,384,0.94,8,8,24 Seven Taxi
3530038,10/02/2019 08:15:00 PM,528,1.43,28,28,Flash Cab
3530039,10/02/2019 08:15:00 PM,240,0.8,32,32,Medallion Leasin
3530040,10/02/2019 08:15:00 PM,240,0.6,28,28,Taxi Affiliation Services
3530041,10/02/2019 08:15:00 PM,396,0.98,8,8,Patriot Taxi Dba Peace Taxi Associat
3530042,10/02/2019 08:15:00 PM,300,0.9,32,8,Choice Taxi Association
3530043,10/02/2019 08:15:00 PM,306,0.65,32,28,Flash Cab
3530044,10/02/2019 08:15:00 PM,480,1.7,32,24,Medallion Leasin
3530045,10/02/2019 08:15:00 PM,2460,0.9,56,5,Taxi Affiliation Services
3530046,10/02/2019 08:15:00 PM,300,0.9,8,8,City Service
3530047,10/02/2019 08:15:00 PM,525,1.41,6,7,Chicago Carriage Cab Corp
3530048,10/02/2019 08:15:00 PM,300,0.7,8,8,Taxi Affiliation Services
3530049,10/02/2019 08:15:00 PM,459,1.4,32,32,Medallion Leasin
3530050,10/02/2019 08:15:00 PM,337,0.64,7,6,Flash Cab
3530051,10/02/2019 08:15:00 PM,420,1.1,28,24,Taxi Affiliation Services
3530052,10/02/2019 08:15:00 PM,435,1.22,8,8,Sun Taxi
3530053,10/02/2019 08:15:00 PM,442,1.03,8,32,City Service
3530054,10/02/2019 08:15:00 PM,344,1.05,32,32,Sun Taxi
3530055,10/02/2019 08:15:00 PM,420,1.4,8,28,Star North Management LLC
3530056,10/02/2019 08:15:00 PM,540,1.5,32,32,Top Cab Affiliation
3530057,10/02/2019 08:15:00 PM,300,0.7,32,8,Taxi Affiliation Services
3530058,10/02/2019 08:15:00 PM,540,1.5,8,8,Taxi Affiliation Services
3530059,10/02/2019 08:15:00 PM,360,1.1,8,32,Taxi Affiliation Services
3530060,10/02/2019 08:15:00 PM,540,1.1,32,32,Star North Management LLC
3530061,10/02/2019 08:15:00 PM,370,0.84,7,7,Flash Cab
3530062,10/02/2019 08:15:00 PM,540,1.3,8,8,Taxi Affiliation Services
3530063,10/02/2019 08:15:00 PM,279,0.61,32,8,Chicago Carriage Cab Corp
3530064,10/02/2019 08:15:00 PM,339,0.7,3,3,Chicago Carriage Cab Corp
3530065,10/02/2019 08:15:00 PM,406,1.11,32,32,Sun Taxi
3530066,10/02/2019 08:15:00 PM,399,1.18,32,28,Chicago Carriage Cab Corp
3530067,10/02/2019 08:15:00 PM,300,0.9,8,8,Taxi Affiliation Services
3530068,10/02/2019 08:15:00 PM,240,0.7,8,32,Medallion Leasin
3530069,10/02/2019 08:15:00 PM,240,0.6,32,8,Taxi Affiliation Services
3530070,10/02/2019 08:15:00 PM,549,1.51,8,32,Sun Taxi
3530071,10/02/2019 08:15:00 PM,540,1.8,32,8,Choice Taxi Association
3530072,10/02/2019 08:15:00 PM,240,0.6,8,8,Taxi Affiliation Services
3530073,10/02/2019 08:15:00 PM,3240,1.0,76,8,Blue Ribbon Taxi Association Inc.
3530074,10/02/2019 08:15:00 PM,461,0.61,32,8,Flash Cab
3530075,10/02/2019 08:15:00 PM,359,0.88,8,32,Flash Cab
3530076,10/02/2019 08:15:00 PM,240,0.8,32,32,Taxi Affiliation Services
3530077,10/02/2019 08:15:00 PM,519,1.22,8,32,Sun Taxi
3530078,10/02/2019 08:15:00 PM,540,1.1,8,32,Taxi Affiliation Services
3530079,10/02/2019 08:15:00 PM,480,1.4,32,8,Medallion Leasin
3530080,10/02/2019 08:15:00 PM,403,1.16,8,8,Sun Taxi
3530081,10/02/2019 08:15:00 PM,480,1.0,8,8,Taxi Affiliation Services
3530082,10/02/2019 08:15:00 PM,321,0.89,8,8,Chicago Carriage Cab Corp
3530083,10/02/2019 08:15:00 PM,360,0.6,32,32,Taxi Affiliation Services
3530084,10/02/2019 08:15:00 PM,540,1.5,32,32,Taxi Affiliation Services
3530085,10/02/2019 08:15:00 PM,540,1.6,8,28,Star North Management LLC
3530086,10/02/2019 08:15:00 PM,183,0.63,32,8,Sun Taxi
3530087,10/02/2019 08:15:00 PM,524,1.21,32,28,City Service
3530088,10/02/2019 08:15:00 PM,480,1.2,32,28,Chicago Medallion Management
3530089,10/02/2019 08:15:00 PM,256,1.04,8,32,Sun Taxi
3530090,10/02/2019 08:15:00 PM,420,1.3,8,24,Taxi Affiliation Services
3530091,10/02/2019 08:15:00 PM,523,1.89,8,32,City Service
3530092,10/02/2019 08:15:00 PM,386,1.26,32,28,City Service
3530093,10/02/2019 08:15:00 PM,339,1.2,8,32,Sun Taxi
3530094,10/02/2019 08:15:00 PM,360,1.1,32,8,Taxi Affiliation Services
3530095,10/02/2019 08:15:00 PM,489,1.91,7,7,Nova Taxi Affiliation Llc
3530096,10/02/2019 08:15:00 PM,480,1.4,32,8,Choice Taxi Association
3530097,10/02/2019 08:15:00 PM,394,0.87,8,8,Flash Cab
3530098,10/02/2019 08:15:00 PM,263,0.83,8,8,Nova Taxi Affiliation Llc
3530099,10/02/2019 08:15:00 PM,352,1.13,32,8,Nova Taxi Affiliation Llc
3530100,10/02/2019 08:15:00 PM,360,1.1,32,8,Medallion Leasin
3530101,10/02/2019 08:15:00 PM,240,0.7,32,32,Taxi Affiliation Services
3530102,10/02/2019 08:15:00 PM,219,0.83,32,8,Sun Taxi
3530103,10/02/2019 08:15:00 PM,420,1.1,32,8,Star North Management LLC
3530104,10/02/2019 08:30:00 PM,404,1.66,32,28,City Service
3530105,10/02/2019 08:30:00 PM,469,1.27,32,8,24 Seven Taxi
3530106,10/02/2019 08:30:00 PM,195,0.58,32,28,Flash Cab
3530107,10/02/2019 08:30:00 PM,360,0.8,8,8,Chicago Medallion Management
3530108,10/02/2019 08:30:00 PM,480,1.9,32,24,Taxi Affiliation Services
3530109,10/02/2019 08:30:00 PM,420,1.3,8,8,Star North Management LLC
3530110,10/02/2019 08:30:00 PM,465,1.63,28,8,Flash Cab
3530111,10/02/2019 08:30:00 PM,420,1.4,32,8,Medallion Leasin
3530112,10/02/2019 08:30:00 PM,360,1.9,8,28,Taxi Affiliation Services
3530113,10/02/2019 08:30:00 PM,381,0.83,8,8,Flash Cab
3530114,10/02/2019 08:30:00 PM,420,1.1,32,8,Taxi Affiliation Services
3530115,10/02/2019 08:30:00 PM,480,1.0,32,32,Star North Management LLC
3530116,10/02/2019 08:30:00 PM,380,1.29,24,8,Chicago Carriage Cab Corp
3530117,10/02/2019 08:30:00 PM,302,0.78,32,8,Flash Cab
3530118,10/02/2019 08:30:00 PM,300,0.6,32,32,Choice Taxi Association
3530119,10/02/2019 08:30:00 PM,465,1.88,32,8,Sun Taxi
3530120,10/02/2019 08:30:00 PM,240,0.6,6,7,Taxi Affiliation Services
3530121,10/02/2019 08:30:00 PM,590,1.99,32,8,Sun Taxi
3530122,10/02/2019 08:30:00 PM,457,1.17,32,8,Blue Diamond
3530123,10/02/2019 08:30:00 PM,540,1.5,32,24,Taxi Affiliation Services
3530124,10/02/2019 08:30:00 PM,300,1.0,32,28,"Taxicab Insurance Agency, LLC"
3530125,10/02/2019 08:30:00 PM,420,1.0,32,8,Taxi Affiliation Services
3530126,10/02/2019 08:30:00 PM,493,1.67,8,32,24 Seven Taxi
