,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3570000,10/05/2019 09:30:00 PM,540,1.4,8,28,Taxi Affiliation Services
3570001,10/05/2019 09:30:00 PM,360,0.7,8,8,Taxi Affiliation Services
3570002,10/05/2019 09:30:00 PM,377,1.16,32,8,Flash Cab
3570003,10/05/2019 09:30:00 PM,540,1.1,32,32,Medallion Leasin
3570004,10/05/2019 09:30:00 PM,459,1.71,8,32,Flash Cab
3570005,10/05/2019 09:30:00 PM,361,0.8,32,32,Flash Cab
3570006,10/05/2019 09:30:00 PM,413,1.45,8,32,Sun Taxi
3570007,10/05/2019 09:30:00 PM,240,0.7,8,8,Taxi Affiliation Services
3570008,10/05/2019 09:30:00 PM,535,1.72,8,8,Chicago Carriage Cab Corp
3570009,10/05/2019 09:30:00 PM,583,1.22,8,32,Chicago Carriage Cab Corp
3570010,10/05/2019 09:30:00 PM,373,1.08,8,8,Chicago Carriage Cab Corp
3570011,10/05/2019 09:30:00 PM,300,0.6,8,8,Choice Taxi Association
3570012,10/05/2019 09:30:00 PM,299,1.2,8,8,City Service
3570013,10/05/2019 09:30:00 PM,328,0.76,32,28,Flash Cab
3570014,10/05/2019 09:30:00 PM,420,1.0,8,24,Medallion Leasin
3570015,10/05/2019 09:30:00 PM,334,0.91,32,8,City Service
3570016,10/05/2019 09:30:00 PM,480,1.2,8,8,Taxi Affiliation Services
3570017,10/05/2019 09:30:00 PM,240,0.9,32,8,Medallion Leasin
3570018,10/05/2019 09:30:00 PM,420,1.0,8,32,Medallion Leasin
3570019,10/05/2019 09:30:00 PM,417,0.97,32,32,Sun Taxi
3570020,10/05/2019 09:30:00 PM,369,0.8,32,8,Sun Taxi
3570021,10/05/2019 09:30:00 PM,553,1.42,32,8,Flash Cab
3570022,10/05/2019 09:30:00 PM,579,1.92,33,32,Nova Taxi Affiliation Llc
3570023,10/05/2019 09:30:00 PM,445,1.2,8,24,Taxi Affiliation Service Yellow
3570024,10/05/2019 09:30:00 PM,360,0.7,8,8,Choice Taxi Association
3570025,10/05/2019 09:30:00 PM,280,0.97,32,32,Chicago Carriage Cab Corp
3570026,10/05/2019 09:30:00 PM,259,0.6,8,32,City Service
3570027,10/05/2019 09:30:00 PM,473,1.7,33,32,Medallion Leasin
3570028,10/05/2019 09:30:00 PM,279,1.06,32,8,Chicago Carriage Cab Corp
3570029,10/05/2019 09:30:00 PM,351,1.01,28,8,Chicago Carriage Cab Corp
3570030,10/05/2019 09:30:00 PM,539,1.4,32,8,City Service
3570031,10/05/2019 09:30:00 PM,360,1.2,8,3,Medallion Leasin
3570032,10/05/2019 09:30:00 PM,480,1.5,32,8,Taxi Affiliation Services
3570033,10/05/2019 09:30:00 PM,420,1.1,6,6,Star North Management LLC
3570034,10/05/2019 09:30:00 PM,240,0.6,8,32,Medallion Leasin
3570035,10/05/2019 09:30:00 PM,360,0.6,8,8,City Service
3570036,10/05/2019 09:30:00 PM,477,1.07,32,28,Patriot Taxi Dba Peace Taxi Associat
3570037,10/05/2019 09:30:00 PM,407,1.11,8,32,Flash Cab
3570038,10/05/2019 09:30:00 PM,488,1.13,8,8,Sun Taxi
3570039,10/05/2019 09:30:00 PM,463,1.42,32,8,Flash Cab
3570040,10/05/2019 09:30:00 PM,240,0.7,8,8,Taxi Affiliation Services
3570041,10/05/2019 09:30:00 PM,310,0.77,8,8,Sun Taxi
3570042,10/05/2019 09:30:00 PM,420,1.3,6,7,Taxi Affiliation Services
3570043,10/05/2019 09:30:00 PM,360,1.4,8,32,Medallion Leasin
3570044,10/05/2019 09:30:00 PM,540,0.8,8,8,Star North Management LLC
3570045,10/05/2019 09:30:00 PM,420,1.4,32,28,Choice Taxi Association
3570046,10/05/2019 09:30:00 PM,240,0.52,32,32,Nova Taxi Affiliation Llc
3570047,10/05/2019 09:30:00 PM,420,1.2,8,8,Star North Management LLC
3570048,10/05/2019 09:30:00 PM,420,0.9,8,8,Taxi Affiliation Services
3570049,10/05/2019 09:30:00 PM,300,0.9,8,8,Choice Taxi Association
3570050,10/05/2019 09:30:00 PM,360,0.8,8,8,Medallion Leasin
3570051,10/05/2019 09:30:00 PM,540,1.0,32,8,Taxi Affiliation Services
3570052,10/05/2019 09:30:00 PM,588,0.68,6,6,Flash Cab
3570053,10/05/2019 09:30:00 PM,424,1.01,8,8,City Service
3570054,10/05/2019 09:30:00 PM,388,0.96,8,8,Chicago Carriage Cab Corp
3570055,10/05/2019 09:30:00 PM,240,0.7,8,8,Taxi Affiliation Services
3570056,10/05/2019 09:30:00 PM,219,0.51,8,8,Flash Cab
3570057,10/05/2019 09:30:00 PM,572,1.32,8,24,City Service
3570058,10/05/2019 09:30:00 PM,599,0.63,8,8,Flash Cab
3570059,10/05/2019 09:30:00 PM,300,0.7,8,8,"Taxicab Insurance Agency, LLC"
3570060,10/05/2019 09:30:00 PM,422,1.34,28,8,City Service
3570061,10/05/2019 09:30:00 PM,474,0.99,8,28,Flash Cab
3570062,10/05/2019 09:30:00 PM,360,1.0,8,28,KOAM Taxi Association
3570063,10/05/2019 09:30:00 PM,300,0.83,8,8,Nova Taxi Affiliation Llc
3570064,10/05/2019 09:30:00 PM,420,1.2,6,6,Star North Management LLC
3570065,10/05/2019 09:30:00 PM,240,0.9,8,32,Taxi Affiliation Services
3570066,10/05/2019 09:30:00 PM,572,1.9,8,28,Medallion Leasin
3570067,10/05/2019 09:30:00 PM,480,1.7,8,28,Taxi Affiliation Services
3570068,10/05/2019 09:30:00 PM,420,0.7,8,8,Medallion Leasin
3570069,10/05/2019 09:30:00 PM,594,1.65,28,28,Flash Cab
3570070,10/05/2019 09:30:00 PM,240,0.6,8,8,Taxi Affiliation Services
3570071,10/05/2019 09:30:00 PM,300,1.1,8,32,Medallion Leasin
3570072,10/05/2019 09:30:00 PM,211,0.9,6,6,City Service
3570073,10/05/2019 09:30:00 PM,325,0.55,32,8,24 Seven Taxi
3570074,10/05/2019 09:30:00 PM,420,0.9,8,32,Taxi Affiliation Services
3570075,10/05/2019 09:30:00 PM,312,1.25,8,32,Chicago Carriage Cab Corp
3570076,10/05/2019 09:30:00 PM,300,1.4,28,33,Taxi Affiliation Services
