,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3580000,10/07/2019 09:30:00 AM,532,1.41,8,32,Flash Cab
3580001,10/07/2019 09:30:00 AM,539,1.19,32,8,Flash Cab
3580002,10/07/2019 09:30:00 AM,431,1.2,8,32,Chicago Carriage Cab Corp
3580003,10/07/2019 09:30:00 AM,257,0.78,32,8,Chicago Carriage Cab Corp
3580004,10/07/2019 09:30:00 AM,420,0.85,8,32,Nova Taxi Affiliation Llc
3580005,10/07/2019 09:30:00 AM,486,0.91,32,8,Chicago Carriage Cab Corp
3580006,10/07/2019 09:30:00 AM,442,0.66,32,32,Nova Taxi Affiliation Llc
3580007,10/07/2019 09:30:00 AM,360,0.7,32,8,Medallion Leasin
3580008,10/07/2019 09:30:00 AM,527,0.91,8,32,Flash Cab
3580009,10/07/2019 09:30:00 AM,280,0.63,28,32,Chicago Carriage Cab Corp
3580010,10/07/2019 09:30:00 AM,474,1.5,32,28,Medallion Leasin
3580011,10/07/2019 09:30:00 AM,496,1.04,28,32,Chicago Carriage Cab Corp
3580012,10/07/2019 09:30:00 AM,540,1.0,8,32,Star North Management LLC
3580013,10/07/2019 09:30:00 AM,460,0.8,32,32,City Service
3580014,10/07/2019 09:30:00 AM,414,1.21,32,8,Sun Taxi
3580015,10/07/2019 09:30:00 AM,420,1.1,28,8,Medallion Leasin
3580016,10/07/2019 09:30:00 AM,480,1.9,32,33,Star North Management LLC
3580017,10/07/2019 09:30:00 AM,585,1.08,32,28,Sun Taxi
3580018,10/07/2019 09:30:00 AM,282,0.84,8,8,Chicago Carriage Cab Corp
3580019,10/07/2019 09:30:00 AM,526,1.08,32,32,Chicago Carriage Cab Corp
3580020,10/07/2019 09:30:00 AM,420,1.5,33,33,Taxi Affiliation Services
3580021,10/07/2019 09:30:00 AM,214,0.53,32,8,Chicago Carriage Cab Corp
3580022,10/07/2019 09:30:00 AM,540,1.0,28,32,Taxi Affiliation Services
3580023,10/07/2019 09:30:00 AM,360,0.7,28,32,Taxi Affiliation Services
3580024,10/07/2019 09:30:00 AM,360,1.0,28,8,Choice Taxi Association
3580025,10/07/2019 09:30:00 AM,540,1.5,28,8,Blue Ribbon Taxi Association Inc.
