,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3590000,10/08/2019 07:15:00 AM,442,1.32,8,8,Sun Taxi
3590001,10/08/2019 07:15:00 AM,207,0.52,8,8,City Service
3590002,10/08/2019 07:15:00 AM,1916,10.74,32,61,Sun Taxi
3590003,10/08/2019 07:15:00 AM,198,0.54,32,32,Sun Taxi
3590004,10/08/2019 07:15:00 AM,207,0.64,32,32,Flash Cab
3590005,10/08/2019 07:15:00 AM,2040,1.0,8,76,Taxi Affiliation Services
3590006,10/08/2019 07:15:00 AM,277,0.8,32,8,Flash Cab
3590007,10/08/2019 07:15:00 AM,323,1.02,8,8,Flash Cab
3590008,10/08/2019 07:15:00 AM,240,0.6,28,32,Medallion Leasin
3590009,10/08/2019 07:15:00 AM,453,1.8,8,28,Medallion Leasin
3590010,10/08/2019 07:15:00 AM,271,0.87,32,28,Chicago Carriage Cab Corp
3590011,10/08/2019 07:15:00 AM,392,0.96,8,32,Flash Cab
3590012,10/08/2019 07:15:00 AM,478,0.8,32,32,Medallion Leasin
3590013,10/08/2019 07:15:00 AM,436,1.47,8,8,Flash Cab
3590014,10/08/2019 07:15:00 AM,307,0.68,28,32,City Service
3590015,10/08/2019 07:15:00 AM,285,0.72,28,32,Chicago Carriage Cab Corp
3590016,10/08/2019 07:15:00 AM,287,1.0,32,28,Chicago Carriage Cab Corp
3590017,10/08/2019 07:15:00 AM,259,0.83,32,32,City Service
3590018,10/08/2019 07:15:00 AM,448,1.83,8,8,Sun Taxi
3590019,10/08/2019 07:15:00 AM,240,0.6,8,8,Taxi Affiliation Services
3590020,10/08/2019 07:15:00 AM,465,1.3,28,32,Nova Taxi Affiliation Llc
3590021,10/08/2019 07:15:00 AM,497,1.7,32,8,Medallion Leasin
3590022,10/08/2019 07:15:00 AM,521,1.87,8,32,City Service
3590023,10/08/2019 07:15:00 AM,563,1.42,32,28,Flash Cab
3590024,10/08/2019 07:15:00 AM,233,0.76,32,32,Chicago Carriage Cab Corp
3590025,10/08/2019 07:15:00 AM,321,1.11,32,8,Chicago Carriage Cab Corp
3590026,10/08/2019 07:15:00 AM,420,1.1,28,2,Medallion Leasin
3590027,10/08/2019 07:15:00 AM,420,1.4,8,32,Medallion Leasin
3590028,10/08/2019 07:15:00 AM,574,1.5,8,32,Flash Cab
3590029,10/08/2019 07:15:00 AM,483,1.63,8,32,24 Seven Taxi
3590030,10/08/2019 07:15:00 AM,476,0.58,8,8,Flash Cab
3590031,10/08/2019 07:15:00 AM,357,1.03,32,32,Flash Cab
3590032,10/08/2019 07:15:00 AM,380,1.01,8,28,Flash Cab
3590033,10/08/2019 07:15:00 AM,300,0.7,28,32,Medallion Leasin
3590034,10/08/2019 07:15:00 AM,403,1.26,32,32,Flash Cab
3590035,10/08/2019 07:15:00 AM,420,1.6,8,32,Medallion Leasin
3590036,10/08/2019 07:15:00 AM,592,1.58,28,8,Sun Taxi
