,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
350000,01/28/2019 06:30:00 PM,320,0.77,32,8,Chicago Carriage Cab Corp
350001,01/28/2019 06:30:00 PM,479,1.1,32,8,Medallion Leasin
350002,01/28/2019 06:30:00 PM,326,0.66,8,8,Nova Taxi Affiliation Llc
350003,01/28/2019 06:30:00 PM,578,1.62,28,8,Chicago Carriage Cab Corp
350004,01/28/2019 06:30:00 PM,498,1.5,32,28,Sun Taxi
350005,01/28/2019 06:30:00 PM,540,1.7,8,7,Medallion Leasin
350006,01/28/2019 06:30:00 PM,2192,1.7,32,8,Chicago Taxicab
350007,01/28/2019 06:30:00 PM,331,0.91,32,32,Checker Taxi Affiliation
350008,01/28/2019 06:30:00 PM,346,0.95,32,28,Blue Diamond
350009,01/28/2019 06:30:00 PM,209,0.6,32,32,Chicago Carriage Cab Corp
350010,01/28/2019 06:30:00 PM,370,0.6,32,8,Taxi Affiliation Service Yellow
350011,01/28/2019 06:30:00 PM,417,1.13,32,28,Nova Taxi Affiliation Llc
350012,01/28/2019 06:30:00 PM,378,0.8,32,28,Blue Diamond
350013,01/28/2019 06:30:00 PM,253,0.64,32,28,Sun Taxi
350014,01/28/2019 06:30:00 PM,420,1.0,32,8,Medallion Leasin
350015,01/28/2019 06:30:00 PM,360,0.55,28,28,Taxi Affiliation Service Yellow
350016,01/28/2019 06:30:00 PM,595,1.43,32,28,Chicago Carriage Cab Corp
350017,01/28/2019 06:30:00 PM,273,0.6,10,10,Flash Cab
350018,01/28/2019 06:30:00 PM,300,0.7,32,8,City Service
350019,01/28/2019 06:30:00 PM,388,1.09,32,32,Chicago Carriage Cab Corp
350020,01/28/2019 06:30:00 PM,360,1.0,32,32,Medallion Leasin
350021,01/28/2019 06:30:00 PM,551,1.12,32,8,Chicago Carriage Cab Corp
350022,01/28/2019 06:30:00 PM,441,1.66,32,8,Sun Taxi
350023,01/28/2019 06:30:00 PM,433,1.4,32,33,Setare Inc
350024,01/28/2019 06:30:00 PM,360,0.93,32,8,Nova Taxi Affiliation Llc
350025,01/28/2019 06:30:00 PM,580,1.59,32,8,Taxi Affiliation Service Yellow
350026,01/28/2019 06:30:00 PM,468,0.89,8,8,Nova Taxi Affiliation Llc
350027,01/28/2019 06:30:00 PM,378,0.9,38,38,Taxi Affiliation Service Yellow
350028,01/28/2019 06:30:00 PM,540,1.11,32,8,Taxi Affiliation Service Yellow
350029,01/28/2019 06:30:00 PM,529,1.08,32,28,Taxi Affiliation Service Yellow
350030,01/28/2019 06:30:00 PM,509,1.1,32,32,Setare Inc
350031,01/28/2019 06:30:00 PM,438,0.91,8,8,Taxi Affiliation Service Yellow
350032,01/28/2019 06:30:00 PM,282,0.67,32,32,Flash Cab
350033,01/28/2019 06:30:00 PM,370,1.2,32,8,City Service
350034,01/28/2019 06:30:00 PM,350,0.51,28,28,Flash Cab
350035,01/28/2019 06:30:00 PM,409,1.07,32,32,Nova Taxi Affiliation Llc
350036,01/28/2019 06:30:00 PM,516,1.37,32,8,Sun Taxi
350037,01/28/2019 06:30:00 PM,282,0.6,32,8,Flash Cab
350038,01/28/2019 06:30:00 PM,569,1.3,8,32,Flash Cab
350039,01/28/2019 06:30:00 PM,407,0.8,32,32,Flash Cab
350040,01/28/2019 06:30:00 PM,577,1.8,32,8,Flash Cab
350041,01/28/2019 06:30:00 PM,401,1.2,32,8,Flash Cab
350042,01/28/2019 06:30:00 PM,242,1.6,24,28,Flash Cab
350043,01/28/2019 06:30:00 PM,510,0.7,8,8,Flash Cab
350044,01/28/2019 06:30:00 PM,478,0.9,7,7,Flash Cab
350045,01/28/2019 06:30:00 PM,364,0.9,77,77,Flash Cab
350046,01/28/2019 06:30:00 PM,375,0.9,32,8,Flash Cab
350047,01/28/2019 06:30:00 PM,229,0.6,32,32,Flash Cab
350048,01/28/2019 06:30:00 PM,521,1.2,32,8,Flash Cab
350049,01/28/2019 06:30:00 PM,260,0.6,28,32,Flash Cab
350050,01/28/2019 06:30:00 PM,513,1.4,32,8,Flash Cab
350051,01/28/2019 06:30:00 PM,367,1.8,3,6,Flash Cab
350052,01/28/2019 06:30:00 PM,418,1.2,32,28,Flash Cab
350053,01/28/2019 06:45:00 PM,420,0.8,32,28,Taxi Affiliation Services
350054,01/28/2019 06:45:00 PM,480,1.0,28,32,Choice Taxi Association
350055,01/28/2019 06:45:00 PM,540,1.1,32,8,Taxi Affiliation Services
350056,01/28/2019 06:45:00 PM,480,1.0,8,32,Taxi Affiliation Services
350057,01/28/2019 06:45:00 PM,360,0.7,8,8,KOAM Taxi Association
350058,01/28/2019 06:45:00 PM,540,0.9,8,8,Taxi Affiliation Services
350059,01/28/2019 06:45:00 PM,2280,1.0,76,8,Blue Ribbon Taxi Association Inc.
350060,01/28/2019 06:45:00 PM,360,0.9,8,28,Top Cab Affiliation
350061,01/28/2019 06:45:00 PM,540,0.9,8,28,Taxi Affiliation Services
350062,01/28/2019 06:45:00 PM,540,1.6,32,33,Choice Taxi Association
350063,01/28/2019 06:45:00 PM,540,0.8,32,8,Taxi Affiliation Services
350064,01/28/2019 06:45:00 PM,420,0.8,8,24,KOAM Taxi Association
350065,01/28/2019 06:45:00 PM,480,1.1,19,22,Taxi Affiliation Services
350066,01/28/2019 06:45:00 PM,360,0.9,32,8,Taxi Affiliation Services
350067,01/28/2019 06:45:00 PM,540,1.3,32,8,Taxi Affiliation Services
350068,01/28/2019 06:45:00 PM,240,0.7,32,32,"Taxicab Insurance Agency, LLC"
350069,01/28/2019 06:45:00 PM,540,1.0,32,8,Star North Management LLC
350070,01/28/2019 06:45:00 PM,420,0.7,32,8,Star North Management LLC
350071,01/28/2019 06:45:00 PM,360,0.8,8,24,Star North Management LLC
350072,01/28/2019 06:45:00 PM,420,1.2,32,8,Choice Taxi Association
350073,01/28/2019 06:45:00 PM,360,0.8,32,8,Taxi Affiliation Services
350074,01/28/2019 06:45:00 PM,540,1.3,8,8,Taxi Affiliation Services
350075,01/28/2019 06:45:00 PM,480,1.0,32,28,Taxi Affiliation Services
