,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3600000,10/08/2019 06:30:00 PM,388,1.56,35,35,Chicago Carriage Cab Corp
3600001,10/08/2019 06:30:00 PM,280,0.6,32,32,Chicago Carriage Cab Corp
3600002,10/08/2019 06:30:00 PM,489,1.18,32,32,Chicago Carriage Cab Corp
3600003,10/08/2019 06:30:00 PM,366,1.07,32,8,Nova Taxi Affiliation Llc
3600004,10/08/2019 06:30:00 PM,456,1.06,8,8,Patriot Taxi Dba Peace Taxi Associat
3600005,10/08/2019 06:30:00 PM,512,1.42,32,8,Nova Taxi Affiliation Llc
3600006,10/08/2019 06:30:00 PM,540,1.4,8,32,Taxi Affiliation Services
3600007,10/08/2019 06:30:00 PM,420,1.0,32,28,Taxi Affiliation Services
3600008,10/08/2019 06:30:00 PM,420,0.9,32,8,Choice Taxi Association
3600009,10/08/2019 06:30:00 PM,480,1.0,32,32,Taxi Affiliation Services
3600010,10/08/2019 06:30:00 PM,401,0.98,8,8,Chicago Carriage Cab Corp
3600011,10/08/2019 06:30:00 PM,303,0.81,32,28,Chicago Carriage Cab Corp
3600012,10/08/2019 06:30:00 PM,269,0.66,32,32,Sun Taxi
3600013,10/08/2019 06:30:00 PM,360,0.7,32,28,Star North Management LLC
3600014,10/08/2019 06:30:00 PM,312,1.42,24,28,Sun Taxi
3600015,10/08/2019 06:30:00 PM,503,1.18,32,32,City Service
3600016,10/08/2019 06:30:00 PM,388,0.78,32,8,Sun Taxi
3600017,10/08/2019 06:30:00 PM,393,0.77,8,8,Flash Cab
3600018,10/08/2019 06:30:00 PM,300,1.0,16,16,Star North Management LLC
3600019,10/08/2019 06:30:00 PM,420,0.9,32,28,Taxi Affiliation Services
3600020,10/08/2019 06:30:00 PM,424,1.49,35,32,Chicago Carriage Cab Corp
3600021,10/08/2019 06:30:00 PM,471,0.96,77,77,Flash Cab
3600022,10/08/2019 06:30:00 PM,476,1.2,32,8,Flash Cab
3600023,10/08/2019 06:30:00 PM,420,1.7,33,32,Star North Management LLC
3600024,10/08/2019 06:30:00 PM,568,1.74,28,8,Chicago Carriage Cab Corp
3600025,10/08/2019 06:30:00 PM,402,1.05,32,8,Patriot Taxi Dba Peace Taxi Associat
3600026,10/08/2019 06:30:00 PM,442,1.26,8,8,Sun Taxi
3600027,10/08/2019 06:30:00 PM,360,1.0,8,8,Taxi Affiliation Services
3600028,10/08/2019 06:30:00 PM,440,1.19,8,28,Flash Cab
3600029,10/08/2019 06:30:00 PM,549,1.15,8,32,Taxi Affiliation Service Yellow
3600030,10/08/2019 06:30:00 PM,2616,10.56,28,77,Flash Cab
3600031,10/08/2019 06:30:00 PM,370,1.31,32,8,Nova Taxi Affiliation Llc
3600032,10/08/2019 06:30:00 PM,523,1.16,32,32,Chicago Carriage Cab Corp
3600033,10/08/2019 06:30:00 PM,540,0.8,32,32,Star North Management LLC
3600034,10/08/2019 06:30:00 PM,385,1.01,28,28,Sun Taxi
3600035,10/08/2019 06:30:00 PM,420,1.0,32,28,Taxi Affiliation Services
3600036,10/08/2019 06:30:00 PM,480,1.2,28,8,Taxi Affiliation Services
3600037,10/08/2019 06:30:00 PM,571,1.71,32,28,Flash Cab
3600038,10/08/2019 06:30:00 PM,300,0.9,8,8,Taxi Affiliation Services
3600039,10/08/2019 06:45:00 PM,540,1.1,32,28,Top Cab Affiliation
3600040,10/08/2019 06:45:00 PM,416,1.05,32,8,Flash Cab
3600041,10/08/2019 06:45:00 PM,360,0.7,32,32,Star North Management LLC
3600042,10/08/2019 06:45:00 PM,359,0.87,8,8,Flash Cab
3600043,10/08/2019 06:45:00 PM,2040,10.4,8,43,Taxi Affiliation Services
3600044,10/08/2019 06:45:00 PM,420,0.8,8,32,Taxi Affiliation Services
3600045,10/08/2019 06:45:00 PM,323,0.81,32,33,Chicago Carriage Cab Corp
3600046,10/08/2019 06:45:00 PM,461,1.21,32,8,Sun Taxi
3600047,10/08/2019 06:45:00 PM,420,1.2,32,28,Medallion Leasin
3600048,10/08/2019 06:45:00 PM,451,1.43,8,32,Sun Taxi
3600049,10/08/2019 06:45:00 PM,208,0.71,8,32,Sun Taxi
3600050,10/08/2019 06:45:00 PM,397,0.93,8,8,Chicago Carriage Cab Corp
3600051,10/08/2019 06:45:00 PM,300,0.9,8,32,Taxi Affiliation Services
3600052,10/08/2019 06:45:00 PM,420,0.7,32,8,Taxi Affiliation Services
3600053,10/08/2019 06:45:00 PM,368,1.1,32,32,City Service
3600054,10/08/2019 06:45:00 PM,327,0.94,32,8,Sun Taxi
3600055,10/08/2019 06:45:00 PM,357,0.69,8,28,Flash Cab
3600056,10/08/2019 06:45:00 PM,451,1.4,32,28,Chicago Carriage Cab Corp
3600057,10/08/2019 06:45:00 PM,288,0.84,32,8,City Service
3600058,10/08/2019 06:45:00 PM,540,1.8,8,24,Medallion Leasin
3600059,10/08/2019 06:45:00 PM,339,0.85,32,8,Patriot Taxi Dba Peace Taxi Associat
3600060,10/08/2019 06:45:00 PM,2940,1.1,76,8,Taxi Affiliation Services
3600061,10/08/2019 06:45:00 PM,300,0.7,32,8,Star North Management LLC
3600062,10/08/2019 06:45:00 PM,540,1.3,32,33,Top Cab Affiliation
3600063,10/08/2019 06:45:00 PM,480,1.6,32,33,City Service
3600064,10/08/2019 06:45:00 PM,420,1.7,33,32,Star North Management LLC
3600065,10/08/2019 06:45:00 PM,282,0.9,8,28,City Service
3600066,10/08/2019 06:45:00 PM,438,1.16,8,8,Sun Taxi
3600067,10/08/2019 06:45:00 PM,183,0.62,8,8,City Service
3600068,10/08/2019 06:45:00 PM,338,0.85,8,8,Flash Cab
3600069,10/08/2019 06:45:00 PM,461,1.49,32,8,Flash Cab
3600070,10/08/2019 06:45:00 PM,240,0.8,32,32,Taxi Affiliation Services
3600071,10/08/2019 06:45:00 PM,340,0.9,32,32,City Service
3600072,10/08/2019 06:45:00 PM,439,1.5,8,24,Chicago Carriage Cab Corp
3600073,10/08/2019 06:45:00 PM,372,0.99,32,32,Chicago Carriage Cab Corp
3600074,10/08/2019 06:45:00 PM,330,1.04,32,8,Flash Cab
3600075,10/08/2019 06:45:00 PM,360,0.6,28,32,Taxi Affiliation Services
3600076,10/08/2019 06:45:00 PM,363,1.2,6,3,Flash Cab
3600077,10/08/2019 06:45:00 PM,353,1.3,32,8,Sun Taxi
3600078,10/08/2019 06:45:00 PM,420,0.8,8,32,Taxi Affiliation Services
3600079,10/08/2019 06:45:00 PM,526,1.2,32,8,City Service
3600080,10/08/2019 06:45:00 PM,480,1.2,32,8,Taxi Affiliation Services
3600081,10/08/2019 06:45:00 PM,304,1.09,8,8,Sun Taxi
3600082,10/08/2019 06:45:00 PM,398,1.1,32,8,Chicago Independents
3600083,10/08/2019 06:45:00 PM,420,0.8,8,8,Star North Management LLC
3600084,10/08/2019 06:45:00 PM,404,0.92,32,32,Flash Cab
3600085,10/08/2019 06:45:00 PM,420,0.7,8,8,Taxi Affiliation Services
3600086,10/08/2019 06:45:00 PM,324,0.97,32,32,Chicago Carriage Cab Corp
3600087,10/08/2019 06:45:00 PM,480,0.8,8,28,Chicago Medallion Management
3600088,10/08/2019 06:45:00 PM,427,1.35,32,28,Chicago Carriage Cab Corp
3600089,10/08/2019 06:45:00 PM,300,0.7,32,8,Taxi Affiliation Services
3600090,10/08/2019 06:45:00 PM,480,1.0,32,28,Taxi Affiliation Services
3600091,10/08/2019 06:45:00 PM,540,1.0,8,8,Taxi Affiliation Services
3600092,10/08/2019 06:45:00 PM,300,0.6,8,8,Taxi Affiliation Services
3600093,10/08/2019 06:45:00 PM,300,0.9,28,28,Star North Management LLC
3600094,10/08/2019 06:45:00 PM,360,0.7,28,28,Star North Management LLC
3600095,10/08/2019 06:45:00 PM,420,1.1,32,8,"Taxicab Insurance Agency, LLC"
3600096,10/08/2019 06:45:00 PM,319,0.97,32,32,Patriot Taxi Dba Peace Taxi Associat
3600097,10/08/2019 06:45:00 PM,480,0.9,32,8,Top Cab Affiliation
3600098,10/08/2019 06:45:00 PM,360,0.6,28,28,Taxi Affiliation Services
3600099,10/08/2019 06:45:00 PM,360,0.7,8,8,Medallion Leasin
3600100,10/08/2019 06:45:00 PM,420,0.7,32,32,"Taxicab Insurance Agency, LLC"
3600101,10/08/2019 06:45:00 PM,420,1.37,32,8,Nova Taxi Affiliation Llc
3600102,10/08/2019 06:45:00 PM,498,1.39,8,32,Sun Taxi
3600103,10/08/2019 06:45:00 PM,300,0.7,32,8,City Service
3600104,10/08/2019 06:45:00 PM,360,0.7,32,32,Choice Taxi Association
3600105,10/08/2019 06:45:00 PM,536,1.74,32,8,Flash Cab
3600106,10/08/2019 06:45:00 PM,420,0.9,8,8,Star North Management LLC
3600107,10/08/2019 06:45:00 PM,480,1.0,32,8,Star North Management LLC
3600108,10/08/2019 06:45:00 PM,360,0.6,32,32,Top Cab Affiliation
3600109,10/08/2019 06:45:00 PM,574,1.6,32,8,Chicago Independents
3600110,10/08/2019 06:45:00 PM,2580,1.0,76,8,Taxi Affiliation Services
3600111,10/08/2019 06:45:00 PM,446,1.52,6,7,Chicago Carriage Cab Corp
3600112,10/08/2019 06:45:00 PM,360,1.3,32,33,Taxi Affiliation Services
3600113,10/08/2019 06:45:00 PM,540,1.4,8,28,Taxi Affiliation Services
3600114,10/08/2019 06:45:00 PM,552,1.75,32,8,Chicago Carriage Cab Corp
3600115,10/08/2019 06:45:00 PM,568,1.11,32,32,Taxi Affiliation Service Yellow
3600116,10/08/2019 06:45:00 PM,328,1.19,32,28,Flash Cab
3600117,10/08/2019 06:45:00 PM,455,0.96,32,32,Chicago Carriage Cab Corp
3600118,10/08/2019 06:45:00 PM,306,0.82,32,32,Blue Diamond
3600119,10/08/2019 06:45:00 PM,348,1.5,32,33,Nova Taxi Affiliation Llc
3600120,10/08/2019 06:45:00 PM,488,1.04,32,28,City Service
3600121,10/08/2019 06:45:00 PM,449,0.8,8,32,Medallion Leasin
3600122,10/08/2019 06:45:00 PM,3000,1.1,76,8,Blue Ribbon Taxi Association Inc.
3600123,10/08/2019 06:45:00 PM,412,1.07,8,8,City Service
3600124,10/08/2019 06:45:00 PM,480,0.8,32,32,Top Cab Affiliation
3600125,10/08/2019 06:45:00 PM,393,1.3,32,8,Chicago Carriage Cab Corp
3600126,10/08/2019 06:45:00 PM,406,0.8,8,8,Chicago Taxicab
3600127,10/08/2019 06:45:00 PM,553,1.17,8,8,Chicago Carriage Cab Corp
3600128,10/08/2019 06:45:00 PM,258,0.84,8,8,Patriot Taxi Dba Peace Taxi Associat
3600129,10/08/2019 06:45:00 PM,2820,1.0,76,8,Taxi Affiliation Services
3600130,10/08/2019 06:45:00 PM,332,0.84,32,28,Flash Cab
3600131,10/08/2019 06:45:00 PM,527,1.02,32,8,Flash Cab
3600132,10/08/2019 06:45:00 PM,566,1.42,32,32,Nova Taxi Affiliation Llc
3600133,10/08/2019 06:45:00 PM,280,0.8,24,24,Medallion Leasin
3600134,10/08/2019 06:45:00 PM,330,0.62,8,8,Patriot Taxi Dba Peace Taxi Associat
3600135,10/08/2019 06:45:00 PM,469,0.96,32,8,Chicago Independents
3600136,10/08/2019 06:45:00 PM,300,0.8,32,32,Star North Management LLC
3600137,10/08/2019 06:45:00 PM,454,1.42,28,8,Flash Cab
3600138,10/08/2019 06:45:00 PM,420,0.9,28,8,Chicago Medallion Management
3600139,10/08/2019 06:45:00 PM,420,1.3,33,33,Star North Management LLC
3600140,10/08/2019 06:45:00 PM,360,1.3,32,8,Taxi Affiliation Services
3600141,10/08/2019 06:45:00 PM,2460,1.1,32,76,Taxi Affiliation Services
3600142,10/08/2019 06:45:00 PM,428,1.2,28,32,Chicago Carriage Cab Corp
3600143,10/08/2019 06:45:00 PM,488,1.16,28,8,City Service
3600144,10/08/2019 06:45:00 PM,531,1.06,8,8,Flash Cab
3600145,10/08/2019 06:45:00 PM,556,1.34,28,8,Flash Cab
3600146,10/08/2019 06:45:00 PM,420,0.8,8,8,Medallion Leasin
3600147,10/08/2019 06:45:00 PM,300,0.8,8,32,Taxi Affiliation Services
3600148,10/08/2019 06:45:00 PM,300,0.8,32,28,Star North Management LLC
3600149,10/08/2019 06:45:00 PM,540,1.4,32,8,Taxi Affiliation Services
3600150,10/08/2019 06:45:00 PM,540,1.1,32,32,Star North Management LLC
3600151,10/08/2019 06:45:00 PM,480,0.8,32,8,Taxi Affiliation Services
3600152,10/08/2019 06:45:00 PM,424,1.1,8,28,Flash Cab
3600153,10/08/2019 06:45:00 PM,521,1.48,32,8,Chicago Carriage Cab Corp
3600154,10/08/2019 06:45:00 PM,277,1.09,6,3,24 Seven Taxi
3600155,10/08/2019 06:45:00 PM,445,1.78,32,8,Patriot Taxi Dba Peace Taxi Associat
3600156,10/08/2019 06:45:00 PM,329,0.54,8,8,Flash Cab
3600157,10/08/2019 06:45:00 PM,480,1.0,28,28,Star North Management LLC
3600158,10/08/2019 06:45:00 PM,513,1.0,28,32,Flash Cab
3600159,10/08/2019 06:45:00 PM,350,1.0,28,32,Sun Taxi
3600160,10/08/2019 06:45:00 PM,271,0.56,32,32,Flash Cab
3600161,10/08/2019 06:45:00 PM,420,0.7,32,32,Top Cab Affiliation
3600162,10/08/2019 06:45:00 PM,361,0.9,32,32,Chicago Taxicab
3600163,10/08/2019 06:45:00 PM,480,1.9,8,8,Chicago Medallion Management
3600164,10/08/2019 06:45:00 PM,540,0.9,32,8,Taxi Affiliation Services
3600165,10/08/2019 06:45:00 PM,420,1.5,32,33,Star North Management LLC
3600166,10/08/2019 06:45:00 PM,500,0.71,8,8,Flash Cab
3600167,10/08/2019 06:45:00 PM,420,1.0,32,8,Medallion Leasin
3600168,10/08/2019 06:45:00 PM,480,1.3,8,24,Medallion Leasin
3600169,10/08/2019 06:45:00 PM,469,0.75,2,2,Flash Cab
3600170,10/08/2019 06:45:00 PM,268,1.38,8,7,City Service
3600171,10/08/2019 06:45:00 PM,2640,1.1,76,8,Taxi Affiliation Services
3600172,10/08/2019 06:45:00 PM,442,0.99,8,8,Sun Taxi
3600173,10/08/2019 06:45:00 PM,420,1.81,28,8,Flash Cab
3600174,10/08/2019 06:45:00 PM,421,1.24,32,32,Chicago Carriage Cab Corp
3600175,10/08/2019 06:45:00 PM,310,0.86,32,32,Sun Taxi
3600176,10/08/2019 06:45:00 PM,540,1.0,8,8,Taxi Affiliation Services
3600177,10/08/2019 06:45:00 PM,360,1.2,32,8,Taxi Affiliation Services
3600178,10/08/2019 06:45:00 PM,2520,1.0,76,8,Taxi Affiliation Services
3600179,10/08/2019 06:45:00 PM,360,0.7,32,32,Star North Management LLC
3600180,10/08/2019 06:45:00 PM,300,0.6,32,28,Star North Management LLC
3600181,10/08/2019 06:45:00 PM,480,0.6,8,32,Chicago Medallion Management
3600182,10/08/2019 06:45:00 PM,480,1.3,32,8,Taxi Affiliation Services
3600183,10/08/2019 06:45:00 PM,478,1.26,8,8,Flash Cab
3600184,10/08/2019 06:45:00 PM,540,1.1,32,28,Taxi Affiliation Services
3600185,10/08/2019 06:45:00 PM,274,1.11,32,8,Sun Taxi
3600186,10/08/2019 06:45:00 PM,300,0.9,32,32,Taxi Affiliation Services
3600187,10/08/2019 06:45:00 PM,418,1.3,32,32,City Service
3600188,10/08/2019 06:45:00 PM,472,1.14,32,32,Chicago Carriage Cab Corp
3600189,10/08/2019 06:45:00 PM,240,0.7,28,32,Chicago Medallion Management
3600190,10/08/2019 06:45:00 PM,360,0.81,7,7,Sun Taxi
3600191,10/08/2019 06:45:00 PM,381,1.16,32,28,Chicago Carriage Cab Corp
3600192,10/08/2019 06:45:00 PM,523,1.39,8,32,Sun Taxi
3600193,10/08/2019 06:45:00 PM,420,0.9,32,8,Taxi Affiliation Services
3600194,10/08/2019 06:45:00 PM,296,0.65,32,8,Flash Cab
3600195,10/08/2019 06:45:00 PM,290,0.77,32,32,Taxi Affiliation Service Yellow
3600196,10/08/2019 06:45:00 PM,420,0.9,8,28,"Taxicab Insurance Agency, LLC"
3600197,10/08/2019 06:45:00 PM,300,1.1,32,32,Taxi Affiliation Services
3600198,10/08/2019 06:45:00 PM,225,0.62,11,15,Flash Cab
3600199,10/08/2019 06:45:00 PM,275,1.03,77,77,Chicago Carriage Cab Corp
