,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3610000,10/09/2019 03:30:00 PM,201,0.6,8,32,Nova Taxi Affiliation Llc
3610001,10/09/2019 03:30:00 PM,300,0.7,8,28,Star North Management LLC
3610002,10/09/2019 03:30:00 PM,540,1.4,28,32,Taxi Affiliation Services
3610003,10/09/2019 03:45:00 PM,351,0.79,8,32,Patriot Taxi Dba Peace Taxi Associat
3610004,10/09/2019 03:45:00 PM,240,0.7,8,32,Choice Taxi Association
3610005,10/09/2019 03:45:00 PM,480,1.5,32,28,Taxi Affiliation Services
3610006,10/09/2019 03:45:00 PM,483,1.25,8,32,Chicago Carriage Cab Corp
3610007,10/09/2019 03:45:00 PM,360,1.1,28,32,"Taxicab Insurance Agency, LLC"
3610008,10/09/2019 03:45:00 PM,566,1.7,32,8,City Service
3610009,10/09/2019 03:45:00 PM,2760,1.1,32,76,Blue Ribbon Taxi Association Inc.
3610010,10/09/2019 03:45:00 PM,497,1.59,35,38,Flash Cab
3610011,10/09/2019 03:45:00 PM,231,0.72,32,32,City Service
3610012,10/09/2019 03:45:00 PM,480,1.2,32,28,Medallion Leasin
3610013,10/09/2019 03:45:00 PM,331,0.9,32,32,Checker Taxi Affiliation
3610014,10/09/2019 03:45:00 PM,479,0.66,2,2,Flash Cab
3610015,10/09/2019 03:45:00 PM,480,1.5,32,8,Choice Taxi Association
3610016,10/09/2019 03:45:00 PM,383,0.7,32,32,Flash Cab
3610017,10/09/2019 03:45:00 PM,351,1.18,32,8,Sun Taxi
3610018,10/09/2019 03:45:00 PM,399,1.33,32,32,Chicago Carriage Cab Corp
3610019,10/09/2019 03:45:00 PM,480,1.4,32,8,Medallion Leasin
3610020,10/09/2019 03:45:00 PM,307,0.8,32,8,City Service
3610021,10/09/2019 03:45:00 PM,483,1.45,32,8,Sun Taxi
3610022,10/09/2019 03:45:00 PM,501,1.6,32,8,Metro Jet Taxi A
3610023,10/09/2019 03:45:00 PM,519,1.68,28,32,Patriot Taxi Dba Peace Taxi Associat
3610024,10/09/2019 03:45:00 PM,496,0.89,8,32,Chicago Carriage Cab Corp
3610025,10/09/2019 03:45:00 PM,541,1.0,32,8,Medallion Leasin
3610026,10/09/2019 03:45:00 PM,300,0.8,3,6,Choice Taxi Association
3610027,10/09/2019 03:45:00 PM,420,0.9,28,8,City Service
3610028,10/09/2019 03:45:00 PM,500,1.03,32,28,Chicago Carriage Cab Corp
3610029,10/09/2019 03:45:00 PM,381,0.68,32,32,City Service
3610030,10/09/2019 03:45:00 PM,300,0.6,3,3,Taxi Affiliation Services
3610031,10/09/2019 03:45:00 PM,396,0.7,8,8,Chicago Carriage Cab Corp
3610032,10/09/2019 03:45:00 PM,420,1.3,28,8,Taxi Affiliation Services
3610033,10/09/2019 03:45:00 PM,300,0.9,32,32,Taxi Affiliation Services
3610034,10/09/2019 03:45:00 PM,420,1.4,32,28,Choice Taxi Association
3610035,10/09/2019 03:45:00 PM,5787,0.78,8,8,Nova Taxi Affiliation Llc
3610036,10/09/2019 03:45:00 PM,300,0.7,8,8,Medallion Leasin
3610037,10/09/2019 03:45:00 PM,426,1.15,8,8,City Service
3610038,10/09/2019 03:45:00 PM,456,0.83,32,32,Sun Taxi
3610039,10/09/2019 03:45:00 PM,307,0.81,32,28,Flash Cab
3610040,10/09/2019 03:45:00 PM,579,1.86,32,34,Sun Taxi
3610041,10/09/2019 03:45:00 PM,423,0.77,7,7,Flash Cab
3610042,10/09/2019 03:45:00 PM,480,1.8,8,24,Taxi Affiliation Services
3610043,10/09/2019 03:45:00 PM,420,1.4,32,33,Top Cab Affiliation
3610044,10/09/2019 03:45:00 PM,555,1.57,28,8,Flash Cab
3610045,10/09/2019 03:45:00 PM,360,0.7,32,32,2092 - 61288 Sbeih company
3610046,10/09/2019 03:45:00 PM,452,0.9,8,8,Chicago Taxicab
3610047,10/09/2019 03:45:00 PM,300,0.9,32,32,KOAM Taxi Association
3610048,10/09/2019 03:45:00 PM,474,1.29,32,28,City Service
3610049,10/09/2019 03:45:00 PM,360,0.9,32,28,Taxi Affiliation Services
3610050,10/09/2019 03:45:00 PM,540,1.0,32,8,Choice Taxi Association
3610051,10/09/2019 03:45:00 PM,241,0.67,18,18,Flash Cab
3610052,10/09/2019 03:45:00 PM,480,1.7,32,8,Chicago Medallion Management
3610053,10/09/2019 03:45:00 PM,378,0.88,8,32,Sun Taxi
3610054,10/09/2019 03:45:00 PM,420,1.2,6,6,Taxi Affiliation Services
3610055,10/09/2019 03:45:00 PM,300,0.9,8,8,Choice Taxi Association
3610056,10/09/2019 03:45:00 PM,300,0.7,32,32,Taxi Affiliation Services
3610057,10/09/2019 03:45:00 PM,556,1.7,32,8,Flash Cab
3610058,10/09/2019 03:45:00 PM,240,0.6,8,8,Taxi Affiliation Services
3610059,10/09/2019 03:45:00 PM,446,1.16,28,24,Sun Taxi
3610060,10/09/2019 03:45:00 PM,470,1.06,32,8,Taxi Affiliation Service Yellow
3610061,10/09/2019 03:45:00 PM,240,0.8,32,28,Star North Management LLC
3610062,10/09/2019 03:45:00 PM,259,0.56,32,28,City Service
3610063,10/09/2019 03:45:00 PM,300,0.9,28,28,Taxi Affiliation Services
3610064,10/09/2019 03:45:00 PM,420,0.7,8,32,Taxi Affiliation Services
3610065,10/09/2019 03:45:00 PM,256,0.61,32,28,Chicago Carriage Cab Corp
3610066,10/09/2019 03:45:00 PM,240,0.7,32,32,"Taxicab Insurance Agency, LLC"
3610067,10/09/2019 03:45:00 PM,433,1.22,8,8,Chicago Carriage Cab Corp
3610068,10/09/2019 03:45:00 PM,367,1.05,32,32,Chicago Carriage Cab Corp
3610069,10/09/2019 03:45:00 PM,215,0.52,28,32,Chicago Carriage Cab Corp
3610070,10/09/2019 03:45:00 PM,525,1.4,32,8,Chicago Independents
3610071,10/09/2019 03:45:00 PM,599,1.7,3,6,Medallion Leasin
3610072,10/09/2019 03:45:00 PM,421,1.08,32,28,Chicago Carriage Cab Corp
3610073,10/09/2019 03:45:00 PM,300,0.8,41,39,Taxi Affiliation Services
3610074,10/09/2019 03:45:00 PM,434,1.0,32,8,Chicago Taxicab
3610075,10/09/2019 03:45:00 PM,360,1.1,32,32,Choice Taxi Association
3610076,10/09/2019 03:45:00 PM,420,1.0,32,32,Taxi Affiliation Services
