,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3650000,10/12/2019 04:15:00 PM,546,1.32,32,8,Flash Cab
3650001,10/12/2019 04:15:00 PM,480,1.1,8,8,Star North Management LLC
3650002,10/12/2019 04:15:00 PM,589,0.89,28,32,Chicago Carriage Cab Corp
3650003,10/12/2019 04:15:00 PM,329,0.6,6,6,Medallion Leasin
3650004,10/12/2019 04:15:00 PM,540,1.6,28,8,Taxi Affiliation Services
3650005,10/12/2019 04:15:00 PM,300,0.8,32,8,Chicago Medallion Management
3650006,10/12/2019 04:15:00 PM,420,1.1,8,32,Star North Management LLC
3650007,10/12/2019 04:15:00 PM,3420,0.9,76,8,Taxi Affiliation Services
3650008,10/12/2019 04:15:00 PM,363,0.77,8,8,Flash Cab
3650009,10/12/2019 04:15:00 PM,480,1.6,28,8,Top Cab Affiliation
3650010,10/12/2019 04:15:00 PM,521,1.59,8,28,Chicago Carriage Cab Corp
3650011,10/12/2019 04:15:00 PM,546,1.8,32,33,Chicago Taxicab
3650012,10/12/2019 04:15:00 PM,575,0.55,32,32,Chicago Carriage Cab Corp
3650013,10/12/2019 04:15:00 PM,528,0.88,8,8,Chicago Carriage Cab Corp
3650014,10/12/2019 04:15:00 PM,360,1.2,7,8,Taxi Affiliation Services
3650015,10/12/2019 04:15:00 PM,300,1.2,32,28,Taxi Affiliation Services
3650016,10/12/2019 04:15:00 PM,540,1.1,8,32,Taxi Affiliation Services
3650017,10/12/2019 04:15:00 PM,376,1.06,8,32,Chicago Carriage Cab Corp
3650018,10/12/2019 04:15:00 PM,455,0.98,28,32,Chicago Carriage Cab Corp
3650019,10/12/2019 04:15:00 PM,420,0.9,32,32,Top Cab Affiliation
3650020,10/12/2019 04:15:00 PM,537,0.83,32,8,Chicago Carriage Cab Corp
3650021,10/12/2019 04:15:00 PM,300,1.0,5,5,Taxi Affiliation Services
3650022,10/12/2019 04:15:00 PM,330,0.77,32,8,Sun Taxi
3650023,10/12/2019 04:15:00 PM,334,1.01,32,8,Flash Cab
3650024,10/12/2019 04:15:00 PM,540,1.0,8,32,Medallion Leasin
3650025,10/12/2019 04:15:00 PM,540,1.6,32,8,Taxi Affiliation Services
3650026,10/12/2019 04:15:00 PM,406,0.54,8,8,Chicago Carriage Cab Corp
3650027,10/12/2019 04:15:00 PM,385,0.7,8,8,Medallion Leasin
3650028,10/12/2019 04:15:00 PM,300,0.8,8,8,Taxi Affiliation Services
3650029,10/12/2019 04:15:00 PM,420,1.4,28,32,Taxi Affiliation Services
3650030,10/12/2019 04:15:00 PM,475,1.27,8,28,Chicago Carriage Cab Corp
3650031,10/12/2019 04:15:00 PM,409,1.1,8,32,Sun Taxi
