,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3660000,10/13/2019 07:00:00 PM,359,1.0,8,32,Chicago Independents
3660001,10/13/2019 07:00:00 PM,409,0.81,8,8,Chicago Carriage Cab Corp
3660002,10/13/2019 07:00:00 PM,420,1.0,32,32,Taxi Affiliation Services
3660003,10/13/2019 07:00:00 PM,240,0.9,32,28,Choice Taxi Association
3660004,10/13/2019 07:00:00 PM,471,1.5,32,8,Medallion Leasin
3660005,10/13/2019 07:00:00 PM,4500,0.6,34,48,Taxi Affiliation Services
3660006,10/13/2019 07:00:00 PM,343,0.6,8,8,City Service
3660007,10/13/2019 07:00:00 PM,240,0.6,32,32,Taxi Affiliation Services
3660008,10/13/2019 07:00:00 PM,236,0.64,8,8,City Service
3660009,10/13/2019 07:00:00 PM,420,1.0,32,8,Medallion Leasin
3660010,10/13/2019 07:00:00 PM,300,0.7,8,8,"Taxicab Insurance Agency, LLC"
3660011,10/13/2019 07:00:00 PM,480,1.7,28,8,Top Cab Affiliation
3660012,10/13/2019 07:00:00 PM,480,1.1,8,28,Taxi Affiliation Services
3660013,10/13/2019 07:00:00 PM,419,0.79,8,8,Flash Cab
3660014,10/13/2019 07:00:00 PM,420,0.8,8,32,KOAM Taxi Association
3660015,10/13/2019 07:00:00 PM,446,0.8,8,8,Flash Cab
3660016,10/13/2019 07:00:00 PM,300,1.0,8,32,Star North Management LLC
3660017,10/13/2019 07:00:00 PM,2100,0.8,76,22,Taxi Affiliation Services
3660018,10/13/2019 07:00:00 PM,468,1.4,32,32,Leonard Cab Co
3660019,10/13/2019 07:00:00 PM,188,0.73,8,8,Sun Taxi
3660020,10/13/2019 07:00:00 PM,291,0.69,32,32,Flash Cab
3660021,10/13/2019 07:00:00 PM,420,1.2,8,8,Choice Taxi Association
3660022,10/13/2019 07:00:00 PM,576,1.57,8,8,City Service
3660023,10/13/2019 07:00:00 PM,478,1.48,8,32,Patriot Taxi Dba Peace Taxi Associat
3660024,10/13/2019 07:00:00 PM,300,0.9,8,8,Taxi Affiliation Services
3660025,10/13/2019 07:00:00 PM,453,1.32,8,32,Chicago Carriage Cab Corp
3660026,10/13/2019 07:00:00 PM,444,0.79,8,8,Chicago Carriage Cab Corp
3660027,10/13/2019 07:00:00 PM,326,0.87,8,32,Flash Cab
3660028,10/13/2019 07:00:00 PM,546,1.71,8,32,City Service
3660029,10/13/2019 07:00:00 PM,540,1.1,8,32,Medallion Leasin
3660030,10/13/2019 07:00:00 PM,508,1.06,8,8,Flash Cab
3660031,10/13/2019 07:00:00 PM,534,1.33,8,28,Flash Cab
3660032,10/13/2019 07:00:00 PM,2400,1.1,8,76,Taxi Affiliation Services
3660033,10/13/2019 07:00:00 PM,379,0.77,8,32,Taxi Affiliation Service Yellow
3660034,10/13/2019 07:00:00 PM,360,1.8,6,6,Choice Taxi Association
3660035,10/13/2019 07:00:00 PM,300,1.0,8,32,Taxi Affiliation Services
3660036,10/13/2019 07:00:00 PM,383,1.39,3,77,Sun Taxi
3660037,10/13/2019 07:00:00 PM,568,1.3,8,8,Medallion Leasin
3660038,10/13/2019 07:00:00 PM,568,1.8,8,32,City Service
3660039,10/13/2019 07:00:00 PM,356,1.23,8,32,Sun Taxi
3660040,10/13/2019 07:00:00 PM,335,0.8,32,8,Flash Cab
3660041,10/13/2019 07:00:00 PM,203,1.04,33,33,City Service
3660042,10/13/2019 07:00:00 PM,460,1.19,32,8,Flash Cab
3660043,10/13/2019 07:00:00 PM,480,0.9,8,8,Taxi Affiliation Services
3660044,10/13/2019 07:00:00 PM,566,1.22,32,8,Flash Cab
3660045,10/13/2019 07:00:00 PM,351,0.93,32,8,Chicago Carriage Cab Corp
3660046,10/13/2019 07:00:00 PM,453,1.26,28,28,Flash Cab
3660047,10/13/2019 07:00:00 PM,599,1.86,8,32,Chicago Carriage Cab Corp
3660048,10/13/2019 07:00:00 PM,436,1.29,32,8,Chicago Carriage Cab Corp
3660049,10/13/2019 07:00:00 PM,366,1.22,32,8,Chicago Carriage Cab Corp
3660050,10/13/2019 07:00:00 PM,525,1.72,32,8,City Service
3660051,10/13/2019 07:00:00 PM,386,0.8,32,32,Chicago Independents
3660052,10/13/2019 07:00:00 PM,420,0.9,8,8,Taxi Affiliation Services
3660053,10/13/2019 07:00:00 PM,431,0.69,8,8,Chicago Carriage Cab Corp
3660054,10/13/2019 07:00:00 PM,360,1.3,32,28,Choice Taxi Association
3660055,10/13/2019 07:00:00 PM,363,1.08,8,8,Chicago Carriage Cab Corp
