,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3670000,10/14/2019 07:00:00 PM,502,1.25,28,32,City Service
3670001,10/14/2019 07:00:00 PM,412,1.25,32,8,Sun Taxi
3670002,10/14/2019 07:00:00 PM,370,0.96,8,8,Chicago Independents
3670003,10/14/2019 07:00:00 PM,480,0.9,32,8,"Taxicab Insurance Agency, LLC"
3670004,10/14/2019 07:00:00 PM,344,0.96,8,7,Chicago Carriage Cab Corp
3670005,10/14/2019 07:00:00 PM,300,0.7,8,32,"Taxicab Insurance Agency, LLC"
3670006,10/14/2019 07:00:00 PM,294,0.97,32,32,Chicago Carriage Cab Corp
3670007,10/14/2019 07:00:00 PM,282,0.69,8,32,City Service
3670008,10/14/2019 07:00:00 PM,226,0.61,32,32,Flash Cab
3670009,10/14/2019 07:00:00 PM,360,0.8,32,8,"Taxicab Insurance Agency, LLC"
3670010,10/14/2019 07:00:00 PM,557,1.56,28,32,Chicago Carriage Cab Corp
3670011,10/14/2019 07:00:00 PM,598,1.66,32,8,Sun Taxi
3670012,10/14/2019 07:00:00 PM,480,1.1,8,8,Taxi Affiliation Services
3670013,10/14/2019 07:00:00 PM,454,1.21,32,28,Flash Cab
3670014,10/14/2019 07:00:00 PM,373,1.67,32,28,Sun Taxi
3670015,10/14/2019 07:00:00 PM,480,1.0,32,32,Medallion Leasin
3670016,10/14/2019 07:00:00 PM,480,1.5,32,8,Taxi Affiliation Services
3670017,10/14/2019 07:00:00 PM,530,1.26,32,8,Flash Cab
3670018,10/14/2019 07:00:00 PM,480,1.3,28,8,Choice Taxi Association
3670019,10/14/2019 07:00:00 PM,540,1.6,32,8,"Taxicab Insurance Agency, LLC"
3670020,10/14/2019 07:00:00 PM,420,0.7,28,8,City Service
3670021,10/14/2019 07:00:00 PM,360,0.6,8,8,Taxi Affiliation Services
3670022,10/14/2019 07:00:00 PM,464,1.49,32,8,Chicago Carriage Cab Corp
3670023,10/14/2019 07:00:00 PM,3420,1.6,41,76,Taxi Affiliation Services
3670024,10/14/2019 07:00:00 PM,480,1.2,32,8,Taxi Affiliation Services
3670025,10/14/2019 07:00:00 PM,483,0.68,8,8,Flash Cab
3670026,10/14/2019 07:00:00 PM,503,1.2,32,8,City Service
3670027,10/14/2019 07:00:00 PM,420,1.1,32,32,Taxi Affiliation Services
3670028,10/14/2019 07:00:00 PM,300,0.7,32,32,Taxi Affiliation Services
3670029,10/14/2019 07:00:00 PM,300,0.9,32,8,Taxi Affiliation Services
3670030,10/14/2019 07:00:00 PM,240,0.7,32,32,Taxi Affiliation Services
3670031,10/14/2019 07:00:00 PM,566,1.99,32,28,Chicago Carriage Cab Corp
3670032,10/14/2019 07:00:00 PM,360,0.9,8,8,Choice Taxi Association
3670033,10/14/2019 07:00:00 PM,418,1.91,28,8,Sun Taxi
3670034,10/14/2019 07:00:00 PM,3540,1.1,76,32,Blue Ribbon Taxi Association Inc.
3670035,10/14/2019 07:00:00 PM,295,0.72,8,8,Flash Cab
3670036,10/14/2019 07:00:00 PM,457,1.38,8,8,City Service
3670037,10/14/2019 07:00:00 PM,420,1.3,32,8,Taxi Affiliation Services
3670038,10/14/2019 07:00:00 PM,559,1.44,8,32,Chicago Carriage Cab Corp
3670039,10/14/2019 07:00:00 PM,540,1.4,8,8,Taxi Affiliation Services
3670040,10/14/2019 07:00:00 PM,360,0.9,8,28,"Taxicab Insurance Agency, LLC"
3670041,10/14/2019 07:00:00 PM,420,0.8,32,32,Star North Management LLC
3670042,10/14/2019 07:00:00 PM,280,0.65,7,8,Chicago Carriage Cab Corp
3670043,10/14/2019 07:00:00 PM,285,0.86,32,8,Sun Taxi
3670044,10/14/2019 07:00:00 PM,380,0.75,32,32,City Service
3670045,10/14/2019 07:00:00 PM,360,0.6,32,32,Taxi Affiliation Services
3670046,10/14/2019 07:00:00 PM,473,1.24,28,32,Nova Taxi Affiliation Llc
3670047,10/14/2019 07:00:00 PM,480,1.6,32,32,Star North Management LLC
3670048,10/14/2019 07:00:00 PM,397,0.75,8,32,Chicago Carriage Cab Corp
3670049,10/14/2019 07:00:00 PM,369,0.94,8,8,Chicago Carriage Cab Corp
3670050,10/14/2019 07:00:00 PM,360,1.0,32,32,Choice Taxi Association
3670051,10/14/2019 07:00:00 PM,295,0.66,76,76,Sun Taxi
3670052,10/14/2019 07:00:00 PM,480,1.0,32,28,"Taxicab Insurance Agency, LLC"
3670053,10/14/2019 07:00:00 PM,385,1.29,8,28,City Service
3670054,10/14/2019 07:00:00 PM,480,1.4,32,8,Star North Management LLC
3670055,10/14/2019 07:00:00 PM,540,1.4,32,8,Taxi Affiliation Services
3670056,10/14/2019 07:00:00 PM,399,1.3,8,8,Chicago Carriage Cab Corp
3670057,10/14/2019 07:00:00 PM,480,1.0,8,32,Taxi Affiliation Services
3670058,10/14/2019 07:00:00 PM,480,1.1,28,28,Star North Management LLC
3670059,10/14/2019 07:00:00 PM,570,1.37,32,28,Chicago Carriage Cab Corp
3670060,10/14/2019 07:00:00 PM,3120,0.8,76,6,Taxi Affiliation Services
3670061,10/14/2019 07:00:00 PM,474,1.19,28,28,Sun Taxi
3670062,10/14/2019 07:00:00 PM,522,1.1,8,8,Medallion Leasin
3670063,10/14/2019 07:00:00 PM,390,1.13,32,32,Chicago Carriage Cab Corp
3670064,10/14/2019 07:00:00 PM,300,1.4,8,32,Taxi Affiliation Services
3670065,10/14/2019 07:00:00 PM,540,1.2,8,28,KOAM Taxi Association
3670066,10/14/2019 07:00:00 PM,356,1.04,32,28,Flash Cab
3670067,10/14/2019 07:00:00 PM,389,1.38,8,32,Chicago Carriage Cab Corp
3670068,10/14/2019 07:00:00 PM,574,1.12,28,28,Flash Cab
3670069,10/14/2019 07:00:00 PM,475,1.75,6,7,Patriot Taxi Dba Peace Taxi Associat
3670070,10/14/2019 07:00:00 PM,360,0.8,8,32,Taxi Affiliation Services
3670071,10/14/2019 07:00:00 PM,505,1.68,3,3,Flash Cab
3670072,10/14/2019 07:00:00 PM,355,1.55,32,8,Flash Cab
3670073,10/14/2019 07:00:00 PM,389,1.49,32,8,Flash Cab
3670074,10/14/2019 07:00:00 PM,412,1.38,32,8,Taxi Affiliation Service Yellow
3670075,10/14/2019 07:00:00 PM,273,0.78,8,8,Flash Cab
3670076,10/14/2019 07:00:00 PM,558,1.3,8,28,Sun Taxi
3670077,10/14/2019 07:00:00 PM,480,1.2,8,8,Taxi Affiliation Services
3670078,10/14/2019 07:00:00 PM,540,1.5,32,8,Taxi Affiliation Services
3670079,10/14/2019 07:00:00 PM,448,1.48,8,8,Flash Cab
3670080,10/14/2019 07:00:00 PM,240,0.9,8,32,"Taxicab Insurance Agency, LLC"
3670081,10/14/2019 07:00:00 PM,471,1.5,8,32,City Service
3670082,10/14/2019 07:00:00 PM,3480,1.0,76,8,Taxi Affiliation Services
3670083,10/14/2019 07:00:00 PM,331,0.7,8,32,Medallion Leasin
3670084,10/14/2019 07:00:00 PM,382,0.83,28,28,Flash Cab
3670085,10/14/2019 07:00:00 PM,507,1.0,32,32,Flash Cab
3670086,10/14/2019 07:00:00 PM,552,1.12,32,32,Flash Cab
3670087,10/14/2019 07:00:00 PM,420,1.2,32,8,Nova Taxi Affiliation Llc
3670088,10/14/2019 07:00:00 PM,514,1.74,8,8,Sun Taxi
3670089,10/14/2019 07:00:00 PM,360,0.8,32,28,Top Cab Affiliation
3670090,10/14/2019 07:00:00 PM,296,0.92,8,8,Chicago Carriage Cab Corp
3670091,10/14/2019 07:00:00 PM,369,1.0,8,28,City Service
3670092,10/14/2019 07:00:00 PM,300,0.6,32,32,Taxi Affiliation Services
3670093,10/14/2019 07:00:00 PM,254,0.66,8,8,Patriot Taxi Dba Peace Taxi Associat
3670094,10/14/2019 07:00:00 PM,473,0.96,8,8,Flash Cab
3670095,10/14/2019 07:00:00 PM,395,1.31,28,8,City Service
3670096,10/14/2019 07:00:00 PM,540,1.3,32,8,Star North Management LLC
3670097,10/14/2019 07:00:00 PM,420,1.2,8,24,Taxi Affiliation Services
3670098,10/14/2019 07:00:00 PM,420,1.3,28,8,Star North Management LLC
3670099,10/14/2019 07:00:00 PM,463,0.94,8,8,Flash Cab
3670100,10/14/2019 07:00:00 PM,420,1.0,32,32,Top Cab Affiliation
3670101,10/14/2019 07:00:00 PM,300,0.7,32,8,"Taxicab Insurance Agency, LLC"
3670102,10/14/2019 07:00:00 PM,240,0.6,32,8,Taxi Affiliation Services
3670103,10/14/2019 07:00:00 PM,429,1.5,32,8,Sun Taxi
3670104,10/14/2019 07:00:00 PM,536,1.32,8,8,Flash Cab
3670105,10/14/2019 07:00:00 PM,491,1.13,7,6,Flash Cab
3670106,10/14/2019 07:00:00 PM,186,0.7,32,32,Chicago Taxicab
3670107,10/14/2019 07:00:00 PM,455,1.14,28,8,Chicago Carriage Cab Corp
3670108,10/14/2019 07:00:00 PM,256,0.71,32,8,Patriot Taxi Dba Peace Taxi Associat
3670109,10/14/2019 07:00:00 PM,573,1.92,32,33,Sun Taxi
3670110,10/14/2019 07:00:00 PM,540,1.1,8,8,Taxi Affiliation Services
3670111,10/14/2019 07:00:00 PM,328,0.86,8,8,Nova Taxi Affiliation Llc
3670112,10/14/2019 07:00:00 PM,240,1.0,32,8,Star North Management LLC
3670113,10/14/2019 07:00:00 PM,420,0.8,28,32,Taxi Affiliation Services
3670114,10/14/2019 07:00:00 PM,281,0.64,28,28,Sun Taxi
3670115,10/14/2019 07:00:00 PM,233,0.96,32,8,Chicago Carriage Cab Corp
