,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3680000,10/15/2019 02:45:00 PM,420,1.4,28,28,"Taxicab Insurance Agency, LLC"
3680001,10/15/2019 02:45:00 PM,403,0.68,77,77,Checker Taxi Affiliation
3680002,10/15/2019 02:45:00 PM,208,0.76,13,2,Flash Cab
3680003,10/15/2019 02:45:00 PM,480,1.1,32,28,Taxi Affiliation Services
3680004,10/15/2019 02:45:00 PM,484,1.2,32,28,City Service
3680005,10/15/2019 02:45:00 PM,2501,10.97,11,6,Flash Cab
3680006,10/15/2019 02:45:00 PM,250,0.59,8,32,Chicago Carriage Cab Corp
3680007,10/15/2019 02:45:00 PM,351,1.44,8,28,Chicago Carriage Cab Corp
3680008,10/15/2019 02:45:00 PM,597,1.59,8,32,Sun Taxi
3680009,10/15/2019 02:45:00 PM,462,0.98,32,32,Chicago Carriage Cab Corp
3680010,10/15/2019 02:45:00 PM,360,0.8,32,32,Taxi Affiliation Services
3680011,10/15/2019 02:45:00 PM,360,1.0,32,28,Medallion Leasin
3680012,10/15/2019 02:45:00 PM,343,0.71,8,8,Chicago Carriage Cab Corp
3680013,10/15/2019 02:45:00 PM,540,0.9,28,32,Taxi Affiliation Services
3680014,10/15/2019 02:45:00 PM,540,1.5,32,24,Taxi Affiliation Services
3680015,10/15/2019 02:45:00 PM,360,0.9,8,32,Taxi Affiliation Services
3680016,10/15/2019 02:45:00 PM,462,1.1,32,32,Flash Cab
3680017,10/15/2019 02:45:00 PM,328,0.7,32,24,Taxi Affiliation Service Yellow
3680018,10/15/2019 02:45:00 PM,240,0.6,32,8,Star North Management LLC
3680019,10/15/2019 02:45:00 PM,360,1.2,8,8,Taxi Affiliation Services
3680020,10/15/2019 02:45:00 PM,519,1.23,8,32,City Service
3680021,10/15/2019 02:45:00 PM,360,0.9,28,32,Medallion Leasin
3680022,10/15/2019 02:45:00 PM,420,1.0,8,8,Taxi Affiliation Services
3680023,10/15/2019 02:45:00 PM,2820,1.1,8,76,Taxi Affiliation Services
3680024,10/15/2019 02:45:00 PM,309,0.94,32,8,Sun Taxi
3680025,10/15/2019 02:45:00 PM,484,1.34,8,32,Flash Cab
3680026,10/15/2019 02:45:00 PM,420,0.9,28,32,Taxi Affiliation Services
3680027,10/15/2019 02:45:00 PM,300,1.1,32,28,Medallion Leasin
3680028,10/15/2019 02:45:00 PM,241,0.66,32,8,Chicago Carriage Cab Corp
3680029,10/15/2019 02:45:00 PM,360,0.8,28,32,Star North Management LLC
3680030,10/15/2019 02:45:00 PM,373,0.8,8,32,Leonard Cab Co
3680031,10/15/2019 02:45:00 PM,480,1.4,32,8,Taxi Affiliation Services
3680032,10/15/2019 02:45:00 PM,480,1.0,32,8,Taxi Affiliation Services
3680033,10/15/2019 02:45:00 PM,360,1.2,32,8,Taxi Affiliation Services
3680034,10/15/2019 02:45:00 PM,443,0.9,32,32,Flash Cab
3680035,10/15/2019 02:45:00 PM,360,1.1,8,32,Medallion Leasin
3680036,10/15/2019 02:45:00 PM,480,1.2,8,32,Star North Management LLC
3680037,10/15/2019 02:45:00 PM,360,0.9,8,32,Taxi Affiliation Services
3680038,10/15/2019 02:45:00 PM,274,0.71,32,32,Flash Cab
3680039,10/15/2019 02:45:00 PM,287,0.8,28,28,Flash Cab
3680040,10/15/2019 02:45:00 PM,2880,1.0,76,32,Taxi Affiliation Services
3680041,10/15/2019 02:45:00 PM,338,0.96,8,8,City Service
3680042,10/15/2019 02:45:00 PM,427,1.17,8,32,Flash Cab
3680043,10/15/2019 02:45:00 PM,300,0.7,32,8,"Taxicab Insurance Agency, LLC"
3680044,10/15/2019 02:45:00 PM,2460,1.0,76,8,Taxi Affiliation Services
3680045,10/15/2019 02:45:00 PM,240,0.6,32,8,Top Cab Affiliation
3680046,10/15/2019 02:45:00 PM,523,1.68,32,8,Sun Taxi
3680047,10/15/2019 02:45:00 PM,240,0.6,32,32,Taxi Affiliation Services
3680048,10/15/2019 02:45:00 PM,360,0.7,32,32,Taxi Affiliation Services
3680049,10/15/2019 02:45:00 PM,420,1.0,32,8,Choice Taxi Association
3680050,10/15/2019 02:45:00 PM,520,0.7,32,32,Taxi Affiliation Service Yellow
3680051,10/15/2019 02:45:00 PM,359,0.73,32,32,Nova Taxi Affiliation Llc
3680052,10/15/2019 02:45:00 PM,385,0.94,32,32,Sun Taxi
3680053,10/15/2019 02:45:00 PM,363,1.2,32,33,City Service
3680054,10/15/2019 02:45:00 PM,426,0.79,32,8,Nova Taxi Affiliation Llc
3680055,10/15/2019 02:45:00 PM,580,1.13,8,8,Chicago Carriage Cab Corp
3680056,10/15/2019 02:45:00 PM,540,1.4,32,8,Taxi Affiliation Services
3680057,10/15/2019 02:45:00 PM,448,1.21,32,8,Flash Cab
3680058,10/15/2019 02:45:00 PM,433,1.36,32,28,Taxi Affiliation Service Yellow
3680059,10/15/2019 02:45:00 PM,240,0.8,32,28,Star North Management LLC
3680060,10/15/2019 02:45:00 PM,239,0.69,32,32,Flash Cab
3680061,10/15/2019 02:45:00 PM,379,0.61,77,3,Flash Cab
3680062,10/15/2019 02:45:00 PM,420,1.1,8,8,Star North Management LLC
3680063,10/15/2019 02:45:00 PM,356,1.31,8,32,Chicago Carriage Cab Corp
3680064,10/15/2019 02:45:00 PM,309,1.04,8,32,City Service
3680065,10/15/2019 02:45:00 PM,240,0.7,32,32,Star North Management LLC
3680066,10/15/2019 02:45:00 PM,451,1.16,32,28,Sun Taxi
3680067,10/15/2019 02:45:00 PM,300,1.0,8,32,Taxi Affiliation Services
3680068,10/15/2019 02:45:00 PM,372,0.6,28,32,City Service
3680069,10/15/2019 02:45:00 PM,340,0.84,8,32,Chicago Carriage Cab Corp
3680070,10/15/2019 02:45:00 PM,317,0.6,8,32,City Service
3680071,10/15/2019 02:45:00 PM,232,0.55,32,32,Flash Cab
3680072,10/15/2019 02:45:00 PM,480,1.2,32,32,Star North Management LLC
3680073,10/15/2019 02:45:00 PM,360,1.4,32,33,Medallion Leasin
3680074,10/15/2019 02:45:00 PM,240,0.7,32,32,Taxi Affiliation Services
3680075,10/15/2019 02:45:00 PM,420,1.1,32,28,Medallion Leasin
3680076,10/15/2019 02:45:00 PM,399,0.74,32,8,Flash Cab
