,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3720000,10/18/2019 08:00:00 AM,397,0.76,28,32,Nova Taxi Affiliation Llc
3720001,10/18/2019 08:00:00 AM,250,0.87,32,28,Chicago Carriage Cab Corp
3720002,10/18/2019 08:00:00 AM,325,0.78,32,8,Sun Taxi
3720003,10/18/2019 08:00:00 AM,405,1.3,8,8,Flash Cab
3720004,10/18/2019 08:00:00 AM,540,1.8,32,8,Taxi Affiliation Services
3720005,10/18/2019 08:00:00 AM,336,1.75,32,33,Sun Taxi
3720006,10/18/2019 08:00:00 AM,444,0.96,28,32,Chicago Carriage Cab Corp
3720007,10/18/2019 08:00:00 AM,420,1.4,28,32,Taxi Affiliation Services
3720008,10/18/2019 08:00:00 AM,300,1.1,32,28,"Taxicab Insurance Agency, LLC"
3720009,10/18/2019 08:00:00 AM,258,0.68,28,28,Flash Cab
3720010,10/18/2019 08:00:00 AM,185,0.64,28,28,Chicago Carriage Cab Corp
3720011,10/18/2019 08:00:00 AM,2371,10.74,32,7,Flash Cab
3720012,10/18/2019 08:00:00 AM,420,1.2,32,32,Medallion Leasin
3720013,10/18/2019 08:00:00 AM,422,1.07,28,32,Sun Taxi
3720014,10/18/2019 08:00:00 AM,455,1.58,33,32,Chicago Carriage Cab Corp
3720015,10/18/2019 08:00:00 AM,498,1.32,8,32,Flash Cab
3720016,10/18/2019 08:00:00 AM,480,1.16,28,8,Nova Taxi Affiliation Llc
3720017,10/18/2019 08:00:00 AM,346,1.37,28,28,Chicago Carriage Cab Corp
3720018,10/18/2019 08:00:00 AM,532,1.16,8,8,Chicago Independents
3720019,10/18/2019 08:00:00 AM,300,1.6,8,32,Taxi Affiliation Services
3720020,10/18/2019 08:00:00 AM,240,0.7,77,77,Taxi Affiliation Services
3720021,10/18/2019 08:00:00 AM,520,1.3,7,8,City Service
3720022,10/18/2019 08:00:00 AM,252,0.95,1,1,Flash Cab
3720023,10/18/2019 08:00:00 AM,540,0.9,32,32,Medallion Leasin
3720024,10/18/2019 08:00:00 AM,480,1.7,28,33,Medallion Leasin
3720025,10/18/2019 08:00:00 AM,493,1.06,28,8,Chicago Carriage Cab Corp
3720026,10/18/2019 08:00:00 AM,480,1.2,32,8,Medallion Leasin
3720027,10/18/2019 08:00:00 AM,552,1.31,28,32,Chicago Carriage Cab Corp
3720028,10/18/2019 08:00:00 AM,317,1.05,8,32,Sun Taxi
3720029,10/18/2019 08:00:00 AM,240,0.7,32,8,Medallion Leasin
3720030,10/18/2019 08:00:00 AM,592,1.99,32,8,Chicago Carriage Cab Corp
3720031,10/18/2019 08:00:00 AM,480,1.5,8,32,Taxi Affiliation Services
3720032,10/18/2019 08:00:00 AM,296,0.89,7,8,Flash Cab
3720033,10/18/2019 08:00:00 AM,354,0.75,13,2,Flash Cab
3720034,10/18/2019 08:00:00 AM,420,1.4,28,32,Medallion Leasin
3720035,10/18/2019 08:00:00 AM,240,1.4,8,32,Taxi Affiliation Services
3720036,10/18/2019 08:00:00 AM,480,1.5,32,32,Choice Taxi Association
3720037,10/18/2019 08:00:00 AM,480,1.1,32,28,Medallion Leasin
3720038,10/18/2019 08:00:00 AM,295,0.54,16,16,Sun Taxi
3720039,10/18/2019 08:00:00 AM,336,0.85,32,28,Sun Taxi
3720040,10/18/2019 08:00:00 AM,393,1.0,32,32,Chicago Carriage Cab Corp
3720041,10/18/2019 08:00:00 AM,420,1.6,32,28,Star North Management LLC
3720042,10/18/2019 08:00:00 AM,538,1.53,32,8,Flash Cab
3720043,10/18/2019 08:00:00 AM,393,1.0,77,77,Flash Cab
3720044,10/18/2019 08:00:00 AM,435,0.73,28,32,City Service
3720045,10/18/2019 08:00:00 AM,378,0.78,28,32,Chicago Carriage Cab Corp
3720046,10/18/2019 08:00:00 AM,521,0.71,32,28,Flash Cab
3720047,10/18/2019 08:00:00 AM,583,1.03,32,28,Sun Taxi
3720048,10/18/2019 08:00:00 AM,420,1.6,32,8,Taxi Affiliation Services
3720049,10/18/2019 08:00:00 AM,420,1.4,28,32,Taxi Affiliation Services
3720050,10/18/2019 08:00:00 AM,334,1.27,8,32,Sun Taxi
3720051,10/18/2019 08:00:00 AM,480,1.0,28,28,Medallion Leasin
3720052,10/18/2019 08:00:00 AM,456,1.1,8,32,City Service
3720053,10/18/2019 08:00:00 AM,437,1.17,32,28,Flash Cab
3720054,10/18/2019 08:00:00 AM,476,1.4,28,8,Patriot Taxi Dba Peace Taxi Associat
3720055,10/18/2019 08:00:00 AM,287,0.8,32,8,24 Seven Taxi
3720056,10/18/2019 08:00:00 AM,449,0.72,28,32,Flash Cab
3720057,10/18/2019 08:00:00 AM,403,0.9,32,32,Flash Cab
3720058,10/18/2019 08:00:00 AM,470,1.02,28,32,Chicago Carriage Cab Corp
3720059,10/18/2019 08:00:00 AM,482,1.3,28,8,Leonard Cab Co
3720060,10/18/2019 08:00:00 AM,480,1.2,8,32,Medallion Leasin
3720061,10/18/2019 08:00:00 AM,420,0.8,28,28,Taxi Affiliation Services
3720062,10/18/2019 08:00:00 AM,300,1.5,8,32,"Taxicab Insurance Agency, LLC"
3720063,10/18/2019 08:00:00 AM,497,0.57,32,32,Flash Cab
3720064,10/18/2019 08:00:00 AM,506,1.86,6,6,Flash Cab
3720065,10/18/2019 08:00:00 AM,397,0.75,28,32,City Service
3720066,10/18/2019 08:00:00 AM,540,1.3,32,8,Medallion Leasin
3720067,10/18/2019 08:00:00 AM,350,1.0,28,28,Chicago Carriage Cab Corp
3720068,10/18/2019 08:00:00 AM,372,0.76,28,32,Flash Cab
3720069,10/18/2019 08:00:00 AM,300,1.0,8,8,Taxi Affiliation Services
3720070,10/18/2019 08:00:00 AM,2640,1.0,8,76,Taxi Affiliation Services
3720071,10/18/2019 08:00:00 AM,495,1.1,8,24,Chicago Independents
3720072,10/18/2019 08:00:00 AM,420,1.2,8,32,Medallion Leasin
3720073,10/18/2019 08:00:00 AM,240,0.7,32,28,Star North Management LLC
3720074,10/18/2019 08:00:00 AM,545,1.51,8,32,Sun Taxi
3720075,10/18/2019 08:00:00 AM,503,0.93,32,28,City Service
3720076,10/18/2019 08:00:00 AM,2580,0.8,6,76,Taxi Affiliation Services
3720077,10/18/2019 08:00:00 AM,300,1.0,28,8,Taxi Affiliation Services
3720078,10/18/2019 08:00:00 AM,480,0.9,32,32,Medallion Leasin
3720079,10/18/2019 08:00:00 AM,252,0.69,32,8,Patriot Taxi Dba Peace Taxi Associat
3720080,10/18/2019 08:00:00 AM,447,1.0,28,32,Chicago Carriage Cab Corp
3720081,10/18/2019 08:00:00 AM,336,0.75,28,32,Flash Cab
3720082,10/18/2019 08:00:00 AM,477,1.06,28,32,Nova Taxi Affiliation Llc
3720083,10/18/2019 08:00:00 AM,240,1.0,8,8,Medallion Leasin
3720084,10/18/2019 08:00:00 AM,480,1.4,28,8,Medallion Leasin
3720085,10/18/2019 08:00:00 AM,427,0.79,32,32,Chicago Carriage Cab Corp
3720086,10/18/2019 08:00:00 AM,481,0.9,28,8,Chicago Independents
3720087,10/18/2019 08:00:00 AM,425,0.95,28,32,24 Seven Taxi
3720088,10/18/2019 08:00:00 AM,583,1.19,28,8,Sun Taxi
3720089,10/18/2019 08:00:00 AM,573,1.04,8,32,Sun Taxi
3720090,10/18/2019 08:00:00 AM,581,0.96,8,32,Flash Cab
3720091,10/18/2019 08:00:00 AM,480,1.8,32,8,"Taxicab Insurance Agency, LLC"
3720092,10/18/2019 08:00:00 AM,325,0.76,32,32,City Service
3720093,10/18/2019 08:00:00 AM,540,1.2,8,32,Star North Management LLC
3720094,10/18/2019 08:00:00 AM,357,1.0,28,28,Medallion Leasin
3720095,10/18/2019 08:00:00 AM,422,1.0,8,32,Sun Taxi
3720096,10/18/2019 08:00:00 AM,420,1.5,8,32,Taxi Affiliation Services
3720097,10/18/2019 08:00:00 AM,240,0.8,32,32,Star North Management LLC
3720098,10/18/2019 08:00:00 AM,481,1.2,8,32,Chicago Carriage Cab Corp
3720099,10/18/2019 08:00:00 AM,460,1.3,8,8,City Service
3720100,10/18/2019 08:00:00 AM,305,0.68,32,8,City Service
3720101,10/18/2019 08:00:00 AM,557,1.31,8,8,Chicago Carriage Cab Corp
3720102,10/18/2019 08:00:00 AM,591,1.01,28,8,Flash Cab
3720103,10/18/2019 08:00:00 AM,329,1.19,4,77,Sun Taxi
3720104,10/18/2019 08:00:00 AM,364,0.71,32,32,Sun Taxi
3720105,10/18/2019 08:00:00 AM,386,1.14,28,8,Chicago Carriage Cab Corp
3720106,10/18/2019 08:00:00 AM,507,1.3,28,32,Sun Taxi
3720107,10/18/2019 08:00:00 AM,420,1.0,28,8,Top Cab Affiliation
3720108,10/18/2019 08:00:00 AM,240,0.6,32,32,Star North Management LLC
3720109,10/18/2019 08:00:00 AM,528,1.25,32,28,Flash Cab
3720110,10/18/2019 08:00:00 AM,469,1.59,28,32,Blue Diamond
3720111,10/18/2019 08:00:00 AM,560,1.04,28,32,Flash Cab
3720112,10/18/2019 08:00:00 AM,420,1.1,8,28,Medallion Leasin
3720113,10/18/2019 08:00:00 AM,428,0.51,32,32,Chicago Carriage Cab Corp
3720114,10/18/2019 08:00:00 AM,240,0.7,28,32,Medallion Leasin
3720115,10/18/2019 08:00:00 AM,240,0.7,32,8,Medallion Leasin
3720116,10/18/2019 08:00:00 AM,504,1.35,32,32,Flash Cab
3720117,10/18/2019 08:00:00 AM,240,0.8,32,8,Star North Management LLC
3720118,10/18/2019 08:00:00 AM,357,0.78,8,8,Sun Taxi
3720119,10/18/2019 08:00:00 AM,540,1.6,8,32,Medallion Leasin
3720120,10/18/2019 08:15:00 AM,378,0.73,28,32,Flash Cab
3720121,10/18/2019 08:15:00 AM,240,0.8,8,8,Medallion Leasin
3720122,10/18/2019 08:15:00 AM,306,0.66,32,32,Sun Taxi
3720123,10/18/2019 08:15:00 AM,479,0.73,28,28,Flash Cab
3720124,10/18/2019 08:15:00 AM,467,1.24,8,32,Nova Taxi Affiliation Llc
3720125,10/18/2019 08:15:00 AM,334,0.59,28,28,Flash Cab
3720126,10/18/2019 08:15:00 AM,358,0.6,28,32,Medallion Leasin
3720127,10/18/2019 08:15:00 AM,462,1.55,8,32,Sun Taxi
3720128,10/18/2019 08:15:00 AM,267,0.74,8,8,Chicago Carriage Cab Corp
3720129,10/18/2019 08:15:00 AM,553,1.35,32,32,City Service
3720130,10/18/2019 08:15:00 AM,595,0.83,39,38,Flash Cab
3720131,10/18/2019 08:15:00 AM,379,0.83,32,8,Chicago Carriage Cab Corp
3720132,10/18/2019 08:15:00 AM,2460,1.1,32,76,Taxi Affiliation Services
3720133,10/18/2019 08:15:00 AM,335,0.94,32,8,Chicago Carriage Cab Corp
3720134,10/18/2019 08:15:00 AM,300,0.8,8,8,Medallion Leasin
3720135,10/18/2019 08:15:00 AM,289,0.9,28,32,Chicago Carriage Cab Corp
3720136,10/18/2019 08:15:00 AM,420,1.2,28,32,Star North Management LLC
3720137,10/18/2019 08:15:00 AM,479,0.66,8,32,Flash Cab
3720138,10/18/2019 08:15:00 AM,503,0.84,32,32,Flash Cab
3720139,10/18/2019 08:15:00 AM,502,1.26,28,28,Chicago Carriage Cab Corp
3720140,10/18/2019 08:15:00 AM,415,0.73,8,8,Flash Cab
3720141,10/18/2019 08:15:00 AM,420,1.7,8,32,Star North Management LLC
3720142,10/18/2019 08:15:00 AM,315,0.74,32,28,Chicago Carriage Cab Corp
3720143,10/18/2019 08:15:00 AM,420,0.7,28,8,Medallion Leasin
3720144,10/18/2019 08:15:00 AM,354,0.6,28,28,Chicago Carriage Cab Corp
3720145,10/18/2019 08:15:00 AM,529,0.95,32,8,Flash Cab
3720146,10/18/2019 08:15:00 AM,255,0.6,28,32,Chicago Carriage Cab Corp
3720147,10/18/2019 08:15:00 AM,355,1.2,32,8,City Service
3720148,10/18/2019 08:15:00 AM,573,1.42,8,28,Sun Taxi
3720149,10/18/2019 08:15:00 AM,2400,0.7,56,32,Taxi Affiliation Services
3720150,10/18/2019 08:15:00 AM,402,1.4,8,32,City Service
3720151,10/18/2019 08:15:00 AM,360,0.7,28,32,Taxi Affiliation Services
3720152,10/18/2019 08:15:00 AM,532,0.9,28,32,Chicago Independents
3720153,10/18/2019 08:15:00 AM,399,1.2,28,28,Chicago Carriage Cab Corp
3720154,10/18/2019 08:15:00 AM,276,1.21,33,33,Chicago Carriage Cab Corp
3720155,10/18/2019 08:15:00 AM,364,0.69,28,32,Chicago Carriage Cab Corp
3720156,10/18/2019 08:15:00 AM,476,1.74,28,28,City Service
3720157,10/18/2019 08:15:00 AM,255,0.66,8,32,Chicago Independents
3720158,10/18/2019 08:15:00 AM,470,1.9,28,8,Patriot Taxi Dba Peace Taxi Associat
3720159,10/18/2019 08:15:00 AM,336,0.9,32,32,Medallion Leasin
3720160,10/18/2019 08:15:00 AM,278,0.65,77,77,Chicago Carriage Cab Corp
3720161,10/18/2019 08:15:00 AM,335,0.53,28,32,Flash Cab
3720162,10/18/2019 08:15:00 AM,535,1.61,32,8,Sun Taxi
3720163,10/18/2019 08:15:00 AM,360,1.2,32,28,Taxi Affiliation Services
3720164,10/18/2019 08:15:00 AM,391,1.3,7,7,Taxi Affiliation Service Yellow
3720165,10/18/2019 08:15:00 AM,530,1.38,28,32,Chicago Carriage Cab Corp
3720166,10/18/2019 08:15:00 AM,434,1.1,28,32,City Service
3720167,10/18/2019 08:15:00 AM,240,0.7,8,32,Top Cab Affiliation
3720168,10/18/2019 08:15:00 AM,447,0.99,32,28,Flash Cab
3720169,10/18/2019 08:15:00 AM,399,0.97,8,32,Chicago Independents
3720170,10/18/2019 08:15:00 AM,560,1.06,8,8,Flash Cab
3720171,10/18/2019 08:15:00 AM,485,0.84,32,8,Chicago Carriage Cab Corp
3720172,10/18/2019 08:15:00 AM,291,0.65,32,8,Sun Taxi
3720173,10/18/2019 08:15:00 AM,420,1.0,8,8,Medallion Leasin
3720174,10/18/2019 08:15:00 AM,346,0.88,8,8,Chicago Independents
3720175,10/18/2019 08:15:00 AM,2689,10.76,11,32,Flash Cab
3720176,10/18/2019 08:15:00 AM,420,1.6,14,4,Taxi Affiliation Services
3720177,10/18/2019 08:15:00 AM,570,1.48,8,32,Sun Taxi
3720178,10/18/2019 08:15:00 AM,443,0.72,28,32,City Service
3720179,10/18/2019 08:15:00 AM,502,1.2,32,28,Checker Taxi Affiliation
3720180,10/18/2019 08:15:00 AM,529,1.44,8,32,Chicago Carriage Cab Corp
3720181,10/18/2019 08:15:00 AM,360,0.8,28,32,Medallion Leasin
3720182,10/18/2019 08:15:00 AM,334,0.92,8,8,Sun Taxi
3720183,10/18/2019 08:15:00 AM,373,0.87,28,32,Chicago Carriage Cab Corp
3720184,10/18/2019 08:15:00 AM,480,1.48,28,32,Chicago Carriage Cab Corp
3720185,10/18/2019 08:15:00 AM,593,1.12,28,32,Chicago Carriage Cab Corp
3720186,10/18/2019 08:15:00 AM,384,1.01,8,8,Chicago Carriage Cab Corp
3720187,10/18/2019 08:15:00 AM,256,0.7,28,32,City Service
3720188,10/18/2019 08:15:00 AM,300,1.0,8,8,Taxi Affiliation Services
3720189,10/18/2019 08:15:00 AM,2155,10.05,56,28,Chicago Carriage Cab Corp
3720190,10/18/2019 08:15:00 AM,365,0.77,32,32,Taxi Affiliation Service Yellow
3720191,10/18/2019 08:15:00 AM,371,0.9,32,8,Medallion Leasin
3720192,10/18/2019 08:15:00 AM,411,0.72,32,32,Chicago Carriage Cab Corp
3720193,10/18/2019 08:15:00 AM,480,1.2,32,32,Medallion Leasin
3720194,10/18/2019 08:15:00 AM,554,1.21,28,32,Chicago Carriage Cab Corp
3720195,10/18/2019 08:15:00 AM,360,1.0,8,8,Taxi Affiliation Services
3720196,10/18/2019 08:15:00 AM,349,1.0,32,32,City Service
3720197,10/18/2019 08:15:00 AM,231,0.7,8,32,Medallion Leasin
3720198,10/18/2019 08:15:00 AM,218,0.6,28,32,City Service
3720199,10/18/2019 08:15:00 AM,420,1.2,8,32,Choice Taxi Association
3720200,10/18/2019 08:15:00 AM,2760,1.0,76,28,Taxi Affiliation Services
3720201,10/18/2019 08:15:00 AM,360,0.6,32,32,Medallion Leasin
3720202,10/18/2019 08:15:00 AM,414,0.84,28,32,Chicago Carriage Cab Corp
3720203,10/18/2019 08:15:00 AM,432,0.91,8,8,Flash Cab
3720204,10/18/2019 08:15:00 AM,581,1.34,8,32,Patriot Taxi Dba Peace Taxi Associat
3720205,10/18/2019 08:15:00 AM,562,0.83,8,32,Flash Cab
3720206,10/18/2019 08:15:00 AM,513,1.18,28,8,Flash Cab
3720207,10/18/2019 08:15:00 AM,481,1.16,32,8,Flash Cab
3720208,10/18/2019 08:15:00 AM,416,0.86,28,32,Sun Taxi
3720209,10/18/2019 08:15:00 AM,417,0.94,28,32,Chicago Carriage Cab Corp
3720210,10/18/2019 08:15:00 AM,464,1.2,32,32,City Service
3720211,10/18/2019 08:15:00 AM,320,0.65,28,28,Flash Cab
3720212,10/18/2019 08:15:00 AM,445,0.89,77,77,Flash Cab
3720213,10/18/2019 08:15:00 AM,540,1.9,28,8,"Taxicab Insurance Agency, LLC"
3720214,10/18/2019 08:15:00 AM,420,1.7,8,28,Star North Management LLC
3720215,10/18/2019 08:15:00 AM,495,1.4,8,32,Sun Taxi
3720216,10/18/2019 08:15:00 AM,415,0.8,8,32,Chicago Carriage Cab Corp
3720217,10/18/2019 08:15:00 AM,509,0.9,8,32,Medallion Leasin
3720218,10/18/2019 08:15:00 AM,360,1.0,32,32,Top Cab Affiliation
3720219,10/18/2019 08:15:00 AM,240,0.7,32,32,Taxi Affiliation Services
3720220,10/18/2019 08:15:00 AM,599,1.63,77,28,Flash Cab
3720221,10/18/2019 08:15:00 AM,300,0.7,28,32,Nova Taxi Affiliation Llc
3720222,10/18/2019 08:15:00 AM,551,0.8,32,28,Chicago Carriage Cab Corp
