,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3760000,10/21/2019 08:00:00 PM,286,0.95,32,8,Sun Taxi
3760001,10/21/2019 08:00:00 PM,384,1.28,8,32,24 Seven Taxi
3760002,10/21/2019 08:00:00 PM,2520,0.9,76,6,Taxi Affiliation Services
3760003,10/21/2019 08:00:00 PM,360,0.9,32,28,Taxi Affiliation Services
3760004,10/21/2019 08:00:00 PM,247,0.69,8,8,24 Seven Taxi
3760005,10/21/2019 08:00:00 PM,337,1.23,32,28,Sun Taxi
3760006,10/21/2019 08:00:00 PM,300,1.1,8,8,Taxi Affiliation Services
3760007,10/21/2019 08:00:00 PM,360,1.3,8,8,Taxi Affiliation Services
3760008,10/21/2019 08:00:00 PM,360,1.1,32,8,Top Cab Affiliation
3760009,10/21/2019 08:00:00 PM,360,0.8,28,8,3094 - 24059 G.L.B. Cab Co
3760010,10/21/2019 08:00:00 PM,391,1.14,28,32,Nova Taxi Affiliation Llc
3760011,10/21/2019 08:00:00 PM,420,1.2,8,8,Taxi Affiliation Services
3760012,10/21/2019 08:00:00 PM,540,1.0,28,28,"Taxicab Insurance Agency, LLC"
3760013,10/21/2019 08:00:00 PM,420,0.9,8,8,"Taxicab Insurance Agency, LLC"
3760014,10/21/2019 08:00:00 PM,300,1.3,32,24,Top Cab Affiliation
3760015,10/21/2019 08:00:00 PM,480,1.4,8,8,Medallion Leasin
3760016,10/21/2019 08:00:00 PM,301,0.81,32,32,Nova Taxi Affiliation Llc
3760017,10/21/2019 08:00:00 PM,420,1.7,8,7,Blue Ribbon Taxi Association Inc.
3760018,10/21/2019 08:00:00 PM,554,1.73,77,1,Flash Cab
3760019,10/21/2019 08:00:00 PM,396,1.68,32,28,Sun Taxi
3760020,10/21/2019 08:00:00 PM,454,1.5,32,32,City Service
3760021,10/21/2019 08:00:00 PM,540,1.9,32,33,Choice Taxi Association
3760022,10/21/2019 08:00:00 PM,546,1.84,32,8,Checker Taxi Affiliation
3760023,10/21/2019 08:00:00 PM,350,1.17,8,8,Patriot Taxi Dba Peace Taxi Associat
3760024,10/21/2019 08:00:00 PM,360,1.6,33,32,Taxi Affiliation Services
3760025,10/21/2019 08:00:00 PM,480,1.4,8,28,Taxi Affiliation Services
3760026,10/21/2019 08:00:00 PM,202,0.7,8,32,City Service
3760027,10/21/2019 08:00:00 PM,540,1.5,32,8,Choice Taxi Association
3760028,10/21/2019 08:00:00 PM,480,1.7,32,28,Taxi Affiliation Services
3760029,10/21/2019 08:00:00 PM,383,1.03,33,34,Flash Cab
3760030,10/21/2019 08:00:00 PM,423,1.03,28,32,Sun Taxi
