,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3770000,10/22/2019 03:00:00 PM,300,0.9,32,32,Medallion Leasin
3770001,10/22/2019 03:00:00 PM,491,1.32,32,8,Chicago Independents
3770002,10/22/2019 03:00:00 PM,325,1.1,32,28,Chicago Taxicab
3770003,10/22/2019 03:00:00 PM,452,1.23,8,8,Sun Taxi
3770004,10/22/2019 03:00:00 PM,420,0.9,28,32,Taxi Affiliation Services
3770005,10/22/2019 03:00:00 PM,432,0.9,8,28,Chicago Carriage Cab Corp
3770006,10/22/2019 03:00:00 PM,334,0.9,32,32,City Service
3770007,10/22/2019 03:00:00 PM,342,1.0,8,32,Chicago Carriage Cab Corp
3770008,10/22/2019 03:00:00 PM,235,0.74,32,8,Chicago Carriage Cab Corp
3770009,10/22/2019 03:00:00 PM,2700,0.6,8,21,Taxi Affiliation Services
3770010,10/22/2019 03:00:00 PM,360,0.6,8,8,Taxi Affiliation Services
3770011,10/22/2019 03:00:00 PM,240,1.0,32,33,Medallion Leasin
3770012,10/22/2019 03:00:00 PM,596,1.33,32,28,City Service
3770013,10/22/2019 03:00:00 PM,240,0.6,32,8,KOAM Taxi Association
3770014,10/22/2019 03:00:00 PM,2700,1.0,32,76,Taxi Affiliation Services
3770015,10/22/2019 03:00:00 PM,540,1.7,8,7,KOAM Taxi Association
3770016,10/22/2019 03:00:00 PM,480,1.3,32,8,Choice Taxi Association
3770017,10/22/2019 03:00:00 PM,529,1.83,9,10,Sun Taxi
3770018,10/22/2019 03:00:00 PM,477,1.46,8,32,Flash Cab
3770019,10/22/2019 03:00:00 PM,311,0.54,3,3,Flash Cab
3770020,10/22/2019 03:00:00 PM,300,0.7,32,32,Chicago Medallion Management
3770021,10/22/2019 03:00:00 PM,197,0.66,8,8,Nova Taxi Affiliation Llc
3770022,10/22/2019 03:00:00 PM,480,1.3,32,8,Star North Management LLC
3770023,10/22/2019 03:00:00 PM,359,0.95,32,32,Flash Cab
3770024,10/22/2019 03:00:00 PM,480,0.9,32,32,Taxi Affiliation Services
3770025,10/22/2019 03:00:00 PM,346,1.0,6,6,Chicago Carriage Cab Corp
3770026,10/22/2019 03:00:00 PM,480,1.5,8,32,Medallion Leasin
3770027,10/22/2019 03:00:00 PM,281,1.04,32,32,Chicago Carriage Cab Corp
3770028,10/22/2019 03:00:00 PM,327,0.74,28,32,Chicago Carriage Cab Corp
3770029,10/22/2019 03:00:00 PM,540,1.4,28,28,Medallion Leasin
3770030,10/22/2019 03:00:00 PM,448,1.19,8,8,Chicago Carriage Cab Corp
3770031,10/22/2019 03:00:00 PM,383,0.62,8,32,Flash Cab
3770032,10/22/2019 03:00:00 PM,2100,1.0,32,76,Taxi Affiliation Services
3770033,10/22/2019 03:00:00 PM,334,1.24,8,8,Flash Cab
3770034,10/22/2019 03:00:00 PM,335,0.77,32,32,Chicago Carriage Cab Corp
3770035,10/22/2019 03:00:00 PM,544,1.79,1,77,Flash Cab
3770036,10/22/2019 03:00:00 PM,240,0.7,32,32,"Taxicab Insurance Agency, LLC"
3770037,10/22/2019 03:00:00 PM,1860,0.8,76,6,Taxi Affiliation Services
3770038,10/22/2019 03:00:00 PM,443,1.18,28,8,Flash Cab
3770039,10/22/2019 03:00:00 PM,591,1.2,8,8,Chicago Carriage Cab Corp
3770040,10/22/2019 03:00:00 PM,2057,10.67,28,56,Chicago Carriage Cab Corp
3770041,10/22/2019 03:00:00 PM,240,0.6,8,8,Star North Management LLC
3770042,10/22/2019 03:00:00 PM,367,1.21,32,8,Chicago Carriage Cab Corp
3770043,10/22/2019 03:00:00 PM,540,1.6,32,32,Medallion Leasin
3770044,10/22/2019 03:00:00 PM,539,1.91,28,24,Flash Cab
3770045,10/22/2019 03:00:00 PM,360,1.0,32,32,Taxi Affiliation Services
3770046,10/22/2019 03:00:00 PM,360,1.7,32,8,3623 - 72222 Arrington Enterprises
3770047,10/22/2019 03:00:00 PM,389,0.89,8,32,Chicago Carriage Cab Corp
3770048,10/22/2019 03:00:00 PM,382,0.94,8,8,Chicago Carriage Cab Corp
3770049,10/22/2019 03:00:00 PM,480,0.7,32,32,Taxi Affiliation Services
3770050,10/22/2019 03:00:00 PM,444,1.42,32,28,Flash Cab
3770051,10/22/2019 03:00:00 PM,267,0.6,28,32,City Service
3770052,10/22/2019 03:00:00 PM,492,1.85,32,8,Chicago Carriage Cab Corp
3770053,10/22/2019 03:00:00 PM,540,1.3,28,8,Taxi Affiliation Services
3770054,10/22/2019 03:00:00 PM,300,1.1,41,41,Taxi Affiliation Services
3770055,10/22/2019 03:00:00 PM,420,1.0,32,28,6742 - 83735 Tasha ride inc
3770056,10/22/2019 03:00:00 PM,480,1.4,32,8,Taxi Affiliation Services
3770057,10/22/2019 03:00:00 PM,562,1.32,32,32,Chicago Carriage Cab Corp
3770058,10/22/2019 03:00:00 PM,287,0.62,32,32,Nova Taxi Affiliation Llc
3770059,10/22/2019 03:00:00 PM,300,0.8,8,32,Taxi Affiliation Services
3770060,10/22/2019 03:00:00 PM,405,1.21,32,8,Flash Cab
3770061,10/22/2019 03:00:00 PM,274,0.68,32,28,Chicago Carriage Cab Corp
3770062,10/22/2019 03:00:00 PM,379,0.93,32,28,Taxi Affiliation Service Yellow
3770063,10/22/2019 03:00:00 PM,276,0.79,8,32,Chicago Carriage Cab Corp
3770064,10/22/2019 03:00:00 PM,259,0.88,32,33,Sun Taxi
3770065,10/22/2019 03:00:00 PM,480,0.7,28,32,Taxi Affiliation Services
3770066,10/22/2019 03:00:00 PM,480,1.5,32,8,Chicago Independents
3770067,10/22/2019 03:00:00 PM,259,0.7,32,28,Nova Taxi Affiliation Llc
3770068,10/22/2019 03:00:00 PM,360,0.9,8,8,Taxi Affiliation Services
3770069,10/22/2019 03:00:00 PM,343,0.7,28,32,Medallion Leasin
3770070,10/22/2019 03:00:00 PM,299,0.9,6,6,Flash Cab
3770071,10/22/2019 03:00:00 PM,556,1.62,32,24,Flash Cab
3770072,10/22/2019 03:00:00 PM,480,1.2,8,32,Chicago Medallion Management
3770073,10/22/2019 03:00:00 PM,300,0.7,8,28,Taxi Affiliation Services
3770074,10/22/2019 03:00:00 PM,359,0.85,32,28,Sun Taxi
3770075,10/22/2019 03:00:00 PM,463,1.0,8,32,Medallion Leasin
3770076,10/22/2019 03:00:00 PM,379,0.9,32,8,City Service
3770077,10/22/2019 03:00:00 PM,408,1.01,32,8,City Service
3770078,10/22/2019 03:00:00 PM,462,1.1,8,8,Medallion Leasin
3770079,10/22/2019 03:00:00 PM,256,0.83,32,32,Sun Taxi
3770080,10/22/2019 03:00:00 PM,486,1.25,8,8,Flash Cab
3770081,10/22/2019 03:00:00 PM,360,0.8,8,8,Choice Taxi Association
3770082,10/22/2019 03:00:00 PM,361,0.96,32,8,Sun Taxi
3770083,10/22/2019 03:00:00 PM,381,0.8,32,28,Taxi Affiliation Service Yellow
3770084,10/22/2019 03:00:00 PM,420,1.0,32,32,"Taxicab Insurance Agency, LLC"
3770085,10/22/2019 03:00:00 PM,480,0.9,32,32,KOAM Taxi Association
3770086,10/22/2019 03:00:00 PM,364,1.0,6,6,Flash Cab
3770087,10/22/2019 03:00:00 PM,515,1.58,32,8,Chicago Carriage Cab Corp
3770088,10/22/2019 03:00:00 PM,402,0.91,28,32,Flash Cab
3770089,10/22/2019 03:00:00 PM,420,1.9,8,8,Taxi Affiliation Services
3770090,10/22/2019 03:00:00 PM,420,0.7,32,8,"Taxicab Insurance Agency, LLC"
3770091,10/22/2019 03:00:00 PM,360,0.9,32,32,Taxi Affiliation Services
3770092,10/22/2019 03:00:00 PM,420,1.1,32,32,Taxi Affiliation Services
3770093,10/22/2019 03:00:00 PM,540,1.2,32,32,Chicago Independents
3770094,10/22/2019 03:00:00 PM,418,1.08,32,32,Chicago Carriage Cab Corp
3770095,10/22/2019 03:00:00 PM,365,0.95,32,8,Flash Cab
3770096,10/22/2019 03:00:00 PM,520,1.36,32,28,Patriot Taxi Dba Peace Taxi Associat
3770097,10/22/2019 03:00:00 PM,480,1.3,32,28,Taxi Affiliation Services
3770098,10/22/2019 03:00:00 PM,430,0.7,8,32,Medallion Leasin
3770099,10/22/2019 03:00:00 PM,303,0.88,32,8,Sun Taxi
3770100,10/22/2019 03:00:00 PM,235,0.69,32,32,Sun Taxi
3770101,10/22/2019 03:00:00 PM,240,0.7,32,28,Medallion Leasin
3770102,10/22/2019 03:00:00 PM,361,0.81,32,32,Sun Taxi
3770103,10/22/2019 03:15:00 PM,377,1.42,2,2,Flash Cab
3770104,10/22/2019 03:15:00 PM,309,0.93,33,33,Flash Cab
3770105,10/22/2019 03:15:00 PM,480,1.3,32,8,Taxi Affiliation Services
3770106,10/22/2019 03:15:00 PM,240,0.7,8,32,"Taxicab Insurance Agency, LLC"
3770107,10/22/2019 03:15:00 PM,360,0.9,32,28,Star North Management LLC
3770108,10/22/2019 03:15:00 PM,300,0.7,8,32,Star North Management LLC
3770109,10/22/2019 03:15:00 PM,345,1.26,32,8,Sun Taxi
3770110,10/22/2019 03:15:00 PM,554,1.11,8,8,Taxi Affiliation Service Yellow
