,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3780000,10/23/2019 11:00:00 AM,240,1.1,3,3,Medallion Leasin
3780001,10/23/2019 11:00:00 AM,2640,0.7,56,8,Taxi Affiliation Services
3780002,10/23/2019 11:00:00 AM,279,0.8,41,41,Chicago Independents
3780003,10/23/2019 11:00:00 AM,2218,10.6,42,8,City Service
3780004,10/23/2019 11:00:00 AM,319,0.98,32,32,Flash Cab
3780005,10/23/2019 11:00:00 AM,332,0.52,8,32,Nova Taxi Affiliation Llc
3780006,10/23/2019 11:00:00 AM,3795,1.71,32,32,City Service
3780007,10/23/2019 11:00:00 AM,324,0.84,28,28,Flash Cab
3780008,10/23/2019 11:00:00 AM,412,1.23,32,32,Chicago Carriage Cab Corp
3780009,10/23/2019 11:00:00 AM,360,0.6,32,28,Taxi Affiliation Services
3780010,10/23/2019 11:00:00 AM,2100,1.7,8,32,Chicago Medallion Management
3780011,10/23/2019 11:00:00 AM,300,0.7,8,8,Taxi Affiliation Services
3780012,10/23/2019 11:00:00 AM,504,1.03,32,8,Sun Taxi
3780013,10/23/2019 11:00:00 AM,569,1.97,28,28,24 Seven Taxi
3780014,10/23/2019 11:00:00 AM,268,0.96,32,24,Chicago Carriage Cab Corp
3780015,10/23/2019 11:00:00 AM,372,1.2,16,4,Flash Cab
3780016,10/23/2019 11:00:00 AM,367,0.8,8,8,Chicago Carriage Cab Corp
3780017,10/23/2019 11:00:00 AM,436,0.8,32,8,Chicago Independents
3780018,10/23/2019 11:00:00 AM,541,1.07,8,8,Flash Cab
3780019,10/23/2019 11:00:00 AM,503,1.44,8,32,Sun Taxi
3780020,10/23/2019 11:00:00 AM,562,0.71,32,8,Flash Cab
3780021,10/23/2019 11:00:00 AM,420,1.6,32,33,Taxi Affiliation Services
3780022,10/23/2019 11:00:00 AM,1920,1.1,28,8,Star North Management LLC
3780023,10/23/2019 11:00:00 AM,282,0.82,32,8,Flash Cab
3780024,10/23/2019 11:00:00 AM,458,0.84,8,8,Blue Diamond
3780025,10/23/2019 11:00:00 AM,480,0.8,32,32,Medallion Leasin
3780026,10/23/2019 11:00:00 AM,300,0.9,8,8,"Taxicab Insurance Agency, LLC"
3780027,10/23/2019 11:00:00 AM,289,1.27,6,7,Flash Cab
3780028,10/23/2019 11:00:00 AM,300,1.5,11,12,Taxi Affiliation Services
3780029,10/23/2019 11:00:00 AM,497,0.97,32,28,Chicago Carriage Cab Corp
3780030,10/23/2019 11:00:00 AM,480,1.6,8,8,Choice Taxi Association
3780031,10/23/2019 11:00:00 AM,2220,1.3,76,37,Taxi Affiliation Services
3780032,10/23/2019 11:00:00 AM,514,1.15,8,8,City Service
3780033,10/23/2019 11:00:00 AM,540,1.7,38,41,Taxi Affiliation Services
3780034,10/23/2019 11:00:00 AM,249,1.02,27,28,Flash Cab
3780035,10/23/2019 11:00:00 AM,422,0.8,32,8,Medallion Leasin
3780036,10/23/2019 11:00:00 AM,549,1.0,8,8,Chicago Independents
3780037,10/23/2019 11:00:00 AM,340,1.75,3,6,Chicago Carriage Cab Corp
3780038,10/23/2019 11:00:00 AM,417,0.96,32,8,Sun Taxi
3780039,10/23/2019 11:00:00 AM,2100,1.0,8,56,Taxi Affiliation Services
3780040,10/23/2019 11:00:00 AM,477,1.22,8,8,Flash Cab
3780041,10/23/2019 11:00:00 AM,360,0.8,32,8,"Taxicab Insurance Agency, LLC"
3780042,10/23/2019 11:00:00 AM,432,1.06,8,8,Chicago Carriage Cab Corp
3780043,10/23/2019 11:00:00 AM,240,0.6,8,8,Taxi Affiliation Services
3780044,10/23/2019 11:00:00 AM,300,0.6,32,8,Medallion Leasin
3780045,10/23/2019 11:00:00 AM,316,0.9,8,8,City Service
3780046,10/23/2019 11:00:00 AM,276,0.96,8,32,Sun Taxi
3780047,10/23/2019 11:00:00 AM,513,1.09,32,32,Chicago Carriage Cab Corp
3780048,10/23/2019 11:00:00 AM,530,1.82,32,8,Sun Taxi
3780049,10/23/2019 11:00:00 AM,266,0.58,28,28,Flash Cab
3780050,10/23/2019 11:00:00 AM,420,0.9,8,8,Medallion Leasin
3780051,10/23/2019 11:00:00 AM,363,0.98,8,8,Chicago Carriage Cab Corp
3780052,10/23/2019 11:00:00 AM,436,1.0,32,32,24 Seven Taxi
3780053,10/23/2019 11:00:00 AM,480,1.7,28,32,Medallion Leasin
3780054,10/23/2019 11:00:00 AM,437,1.71,33,32,City Service
3780055,10/23/2019 11:00:00 AM,364,1.23,32,8,Chicago Carriage Cab Corp
3780056,10/23/2019 11:00:00 AM,360,0.6,28,28,Star North Management LLC
3780057,10/23/2019 11:00:00 AM,551,0.8,28,8,City Service
3780058,10/23/2019 11:00:00 AM,360,1.3,8,8,Medallion Leasin
3780059,10/23/2019 11:00:00 AM,333,0.91,32,8,Sun Taxi
3780060,10/23/2019 11:00:00 AM,437,0.93,8,8,City Service
3780061,10/23/2019 11:00:00 AM,335,1.04,32,24,Chicago Independents
3780062,10/23/2019 11:00:00 AM,2360,10.01,6,60,Flash Cab
3780063,10/23/2019 11:00:00 AM,2820,1.1,76,32,Blue Ribbon Taxi Association Inc.
3780064,10/23/2019 11:00:00 AM,470,1.09,3,3,City Service
