,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3790000,10/23/2019 09:45:00 PM,300,0.6,28,32,Star North Management LLC
3790001,10/23/2019 09:45:00 PM,360,0.7,8,8,Star North Management LLC
3790002,10/23/2019 10:00:00 PM,416,1.57,32,8,Flash Cab
3790003,10/23/2019 10:00:00 PM,301,0.9,8,32,Chicago Taxicab
3790004,10/23/2019 10:00:00 PM,431,1.37,32,8,Flash Cab
3790005,10/23/2019 10:00:00 PM,420,1.5,28,32,Choice Taxi Association
3790006,10/23/2019 10:00:00 PM,241,0.59,8,8,Flash Cab
3790007,10/23/2019 10:00:00 PM,418,1.55,32,8,Flash Cab
3790008,10/23/2019 10:00:00 PM,300,0.9,8,32,Taxi Affiliation Services
3790009,10/23/2019 10:00:00 PM,240,0.7,28,8,Star North Management LLC
3790010,10/23/2019 10:00:00 PM,360,1.2,8,8,Taxi Affiliation Services
3790011,10/23/2019 10:00:00 PM,308,0.9,8,8,City Service
3790012,10/23/2019 10:00:00 PM,250,1.0,11,11,Sun Taxi
3790013,10/23/2019 10:00:00 PM,240,0.7,32,28,Star North Management LLC
3790014,10/23/2019 10:00:00 PM,300,0.8,8,8,Taxi Affiliation Services
3790015,10/23/2019 10:00:00 PM,496,1.85,33,32,Chicago Carriage Cab Corp
3790016,10/23/2019 10:00:00 PM,480,1.5,28,8,Taxi Affiliation Services
3790017,10/23/2019 10:00:00 PM,198,0.92,8,8,Sun Taxi
3790018,10/23/2019 10:00:00 PM,540,1.7,8,32,Taxi Affiliation Services
3790019,10/23/2019 10:00:00 PM,559,1.44,8,32,Chicago Carriage Cab Corp
3790020,10/23/2019 10:00:00 PM,240,0.6,32,32,Taxi Affiliation Services
3790021,10/23/2019 10:00:00 PM,595,1.87,32,28,Flash Cab
3790022,10/23/2019 10:00:00 PM,1860,1.1,56,77,Taxi Affiliation Services
3790023,10/23/2019 10:00:00 PM,318,0.96,32,8,24 Seven Taxi
3790024,10/23/2019 10:00:00 PM,433,1.14,32,8,Blue Diamond
3790025,10/23/2019 10:00:00 PM,261,0.94,8,8,Sun Taxi
3790026,10/23/2019 10:00:00 PM,507,1.2,8,32,Nova Taxi Affiliation Llc
3790027,10/23/2019 10:00:00 PM,259,0.71,8,8,Sun Taxi
3790028,10/23/2019 10:00:00 PM,360,0.8,8,8,Medallion Leasin
3790029,10/23/2019 10:00:00 PM,482,1.3,32,8,City Service
3790030,10/23/2019 10:00:00 PM,471,1.21,8,8,Flash Cab
3790031,10/23/2019 10:00:00 PM,540,1.8,8,7,Taxi Affiliation Services
3790032,10/23/2019 10:00:00 PM,517,1.4,8,24,Medallion Leasin
3790033,10/23/2019 10:00:00 PM,540,1.6,28,32,Taxi Affiliation Services
3790034,10/23/2019 10:00:00 PM,210,0.53,8,8,Flash Cab
3790035,10/23/2019 10:00:00 PM,240,0.6,8,8,Taxi Affiliation Services
3790036,10/23/2019 10:00:00 PM,407,0.84,8,8,City Service
3790037,10/23/2019 10:00:00 PM,565,1.67,32,32,Flash Cab
3790038,10/23/2019 10:00:00 PM,360,1.3,8,28,Taxi Affiliation Services
3790039,10/23/2019 10:00:00 PM,240,0.77,8,8,Nova Taxi Affiliation Llc
3790040,10/23/2019 10:00:00 PM,2075,10.9,76,12,City Service
3790041,10/23/2019 10:00:00 PM,331,1.21,7,8,Sun Taxi
3790042,10/23/2019 10:00:00 PM,300,0.9,8,8,Top Cab Affiliation
