,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3800000,10/24/2019 04:15:00 PM,540,1.6,28,8,"Taxicab Insurance Agency, LLC"
3800001,10/24/2019 04:15:00 PM,501,1.1,32,8,Medallion Leasin
3800002,10/24/2019 04:15:00 PM,269,0.51,32,8,City Service
3800003,10/24/2019 04:15:00 PM,247,0.58,8,28,Nova Taxi Affiliation Llc
3800004,10/24/2019 04:15:00 PM,561,0.86,32,32,Sun Taxi
3800005,10/24/2019 04:15:00 PM,240,0.7,32,8,Taxi Affiliation Services
3800006,10/24/2019 04:15:00 PM,360,0.9,8,32,Taxi Affiliation Services
3800007,10/24/2019 04:15:00 PM,1928,10.56,56,28,Patriot Taxi Dba Peace Taxi Associat
3800008,10/24/2019 04:15:00 PM,240,1.0,3,3,Taxi Affiliation Services
3800009,10/24/2019 04:15:00 PM,559,1.28,32,8,Chicago Carriage Cab Corp
3800010,10/24/2019 04:15:00 PM,2520,10.8,32,56,Top Cab Affiliation
3800011,10/24/2019 04:15:00 PM,309,0.7,32,28,Taxi Affiliation Service Yellow
3800012,10/24/2019 04:15:00 PM,300,0.6,8,8,"Taxicab Insurance Agency, LLC"
3800013,10/24/2019 04:15:00 PM,420,1.1,6,6,Taxi Affiliation Services
3800014,10/24/2019 04:15:00 PM,525,1.2,32,32,Medallion Leasin
3800015,10/24/2019 04:15:00 PM,279,0.88,8,8,Patriot Taxi Dba Peace Taxi Associat
3800016,10/24/2019 04:15:00 PM,512,1.54,8,24,Sun Taxi
3800017,10/24/2019 04:15:00 PM,300,1.1,32,28,"Taxicab Insurance Agency, LLC"
3800018,10/24/2019 04:15:00 PM,480,1.2,32,28,Medallion Leasin
3800019,10/24/2019 04:15:00 PM,2040,0.8,56,8,Taxi Affiliation Services
3800020,10/24/2019 04:15:00 PM,458,1.02,8,32,24 Seven Taxi
3800021,10/24/2019 04:15:00 PM,311,0.71,8,8,Chicago Carriage Cab Corp
3800022,10/24/2019 04:15:00 PM,300,0.6,28,32,Chicago Medallion Management
3800023,10/24/2019 04:15:00 PM,521,0.91,8,32,Flash Cab
3800024,10/24/2019 04:15:00 PM,360,0.6,32,28,Taxi Affiliation Services
3800025,10/24/2019 04:15:00 PM,300,1.1,8,8,Choice Taxi Association
3800026,10/24/2019 04:15:00 PM,398,1.0,32,8,Medallion Leasin
3800027,10/24/2019 04:15:00 PM,311,1.3,33,32,Chicago Carriage Cab Corp
3800028,10/24/2019 04:15:00 PM,540,1.1,32,28,Taxi Affiliation Services
