,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3810000,10/25/2019 11:15:00 AM,542,1.0,8,8,Flash Cab
3810001,10/25/2019 11:15:00 AM,240,0.8,32,8,Star North Management LLC
3810002,10/25/2019 11:15:00 AM,480,1.4,32,32,Choice Taxi Association
3810003,10/25/2019 11:15:00 AM,540,0.6,28,32,Star North Management LLC
3810004,10/25/2019 11:15:00 AM,360,0.8,28,32,Medallion Leasin
3810005,10/25/2019 11:15:00 AM,464,1.1,8,32,City Service
3810006,10/25/2019 11:15:00 AM,528,1.81,10,10,Flash Cab
3810007,10/25/2019 11:15:00 AM,375,1.13,32,8,Sun Taxi
3810008,10/25/2019 11:15:00 AM,561,1.09,8,32,Taxi Affiliation Service Yellow
3810009,10/25/2019 11:15:00 AM,572,1.2,28,32,Flash Cab
3810010,10/25/2019 11:15:00 AM,383,0.89,8,32,Chicago Carriage Cab Corp
3810011,10/25/2019 11:15:00 AM,370,0.61,32,32,Flash Cab
3810012,10/25/2019 11:15:00 AM,472,1.1,32,32,Medallion Leasin
3810013,10/25/2019 11:15:00 AM,446,1.0,28,8,Taxi Affiliation Service Yellow
3810014,10/25/2019 11:15:00 AM,250,0.86,32,32,Flash Cab
3810015,10/25/2019 11:15:00 AM,420,1.0,8,32,Taxi Affiliation Services
3810016,10/25/2019 11:15:00 AM,491,0.84,32,28,Sun Taxi
3810017,10/25/2019 11:15:00 AM,444,0.8,28,32,City Service
3810018,10/25/2019 11:15:00 AM,496,1.6,32,8,Taxi Affiliation Service Yellow
3810019,10/25/2019 11:15:00 AM,480,0.8,8,8,Choice Taxi Association
3810020,10/25/2019 11:15:00 AM,438,1.06,8,8,Flash Cab
3810021,10/25/2019 11:15:00 AM,360,1.6,32,32,Taxi Affiliation Services
3810022,10/25/2019 11:15:00 AM,207,0.72,28,28,Nova Taxi Affiliation Llc
3810023,10/25/2019 11:15:00 AM,598,0.9,8,32,City Service
3810024,10/25/2019 11:15:00 AM,480,1.5,8,32,"Taxicab Insurance Agency, LLC"
3810025,10/25/2019 11:15:00 AM,505,1.13,32,28,Flash Cab
3810026,10/25/2019 11:15:00 AM,447,0.74,8,32,Chicago Carriage Cab Corp
3810027,10/25/2019 11:15:00 AM,570,1.3,28,8,Sun Taxi
3810028,10/25/2019 11:15:00 AM,492,1.04,32,32,Nova Taxi Affiliation Llc
3810029,10/25/2019 11:15:00 AM,469,1.02,3,3,Flash Cab
3810030,10/25/2019 11:15:00 AM,506,1.42,6,6,Flash Cab
3810031,10/25/2019 11:15:00 AM,489,1.23,32,28,Flash Cab
3810032,10/25/2019 11:15:00 AM,456,1.42,32,32,Sun Taxi
3810033,10/25/2019 11:15:00 AM,446,1.32,32,32,Flash Cab
3810034,10/25/2019 11:15:00 AM,319,0.56,8,32,Sun Taxi
3810035,10/25/2019 11:15:00 AM,328,1.42,33,32,Chicago Carriage Cab Corp
3810036,10/25/2019 11:15:00 AM,420,0.8,32,8,Taxi Affiliation Services
3810037,10/25/2019 11:15:00 AM,485,1.12,32,8,Nova Taxi Affiliation Llc
3810038,10/25/2019 11:15:00 AM,398,1.08,32,8,Nova Taxi Affiliation Llc
3810039,10/25/2019 11:15:00 AM,564,1.7,33,28,Medallion Leasin
3810040,10/25/2019 11:15:00 AM,420,1.7,32,33,Taxi Affiliation Services
3810041,10/25/2019 11:15:00 AM,495,1.71,33,32,Chicago Carriage Cab Corp
3810042,10/25/2019 11:15:00 AM,540,1.2,32,32,Taxi Affiliation Services
3810043,10/25/2019 11:15:00 AM,378,0.7,8,32,Sun Taxi
3810044,10/25/2019 11:15:00 AM,456,0.93,32,32,24 Seven Taxi
3810045,10/25/2019 11:15:00 AM,422,1.59,32,28,Chicago Carriage Cab Corp
3810046,10/25/2019 11:15:00 AM,391,1.05,28,32,City Service
3810047,10/25/2019 11:15:00 AM,300,0.8,32,28,Taxi Affiliation Services
3810048,10/25/2019 11:15:00 AM,378,1.04,32,8,City Service
3810049,10/25/2019 11:15:00 AM,595,1.19,32,32,Sun Taxi
3810050,10/25/2019 11:15:00 AM,466,1.03,8,8,Chicago Carriage Cab Corp
3810051,10/25/2019 11:15:00 AM,583,1.64,32,8,Patriot Taxi Dba Peace Taxi Associat
3810052,10/25/2019 11:15:00 AM,487,1.2,32,28,City Service
3810053,10/25/2019 11:15:00 AM,300,1.4,8,8,Medallion Leasin
3810054,10/25/2019 11:15:00 AM,480,1.8,32,28,Medallion Leasin
3810055,10/25/2019 11:15:00 AM,540,1.0,32,32,Taxi Affiliation Services
3810056,10/25/2019 11:15:00 AM,267,0.72,28,28,Chicago Carriage Cab Corp
3810057,10/25/2019 11:15:00 AM,286,0.54,8,32,City Service
3810058,10/25/2019 11:15:00 AM,330,0.54,28,32,City Service
3810059,10/25/2019 11:15:00 AM,216,0.79,6,6,Flash Cab
3810060,10/25/2019 11:15:00 AM,569,1.2,32,8,City Service
3810061,10/25/2019 11:15:00 AM,540,1.2,8,32,Star North Management LLC
3810062,10/25/2019 11:15:00 AM,240,0.6,33,32,Medallion Leasin
3810063,10/25/2019 11:15:00 AM,378,0.77,32,8,Chicago Carriage Cab Corp
3810064,10/25/2019 11:15:00 AM,300,0.8,8,32,KOAM Taxi Association
3810065,10/25/2019 11:15:00 AM,325,0.59,8,8,Chicago Carriage Cab Corp
3810066,10/25/2019 11:15:00 AM,570,1.54,28,8,Flash Cab
3810067,10/25/2019 11:30:00 AM,420,0.9,32,32,"Taxicab Insurance Agency, LLC"
3810068,10/25/2019 11:30:00 AM,2280,1.0,8,76,Taxi Affiliation Services
3810069,10/25/2019 11:30:00 AM,244,0.6,33,33,City Service
3810070,10/25/2019 11:30:00 AM,497,1.95,32,33,Flash Cab
3810071,10/25/2019 11:30:00 AM,454,0.84,8,8,Sun Taxi
3810072,10/25/2019 11:30:00 AM,240,0.6,32,32,Star North Management LLC
3810073,10/25/2019 11:30:00 AM,290,0.59,32,8,Flash Cab
3810074,10/25/2019 11:30:00 AM,348,1.35,32,32,City Service
3810075,10/25/2019 11:30:00 AM,580,1.51,8,32,Chicago Carriage Cab Corp
3810076,10/25/2019 11:30:00 AM,480,1.5,32,8,Star North Management LLC
3810077,10/25/2019 11:30:00 AM,252,0.54,32,8,Flash Cab
3810078,10/25/2019 11:30:00 AM,300,1.1,7,6,Taxi Affiliation Services
3810079,10/25/2019 11:30:00 AM,383,0.84,32,32,Flash Cab
3810080,10/25/2019 11:30:00 AM,315,0.67,28,28,Chicago Carriage Cab Corp
3810081,10/25/2019 11:30:00 AM,360,0.6,32,32,Taxi Affiliation Services
3810082,10/25/2019 11:30:00 AM,240,0.6,32,28,Star North Management LLC
3810083,10/25/2019 11:30:00 AM,300,0.7,8,32,Medallion Leasin
3810084,10/25/2019 11:30:00 AM,477,1.2,28,8,City Service
3810085,10/25/2019 11:30:00 AM,420,1.1,8,8,Taxi Affiliation Services
3810086,10/25/2019 11:30:00 AM,240,0.7,32,32,Taxi Affiliation Services
3810087,10/25/2019 11:30:00 AM,540,1.3,28,8,Taxi Affiliation Services
3810088,10/25/2019 11:30:00 AM,186,0.59,8,8,Flash Cab
3810089,10/25/2019 11:30:00 AM,479,0.87,32,32,Flash Cab
3810090,10/25/2019 11:30:00 AM,386,0.87,32,32,Flash Cab
3810091,10/25/2019 11:30:00 AM,420,1.7,28,8,Taxi Affiliation Services
3810092,10/25/2019 11:30:00 AM,360,0.7,8,8,Taxi Affiliation Services
3810093,10/25/2019 11:30:00 AM,420,1.0,32,8,Taxi Affiliation Services
3810094,10/25/2019 11:30:00 AM,480,1.3,32,8,Taxi Affiliation Services
3810095,10/25/2019 11:30:00 AM,452,1.22,32,32,Flash Cab
3810096,10/25/2019 11:30:00 AM,300,0.6,32,32,KOAM Taxi Association
3810097,10/25/2019 11:30:00 AM,520,0.85,32,32,Flash Cab
3810098,10/25/2019 11:30:00 AM,360,0.8,32,8,Taxi Affiliation Services
3810099,10/25/2019 11:30:00 AM,324,0.56,8,32,Sun Taxi
3810100,10/25/2019 11:30:00 AM,355,1.19,32,8,Sun Taxi
3810101,10/25/2019 11:30:00 AM,240,1.2,32,28,Star North Management LLC
3810102,10/25/2019 11:30:00 AM,538,1.55,28,28,Flash Cab
3810103,10/25/2019 11:30:00 AM,329,0.94,32,8,Chicago Carriage Cab Corp
3810104,10/25/2019 11:30:00 AM,483,1.02,32,32,Chicago Carriage Cab Corp
3810105,10/25/2019 11:30:00 AM,449,1.11,8,32,Chicago Carriage Cab Corp
3810106,10/25/2019 11:30:00 AM,544,1.2,8,8,City Service
3810107,10/25/2019 11:30:00 AM,360,1.0,28,32,Star North Management LLC
3810108,10/25/2019 11:30:00 AM,480,1.7,32,8,Taxi Affiliation Services
3810109,10/25/2019 11:30:00 AM,240,0.7,32,8,Nova Taxi Affiliation Llc
3810110,10/25/2019 11:30:00 AM,563,1.0,32,32,City Service
3810111,10/25/2019 11:30:00 AM,279,0.55,8,8,Chicago Carriage Cab Corp
3810112,10/25/2019 11:30:00 AM,2160,1.1,76,32,Taxi Affiliation Services
3810113,10/25/2019 11:30:00 AM,459,1.13,32,28,Chicago Carriage Cab Corp
3810114,10/25/2019 11:30:00 AM,360,0.9,32,28,Medallion Leasin
3810115,10/25/2019 11:30:00 AM,300,0.91,8,8,Chicago Carriage Cab Corp
3810116,10/25/2019 11:30:00 AM,480,0.9,8,32,Choice Taxi Association
3810117,10/25/2019 11:30:00 AM,2460,1.1,8,76,Taxi Affiliation Services
3810118,10/25/2019 11:30:00 AM,393,0.61,8,8,Flash Cab
3810119,10/25/2019 11:30:00 AM,443,1.0,28,28,Medallion Leasin
3810120,10/25/2019 11:30:00 AM,503,1.16,32,32,Sun Taxi
