,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3820000,10/25/2019 11:45:00 PM,300,0.7,8,32,Medallion Leasin
3820001,10/25/2019 11:45:00 PM,316,0.71,32,32,City Service
3820002,10/25/2019 11:45:00 PM,185,0.53,8,32,Sun Taxi
3820003,10/25/2019 11:45:00 PM,347,0.75,32,8,Flash Cab
3820004,10/25/2019 11:45:00 PM,367,1.0,32,8,Medallion Leasin
3820005,10/25/2019 11:45:00 PM,453,1.39,32,28,City Service
3820006,10/25/2019 11:45:00 PM,360,0.9,8,8,Choice Taxi Association
3820007,10/25/2019 11:45:00 PM,420,0.9,8,8,Star North Management LLC
3820008,10/25/2019 11:45:00 PM,420,1.0,8,8,Star North Management LLC
3820009,10/25/2019 11:45:00 PM,311,0.78,8,32,Flash Cab
3820010,10/25/2019 11:45:00 PM,540,1.4,8,32,City Service
3820011,10/25/2019 11:45:00 PM,420,1.5,32,8,Taxi Affiliation Services
3820012,10/25/2019 11:45:00 PM,229,0.71,8,32,Flash Cab
3820013,10/25/2019 11:45:00 PM,420,0.9,32,8,Medallion Leasin
3820014,10/25/2019 11:45:00 PM,381,0.76,8,32,Sun Taxi
3820015,10/25/2019 11:45:00 PM,240,0.9,28,28,Star North Management LLC
3820016,10/25/2019 11:45:00 PM,360,0.8,8,8,Taxi Affiliation Services
3820017,10/25/2019 11:45:00 PM,261,0.6,8,8,Medallion Leasin
3820018,10/25/2019 11:45:00 PM,562,1.81,8,8,Flash Cab
3820019,10/25/2019 11:45:00 PM,337,0.83,32,8,Chicago Carriage Cab Corp
3820020,10/25/2019 11:45:00 PM,471,1.4,33,35,Chicago Carriage Cab Corp
3820021,10/25/2019 11:45:00 PM,414,1.53,7,7,Flash Cab
3820022,10/25/2019 11:45:00 PM,243,0.64,28,28,Nova Taxi Affiliation Llc
3820023,10/25/2019 11:45:00 PM,440,1.04,8,8,Flash Cab
3820024,10/25/2019 11:45:00 PM,240,0.7,32,8,"Taxicab Insurance Agency, LLC"
3820025,10/25/2019 11:45:00 PM,305,0.73,8,32,City Service
3820026,10/25/2019 11:45:00 PM,480,1.8,32,32,Taxi Affiliation Services
3820027,10/25/2019 11:45:00 PM,521,1.23,8,8,Flash Cab
3820028,10/25/2019 11:45:00 PM,240,0.6,8,8,Star North Management LLC
3820029,10/25/2019 11:45:00 PM,414,1.18,8,8,Flash Cab
3820030,10/25/2019 11:45:00 PM,549,1.58,8,8,City Service
3820031,10/25/2019 11:45:00 PM,240,0.7,8,8,KOAM Taxi Association
3820032,10/25/2019 11:45:00 PM,360,1.2,7,8,Taxi Affiliation Services
3820033,10/25/2019 11:45:00 PM,546,1.1,8,8,City Service
3820034,10/25/2019 11:45:00 PM,292,0.98,8,8,Flash Cab
3820035,10/25/2019 11:45:00 PM,398,0.8,8,8,Flash Cab
3820036,10/25/2019 11:45:00 PM,240,0.9,32,8,Taxi Affiliation Services
3820037,10/25/2019 11:45:00 PM,420,0.7,8,8,Medallion Leasin
