,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3830000,10/27/2019 12:30:00 AM,480,1.5,8,32,Taxi Affiliation Services
3830001,10/27/2019 12:30:00 AM,246,0.92,8,8,Sun Taxi
3830002,10/27/2019 12:30:00 AM,540,1.5,8,32,Taxi Affiliation Services
3830003,10/27/2019 12:30:00 AM,320,1.03,8,8,Flash Cab
3830004,10/27/2019 12:30:00 AM,360,0.9,8,32,Star North Management LLC
3830005,10/27/2019 12:30:00 AM,332,0.64,8,8,Chicago Carriage Cab Corp
3830006,10/27/2019 12:30:00 AM,360,0.6,8,8,Taxi Affiliation Services
3830007,10/27/2019 12:30:00 AM,480,1.3,8,32,"Taxicab Insurance Agency, LLC"
3830008,10/27/2019 12:30:00 AM,420,1.8,8,7,Medallion Leasin
3830009,10/27/2019 12:30:00 AM,240,0.7,8,8,Star North Management LLC
3830010,10/27/2019 12:30:00 AM,276,0.6,8,8,City Service
3830011,10/27/2019 12:30:00 AM,360,1.0,8,8,Star North Management LLC
3830012,10/27/2019 12:30:00 AM,380,1.5,4,5,Medallion Leasin
3830013,10/27/2019 12:30:00 AM,420,1.1,32,8,Medallion Leasin
3830014,10/27/2019 12:30:00 AM,414,1.14,32,8,Flash Cab
3830015,10/27/2019 12:30:00 AM,240,0.9,8,8,Medallion Leasin
3830016,10/27/2019 12:30:00 AM,318,1.1,8,8,Chicago Carriage Cab Corp
3830017,10/27/2019 12:30:00 AM,360,1.2,32,8,"Taxicab Insurance Agency, LLC"
3830018,10/27/2019 12:30:00 AM,342,0.97,1,77,Flash Cab
3830019,10/27/2019 12:30:00 AM,524,1.98,24,8,Sun Taxi
3830020,10/27/2019 12:30:00 AM,443,1.17,8,8,Chicago Carriage Cab Corp
3830021,10/27/2019 12:30:00 AM,300,0.6,8,8,Star North Management LLC
3830022,10/27/2019 12:30:00 AM,586,1.38,8,8,Flash Cab
3830023,10/27/2019 12:30:00 AM,420,1.3,8,32,Medallion Leasin
3830024,10/27/2019 12:30:00 AM,420,1.1,8,8,Star North Management LLC
3830025,10/27/2019 12:30:00 AM,480,1.1,8,32,Medallion Leasin
3830026,10/27/2019 12:30:00 AM,240,1.1,11,11,Taxi Affiliation Services
3830027,10/27/2019 12:30:00 AM,191,0.7,7,8,City Service
3830028,10/27/2019 12:30:00 AM,540,1.6,8,8,"Taxicab Insurance Agency, LLC"
3830029,10/27/2019 12:30:00 AM,259,0.7,8,8,Sun Taxi
3830030,10/27/2019 12:30:00 AM,320,0.95,8,7,Nova Taxi Affiliation Llc
3830031,10/27/2019 12:30:00 AM,368,1.36,8,32,Flash Cab
3830032,10/27/2019 12:30:00 AM,540,1.9,8,32,Medallion Leasin
3830033,10/27/2019 12:30:00 AM,240,0.7,8,8,Medallion Leasin
3830034,10/27/2019 12:30:00 AM,383,0.63,8,8,Taxi Affiliation Service Yellow
3830035,10/27/2019 12:30:00 AM,437,1.17,8,8,Sun Taxi
3830036,10/27/2019 12:30:00 AM,368,0.93,32,8,Flash Cab
3830037,10/27/2019 12:30:00 AM,420,1.0,8,8,City Service
3830038,10/27/2019 12:30:00 AM,480,0.7,8,8,Choice Taxi Association
3830039,10/27/2019 12:30:00 AM,457,1.42,8,8,Chicago Carriage Cab Corp
3830040,10/27/2019 12:30:00 AM,420,1.1,8,32,Taxi Affiliation Services
3830041,10/27/2019 12:45:00 AM,239,0.75,8,8,Flash Cab
3830042,10/27/2019 12:45:00 AM,443,0.99,28,28,Flash Cab
3830043,10/27/2019 12:45:00 AM,302,0.82,3,3,Flash Cab
3830044,10/27/2019 12:45:00 AM,331,0.91,8,8,Sun Taxi
3830045,10/27/2019 12:45:00 AM,480,1.4,8,28,Chicago Independents
