,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3840000,10/28/2019 10:15:00 AM,508,1.51,28,32,City Service
3840001,10/28/2019 10:15:00 AM,253,0.89,28,32,Flash Cab
3840002,10/28/2019 10:15:00 AM,360,1.8,8,7,Choice Taxi Association
3840003,10/28/2019 10:15:00 AM,480,0.9,28,8,Medallion Leasin
3840004,10/28/2019 10:15:00 AM,220,0.76,2,2,Flash Cab
3840005,10/28/2019 10:15:00 AM,540,1.4,28,32,"Taxicab Insurance Agency, LLC"
3840006,10/28/2019 10:15:00 AM,480,1.2,28,32,"Taxicab Insurance Agency, LLC"
3840007,10/28/2019 10:15:00 AM,420,0.6,28,32,Star North Management LLC
3840008,10/28/2019 10:15:00 AM,540,0.8,8,32,Choice Taxi Association
3840009,10/28/2019 10:15:00 AM,376,1.11,32,28,24 Seven Taxi
3840010,10/28/2019 10:15:00 AM,590,1.34,32,8,Flash Cab
3840011,10/28/2019 10:15:00 AM,453,1.6,32,32,City Service
3840012,10/28/2019 10:15:00 AM,420,1.8,32,33,Taxi Affiliation Services
3840013,10/28/2019 10:15:00 AM,360,1.1,8,32,"Taxicab Insurance Agency, LLC"
3840014,10/28/2019 10:15:00 AM,420,0.9,8,8,Taxi Affiliation Services
3840015,10/28/2019 10:15:00 AM,240,0.6,32,32,Medallion Leasin
3840016,10/28/2019 10:15:00 AM,543,1.29,6,7,Flash Cab
3840017,10/28/2019 10:15:00 AM,326,1.0,32,32,Chicago Taxicab
3840018,10/28/2019 10:15:00 AM,540,1.1,28,32,"Taxicab Insurance Agency, LLC"
3840019,10/28/2019 10:15:00 AM,326,0.68,8,8,City Service
3840020,10/28/2019 10:15:00 AM,420,0.7,28,32,Taxi Affiliation Services
3840021,10/28/2019 10:15:00 AM,257,1.08,32,32,Flash Cab
3840022,10/28/2019 10:15:00 AM,188,0.51,32,32,Sun Taxi
3840023,10/28/2019 10:15:00 AM,420,1.1,8,32,Choice Taxi Association
3840024,10/28/2019 10:15:00 AM,376,0.85,8,32,Chicago Carriage Cab Corp
3840025,10/28/2019 10:15:00 AM,360,1.1,28,28,Taxi Affiliation Services
3840026,10/28/2019 10:15:00 AM,360,1.2,6,6,"Taxicab Insurance Agency, LLC"
3840027,10/28/2019 10:15:00 AM,465,1.44,28,8,Sun Taxi
3840028,10/28/2019 10:15:00 AM,499,1.63,28,28,Flash Cab
3840029,10/28/2019 10:15:00 AM,592,1.84,32,8,Flash Cab
3840030,10/28/2019 10:15:00 AM,240,0.8,32,28,Medallion Leasin
3840031,10/28/2019 10:15:00 AM,489,1.36,32,32,Sun Taxi
3840032,10/28/2019 10:15:00 AM,188,0.53,32,32,Sun Taxi
3840033,10/28/2019 10:15:00 AM,291,0.9,32,32,Medallion Leasin
3840034,10/28/2019 10:15:00 AM,487,1.91,3,3,Flash Cab
3840035,10/28/2019 10:15:00 AM,540,1.1,8,32,Star North Management LLC
3840036,10/28/2019 10:15:00 AM,307,0.72,28,32,City Service
3840037,10/28/2019 10:15:00 AM,432,1.64,32,32,Sun Taxi
3840038,10/28/2019 10:15:00 AM,308,1.32,33,32,Chicago Carriage Cab Corp
3840039,10/28/2019 10:15:00 AM,360,1.1,8,8,Top Cab Affiliation
3840040,10/28/2019 10:15:00 AM,499,1.59,32,32,Sun Taxi
3840041,10/28/2019 10:15:00 AM,3540,0.9,76,24,Taxi Affiliation Services
3840042,10/28/2019 10:15:00 AM,300,0.7,32,28,Medallion Leasin
3840043,10/28/2019 10:15:00 AM,240,1.0,5,3,Taxi Affiliation Services
3840044,10/28/2019 10:15:00 AM,531,1.94,8,32,Chicago Carriage Cab Corp
3840045,10/28/2019 10:15:00 AM,219,0.66,32,32,Chicago Carriage Cab Corp
3840046,10/28/2019 10:15:00 AM,544,1.69,32,33,City Service
3840047,10/28/2019 10:15:00 AM,311,0.82,8,32,City Service
3840048,10/28/2019 10:15:00 AM,467,0.97,28,8,City Service
3840049,10/28/2019 10:15:00 AM,480,1.1,8,32,Taxi Affiliation Services
3840050,10/28/2019 10:15:00 AM,2640,10.4,21,76,Taxi Affiliation Services
3840051,10/28/2019 10:15:00 AM,382,0.92,8,8,Flash Cab
3840052,10/28/2019 10:15:00 AM,240,0.7,32,28,Chicago Medallion Management
3840053,10/28/2019 10:15:00 AM,480,1.6,32,8,"Taxicab Insurance Agency, LLC"
3840054,10/28/2019 10:15:00 AM,300,0.7,8,8,Taxi Affiliation Services
3840055,10/28/2019 10:15:00 AM,511,1.2,8,32,City Service
3840056,10/28/2019 10:15:00 AM,3660,1.1,76,8,Taxi Affiliation Services
3840057,10/28/2019 10:15:00 AM,1835,10.61,8,33,Sun Taxi
3840058,10/28/2019 10:15:00 AM,296,0.71,13,13,Flash Cab
3840059,10/28/2019 10:15:00 AM,207,0.71,32,28,Flash Cab
3840060,10/28/2019 10:15:00 AM,309,1.03,32,28,Chicago Carriage Cab Corp
3840061,10/28/2019 10:15:00 AM,303,0.87,8,32,Sun Taxi
3840062,10/28/2019 10:15:00 AM,521,0.58,8,8,Flash Cab
3840063,10/28/2019 10:15:00 AM,489,1.18,8,8,Flash Cab
3840064,10/28/2019 10:15:00 AM,570,1.27,8,32,Sun Taxi
3840065,10/28/2019 10:15:00 AM,480,1.5,32,8,Taxi Affiliation Services
3840066,10/28/2019 10:15:00 AM,540,1.4,28,32,Star North Management LLC
3840067,10/28/2019 10:15:00 AM,3600,1.1,76,8,Taxi Affiliation Services
3840068,10/28/2019 10:15:00 AM,276,0.77,28,32,Chicago Carriage Cab Corp
3840069,10/28/2019 10:15:00 AM,514,1.6,8,32,Flash Cab
3840070,10/28/2019 10:15:00 AM,420,0.9,8,32,Choice Taxi Association
3840071,10/28/2019 10:15:00 AM,305,0.94,24,24,24 Seven Taxi
3840072,10/28/2019 10:15:00 AM,480,1.8,7,8,Chicago Medallion Management
3840073,10/28/2019 10:15:00 AM,480,1.9,8,7,Star North Management LLC
3840074,10/28/2019 10:15:00 AM,240,0.81,32,28,Nova Taxi Affiliation Llc
3840075,10/28/2019 10:15:00 AM,504,1.33,8,8,Nova Taxi Affiliation Llc
3840076,10/28/2019 10:15:00 AM,504,1.2,28,32,Nova Taxi Affiliation Llc
3840077,10/28/2019 10:15:00 AM,564,1.1,8,32,Medallion Leasin
3840078,10/28/2019 10:15:00 AM,346,1.07,59,59,Flash Cab
3840079,10/28/2019 10:15:00 AM,414,1.4,32,8,City Service
3840080,10/28/2019 10:15:00 AM,383,0.9,8,32,Sun Taxi
3840081,10/28/2019 10:15:00 AM,1838,10.1,56,28,City Service
3840082,10/28/2019 10:15:00 AM,411,1.49,33,32,Chicago Carriage Cab Corp
3840083,10/28/2019 10:15:00 AM,551,1.18,7,8,Chicago Carriage Cab Corp
3840084,10/28/2019 10:15:00 AM,480,0.7,8,32,Top Cab Affiliation
3840085,10/28/2019 10:15:00 AM,236,0.7,8,8,Chicago Taxicab
3840086,10/28/2019 10:15:00 AM,599,1.19,32,32,Chicago Carriage Cab Corp
3840087,10/28/2019 10:15:00 AM,525,1.28,8,32,Sun Taxi
3840088,10/28/2019 10:15:00 AM,349,0.86,77,77,Chicago Independents
3840089,10/28/2019 10:15:00 AM,300,0.6,8,8,Taxi Affiliation Services
3840090,10/28/2019 10:15:00 AM,393,1.63,32,33,Chicago Carriage Cab Corp
3840091,10/28/2019 10:15:00 AM,246,0.71,32,8,Chicago Carriage Cab Corp
3840092,10/28/2019 10:15:00 AM,570,1.54,32,8,Sun Taxi
3840093,10/28/2019 10:15:00 AM,440,1.37,8,8,Chicago Carriage Cab Corp
3840094,10/28/2019 10:15:00 AM,303,0.98,32,32,Chicago Carriage Cab Corp
3840095,10/28/2019 10:15:00 AM,540,1.0,28,28,"Taxicab Insurance Agency, LLC"
3840096,10/28/2019 10:15:00 AM,240,0.6,8,8,Taxi Affiliation Services
3840097,10/28/2019 10:15:00 AM,501,1.73,6,3,Flash Cab
3840098,10/28/2019 10:15:00 AM,520,1.13,28,32,Chicago Carriage Cab Corp
3840099,10/28/2019 10:15:00 AM,420,0.8,32,32,Taxi Affiliation Services
3840100,10/28/2019 10:15:00 AM,300,0.9,33,32,Taxi Affiliation Services
3840101,10/28/2019 10:15:00 AM,480,0.8,8,8,Medallion Leasin
3840102,10/28/2019 10:15:00 AM,529,1.7,8,28,Setare Inc
3840103,10/28/2019 10:15:00 AM,237,0.75,32,28,Chicago Carriage Cab Corp
3840104,10/28/2019 10:15:00 AM,302,0.87,3,77,Flash Cab
3840105,10/28/2019 10:15:00 AM,3660,1.0,76,8,Taxi Affiliation Services
3840106,10/28/2019 10:15:00 AM,181,0.63,32,28,Chicago Carriage Cab Corp
3840107,10/28/2019 10:15:00 AM,240,0.6,41,41,Taxi Affiliation Services
3840108,10/28/2019 10:15:00 AM,449,0.79,8,8,Sun Taxi
3840109,10/28/2019 10:15:00 AM,306,1.15,32,33,Flash Cab
3840110,10/28/2019 10:15:00 AM,432,1.05,8,8,Flash Cab
3840111,10/28/2019 10:15:00 AM,555,1.2,32,8,Medallion Leasin
3840112,10/28/2019 10:15:00 AM,327,0.88,32,32,Chicago Carriage Cab Corp
3840113,10/28/2019 10:15:00 AM,356,1.5,32,33,City Service
3840114,10/28/2019 10:15:00 AM,420,0.7,32,32,Taxi Affiliation Services
3840115,10/28/2019 10:15:00 AM,517,1.71,28,28,Flash Cab
3840116,10/28/2019 10:15:00 AM,240,0.9,32,8,Medallion Leasin
3840117,10/28/2019 10:15:00 AM,387,0.8,8,8,City Service
3840118,10/28/2019 10:15:00 AM,420,1.3,8,32,Taxi Affiliation Services
3840119,10/28/2019 10:15:00 AM,421,0.7,28,32,City Service
3840120,10/28/2019 10:15:00 AM,240,1.1,8,8,Star North Management LLC
3840121,10/28/2019 10:15:00 AM,417,0.75,32,32,Chicago Carriage Cab Corp
3840122,10/28/2019 10:15:00 AM,235,0.85,8,32,Sun Taxi
3840123,10/28/2019 10:15:00 AM,240,0.9,8,8,Medallion Leasin
3840124,10/28/2019 10:15:00 AM,357,1.3,32,8,Sun Taxi
3840125,10/28/2019 10:15:00 AM,200,0.6,8,8,City Service
3840126,10/28/2019 10:15:00 AM,374,0.83,32,28,Chicago Carriage Cab Corp
3840127,10/28/2019 10:15:00 AM,2220,10.2,28,4,Taxi Affiliation Services
3840128,10/28/2019 10:15:00 AM,360,0.7,28,32,Taxi Affiliation Services
3840129,10/28/2019 10:15:00 AM,470,1.1,32,32,City Service
3840130,10/28/2019 10:15:00 AM,318,1.1,8,32,Taxi Affiliation Service Yellow
3840131,10/28/2019 10:15:00 AM,220,1.82,28,28,Sun Taxi
3840132,10/28/2019 10:15:00 AM,3641,0.55,56,56,Chicago Carriage Cab Corp
3840133,10/28/2019 10:15:00 AM,360,0.82,28,32,Nova Taxi Affiliation Llc
3840134,10/28/2019 10:15:00 AM,324,0.86,32,8,Flash Cab
3840135,10/28/2019 10:15:00 AM,480,0.7,32,8,Taxi Affiliation Services
3840136,10/28/2019 10:15:00 AM,480,1.1,32,8,Taxi Affiliation Services
3840137,10/28/2019 10:15:00 AM,371,0.78,8,32,Chicago Carriage Cab Corp
3840138,10/28/2019 10:15:00 AM,300,0.8,8,32,Choice Taxi Association
3840139,10/28/2019 10:15:00 AM,279,0.93,32,28,Chicago Carriage Cab Corp
3840140,10/28/2019 10:15:00 AM,540,1.1,28,32,Taxi Affiliation Services
3840141,10/28/2019 10:15:00 AM,489,1.78,28,24,Flash Cab
3840142,10/28/2019 10:15:00 AM,551,1.23,8,8,Nova Taxi Affiliation Llc
3840143,10/28/2019 10:15:00 AM,456,1.14,8,32,Flash Cab
3840144,10/28/2019 10:15:00 AM,300,1.3,8,32,Star North Management LLC
3840145,10/28/2019 10:15:00 AM,420,1.2,8,8,"Taxicab Insurance Agency, LLC"
3840146,10/28/2019 10:15:00 AM,480,1.1,28,32,Taxi Affiliation Services
3840147,10/28/2019 10:15:00 AM,438,1.12,8,8,Chicago Carriage Cab Corp
3840148,10/28/2019 10:15:00 AM,1980,0.9,56,8,Taxi Affiliation Services
3840149,10/28/2019 10:15:00 AM,240,0.6,28,28,Taxi Affiliation Services
3840150,10/28/2019 10:15:00 AM,219,0.92,32,28,24 Seven Taxi
3840151,10/28/2019 10:15:00 AM,420,0.6,28,32,Top Cab Affiliation
3840152,10/28/2019 10:15:00 AM,360,1.2,8,8,Taxi Affiliation Services
3840153,10/28/2019 10:15:00 AM,300,0.6,32,32,Taxi Affiliation Services
3840154,10/28/2019 10:30:00 AM,302,0.8,28,28,Chicago Carriage Cab Corp
3840155,10/28/2019 10:30:00 AM,470,1.39,32,28,Chicago Carriage Cab Corp
3840156,10/28/2019 10:30:00 AM,492,1.5,8,8,Chicago Taxicab
3840157,10/28/2019 10:30:00 AM,420,0.7,28,8,Taxi Affiliation Services
3840158,10/28/2019 10:30:00 AM,1980,0.7,56,32,Taxi Affiliation Services
3840159,10/28/2019 10:30:00 AM,244,0.9,8,8,Sun Taxi
3840160,10/28/2019 10:30:00 AM,480,1.4,28,28,Star North Management LLC
3840161,10/28/2019 10:30:00 AM,420,1.0,8,8,"Taxicab Insurance Agency, LLC"
3840162,10/28/2019 10:30:00 AM,412,1.02,32,8,Patriot Taxi Dba Peace Taxi Associat
3840163,10/28/2019 10:30:00 AM,240,0.7,28,32,Star North Management LLC
3840164,10/28/2019 10:30:00 AM,349,0.7,32,32,Chicago Independents
3840165,10/28/2019 10:30:00 AM,480,1.4,33,32,"Taxicab Insurance Agency, LLC"
3840166,10/28/2019 10:30:00 AM,300,1.0,32,32,Taxi Affiliation Services
3840167,10/28/2019 10:30:00 AM,582,1.29,32,8,Chicago Carriage Cab Corp
3840168,10/28/2019 10:30:00 AM,248,0.56,8,8,Flash Cab
3840169,10/28/2019 10:30:00 AM,344,0.75,8,32,Sun Taxi
3840170,10/28/2019 10:30:00 AM,480,1.5,8,28,Taxi Affiliation Services
3840171,10/28/2019 10:30:00 AM,196,0.69,66,66,Flash Cab
3840172,10/28/2019 10:30:00 AM,540,1.1,28,32,Taxi Affiliation Services
3840173,10/28/2019 10:30:00 AM,367,1.14,32,28,Flash Cab
3840174,10/28/2019 10:30:00 AM,486,1.43,8,32,Chicago Carriage Cab Corp
3840175,10/28/2019 10:30:00 AM,383,0.52,8,8,Flash Cab
3840176,10/28/2019 10:30:00 AM,385,1.95,56,56,Chicago Carriage Cab Corp
3840177,10/28/2019 10:30:00 AM,2040,0.7,13,32,Taxi Affiliation Services
3840178,10/28/2019 10:30:00 AM,480,1.2,32,32,Taxi Affiliation Services
3840179,10/28/2019 10:30:00 AM,301,0.81,28,8,Sun Taxi
3840180,10/28/2019 10:30:00 AM,540,1.8,8,32,Chicago Medallion Management
3840181,10/28/2019 10:30:00 AM,540,1.0,8,32,Taxi Affiliation Services
3840182,10/28/2019 10:30:00 AM,3480,1.0,76,8,Blue Ribbon Taxi Association Inc.
3840183,10/28/2019 10:30:00 AM,300,0.7,8,8,Taxi Affiliation Services
3840184,10/28/2019 10:30:00 AM,470,1.3,32,8,City Service
3840185,10/28/2019 10:30:00 AM,480,0.7,8,32,"Taxicab Insurance Agency, LLC"
3840186,10/28/2019 10:30:00 AM,532,1.5,8,32,City Service
3840187,10/28/2019 10:30:00 AM,418,1.21,28,28,Flash Cab
3840188,10/28/2019 10:30:00 AM,420,1.9,32,33,Choice Taxi Association
3840189,10/28/2019 10:30:00 AM,528,1.83,28,8,Sun Taxi
3840190,10/28/2019 10:30:00 AM,408,1.09,32,32,Chicago Carriage Cab Corp
3840191,10/28/2019 10:30:00 AM,300,0.8,8,32,Taxi Affiliation Services
3840192,10/28/2019 10:30:00 AM,579,1.66,8,32,Chicago Carriage Cab Corp
3840193,10/28/2019 10:30:00 AM,594,0.73,8,8,Flash Cab
3840194,10/28/2019 10:30:00 AM,596,1.7,8,8,Sun Taxi
3840195,10/28/2019 10:30:00 AM,359,0.52,28,32,Chicago Carriage Cab Corp
3840196,10/28/2019 10:30:00 AM,540,1.1,8,32,Top Cab Affiliation
3840197,10/28/2019 10:30:00 AM,480,0.9,8,8,Taxi Affiliation Services
3840198,10/28/2019 10:30:00 AM,420,0.8,8,32,Taxi Affiliation Services
3840199,10/28/2019 10:30:00 AM,480,1.3,8,8,Choice Taxi Association
3840200,10/28/2019 10:30:00 AM,361,0.94,32,8,City Service
3840201,10/28/2019 10:30:00 AM,587,1.0,28,32,Medallion Leasin
3840202,10/28/2019 10:30:00 AM,480,1.0,32,8,Medallion Leasin
3840203,10/28/2019 10:30:00 AM,300,0.8,32,32,Taxi Affiliation Services
3840204,10/28/2019 10:30:00 AM,409,1.17,8,8,Chicago Carriage Cab Corp
3840205,10/28/2019 10:30:00 AM,392,0.82,32,8,Flash Cab
3840206,10/28/2019 10:30:00 AM,3480,1.0,76,8,Blue Ribbon Taxi Association Inc.
3840207,10/28/2019 10:30:00 AM,420,0.7,32,32,Top Cab Affiliation
3840208,10/28/2019 10:30:00 AM,240,0.8,8,8,Star North Management LLC
3840209,10/28/2019 10:30:00 AM,311,0.56,32,32,Chicago Carriage Cab Corp
3840210,10/28/2019 10:30:00 AM,361,1.13,32,32,Chicago Carriage Cab Corp
3840211,10/28/2019 10:30:00 AM,370,0.75,32,32,24 Seven Taxi
3840212,10/28/2019 10:30:00 AM,300,0.6,8,8,Star North Management LLC
3840213,10/28/2019 10:30:00 AM,420,0.7,8,32,"Taxicab Insurance Agency, LLC"
3840214,10/28/2019 10:30:00 AM,533,1.3,8,32,Chicago Carriage Cab Corp
3840215,10/28/2019 10:30:00 AM,367,1.1,28,32,Chicago Taxicab
3840216,10/28/2019 10:30:00 AM,540,0.8,8,32,Taxi Affiliation Services
3840217,10/28/2019 10:30:00 AM,1980,1.1,32,76,Taxi Affiliation Services
3840218,10/28/2019 10:30:00 AM,232,0.99,32,41,Chicago Carriage Cab Corp
3840219,10/28/2019 10:30:00 AM,3300,1.0,76,8,Taxi Affiliation Services
3840220,10/28/2019 10:30:00 AM,547,1.65,28,8,Chicago Carriage Cab Corp
3840221,10/28/2019 10:30:00 AM,508,1.28,32,8,Chicago Carriage Cab Corp
3840222,10/28/2019 10:30:00 AM,540,1.8,32,33,Taxi Affiliation Services
3840223,10/28/2019 10:30:00 AM,420,1.3,32,32,KOAM Taxi Association
3840224,10/28/2019 10:30:00 AM,299,0.8,32,32,Chicago Carriage Cab Corp
3840225,10/28/2019 10:30:00 AM,360,0.89,8,8,Nova Taxi Affiliation Llc
3840226,10/28/2019 10:30:00 AM,408,0.9,32,32,Metro Jet Taxi A
3840227,10/28/2019 10:30:00 AM,420,1.4,32,8,Star North Management LLC
3840228,10/28/2019 10:30:00 AM,356,0.89,28,32,Chicago Carriage Cab Corp
3840229,10/28/2019 10:30:00 AM,335,1.04,32,8,Nova Taxi Affiliation Llc
3840230,10/28/2019 10:30:00 AM,327,0.88,8,32,Nova Taxi Affiliation Llc
3840231,10/28/2019 10:30:00 AM,594,1.1,28,32,Leonard Cab Co
3840232,10/28/2019 10:30:00 AM,527,1.47,32,8,Chicago Carriage Cab Corp
3840233,10/28/2019 10:30:00 AM,249,0.92,8,8,Chicago Carriage Cab Corp
3840234,10/28/2019 10:30:00 AM,389,1.04,32,8,Sun Taxi
3840235,10/28/2019 10:30:00 AM,360,1.3,3,6,Taxi Affiliation Services
3840236,10/28/2019 10:30:00 AM,480,1.8,28,8,Taxi Affiliation Services
3840237,10/28/2019 10:30:00 AM,305,0.68,32,32,City Service
3840238,10/28/2019 10:30:00 AM,382,1.09,28,32,Chicago Carriage Cab Corp
3840239,10/28/2019 10:30:00 AM,240,1.0,8,8,Taxi Affiliation Services
3840240,10/28/2019 10:30:00 AM,540,1.2,32,8,"Taxicab Insurance Agency, LLC"
3840241,10/28/2019 10:30:00 AM,240,0.9,7,8,Taxi Affiliation Services
3840242,10/28/2019 10:30:00 AM,360,0.7,8,8,Medallion Leasin
3840243,10/28/2019 10:30:00 AM,333,0.91,8,32,Flash Cab
