,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3860000,10/29/2019 04:45:00 PM,360,0.7,32,32,Medallion Leasin
3860001,10/29/2019 04:45:00 PM,420,0.7,32,32,Taxi Affiliation Services
3860002,10/29/2019 04:45:00 PM,300,0.7,32,28,Taxi Affiliation Services
3860003,10/29/2019 04:45:00 PM,348,0.8,32,32,Chicago Independents
3860004,10/29/2019 04:45:00 PM,331,1.01,3,3,24 Seven Taxi
3860005,10/29/2019 04:45:00 PM,360,0.8,8,8,Taxi Affiliation Services
3860006,10/29/2019 04:45:00 PM,491,1.07,32,28,Flash Cab
3860007,10/29/2019 04:45:00 PM,480,1.4,32,6,Medallion Leasin
3860008,10/29/2019 04:45:00 PM,420,1.4,32,28,Star North Management LLC
3860009,10/29/2019 04:45:00 PM,420,1.0,8,32,Taxi Affiliation Services
3860010,10/29/2019 04:45:00 PM,240,0.8,32,32,Taxi Affiliation Services
3860011,10/29/2019 04:45:00 PM,336,0.97,28,28,Chicago Carriage Cab Corp
3860012,10/29/2019 04:45:00 PM,395,0.99,28,32,Taxi Affiliation Service Yellow
3860013,10/29/2019 04:45:00 PM,420,1.4,28,8,Medallion Leasin
3860014,10/29/2019 04:45:00 PM,540,1.6,8,28,Star North Management LLC
3860015,10/29/2019 04:45:00 PM,300,1.0,77,3,"Taxicab Insurance Agency, LLC"
3860016,10/29/2019 04:45:00 PM,420,0.8,32,28,Taxi Affiliation Services
3860017,10/29/2019 04:45:00 PM,540,0.8,32,32,Star North Management LLC
3860018,10/29/2019 04:45:00 PM,494,1.01,32,28,Flash Cab
3860019,10/29/2019 04:45:00 PM,480,1.0,8,32,Choice Taxi Association
3860020,10/29/2019 04:45:00 PM,555,1.0,32,8,Medallion Leasin
3860021,10/29/2019 04:45:00 PM,467,0.91,32,28,City Service
3860022,10/29/2019 04:45:00 PM,420,0.8,32,32,Taxi Affiliation Services
3860023,10/29/2019 04:45:00 PM,2400,1.0,76,8,Taxi Affiliation Services
3860024,10/29/2019 04:45:00 PM,300,1.0,32,28,Taxi Affiliation Services
3860025,10/29/2019 04:45:00 PM,518,0.9,8,8,Chicago Carriage Cab Corp
3860026,10/29/2019 04:45:00 PM,360,0.6,28,28,KOAM Taxi Association
3860027,10/29/2019 04:45:00 PM,445,0.71,32,8,Flash Cab
3860028,10/29/2019 04:45:00 PM,494,1.44,32,8,Flash Cab
