,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3880000,10/30/2019 09:30:00 PM,516,1.46,32,8,Chicago Carriage Cab Corp
3880001,10/30/2019 09:30:00 PM,360,0.8,32,32,Taxi Affiliation Services
3880002,10/30/2019 09:30:00 PM,540,1.6,32,8,Taxi Affiliation Services
3880003,10/30/2019 09:30:00 PM,380,1.09,32,8,Sun Taxi
3880004,10/30/2019 09:30:00 PM,512,1.63,32,8,City Service
3880005,10/30/2019 09:30:00 PM,1860,0.9,76,6,Taxi Affiliation Services
3880006,10/30/2019 09:30:00 PM,360,0.8,32,8,Taxi Affiliation Services
3880007,10/30/2019 09:30:00 PM,480,1.8,32,33,Top Cab Affiliation
3880008,10/30/2019 09:30:00 PM,226,0.86,8,8,Chicago Carriage Cab Corp
3880009,10/30/2019 09:30:00 PM,413,1.05,32,32,Flash Cab
3880010,10/30/2019 09:30:00 PM,410,0.9,8,8,Chicago Carriage Cab Corp
3880011,10/30/2019 09:30:00 PM,406,0.81,14,16,Flash Cab
3880012,10/30/2019 09:30:00 PM,300,1.0,32,28,Taxi Affiliation Services
3880013,10/30/2019 09:30:00 PM,583,1.8,32,32,Chicago Carriage Cab Corp
3880014,10/30/2019 09:30:00 PM,395,1.2,8,8,Sun Taxi
3880015,10/30/2019 09:30:00 PM,420,1.2,8,32,312 Medallion Management Corp
3880016,10/30/2019 09:30:00 PM,240,0.9,28,24,Taxi Affiliation Services
3880017,10/30/2019 09:30:00 PM,480,0.8,32,32,Choice Taxi Association
3880018,10/30/2019 09:30:00 PM,540,1.4,28,8,Taxi Affiliation Services
3880019,10/30/2019 09:30:00 PM,472,1.9,8,28,City Service
3880020,10/30/2019 09:30:00 PM,502,1.87,8,28,Sun Taxi
3880021,10/30/2019 09:30:00 PM,480,1.1,32,8,Taxi Affiliation Services
3880022,10/30/2019 09:30:00 PM,419,1.03,32,32,Flash Cab
3880023,10/30/2019 09:30:00 PM,378,1.53,32,28,City Service
3880024,10/30/2019 09:30:00 PM,449,1.0,8,28,City Service
3880025,10/30/2019 09:30:00 PM,540,1.4,32,8,Taxi Affiliation Services
3880026,10/30/2019 09:30:00 PM,420,1.1,8,8,"Taxicab Insurance Agency, LLC"
3880027,10/30/2019 09:30:00 PM,536,1.41,32,24,Sun Taxi
3880028,10/30/2019 09:30:00 PM,420,1.3,32,8,Star North Management LLC
3880029,10/30/2019 09:30:00 PM,554,1.86,32,32,Chicago Carriage Cab Corp
3880030,10/30/2019 09:30:00 PM,1860,1.0,76,8,Taxi Affiliation Services
3880031,10/30/2019 09:30:00 PM,480,1.4,8,32,Medallion Leasin
3880032,10/30/2019 09:30:00 PM,518,1.8,5,4,Sun Taxi
3880033,10/30/2019 09:30:00 PM,469,1.17,32,8,Taxi Affiliation Service Yellow
3880034,10/30/2019 09:30:00 PM,490,1.22,32,8,City Service
3880035,10/30/2019 09:30:00 PM,360,1.6,28,28,Taxi Affiliation Services
3880036,10/30/2019 09:30:00 PM,440,1.52,32,32,Nova Taxi Affiliation Llc
3880037,10/30/2019 09:30:00 PM,240,0.9,32,28,Star North Management LLC
3880038,10/30/2019 09:30:00 PM,342,0.6,32,28,Leonard Cab Co
3880039,10/30/2019 09:30:00 PM,276,0.88,28,32,Flash Cab
3880040,10/30/2019 09:30:00 PM,300,0.8,32,8,Taxi Affiliation Services
3880041,10/30/2019 09:30:00 PM,342,1.38,32,8,Chicago Carriage Cab Corp
3880042,10/30/2019 09:30:00 PM,201,0.65,8,32,Nova Taxi Affiliation Llc
3880043,10/30/2019 09:30:00 PM,434,1.12,32,32,City Service
3880044,10/30/2019 09:30:00 PM,412,1.19,32,32,Chicago Carriage Cab Corp
3880045,10/30/2019 09:30:00 PM,300,1.0,28,32,Taxi Affiliation Services
3880046,10/30/2019 09:30:00 PM,2100,1.4,76,28,Blue Ribbon Taxi Association Inc.
3880047,10/30/2019 09:30:00 PM,354,1.19,35,35,Chicago Carriage Cab Corp
