,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3890000,10/31/2019 04:15:00 PM,300,1.0,8,32,Medallion Leasin
3890001,10/31/2019 04:15:00 PM,420,1.3,8,8,Star North Management LLC
3890002,10/31/2019 04:15:00 PM,373,0.61,8,8,Sun Taxi
3890003,10/31/2019 04:15:00 PM,332,0.76,7,8,Nova Taxi Affiliation Llc
3890004,10/31/2019 04:15:00 PM,566,1.6,28,32,Leonard Cab Co
3890005,10/31/2019 04:15:00 PM,360,0.6,28,32,Taxi Affiliation Services
3890006,10/31/2019 04:15:00 PM,395,1.67,32,32,Chicago Carriage Cab Corp
3890007,10/31/2019 04:15:00 PM,480,1.1,32,32,Medallion Leasin
3890008,10/31/2019 04:15:00 PM,592,1.2,28,32,Chicago Carriage Cab Corp
3890009,10/31/2019 04:15:00 PM,300,0.6,28,28,Medallion Leasin
3890010,10/31/2019 04:15:00 PM,351,0.83,33,32,Chicago Carriage Cab Corp
3890011,10/31/2019 04:15:00 PM,360,0.9,32,32,Medallion Leasin
3890012,10/31/2019 04:15:00 PM,409,0.91,32,28,Chicago Carriage Cab Corp
3890013,10/31/2019 04:15:00 PM,559,1.21,32,32,City Service
3890014,10/31/2019 04:15:00 PM,366,0.74,32,8,Flash Cab
3890015,10/31/2019 04:15:00 PM,360,0.6,32,32,Taxi Affiliation Services
3890016,10/31/2019 04:15:00 PM,391,0.73,32,28,Chicago Carriage Cab Corp
3890017,10/31/2019 04:15:00 PM,438,1.1,32,33,Medallion Leasin
3890018,10/31/2019 04:15:00 PM,480,0.9,8,28,Choice Taxi Association
3890019,10/31/2019 04:15:00 PM,540,1.4,32,33,Medallion Leasin
3890020,10/31/2019 04:15:00 PM,240,0.7,8,32,KOAM Taxi Association
3890021,10/31/2019 04:15:00 PM,300,0.6,32,28,Medallion Leasin
3890022,10/31/2019 04:15:00 PM,474,1.14,8,32,Sun Taxi
