,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
380000,02/01/2019 09:00:00 AM,285,0.59,32,32,Chicago Carriage Cab Corp
380001,02/01/2019 09:00:00 AM,254,0.68,8,8,Taxi Affiliation Service Yellow
380002,02/01/2019 09:00:00 AM,353,0.67,8,24,Sun Taxi
380003,02/01/2019 09:00:00 AM,514,0.79,32,32,Sun Taxi
380004,02/01/2019 09:00:00 AM,220,0.55,28,32,Chicago Carriage Cab Corp
380005,02/01/2019 09:00:00 AM,488,0.69,32,32,Chicago Carriage Cab Corp
380006,02/01/2019 09:00:00 AM,188,0.7,3,6,Taxi Affiliation Service Yellow
380007,02/01/2019 09:00:00 AM,586,1.13,28,32,Taxi Affiliation Service Yellow
380008,02/01/2019 09:00:00 AM,1954,0.6,8,8,Flash Cab
380009,02/01/2019 09:00:00 AM,469,1.41,32,8,Chicago Carriage Cab Corp
380010,02/01/2019 09:00:00 AM,587,1.23,28,8,Sun Taxi
380011,02/01/2019 09:00:00 AM,405,0.94,8,32,Sun Taxi
380012,02/01/2019 09:00:00 AM,565,1.13,32,32,Chicago Carriage Cab Corp
380013,02/01/2019 09:00:00 AM,585,1.72,32,8,Nova Taxi Affiliation Llc
380014,02/01/2019 09:00:00 AM,580,1.1,32,32,Taxi Affiliation Service Yellow
380015,02/01/2019 09:00:00 AM,328,0.71,32,8,City Service
380016,02/01/2019 09:00:00 AM,272,0.63,28,32,Nova Taxi Affiliation Llc
380017,02/01/2019 09:00:00 AM,480,1.3,32,8,Medallion Leasin
380018,02/01/2019 09:00:00 AM,462,0.76,32,32,Chicago Carriage Cab Corp
380019,02/01/2019 09:00:00 AM,295,0.77,8,8,Sun Taxi
380020,02/01/2019 09:00:00 AM,425,1.1,32,32,Flash Cab
380021,02/01/2019 09:00:00 AM,435,0.7,8,32,Flash Cab
380022,02/01/2019 09:00:00 AM,476,1.2,8,32,Flash Cab
380023,02/01/2019 09:00:00 AM,481,1.3,8,8,Flash Cab
380024,02/01/2019 09:00:00 AM,578,1.1,33,34,Flash Cab
380025,02/01/2019 09:00:00 AM,491,1.0,32,28,Flash Cab
380026,02/01/2019 09:00:00 AM,588,1.3,32,8,Flash Cab
380027,02/01/2019 09:00:00 AM,368,1.3,15,15,Flash Cab
380028,02/01/2019 09:00:00 AM,260,0.6,28,32,Flash Cab
380029,02/01/2019 09:00:00 AM,441,0.8,32,32,Flash Cab
380030,02/01/2019 09:00:00 AM,479,0.9,8,32,Flash Cab
380031,02/01/2019 09:00:00 AM,327,1.1,8,8,Flash Cab
380032,02/01/2019 09:00:00 AM,341,0.7,32,32,Flash Cab
380033,02/01/2019 09:00:00 AM,449,0.9,32,28,Flash Cab
380034,02/01/2019 09:00:00 AM,377,0.8,28,28,Flash Cab
380035,02/01/2019 09:00:00 AM,441,0.9,8,8,Flash Cab
380036,02/01/2019 09:00:00 AM,346,0.6,32,8,Flash Cab
380037,02/01/2019 09:00:00 AM,423,0.8,32,8,Flash Cab
380038,02/01/2019 09:00:00 AM,567,1.0,8,32,Flash Cab
380039,02/01/2019 09:00:00 AM,416,1.6,6,3,Flash Cab
380040,02/01/2019 09:00:00 AM,325,1.1,7,6,Flash Cab
380041,02/01/2019 09:00:00 AM,360,1.0,32,28,Flash Cab
380042,02/01/2019 09:00:00 AM,183,0.8,8,8,Flash Cab
380043,02/01/2019 09:00:00 AM,306,0.6,32,8,Flash Cab
380044,02/01/2019 09:00:00 AM,416,0.9,28,32,Flash Cab
380045,02/01/2019 09:00:00 AM,568,1.4,32,8,Flash Cab
380046,02/01/2019 09:15:00 AM,480,1.2,8,32,Star North Management LLC
380047,02/01/2019 09:15:00 AM,420,1.0,32,32,Choice Taxi Association
380048,02/01/2019 09:15:00 AM,240,0.6,28,24,Star North Management LLC
380049,02/01/2019 09:15:00 AM,540,1.8,8,32,Top Cab Affiliation
380050,02/01/2019 09:15:00 AM,420,1.4,8,32,Taxi Affiliation Services
380051,02/01/2019 09:15:00 AM,360,0.9,32,32,Taxi Affiliation Services
380052,02/01/2019 09:15:00 AM,480,1.6,28,31,Taxi Affiliation Services
380053,02/01/2019 09:15:00 AM,360,1.0,8,8,Taxi Affiliation Services
380054,02/01/2019 09:15:00 AM,540,1.2,8,8,Taxi Affiliation Services
380055,02/01/2019 09:15:00 AM,360,1.3,8,32,Taxi Affiliation Services
380056,02/01/2019 09:15:00 AM,540,1.1,16,21,Taxi Affiliation Services
380057,02/01/2019 09:15:00 AM,540,1.1,28,8,Taxi Affiliation Services
380058,02/01/2019 09:15:00 AM,360,0.6,32,32,Taxi Affiliation Services
380059,02/01/2019 09:15:00 AM,480,1.2,32,8,KOAM Taxi Association
380060,02/01/2019 09:15:00 AM,540,0.9,28,32,Star North Management LLC
380061,02/01/2019 09:15:00 AM,480,1.2,32,8,Star North Management LLC
380062,02/01/2019 09:15:00 AM,3120,1.1,5,56,Taxi Affiliation Services
380063,02/01/2019 09:15:00 AM,420,1.3,8,32,Taxi Affiliation Services
380064,02/01/2019 09:15:00 AM,3300,1.2,1,56,Taxi Affiliation Services
380065,02/01/2019 09:15:00 AM,360,1.0,8,8,Taxi Affiliation Services
380066,02/01/2019 09:15:00 AM,480,1.0,8,32,Taxi Affiliation Services
380067,02/01/2019 09:15:00 AM,300,0.8,28,28,Chicago Medallion Management
380068,02/01/2019 09:15:00 AM,300,0.7,28,32,Star North Management LLC
380069,02/01/2019 09:15:00 AM,2700,0.8,56,41,Blue Ribbon Taxi Association Inc.
380070,02/01/2019 09:15:00 AM,360,0.8,8,8,Taxi Affiliation Services
380071,02/01/2019 09:15:00 AM,300,1.0,32,8,"Taxicab Insurance Agency, LLC"
380072,02/01/2019 09:15:00 AM,540,1.1,28,8,Star North Management LLC
380073,02/01/2019 09:15:00 AM,360,1.0,8,8,"Taxicab Insurance Agency, LLC"
380074,02/01/2019 09:15:00 AM,420,1.3,28,32,Star North Management LLC
380075,02/01/2019 09:15:00 AM,360,0.9,28,8,Taxi Affiliation Services
380076,02/01/2019 09:15:00 AM,300,0.6,32,28,"Taxicab Insurance Agency, LLC"
380077,02/01/2019 09:15:00 AM,360,0.6,28,8,Taxi Affiliation Services
380078,02/01/2019 09:15:00 AM,480,0.7,28,32,Taxi Affiliation Services
380079,02/01/2019 09:15:00 AM,300,1.5,32,28,"Taxicab Insurance Agency, LLC"
380080,02/01/2019 09:15:00 AM,300,0.6,32,32,Taxi Affiliation Services
380081,02/01/2019 09:15:00 AM,300,0.6,32,28,Star North Management LLC
380082,02/01/2019 09:15:00 AM,300,1.0,32,8,Taxi Affiliation Services
380083,02/01/2019 09:15:00 AM,360,1.3,7,7,Star North Management LLC
380084,02/01/2019 09:15:00 AM,540,1.2,8,32,Taxi Affiliation Services
380085,02/01/2019 09:15:00 AM,480,1.3,32,8,Taxi Affiliation Services
380086,02/01/2019 09:15:00 AM,480,1.6,42,41,Taxi Affiliation Services
380087,02/01/2019 09:15:00 AM,480,0.6,8,32,Star North Management LLC
380088,02/01/2019 09:15:00 AM,360,0.8,8,8,Taxi Affiliation Services
380089,02/01/2019 09:15:00 AM,360,1.1,8,32,Taxi Affiliation Services
380090,02/01/2019 09:15:00 AM,300,0.8,32,32,"Taxicab Insurance Agency, LLC"
380091,02/01/2019 09:15:00 AM,360,0.8,8,8,Taxi Affiliation Services
380092,02/01/2019 09:15:00 AM,420,0.6,32,32,Taxi Affiliation Services
380093,02/01/2019 09:15:00 AM,1860,10.0,3,33,Taxi Affiliation Services
380094,02/01/2019 09:15:00 AM,420,0.9,28,8,Star North Management LLC
380095,02/01/2019 09:15:00 AM,300,0.6,28,32,Star North Management LLC
380096,02/01/2019 09:15:00 AM,540,1.0,32,32,Choice Taxi Association
