,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3900000,11/01/2019 11:30:00 AM,481,1.18,32,8,Sun Taxi
3900001,11/01/2019 11:30:00 AM,592,1.15,8,32,City Service
3900002,11/01/2019 11:30:00 AM,426,0.83,32,32,Chicago Carriage Cab Corp
3900003,11/01/2019 11:30:00 AM,578,1.05,28,32,Chicago Carriage Cab Corp
3900004,11/01/2019 11:30:00 AM,357,0.75,8,8,Sun Taxi
3900005,11/01/2019 11:30:00 AM,240,0.8,32,32,Medallion Leasin
3900006,11/01/2019 11:30:00 AM,273,0.65,4,4,Flash Cab
3900007,11/01/2019 11:30:00 AM,480,1.4,8,28,Taxi Affiliation Services
3900008,11/01/2019 11:30:00 AM,310,0.7,32,8,Chicago Taxicab
3900009,11/01/2019 11:30:00 AM,540,0.7,8,32,"Taxicab Insurance Agency, LLC"
3900010,11/01/2019 11:30:00 AM,431,1.25,32,8,Sun Taxi
3900011,11/01/2019 11:30:00 AM,504,1.85,8,32,Nova Taxi Affiliation Llc
3900012,11/01/2019 11:30:00 AM,300,0.8,28,32,Choice Taxi Association
3900013,11/01/2019 11:30:00 AM,420,1.0,28,8,Taxi Affiliation Services
3900014,11/01/2019 11:30:00 AM,360,0.7,8,8,Taxi Affiliation Services
3900015,11/01/2019 11:30:00 AM,422,0.96,8,8,Chicago Carriage Cab Corp
3900016,11/01/2019 11:30:00 AM,226,0.53,28,32,Sun Taxi
3900017,11/01/2019 11:30:00 AM,595,1.1,8,8,Medallion Leasin
3900018,11/01/2019 11:30:00 AM,300,0.9,32,8,"Taxicab Insurance Agency, LLC"
3900019,11/01/2019 11:30:00 AM,287,0.61,8,32,Flash Cab
3900020,11/01/2019 11:30:00 AM,407,1.48,32,28,Chicago Carriage Cab Corp
3900021,11/01/2019 11:30:00 AM,344,0.59,32,32,City Service
3900022,11/01/2019 11:30:00 AM,420,1.3,8,32,Taxi Affiliation Services
3900023,11/01/2019 11:30:00 AM,393,0.75,32,32,Patriot Taxi Dba Peace Taxi Associat
3900024,11/01/2019 11:30:00 AM,480,0.6,32,32,Medallion Leasin
3900025,11/01/2019 11:30:00 AM,410,1.15,32,8,Flash Cab
3900026,11/01/2019 11:30:00 AM,2220,1.3,76,33,Taxi Affiliation Services
3900027,11/01/2019 11:30:00 AM,555,0.86,8,32,Flash Cab
3900028,11/01/2019 11:30:00 AM,385,0.86,8,8,Sun Taxi
3900029,11/01/2019 11:30:00 AM,536,0.8,8,8,Chicago Independents
3900030,11/01/2019 11:30:00 AM,420,0.9,28,8,Taxi Affiliation Services
3900031,11/01/2019 11:30:00 AM,427,0.9,8,32,Leonard Cab Co
3900032,11/01/2019 11:30:00 AM,480,1.6,32,8,Taxi Affiliation Services
3900033,11/01/2019 11:30:00 AM,420,1.9,32,8,Medallion Leasin
3900034,11/01/2019 11:30:00 AM,415,0.93,28,32,Sun Taxi
3900035,11/01/2019 11:30:00 AM,319,0.71,32,28,Flash Cab
3900036,11/01/2019 11:30:00 AM,360,1.1,28,32,Medallion Leasin
3900037,11/01/2019 11:30:00 AM,494,1.87,32,8,Patriot Taxi Dba Peace Taxi Associat
3900038,11/01/2019 11:30:00 AM,407,0.8,32,8,Chicago Carriage Cab Corp
3900039,11/01/2019 11:30:00 AM,325,0.75,8,8,Chicago Carriage Cab Corp
3900040,11/01/2019 11:30:00 AM,555,1.56,28,8,Taxi Affiliation Service Yellow
3900041,11/01/2019 11:30:00 AM,361,1.56,32,32,Chicago Carriage Cab Corp
3900042,11/01/2019 11:30:00 AM,505,1.2,32,24,City Service
3900043,11/01/2019 11:30:00 AM,320,0.6,8,32,Flash Cab
3900044,11/01/2019 11:30:00 AM,308,0.6,32,32,Medallion Leasin
3900045,11/01/2019 11:30:00 AM,360,0.8,8,8,Taxi Affiliation Services
3900046,11/01/2019 11:30:00 AM,360,1.5,8,24,Medallion Leasin
3900047,11/01/2019 11:30:00 AM,333,0.65,32,32,Sun Taxi
3900048,11/01/2019 11:30:00 AM,420,1.2,32,32,Taxi Affiliation Services
3900049,11/01/2019 11:30:00 AM,360,0.9,32,32,Taxi Affiliation Services
3900050,11/01/2019 11:30:00 AM,266,0.6,28,32,Medallion Leasin
3900051,11/01/2019 11:30:00 AM,433,0.58,8,8,Flash Cab
3900052,11/01/2019 11:30:00 AM,475,1.28,28,8,Flash Cab
3900053,11/01/2019 11:30:00 AM,479,1.07,32,32,Sun Taxi
3900054,11/01/2019 11:30:00 AM,570,1.61,32,28,Taxi Affiliation Service Yellow
3900055,11/01/2019 11:30:00 AM,395,0.9,32,32,City Service
3900056,11/01/2019 11:30:00 AM,420,1.1,32,8,Medallion Leasin
3900057,11/01/2019 11:30:00 AM,540,1.8,8,8,Taxi Affiliation Services
3900058,11/01/2019 11:30:00 AM,290,0.56,32,32,Flash Cab
3900059,11/01/2019 11:30:00 AM,348,0.73,8,8,24 Seven Taxi
3900060,11/01/2019 11:30:00 AM,433,0.94,32,32,Chicago Carriage Cab Corp
3900061,11/01/2019 11:30:00 AM,480,1.0,28,32,Taxi Affiliation Services
3900062,11/01/2019 11:30:00 AM,464,1.0,32,32,City Service
3900063,11/01/2019 11:30:00 AM,240,0.6,32,8,Taxi Affiliation Services
3900064,11/01/2019 11:30:00 AM,300,1.0,8,8,Star North Management LLC
3900065,11/01/2019 11:30:00 AM,312,1.42,27,23,Flash Cab
3900066,11/01/2019 11:30:00 AM,303,0.56,8,8,Flash Cab
3900067,11/01/2019 11:30:00 AM,545,1.17,28,8,Flash Cab
3900068,11/01/2019 11:30:00 AM,359,0.68,8,8,Flash Cab
3900069,11/01/2019 11:30:00 AM,242,0.69,8,8,Chicago Carriage Cab Corp
3900070,11/01/2019 11:30:00 AM,370,0.88,8,8,Sun Taxi
3900071,11/01/2019 11:30:00 AM,540,1.3,32,8,Taxi Affiliation Services
3900072,11/01/2019 11:30:00 AM,264,0.9,32,8,Medallion Leasin
3900073,11/01/2019 11:30:00 AM,240,0.7,28,28,Taxi Affiliation Services
3900074,11/01/2019 11:30:00 AM,300,1.0,8,32,Taxi Affiliation Services
3900075,11/01/2019 11:30:00 AM,480,1.3,32,8,Taxi Affiliation Services
3900076,11/01/2019 11:30:00 AM,313,1.0,32,8,Medallion Leasin
3900077,11/01/2019 11:30:00 AM,360,0.9,28,32,"Taxicab Insurance Agency, LLC"
3900078,11/01/2019 11:30:00 AM,257,0.8,8,8,Chicago Carriage Cab Corp
3900079,11/01/2019 11:30:00 AM,420,1.3,32,32,Medallion Leasin
3900080,11/01/2019 11:30:00 AM,448,1.18,7,8,Chicago Carriage Cab Corp
3900081,11/01/2019 11:30:00 AM,420,0.7,8,8,Taxi Affiliation Services
3900082,11/01/2019 11:30:00 AM,475,0.8,8,8,City Service
3900083,11/01/2019 11:30:00 AM,353,0.87,8,32,Taxi Affiliation Service Yellow
3900084,11/01/2019 11:30:00 AM,445,1.1,32,32,Sun Taxi
3900085,11/01/2019 11:30:00 AM,472,1.14,32,8,Flash Cab
3900086,11/01/2019 11:30:00 AM,299,0.62,8,32,Sun Taxi
3900087,11/01/2019 11:30:00 AM,291,0.82,32,32,Chicago Carriage Cab Corp
3900088,11/01/2019 11:30:00 AM,300,0.7,8,32,Medallion Leasin
3900089,11/01/2019 11:30:00 AM,300,0.8,8,8,Medallion Leasin
3900090,11/01/2019 11:30:00 AM,418,0.62,8,8,Chicago Carriage Cab Corp
3900091,11/01/2019 11:30:00 AM,420,1.4,8,8,Star North Management LLC
3900092,11/01/2019 11:30:00 AM,517,1.9,32,8,Medallion Leasin
3900093,11/01/2019 11:30:00 AM,375,1.2,32,32,24 Seven Taxi
3900094,11/01/2019 11:30:00 AM,420,1.1,28,32,Taxi Affiliation Services
3900095,11/01/2019 11:30:00 AM,496,0.88,8,32,Sun Taxi
3900096,11/01/2019 11:30:00 AM,572,1.2,7,8,Chicago Independents
3900097,11/01/2019 11:30:00 AM,424,1.4,8,32,Chicago Carriage Cab Corp
3900098,11/01/2019 11:30:00 AM,571,1.37,8,32,Sun Taxi
3900099,11/01/2019 11:30:00 AM,300,0.7,32,32,Taxi Affiliation Services
3900100,11/01/2019 11:30:00 AM,551,0.99,8,32,24 Seven Taxi
3900101,11/01/2019 11:30:00 AM,356,0.72,32,8,Flash Cab
3900102,11/01/2019 11:30:00 AM,360,0.9,32,8,"Taxicab Insurance Agency, LLC"
3900103,11/01/2019 11:30:00 AM,538,0.94,32,32,Sun Taxi
3900104,11/01/2019 11:30:00 AM,360,1.2,32,8,Taxi Affiliation Services
3900105,11/01/2019 11:30:00 AM,480,0.8,7,7,Medallion Leasin
3900106,11/01/2019 11:30:00 AM,300,0.7,28,32,Star North Management LLC
3900107,11/01/2019 11:30:00 AM,300,0.6,8,32,6574 - Babylon Express Inc.
3900108,11/01/2019 11:30:00 AM,300,0.7,32,8,Medallion Leasin
3900109,11/01/2019 11:30:00 AM,420,0.9,32,8,Taxi Affiliation Services
3900110,11/01/2019 11:30:00 AM,424,1.78,41,39,Chicago Carriage Cab Corp
3900111,11/01/2019 11:30:00 AM,360,0.6,32,32,Medallion Leasin
3900112,11/01/2019 11:30:00 AM,360,1.3,8,8,Taxi Affiliation Services
3900113,11/01/2019 11:30:00 AM,240,0.8,8,8,Taxi Affiliation Services
3900114,11/01/2019 11:30:00 AM,420,1.3,8,32,Taxi Affiliation Services
3900115,11/01/2019 11:30:00 AM,507,1.2,8,8,24 Seven Taxi
3900116,11/01/2019 11:30:00 AM,505,1.7,8,8,Sun Taxi
3900117,11/01/2019 11:30:00 AM,331,0.84,32,8,Sun Taxi
3900118,11/01/2019 11:30:00 AM,420,0.9,8,32,Medallion Leasin
3900119,11/01/2019 11:45:00 AM,423,1.03,6,6,Flash Cab
3900120,11/01/2019 11:45:00 AM,352,0.8,8,8,Chicago Taxicab
3900121,11/01/2019 11:45:00 AM,505,1.5,32,8,Medallion Leasin
3900122,11/01/2019 11:45:00 AM,428,0.61,32,32,Chicago Carriage Cab Corp
3900123,11/01/2019 11:45:00 AM,284,0.71,28,32,Sun Taxi
3900124,11/01/2019 11:45:00 AM,482,1.35,8,32,City Service
3900125,11/01/2019 11:45:00 AM,480,1.0,8,32,Taxi Affiliation Services
3900126,11/01/2019 11:45:00 AM,299,0.8,32,32,City Service
3900127,11/01/2019 11:45:00 AM,594,1.61,8,32,Blue Diamond
3900128,11/01/2019 11:45:00 AM,340,0.68,8,32,Chicago Carriage Cab Corp
3900129,11/01/2019 11:45:00 AM,540,1.3,28,32,Medallion Leasin
3900130,11/01/2019 11:45:00 AM,255,0.63,49,50,Flash Cab
3900131,11/01/2019 11:45:00 AM,434,0.68,32,32,Flash Cab
3900132,11/01/2019 11:45:00 AM,1920,0.9,76,6,Taxi Affiliation Services
3900133,11/01/2019 11:45:00 AM,504,1.29,32,8,Sun Taxi
3900134,11/01/2019 11:45:00 AM,493,1.87,28,8,Flash Cab
3900135,11/01/2019 11:45:00 AM,504,1.6,32,28,Medallion Leasin
3900136,11/01/2019 11:45:00 AM,397,1.14,2,2,Flash Cab
3900137,11/01/2019 11:45:00 AM,435,1.19,8,8,Nova Taxi Affiliation Llc
3900138,11/01/2019 11:45:00 AM,300,0.86,32,8,Chicago Carriage Cab Corp
3900139,11/01/2019 11:45:00 AM,412,0.94,8,8,Chicago Carriage Cab Corp
3900140,11/01/2019 11:45:00 AM,465,0.7,8,32,Chicago Carriage Cab Corp
3900141,11/01/2019 11:45:00 AM,194,0.77,32,28,City Service
3900142,11/01/2019 11:45:00 AM,360,0.7,28,28,Taxi Affiliation Services
3900143,11/01/2019 11:45:00 AM,476,1.27,32,32,Sun Taxi
3900144,11/01/2019 11:45:00 AM,302,0.7,8,8,Medallion Leasin
3900145,11/01/2019 11:45:00 AM,420,1.3,32,8,Taxi Affiliation Services
3900146,11/01/2019 11:45:00 AM,286,0.59,8,8,Chicago Carriage Cab Corp
3900147,11/01/2019 11:45:00 AM,435,1.5,32,8,City Service
3900148,11/01/2019 11:45:00 AM,332,0.72,32,8,Patriot Taxi Dba Peace Taxi Associat
3900149,11/01/2019 11:45:00 AM,376,1.07,32,28,City Service
3900150,11/01/2019 11:45:00 AM,399,1.01,32,32,Patriot Taxi Dba Peace Taxi Associat
3900151,11/01/2019 11:45:00 AM,420,0.9,8,8,Taxi Affiliation Services
3900152,11/01/2019 11:45:00 AM,391,0.61,32,8,Checker Taxi Affiliation
3900153,11/01/2019 11:45:00 AM,316,0.95,28,32,Sun Taxi
3900154,11/01/2019 11:45:00 AM,300,0.8,8,32,Star North Management LLC
3900155,11/01/2019 11:45:00 AM,463,1.35,8,8,Flash Cab
3900156,11/01/2019 11:45:00 AM,580,1.35,8,8,Flash Cab
3900157,11/01/2019 11:45:00 AM,487,1.1,8,8,City Service
3900158,11/01/2019 11:45:00 AM,300,1.1,8,8,Medallion Leasin
3900159,11/01/2019 11:45:00 AM,381,1.2,8,8,Flash Cab
3900160,11/01/2019 11:45:00 AM,420,0.6,8,8,Choice Taxi Association
3900161,11/01/2019 11:45:00 AM,420,0.96,8,32,Nova Taxi Affiliation Llc
3900162,11/01/2019 11:45:00 AM,276,1.0,22,22,Taxi Affiliation Service Yellow
3900163,11/01/2019 11:45:00 AM,360,0.9,32,32,"Taxicab Insurance Agency, LLC"
3900164,11/01/2019 11:45:00 AM,446,0.9,32,8,Chicago Independents
3900165,11/01/2019 11:45:00 AM,360,0.6,28,32,Taxi Affiliation Services
3900166,11/01/2019 11:45:00 AM,511,1.09,28,8,Flash Cab
