,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3910000,11/01/2019 11:00:00 PM,360,0.8,8,8,Star North Management LLC
3910001,11/01/2019 11:00:00 PM,480,0.8,8,8,3591 - 63480 Chuks Cab
3910002,11/01/2019 11:00:00 PM,360,1.1,8,8,Taxi Affiliation Services
3910003,11/01/2019 11:00:00 PM,294,0.65,7,7,Flash Cab
3910004,11/01/2019 11:00:00 PM,360,0.8,8,32,Star North Management LLC
3910005,11/01/2019 11:00:00 PM,240,0.7,8,32,Star North Management LLC
3910006,11/01/2019 11:00:00 PM,363,0.85,32,32,Chicago Carriage Cab Corp
3910007,11/01/2019 11:00:00 PM,240,0.8,33,33,"Taxicab Insurance Agency, LLC"
3910008,11/01/2019 11:00:00 PM,360,0.7,32,32,Choice Taxi Association
3910009,11/01/2019 11:00:00 PM,277,1.0,8,32,Chicago Carriage Cab Corp
3910010,11/01/2019 11:00:00 PM,420,1.4,32,33,Taxi Affiliation Services
3910011,11/01/2019 11:00:00 PM,240,0.7,8,8,Star North Management LLC
3910012,11/01/2019 11:00:00 PM,282,0.58,8,8,Flash Cab
3910013,11/01/2019 11:00:00 PM,420,1.1,32,32,Star North Management LLC
3910014,11/01/2019 11:00:00 PM,318,0.92,3,77,Flash Cab
3910015,11/01/2019 11:00:00 PM,300,0.7,8,8,Taxi Affiliation Services
3910016,11/01/2019 11:00:00 PM,240,0.7,8,24,Star North Management LLC
3910017,11/01/2019 11:00:00 PM,240,1.2,32,8,"Taxicab Insurance Agency, LLC"
3910018,11/01/2019 11:00:00 PM,240,0.8,8,8,Star North Management LLC
3910019,11/01/2019 11:00:00 PM,300,0.7,7,7,Medallion Leasin
3910020,11/01/2019 11:00:00 PM,342,0.73,8,8,Sun Taxi
3910021,11/01/2019 11:00:00 PM,327,0.91,8,8,Flash Cab
3910022,11/01/2019 11:00:00 PM,392,0.88,8,8,Flash Cab
3910023,11/01/2019 11:00:00 PM,253,0.93,6,6,Sun Taxi
3910024,11/01/2019 11:00:00 PM,448,1.38,8,32,Chicago Carriage Cab Corp
3910025,11/01/2019 11:00:00 PM,373,1.37,28,8,Sun Taxi
3910026,11/01/2019 11:00:00 PM,586,1.9,8,8,Chicago Carriage Cab Corp
3910027,11/01/2019 11:00:00 PM,277,0.52,8,8,Flash Cab
3910028,11/01/2019 11:00:00 PM,300,0.8,8,8,Taxi Affiliation Services
3910029,11/01/2019 11:00:00 PM,360,1.2,8,8,Chicago Independents
3910030,11/01/2019 11:00:00 PM,420,1.5,32,33,Taxi Affiliation Services
3910031,11/01/2019 11:00:00 PM,510,1.79,32,28,Sun Taxi
3910032,11/01/2019 11:00:00 PM,480,0.7,8,8,Star North Management LLC
3910033,11/01/2019 11:00:00 PM,420,1.7,28,32,Star North Management LLC
3910034,11/01/2019 11:00:00 PM,540,1.8,8,33,"Taxicab Insurance Agency, LLC"
3910035,11/01/2019 11:00:00 PM,360,1.2,32,28,Taxi Affiliation Services
3910036,11/01/2019 11:00:00 PM,360,0.6,8,8,Taxi Affiliation Services
3910037,11/01/2019 11:00:00 PM,278,0.76,22,24,Chicago Carriage Cab Corp
3910038,11/01/2019 11:00:00 PM,3180,0.9,21,76,Taxi Affiliation Services
3910039,11/01/2019 11:00:00 PM,360,0.8,8,8,Star North Management LLC
3910040,11/01/2019 11:00:00 PM,422,1.29,77,3,Sun Taxi
3910041,11/01/2019 11:00:00 PM,273,1.26,32,32,Flash Cab
3910042,11/01/2019 11:00:00 PM,360,1.3,32,28,Chicago Independents
3910043,11/01/2019 11:00:00 PM,327,1.18,8,8,Sun Taxi
3910044,11/01/2019 11:00:00 PM,401,1.29,8,8,Chicago Carriage Cab Corp
3910045,11/01/2019 11:00:00 PM,401,1.5,8,24,Sun Taxi
3910046,11/01/2019 11:00:00 PM,300,0.7,28,32,"Taxicab Insurance Agency, LLC"
3910047,11/01/2019 11:00:00 PM,450,1.49,8,32,City Service
3910048,11/01/2019 11:00:00 PM,434,1.38,32,28,24 Seven Taxi
3910049,11/01/2019 11:00:00 PM,459,0.99,8,8,City Service
3910050,11/01/2019 11:00:00 PM,360,1.0,28,28,3011 - 66308 JBL Cab Inc.
3910051,11/01/2019 11:00:00 PM,513,1.54,8,32,Flash Cab
3910052,11/01/2019 11:00:00 PM,483,1.52,8,32,City Service
3910053,11/01/2019 11:00:00 PM,421,1.48,8,32,City Service
3910054,11/01/2019 11:00:00 PM,436,1.15,8,8,Flash Cab
3910055,11/01/2019 11:00:00 PM,305,0.89,8,8,Chicago Carriage Cab Corp
3910056,11/01/2019 11:00:00 PM,432,1.09,32,8,Chicago Carriage Cab Corp
3910057,11/01/2019 11:00:00 PM,360,0.99,8,28,Flash Cab
3910058,11/01/2019 11:00:00 PM,273,1.03,32,8,Chicago Carriage Cab Corp
3910059,11/01/2019 11:00:00 PM,300,1.2,32,8,Medallion Leasin
3910060,11/01/2019 11:00:00 PM,399,1.74,8,8,Sun Taxi
3910061,11/01/2019 11:00:00 PM,384,1.94,6,3,Sun Taxi
3910062,11/01/2019 11:00:00 PM,583,1.92,32,8,Chicago Carriage Cab Corp
3910063,11/01/2019 11:00:00 PM,420,1.3,8,8,Taxi Affiliation Services
3910064,11/01/2019 11:00:00 PM,240,0.7,32,32,Star North Management LLC
3910065,11/01/2019 11:00:00 PM,261,1.06,11,11,Flash Cab
3910066,11/01/2019 11:00:00 PM,300,0.8,8,32,Taxi Affiliation Services
3910067,11/01/2019 11:00:00 PM,317,0.85,8,8,Taxi Affiliation Service Yellow
3910068,11/01/2019 11:00:00 PM,311,0.52,8,8,Flash Cab
3910069,11/01/2019 11:00:00 PM,420,1.2,8,8,Star North Management LLC
3910070,11/01/2019 11:00:00 PM,251,0.69,8,8,Sun Taxi
3910071,11/01/2019 11:00:00 PM,420,1.1,28,28,Chicago Medallion Management
3910072,11/01/2019 11:00:00 PM,342,1.05,32,32,Chicago Carriage Cab Corp
3910073,11/01/2019 11:00:00 PM,479,1.07,8,8,Chicago Carriage Cab Corp
3910074,11/01/2019 11:00:00 PM,360,1.6,5,6,Taxi Affiliation Services
3910075,11/01/2019 11:00:00 PM,240,0.8,32,28,Taxi Affiliation Services
3910076,11/01/2019 11:00:00 PM,370,1.44,24,8,Chicago Carriage Cab Corp
