,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3920000,11/03/2019 01:15:00 AM,240,0.6,32,32,Top Cab Affiliation
3920001,11/03/2019 01:15:00 AM,420,1.2,28,8,Star North Management LLC
3920002,11/03/2019 01:15:00 AM,240,0.7,22,22,Taxi Affiliation Services
3920003,11/03/2019 01:15:00 AM,360,1.2,8,32,Star North Management LLC
3920004,11/03/2019 01:15:00 AM,360,0.9,8,8,Taxi Affiliation Services
3920005,11/03/2019 01:15:00 AM,480,1.7,32,28,Star North Management LLC
3920006,11/03/2019 01:15:00 AM,480,1.8,7,6,Medallion Leasin
3920007,11/03/2019 01:15:00 AM,484,1.3,28,8,City Service
3920008,11/03/2019 01:15:00 AM,347,1.4,8,32,Medallion Leasin
3920009,11/03/2019 01:15:00 AM,420,1.1,8,8,Taxi Affiliation Services
3920010,11/03/2019 01:15:00 AM,383,0.9,32,32,Flash Cab
3920011,11/03/2019 01:15:00 AM,360,1.8,8,7,Medallion Leasin
3920012,11/03/2019 01:15:00 AM,240,0.6,8,8,Taxi Affiliation Services
3920013,11/03/2019 01:15:00 AM,326,1.06,77,3,Flash Cab
3920014,11/03/2019 01:15:00 AM,371,1.18,28,32,Chicago Carriage Cab Corp
3920015,11/03/2019 01:15:00 AM,422,1.41,22,24,City Service
3920016,11/03/2019 01:15:00 AM,300,0.9,8,8,Star North Management LLC
3920017,11/03/2019 01:15:00 AM,444,0.93,6,7,Flash Cab
3920018,11/03/2019 01:15:00 AM,262,0.64,6,6,Nova Taxi Affiliation Llc
3920019,11/03/2019 01:15:00 AM,480,1.4,28,8,Taxi Affiliation Services
3920020,11/03/2019 01:15:00 AM,300,1.6,32,33,"Taxicab Insurance Agency, LLC"
3920021,11/03/2019 01:15:00 AM,444,1.98,32,24,Chicago Carriage Cab Corp
3920022,11/03/2019 01:15:00 AM,480,1.3,8,32,Taxi Affiliation Services
3920023,11/03/2019 01:15:00 AM,485,1.38,6,6,Flash Cab
3920024,11/03/2019 01:15:00 AM,300,1.4,8,32,Taxi Affiliation Services
3920025,11/03/2019 01:15:00 AM,360,1.0,8,8,Choice Taxi Association
3920026,11/03/2019 01:15:00 AM,288,1.21,1,2,City Service
3920027,11/03/2019 01:15:00 AM,264,0.53,8,8,Chicago Carriage Cab Corp
3920028,11/03/2019 01:15:00 AM,257,0.89,8,7,Chicago Carriage Cab Corp
3920029,11/03/2019 01:15:00 AM,240,1.0,8,32,Taxi Affiliation Services
3920030,11/03/2019 01:15:00 AM,300,1.1,8,8,Medallion Leasin
3920031,11/03/2019 01:15:00 AM,240,0.8,8,8,Star North Management LLC
3920032,11/03/2019 01:15:00 AM,288,0.92,6,6,Flash Cab
3920033,11/03/2019 01:15:00 AM,360,1.0,8,8,Nova Taxi Affiliation Llc
3920034,11/03/2019 01:15:00 AM,393,1.56,8,8,City Service
3920035,11/03/2019 01:15:00 AM,360,0.68,8,8,City Service
3920036,11/03/2019 01:15:00 AM,360,1.5,8,8,Taxi Affiliation Services
3920037,11/03/2019 01:15:00 AM,427,1.14,28,24,City Service
3920038,11/03/2019 01:15:00 AM,409,1.56,8,32,Nova Taxi Affiliation Llc
3920039,11/03/2019 01:15:00 AM,366,1.37,8,7,Flash Cab
3920040,11/03/2019 01:15:00 AM,219,1.05,7,8,Nova Taxi Affiliation Llc
3920041,11/03/2019 01:15:00 AM,360,0.6,8,8,Medallion Leasin
3920042,11/03/2019 01:15:00 AM,480,1.6,7,7,Taxi Affiliation Services
3920043,11/03/2019 01:15:00 AM,240,0.9,77,1,Taxi Affiliation Services
3920044,11/03/2019 01:15:00 AM,360,0.6,8,8,Star North Management LLC
3920045,11/03/2019 01:15:00 AM,240,1.0,8,32,Chicago Medallion Management
3920046,11/03/2019 01:15:00 AM,443,1.3,8,8,Chicago Carriage Cab Corp
3920047,11/03/2019 01:15:00 AM,360,1.9,8,24,KOAM Taxi Association
3920048,11/03/2019 01:15:00 AM,300,0.9,8,8,Taxi Affiliation Services
3920049,11/03/2019 01:15:00 AM,240,1.1,8,8,Star North Management LLC
3920050,11/03/2019 01:15:00 AM,480,1.9,8,7,Choice Taxi Association
3920051,11/03/2019 01:15:00 AM,549,1.77,32,33,Flash Cab
3920052,11/03/2019 01:15:00 AM,370,0.65,28,28,City Service
3920053,11/03/2019 01:15:00 AM,480,0.9,8,8,Choice Taxi Association
3920054,11/03/2019 01:15:00 AM,360,0.7,32,8,Taxi Affiliation Services
3920055,11/03/2019 01:15:00 AM,300,1.3,3,3,Taxi Affiliation Services
3920056,11/03/2019 01:15:00 AM,480,1.5,8,8,KOAM Taxi Association
3920057,11/03/2019 01:15:00 AM,360,1.0,8,8,Taxi Affiliation Services
3920058,11/03/2019 01:15:00 AM,221,0.52,8,8,Chicago Carriage Cab Corp
3920059,11/03/2019 01:15:00 AM,438,0.7,8,32,Medallion Leasin
3920060,11/03/2019 01:15:00 AM,300,1.1,32,32,Star North Management LLC
3920061,11/03/2019 01:15:00 AM,201,0.66,8,8,Nova Taxi Affiliation Llc
3920062,11/03/2019 01:15:00 AM,300,0.7,32,32,Taxi Affiliation Services
3920063,11/03/2019 01:15:00 AM,480,1.7,8,32,Star North Management LLC
3920064,11/03/2019 01:15:00 AM,406,0.76,6,6,Chicago Carriage Cab Corp
3920065,11/03/2019 01:15:00 AM,540,1.5,32,32,Star North Management LLC
3920066,11/03/2019 01:15:00 AM,274,1.43,21,16,Flash Cab
3920067,11/03/2019 01:15:00 AM,208,0.52,8,8,Chicago Carriage Cab Corp
3920068,11/03/2019 01:15:00 AM,299,0.84,8,24,Patriot Taxi Dba Peace Taxi Associat
3920069,11/03/2019 01:15:00 AM,420,1.7,8,8,Taxi Affiliation Services
