,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3930000,11/04/2019 11:45:00 AM,509,1.53,32,8,Flash Cab
3930001,11/04/2019 11:45:00 AM,433,1.2,8,8,Chicago Independents
3930002,11/04/2019 11:45:00 AM,299,0.88,8,32,Chicago Carriage Cab Corp
3930003,11/04/2019 11:45:00 AM,480,1.2,32,8,Taxi Affiliation Services
3930004,11/04/2019 11:45:00 AM,275,0.82,8,8,Sun Taxi
3930005,11/04/2019 11:45:00 AM,407,0.7,24,8,Medallion Leasin
3930006,11/04/2019 11:45:00 AM,430,0.8,32,8,Medallion Leasin
3930007,11/04/2019 11:45:00 AM,226,0.78,28,28,Patriot Taxi Dba Peace Taxi Associat
3930008,11/04/2019 11:45:00 AM,567,1.07,32,8,Flash Cab
3930009,11/04/2019 11:45:00 AM,278,0.7,8,8,Medallion Leasin
3930010,11/04/2019 11:45:00 AM,360,0.74,8,8,Nova Taxi Affiliation Llc
3930011,11/04/2019 11:45:00 AM,240,1.1,32,28,Taxi Affiliation Services
3930012,11/04/2019 11:45:00 AM,534,1.8,32,8,City Service
3930013,11/04/2019 11:45:00 AM,373,0.9,8,32,Sun Taxi
3930014,11/04/2019 11:45:00 AM,305,0.6,28,32,Medallion Leasin
3930015,11/04/2019 11:45:00 AM,300,0.8,32,8,"Taxicab Insurance Agency, LLC"
3930016,11/04/2019 11:45:00 AM,565,1.18,32,8,Chicago Carriage Cab Corp
3930017,11/04/2019 11:45:00 AM,473,1.26,8,28,Sun Taxi
3930018,11/04/2019 11:45:00 AM,333,1.16,32,28,Chicago Independents
3930019,11/04/2019 11:45:00 AM,240,0.7,32,32,Medallion Leasin
3930020,11/04/2019 11:45:00 AM,259,1.04,32,32,City Service
3930021,11/04/2019 11:45:00 AM,307,0.9,32,8,Chicago Carriage Cab Corp
3930022,11/04/2019 11:45:00 AM,451,0.94,32,8,Flash Cab
3930023,11/04/2019 11:45:00 AM,313,1.1,32,32,City Service
3930024,11/04/2019 11:45:00 AM,326,0.6,28,32,City Service
3930025,11/04/2019 11:45:00 AM,251,0.76,8,8,Chicago Carriage Cab Corp
3930026,11/04/2019 11:45:00 AM,458,1.0,8,8,Medallion Leasin
3930027,11/04/2019 11:45:00 AM,420,1.2,8,8,Star North Management LLC
3930028,11/04/2019 11:45:00 AM,360,1.3,32,28,Chicago Medallion Management
3930029,11/04/2019 11:45:00 AM,368,0.98,8,32,Sun Taxi
3930030,11/04/2019 11:45:00 AM,474,1.49,8,32,Flash Cab
3930031,11/04/2019 11:45:00 AM,396,1.12,8,32,City Service
3930032,11/04/2019 11:45:00 AM,475,1.16,8,32,Flash Cab
3930033,11/04/2019 11:45:00 AM,243,0.6,77,77,Flash Cab
3930034,11/04/2019 11:45:00 AM,456,0.98,28,32,Chicago Carriage Cab Corp
3930035,11/04/2019 11:45:00 AM,570,1.4,8,32,Chicago Carriage Cab Corp
3930036,11/04/2019 11:45:00 AM,433,1.11,32,8,Flash Cab
3930037,11/04/2019 11:45:00 AM,275,0.62,32,8,City Service
3930038,11/04/2019 11:45:00 AM,540,1.2,28,32,Top Cab Affiliation
3930039,11/04/2019 11:45:00 AM,319,0.58,32,8,Sun Taxi
3930040,11/04/2019 11:45:00 AM,540,1.5,8,28,Medallion Leasin
3930041,11/04/2019 11:45:00 AM,300,0.8,28,28,Taxi Affiliation Services
3930042,11/04/2019 11:45:00 AM,480,1.3,28,32,"Taxicab Insurance Agency, LLC"
3930043,11/04/2019 11:45:00 AM,240,1.7,32,28,Star North Management LLC
3930044,11/04/2019 11:45:00 AM,405,1.43,28,28,Chicago Carriage Cab Corp
3930045,11/04/2019 11:45:00 AM,507,1.71,32,28,Patriot Taxi Dba Peace Taxi Associat
3930046,11/04/2019 11:45:00 AM,423,1.7,8,8,City Service
3930047,11/04/2019 11:45:00 AM,240,0.6,32,32,Taxi Affiliation Services
3930048,11/04/2019 11:45:00 AM,377,1.1,22,22,Flash Cab
3930049,11/04/2019 11:45:00 AM,452,1.19,32,8,Flash Cab
3930050,11/04/2019 11:45:00 AM,360,0.8,28,32,Medallion Leasin
3930051,11/04/2019 11:45:00 AM,240,0.8,32,32,Medallion Leasin
3930052,11/04/2019 11:45:00 AM,420,1.4,8,8,Taxi Affiliation Services
3930053,11/04/2019 11:45:00 AM,360,0.6,28,32,Taxi Affiliation Services
3930054,11/04/2019 11:45:00 AM,495,1.04,28,32,Chicago Carriage Cab Corp
3930055,11/04/2019 11:45:00 AM,360,0.8,8,7,KOAM Taxi Association
3930056,11/04/2019 11:45:00 AM,477,1.9,8,32,Medallion Leasin
3930057,11/04/2019 11:45:00 AM,469,1.69,8,32,Chicago Carriage Cab Corp
3930058,11/04/2019 11:45:00 AM,312,0.99,28,32,Sun Taxi
3930059,11/04/2019 11:45:00 AM,553,1.3,8,32,Nova Taxi Affiliation Llc
3930060,11/04/2019 11:45:00 AM,183,0.54,32,28,Flash Cab
3930061,11/04/2019 11:45:00 AM,420,0.8,32,8,Medallion Leasin
3930062,11/04/2019 11:45:00 AM,468,1.3,8,8,Checker Taxi Affiliation
3930063,11/04/2019 11:45:00 AM,507,1.88,8,32,Chicago Carriage Cab Corp
3930064,11/04/2019 11:45:00 AM,528,0.99,8,8,Flash Cab
3930065,11/04/2019 11:45:00 AM,348,0.88,32,8,City Service
3930066,11/04/2019 11:45:00 AM,480,1.4,32,8,Medallion Leasin
3930067,11/04/2019 11:45:00 AM,369,1.47,8,8,Chicago Carriage Cab Corp
3930068,11/04/2019 11:45:00 AM,425,0.92,8,8,Flash Cab
3930069,11/04/2019 11:45:00 AM,480,1.2,32,8,Taxi Affiliation Services
3930070,11/04/2019 11:45:00 AM,414,1.11,6,6,Flash Cab
3930071,11/04/2019 11:45:00 AM,427,1.63,33,32,Chicago Carriage Cab Corp
3930072,11/04/2019 11:45:00 AM,420,1.1,32,8,Taxi Affiliation Services
3930073,11/04/2019 11:45:00 AM,360,1.0,8,32,Taxi Affiliation Services
3930074,11/04/2019 11:45:00 AM,420,0.8,32,8,Choice Taxi Association
3930075,11/04/2019 11:45:00 AM,420,0.9,28,8,Star North Management LLC
3930076,11/04/2019 11:45:00 AM,1860,1.1,76,8,Taxi Affiliation Services
3930077,11/04/2019 11:45:00 AM,358,0.96,28,28,Taxi Affiliation Service Yellow
3930078,11/04/2019 11:45:00 AM,202,0.64,43,43,Flash Cab
3930079,11/04/2019 11:45:00 AM,432,1.1,32,8,Setare Inc
3930080,11/04/2019 11:45:00 AM,360,0.8,32,32,Taxi Affiliation Services
3930081,11/04/2019 11:45:00 AM,537,1.0,32,8,Chicago Independents
3930082,11/04/2019 11:45:00 AM,480,1.2,32,28,"Taxicab Insurance Agency, LLC"
3930083,11/04/2019 11:45:00 AM,240,0.7,32,8,Taxi Affiliation Services
3930084,11/04/2019 11:45:00 AM,561,1.27,28,32,Chicago Carriage Cab Corp
3930085,11/04/2019 11:45:00 AM,415,0.87,32,8,Chicago Carriage Cab Corp
3930086,11/04/2019 11:45:00 AM,420,1.0,28,32,Star North Management LLC
3930087,11/04/2019 11:45:00 AM,446,1.04,28,28,Chicago Carriage Cab Corp
3930088,11/04/2019 11:45:00 AM,420,1.2,8,8,Medallion Leasin
3930089,11/04/2019 11:45:00 AM,360,1.3,8,32,Star North Management LLC
3930090,11/04/2019 11:45:00 AM,433,0.9,8,8,City Service
3930091,11/04/2019 11:45:00 AM,429,0.77,32,32,Patriot Taxi Dba Peace Taxi Associat
3930092,11/04/2019 11:45:00 AM,506,1.5,32,8,Chicago Carriage Cab Corp
3930093,11/04/2019 11:45:00 AM,223,0.56,32,8,City Service
3930094,11/04/2019 11:45:00 AM,505,1.27,32,8,Flash Cab
3930095,11/04/2019 11:45:00 AM,418,1.09,32,8,Flash Cab
3930096,11/04/2019 11:45:00 AM,313,0.75,32,32,Sun Taxi
3930097,11/04/2019 11:45:00 AM,344,0.9,32,32,Flash Cab
3930098,11/04/2019 11:45:00 AM,294,0.69,32,32,Chicago Carriage Cab Corp
3930099,11/04/2019 11:45:00 AM,464,0.92,8,8,Chicago Carriage Cab Corp
3930100,11/04/2019 11:45:00 AM,480,0.9,8,8,Taxi Affiliation Services
3930101,11/04/2019 11:45:00 AM,307,0.79,32,8,City Service
3930102,11/04/2019 11:45:00 AM,540,1.0,32,8,Taxi Affiliation Services
3930103,11/04/2019 11:45:00 AM,531,1.36,8,28,Flash Cab
3930104,11/04/2019 11:45:00 AM,362,0.68,8,28,Flash Cab
3930105,11/04/2019 11:45:00 AM,343,1.0,8,32,Medallion Leasin
3930106,11/04/2019 11:45:00 AM,377,0.89,32,28,Flash Cab
3930107,11/04/2019 11:45:00 AM,380,0.95,32,32,City Service
3930108,11/04/2019 11:45:00 AM,344,1.02,32,8,Sun Taxi
3930109,11/04/2019 11:45:00 AM,480,0.7,28,8,"Taxicab Insurance Agency, LLC"
3930110,11/04/2019 11:45:00 AM,349,1.24,32,32,Chicago Carriage Cab Corp
3930111,11/04/2019 11:45:00 AM,436,1.29,32,8,City Service
3930112,11/04/2019 11:45:00 AM,271,0.6,8,8,Chicago Independents
3930113,11/04/2019 11:45:00 AM,540,1.41,28,32,Flash Cab
3930114,11/04/2019 11:45:00 AM,358,1.19,8,8,Sun Taxi
3930115,11/04/2019 11:45:00 AM,360,1.5,32,8,Taxi Affiliation Services
3930116,11/04/2019 11:45:00 AM,310,0.61,32,32,Sun Taxi
3930117,11/04/2019 11:45:00 AM,421,0.8,8,8,Medallion Leasin
3930118,11/04/2019 11:45:00 AM,300,0.7,32,32,Taxi Affiliation Services
3930119,11/04/2019 11:45:00 AM,387,0.95,32,28,Flash Cab
3930120,11/04/2019 11:45:00 AM,439,0.7,32,28,City Service
3930121,11/04/2019 11:45:00 AM,308,0.6,28,32,Chicago Independents
3930122,11/04/2019 11:45:00 AM,256,0.64,3,3,Sun Taxi
3930123,11/04/2019 11:45:00 AM,300,0.8,8,32,"Taxicab Insurance Agency, LLC"
3930124,11/04/2019 11:45:00 AM,415,1.27,32,28,Chicago Carriage Cab Corp
