,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3960000,11/06/2019 02:15:00 PM,504,1.61,32,8,24 Seven Taxi
3960001,11/06/2019 02:15:00 PM,300,0.7,32,8,Star North Management LLC
3960002,11/06/2019 02:15:00 PM,300,0.7,32,8,Medallion Leasin
3960003,11/06/2019 02:15:00 PM,358,1.28,32,32,Flash Cab
3960004,11/06/2019 02:15:00 PM,420,1.5,7,8,Top Cab Affiliation
3960005,11/06/2019 02:15:00 PM,425,1.61,32,8,Chicago Carriage Cab Corp
3960006,11/06/2019 02:15:00 PM,293,0.79,32,32,Chicago Carriage Cab Corp
3960007,11/06/2019 02:15:00 PM,572,1.09,32,8,Flash Cab
3960008,11/06/2019 02:15:00 PM,300,1.0,32,28,Star North Management LLC
3960009,11/06/2019 02:15:00 PM,559,1.09,28,32,City Service
3960010,11/06/2019 02:15:00 PM,559,1.27,32,8,Sun Taxi
3960011,11/06/2019 02:15:00 PM,301,0.74,4,4,Flash Cab
3960012,11/06/2019 02:15:00 PM,2160,0.7,40,6,Taxi Affiliation Services
3960013,11/06/2019 02:15:00 PM,483,1.25,8,28,Nova Taxi Affiliation Llc
3960014,11/06/2019 02:15:00 PM,540,1.2,32,28,Star North Management LLC
3960015,11/06/2019 02:15:00 PM,360,1.4,6,6,"Taxicab Insurance Agency, LLC"
3960016,11/06/2019 02:15:00 PM,571,1.5,32,8,City Service
3960017,11/06/2019 02:15:00 PM,300,0.9,8,32,Taxi Affiliation Services
3960018,11/06/2019 02:15:00 PM,431,1.1,8,7,Setare Inc
3960019,11/06/2019 02:15:00 PM,360,0.6,8,8,Taxi Affiliation Services
3960020,11/06/2019 02:15:00 PM,540,1.1,32,8,Taxi Affiliation Services
3960021,11/06/2019 02:15:00 PM,569,1.4,32,28,City Service
3960022,11/06/2019 02:15:00 PM,357,0.67,32,32,Sun Taxi
3960023,11/06/2019 02:15:00 PM,360,1.2,33,32,Medallion Leasin
3960024,11/06/2019 02:15:00 PM,254,0.92,32,32,Chicago Carriage Cab Corp
3960025,11/06/2019 02:15:00 PM,480,1.1,32,32,Taxi Affiliation Services
3960026,11/06/2019 02:15:00 PM,434,0.84,32,28,24 Seven Taxi
3960027,11/06/2019 02:15:00 PM,2160,1.0,32,76,Taxi Affiliation Services
3960028,11/06/2019 02:15:00 PM,240,0.8,8,8,Taxi Affiliation Services
3960029,11/06/2019 02:15:00 PM,300,0.8,8,32,Star North Management LLC
3960030,11/06/2019 02:15:00 PM,299,0.7,32,32,Sun Taxi
3960031,11/06/2019 02:15:00 PM,2820,1.1,8,76,Blue Ribbon Taxi Association Inc.
3960032,11/06/2019 02:15:00 PM,293,0.86,1,1,Flash Cab
3960033,11/06/2019 02:15:00 PM,411,0.95,32,8,Chicago Carriage Cab Corp
3960034,11/06/2019 02:15:00 PM,372,1.02,6,6,Flash Cab
3960035,11/06/2019 02:15:00 PM,580,1.19,32,28,Chicago Carriage Cab Corp
3960036,11/06/2019 02:15:00 PM,227,0.71,32,32,Chicago Carriage Cab Corp
3960037,11/06/2019 02:15:00 PM,365,0.7,32,28,Medallion Leasin
3960038,11/06/2019 02:15:00 PM,589,1.67,32,8,Chicago Carriage Cab Corp
3960039,11/06/2019 02:15:00 PM,585,1.82,32,28,Chicago Carriage Cab Corp
3960040,11/06/2019 02:15:00 PM,540,1.2,32,8,Taxi Affiliation Services
3960041,11/06/2019 02:15:00 PM,300,0.7,32,8,"Taxicab Insurance Agency, LLC"
3960042,11/06/2019 02:15:00 PM,360,1.2,8,8,Taxi Affiliation Services
3960043,11/06/2019 02:15:00 PM,292,0.81,28,28,Chicago Carriage Cab Corp
3960044,11/06/2019 02:15:00 PM,328,1.06,32,32,Chicago Carriage Cab Corp
3960045,11/06/2019 02:15:00 PM,299,0.89,7,7,Flash Cab
3960046,11/06/2019 02:15:00 PM,2459,10.89,32,56,Taxi Affiliation Service Yellow
3960047,11/06/2019 02:15:00 PM,420,1.1,8,32,Star North Management LLC
3960048,11/06/2019 02:15:00 PM,360,1.0,8,32,Taxi Affiliation Services
3960049,11/06/2019 02:15:00 PM,306,1.04,8,32,Patriot Taxi Dba Peace Taxi Associat
3960050,11/06/2019 02:15:00 PM,366,1.13,32,28,City Service
3960051,11/06/2019 02:15:00 PM,412,0.89,32,32,Chicago Carriage Cab Corp
3960052,11/06/2019 02:15:00 PM,480,1.1,32,8,Taxi Affiliation Services
3960053,11/06/2019 02:15:00 PM,260,0.91,7,6,Flash Cab
3960054,11/06/2019 02:15:00 PM,436,1.45,7,8,Chicago Carriage Cab Corp
3960055,11/06/2019 02:15:00 PM,480,1.1,28,32,"Taxicab Insurance Agency, LLC"
3960056,11/06/2019 02:15:00 PM,480,1.5,8,28,KOAM Taxi Association
3960057,11/06/2019 02:15:00 PM,300,0.6,32,28,Medallion Leasin
3960058,11/06/2019 02:15:00 PM,442,1.0,8,32,City Service
3960059,11/06/2019 02:15:00 PM,398,1.07,32,28,Chicago Carriage Cab Corp
3960060,11/06/2019 02:15:00 PM,580,1.66,32,8,Sun Taxi
3960061,11/06/2019 02:15:00 PM,327,0.83,32,32,Chicago Carriage Cab Corp
3960062,11/06/2019 02:15:00 PM,480,1.1,32,8,Taxi Affiliation Services
3960063,11/06/2019 02:15:00 PM,386,0.7,8,8,Sun Taxi
3960064,11/06/2019 02:15:00 PM,454,1.07,32,28,City Service
3960065,11/06/2019 02:15:00 PM,300,0.6,8,32,Medallion Leasin
3960066,11/06/2019 02:15:00 PM,304,0.86,8,32,Sun Taxi
3960067,11/06/2019 02:15:00 PM,260,0.67,8,32,City Service
3960068,11/06/2019 02:15:00 PM,540,1.1,8,32,Taxi Affiliation Services
3960069,11/06/2019 02:15:00 PM,300,0.6,32,8,Star North Management LLC
3960070,11/06/2019 02:15:00 PM,270,1.3,8,8,City Service
3960071,11/06/2019 02:15:00 PM,430,0.9,32,8,City Service
3960072,11/06/2019 02:15:00 PM,561,1.21,32,8,Chicago Carriage Cab Corp
3960073,11/06/2019 02:15:00 PM,262,0.67,32,32,City Service
3960074,11/06/2019 02:15:00 PM,523,1.55,8,32,Chicago Carriage Cab Corp
3960075,11/06/2019 02:15:00 PM,2280,1.1,32,76,Taxi Affiliation Services
3960076,11/06/2019 02:15:00 PM,480,0.7,32,32,"Taxicab Insurance Agency, LLC"
3960077,11/06/2019 02:15:00 PM,497,0.98,32,32,Sun Taxi
3960078,11/06/2019 02:15:00 PM,548,1.4,8,32,Medallion Leasin
3960079,11/06/2019 02:15:00 PM,300,0.8,32,32,Medallion Leasin
3960080,11/06/2019 02:15:00 PM,317,0.7,32,32,Chicago Independents
3960081,11/06/2019 02:15:00 PM,344,0.6,8,8,Chicago Independents
3960082,11/06/2019 02:15:00 PM,240,0.9,32,8,Taxi Affiliation Services
3960083,11/06/2019 02:15:00 PM,438,1.18,8,8,Chicago Carriage Cab Corp
3960084,11/06/2019 02:15:00 PM,240,1.0,8,8,Choice Taxi Association
3960085,11/06/2019 02:15:00 PM,480,1.7,32,8,"Taxicab Insurance Agency, LLC"
3960086,11/06/2019 02:15:00 PM,1920,1.0,32,76,Blue Ribbon Taxi Association Inc.
3960087,11/06/2019 02:15:00 PM,240,0.7,32,8,Top Cab Affiliation
3960088,11/06/2019 02:15:00 PM,420,1.4,8,32,KOAM Taxi Association
3960089,11/06/2019 02:15:00 PM,360,0.9,4,5,Taxi Affiliation Services
3960090,11/06/2019 02:15:00 PM,300,0.7,32,8,312 Medallion Management Corp
3960091,11/06/2019 02:15:00 PM,405,0.9,32,28,Chicago Taxicab
3960092,11/06/2019 02:15:00 PM,441,1.07,8,32,Sun Taxi
3960093,11/06/2019 02:15:00 PM,420,0.7,8,8,Taxi Affiliation Services
3960094,11/06/2019 02:15:00 PM,499,1.36,32,8,City Service
3960095,11/06/2019 02:15:00 PM,290,0.57,8,32,Chicago Carriage Cab Corp
3960096,11/06/2019 02:15:00 PM,297,0.63,8,8,Taxi Affiliation Service Yellow
3960097,11/06/2019 02:15:00 PM,270,0.76,32,32,City Service
3960098,11/06/2019 02:30:00 PM,540,1.9,8,8,"Taxicab Insurance Agency, LLC"
3960099,11/06/2019 02:30:00 PM,240,0.9,8,32,Taxi Affiliation Services
3960100,11/06/2019 02:30:00 PM,478,1.25,28,8,Chicago Carriage Cab Corp
3960101,11/06/2019 02:30:00 PM,587,1.66,8,32,Patriot Taxi Dba Peace Taxi Associat
3960102,11/06/2019 02:30:00 PM,540,0.7,32,32,Star North Management LLC
3960103,11/06/2019 02:30:00 PM,300,0.9,32,8,Choice Taxi Association
3960104,11/06/2019 02:30:00 PM,396,1.2,32,8,Medallion Leasin
3960105,11/06/2019 02:30:00 PM,307,0.75,8,8,City Service
3960106,11/06/2019 02:30:00 PM,1920,1.1,76,8,Taxi Affiliation Services
3960107,11/06/2019 02:30:00 PM,268,0.65,8,8,Chicago Carriage Cab Corp
3960108,11/06/2019 02:30:00 PM,360,0.7,28,28,"Taxicab Insurance Agency, LLC"
3960109,11/06/2019 02:30:00 PM,360,1.0,8,28,Taxi Affiliation Services
3960110,11/06/2019 02:30:00 PM,495,0.8,32,32,24 Seven Taxi
3960111,11/06/2019 02:30:00 PM,540,1.8,8,24,Medallion Leasin
3960112,11/06/2019 02:30:00 PM,589,1.75,32,8,Chicago Carriage Cab Corp
3960113,11/06/2019 02:30:00 PM,2760,1.2,8,8,Star North Management LLC
3960114,11/06/2019 02:30:00 PM,300,0.7,8,8,Taxi Affiliation Services
3960115,11/06/2019 02:30:00 PM,398,0.75,8,8,Sun Taxi
3960116,11/06/2019 02:30:00 PM,509,1.0,28,32,City Service
3960117,11/06/2019 02:30:00 PM,328,0.99,8,8,Chicago Carriage Cab Corp
3960118,11/06/2019 02:30:00 PM,401,1.34,8,32,Chicago Carriage Cab Corp
3960119,11/06/2019 02:30:00 PM,540,1.8,8,32,Taxi Affiliation Services
3960120,11/06/2019 02:30:00 PM,389,1.44,8,32,Flash Cab
3960121,11/06/2019 02:30:00 PM,240,0.6,32,8,Taxi Affiliation Services
3960122,11/06/2019 02:30:00 PM,412,0.8,32,28,City Service
3960123,11/06/2019 02:30:00 PM,240,0.7,28,32,Star North Management LLC
3960124,11/06/2019 02:30:00 PM,292,0.81,32,32,City Service
3960125,11/06/2019 02:30:00 PM,480,1.4,8,32,Medallion Leasin
3960126,11/06/2019 02:30:00 PM,503,1.33,8,32,Flash Cab
3960127,11/06/2019 02:30:00 PM,2460,1.0,8,76,Taxi Affiliation Services
3960128,11/06/2019 02:30:00 PM,2280,1.0,6,56,Taxi Affiliation Services
3960129,11/06/2019 02:30:00 PM,1920,0.8,56,8,Blue Ribbon Taxi Association Inc.
3960130,11/06/2019 02:30:00 PM,421,1.42,28,8,Chicago Carriage Cab Corp
3960131,11/06/2019 02:30:00 PM,383,0.94,8,32,Sun Taxi
3960132,11/06/2019 02:30:00 PM,420,0.7,6,6,Medallion Leasin
3960133,11/06/2019 02:30:00 PM,329,0.68,8,8,City Service
3960134,11/06/2019 02:30:00 PM,405,0.82,8,32,Nova Taxi Affiliation Llc
3960135,11/06/2019 02:30:00 PM,282,1.07,8,8,Sun Taxi
3960136,11/06/2019 02:30:00 PM,480,1.3,8,32,Medallion Leasin
3960137,11/06/2019 02:30:00 PM,571,1.82,8,32,Chicago Carriage Cab Corp
3960138,11/06/2019 02:30:00 PM,463,0.83,8,32,Chicago Carriage Cab Corp
3960139,11/06/2019 02:30:00 PM,598,1.29,8,8,Flash Cab
3960140,11/06/2019 02:30:00 PM,407,1.3,8,8,City Service
3960141,11/06/2019 02:30:00 PM,476,0.95,24,24,Flash Cab
3960142,11/06/2019 02:30:00 PM,422,0.87,8,32,Flash Cab
