,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3990000,11/08/2019 01:45:00 PM,240,0.7,8,8,Star North Management LLC
3990001,11/08/2019 01:45:00 PM,480,0.7,8,8,Star North Management LLC
3990002,11/08/2019 01:45:00 PM,425,1.1,32,28,Chicago Carriage Cab Corp
3990003,11/08/2019 01:45:00 PM,480,0.9,8,32,Medallion Leasin
3990004,11/08/2019 01:45:00 PM,360,0.7,28,32,Taxi Affiliation Services
3990005,11/08/2019 01:45:00 PM,186,0.63,28,28,Patriot Taxi Dba Peace Taxi Associat
3990006,11/08/2019 01:45:00 PM,480,1.7,32,8,Choice Taxi Association
3990007,11/08/2019 01:45:00 PM,540,1.3,32,28,Choice Taxi Association
3990008,11/08/2019 01:45:00 PM,360,1.1,32,28,Star North Management LLC
3990009,11/08/2019 01:45:00 PM,251,0.71,32,28,Sun Taxi
3990010,11/08/2019 01:45:00 PM,480,1.1,32,28,Star North Management LLC
3990011,11/08/2019 01:45:00 PM,540,1.5,8,28,Taxi Affiliation Services
3990012,11/08/2019 01:45:00 PM,360,0.7,32,32,Star North Management LLC
3990013,11/08/2019 01:45:00 PM,358,0.78,32,32,Sun Taxi
3990014,11/08/2019 01:45:00 PM,420,0.8,28,32,Taxi Affiliation Services
3990015,11/08/2019 01:45:00 PM,546,1.15,28,8,Flash Cab
3990016,11/08/2019 01:45:00 PM,354,1.08,32,28,Sun Taxi
3990017,11/08/2019 01:45:00 PM,542,1.59,32,8,City Service
3990018,11/08/2019 01:45:00 PM,345,1.09,32,8,Sun Taxi
3990019,11/08/2019 01:45:00 PM,480,1.1,8,8,Star North Management LLC
3990020,11/08/2019 01:45:00 PM,472,1.11,28,32,24 Seven Taxi
3990021,11/08/2019 01:45:00 PM,400,0.88,32,32,Flash Cab
3990022,11/08/2019 01:45:00 PM,339,0.74,8,8,Flash Cab
3990023,11/08/2019 01:45:00 PM,544,0.93,8,32,Sun Taxi
3990024,11/08/2019 01:45:00 PM,321,0.72,8,8,Flash Cab
3990025,11/08/2019 01:45:00 PM,306,0.63,8,8,Flash Cab
3990026,11/08/2019 01:45:00 PM,549,1.28,8,32,Chicago Carriage Cab Corp
3990027,11/08/2019 01:45:00 PM,574,1.54,8,24,Flash Cab
3990028,11/08/2019 01:45:00 PM,290,0.63,8,8,Flash Cab
3990029,11/08/2019 01:45:00 PM,552,1.33,8,8,Flash Cab
3990030,11/08/2019 01:45:00 PM,329,1.07,28,28,Patriot Taxi Dba Peace Taxi Associat
3990031,11/08/2019 01:45:00 PM,599,1.21,32,8,City Service
3990032,11/08/2019 01:45:00 PM,480,1.3,32,8,Choice Taxi Association
3990033,11/08/2019 01:45:00 PM,469,1.08,32,32,Chicago Carriage Cab Corp
3990034,11/08/2019 01:45:00 PM,482,1.0,32,8,Medallion Leasin
3990035,11/08/2019 01:45:00 PM,357,0.8,32,28,City Service
3990036,11/08/2019 01:45:00 PM,260,0.58,28,32,City Service
3990037,11/08/2019 01:45:00 PM,431,1.13,32,8,Nova Taxi Affiliation Llc
3990038,11/08/2019 01:45:00 PM,540,1.0,8,28,Medallion Leasin
3990039,11/08/2019 01:45:00 PM,3180,1.1,8,76,Taxi Affiliation Services
3990040,11/08/2019 01:45:00 PM,300,0.8,8,32,Choice Taxi Association
3990041,11/08/2019 01:45:00 PM,480,1.1,8,8,Taxi Affiliation Services
3990042,11/08/2019 01:45:00 PM,2514,10.93,28,64,Sun Taxi
3990043,11/08/2019 01:45:00 PM,406,0.54,32,28,Sun Taxi
3990044,11/08/2019 01:45:00 PM,336,0.62,8,8,Flash Cab
3990045,11/08/2019 01:45:00 PM,240,0.6,32,28,Star North Management LLC
3990046,11/08/2019 01:45:00 PM,403,1.0,32,28,Flash Cab
3990047,11/08/2019 01:45:00 PM,210,0.68,28,32,Flash Cab
3990048,11/08/2019 01:45:00 PM,420,1.0,32,8,Medallion Leasin
3990049,11/08/2019 01:45:00 PM,540,0.7,32,32,Choice Taxi Association
3990050,11/08/2019 01:45:00 PM,360,1.0,8,8,Top Cab Affiliation
3990051,11/08/2019 01:45:00 PM,515,1.06,32,8,Chicago Carriage Cab Corp
3990052,11/08/2019 01:45:00 PM,567,1.24,32,32,Flash Cab
3990053,11/08/2019 01:45:00 PM,360,0.8,8,32,Medallion Leasin
3990054,11/08/2019 01:45:00 PM,240,0.6,28,32,Star North Management LLC
3990055,11/08/2019 01:45:00 PM,300,0.7,8,32,Star North Management LLC
3990056,11/08/2019 01:45:00 PM,343,0.99,11,11,Flash Cab
3990057,11/08/2019 01:45:00 PM,480,0.9,8,8,Choice Taxi Association
3990058,11/08/2019 01:45:00 PM,287,0.66,32,8,Sun Taxi
3990059,11/08/2019 01:45:00 PM,515,1.13,8,8,Flash Cab
3990060,11/08/2019 01:45:00 PM,360,0.8,8,8,Chicago Independents
3990061,11/08/2019 01:45:00 PM,261,0.6,8,8,Flash Cab
3990062,11/08/2019 01:45:00 PM,2700,1.1,32,76,Blue Ribbon Taxi Association Inc.
3990063,11/08/2019 01:45:00 PM,271,1.0,7,7,Flash Cab
3990064,11/08/2019 01:45:00 PM,507,1.02,8,8,Flash Cab
3990065,11/08/2019 01:45:00 PM,399,0.59,8,8,Flash Cab
3990066,11/08/2019 01:45:00 PM,540,1.0,32,32,Taxi Affiliation Services
3990067,11/08/2019 01:45:00 PM,19358,1.9,28,10,Chicago Carriage Cab Corp
3990068,11/08/2019 01:45:00 PM,540,1.0,32,32,"Taxicab Insurance Agency, LLC"
3990069,11/08/2019 01:45:00 PM,240,0.6,32,32,Star North Management LLC
3990070,11/08/2019 01:45:00 PM,562,1.15,32,32,Chicago Carriage Cab Corp
3990071,11/08/2019 01:45:00 PM,335,1.27,32,8,Chicago Carriage Cab Corp
3990072,11/08/2019 01:45:00 PM,488,1.28,32,33,Chicago Carriage Cab Corp
3990073,11/08/2019 01:45:00 PM,306,0.6,32,32,Medallion Leasin
3990074,11/08/2019 01:45:00 PM,499,1.07,32,32,Chicago Carriage Cab Corp
3990075,11/08/2019 01:45:00 PM,420,1.5,32,8,"Taxicab Insurance Agency, LLC"
3990076,11/08/2019 01:45:00 PM,442,1.23,32,8,Flash Cab
3990077,11/08/2019 01:45:00 PM,460,1.37,32,8,Chicago Carriage Cab Corp
3990078,11/08/2019 01:45:00 PM,409,0.69,8,8,Chicago Carriage Cab Corp
3990079,11/08/2019 01:45:00 PM,429,0.8,32,32,Nova Taxi Affiliation Llc
3990080,11/08/2019 01:45:00 PM,420,0.92,32,8,Flash Cab
3990081,11/08/2019 01:45:00 PM,480,0.9,28,28,Choice Taxi Association
3990082,11/08/2019 01:45:00 PM,300,0.6,8,8,"Taxicab Insurance Agency, LLC"
3990083,11/08/2019 01:45:00 PM,360,0.7,28,32,"Taxicab Insurance Agency, LLC"
3990084,11/08/2019 01:45:00 PM,309,0.6,8,8,Medallion Leasin
3990085,11/08/2019 01:45:00 PM,420,0.8,8,32,3094 - 24059 G.L.B. Cab Co
3990086,11/08/2019 01:45:00 PM,317,0.81,32,8,Sun Taxi
3990087,11/08/2019 01:45:00 PM,540,1.9,28,8,Medallion Leasin
3990088,11/08/2019 01:45:00 PM,500,1.37,32,8,Sun Taxi
3990089,11/08/2019 01:45:00 PM,199,0.63,8,8,Sun Taxi
3990090,11/08/2019 01:45:00 PM,283,0.52,6,7,Flash Cab
3990091,11/08/2019 01:45:00 PM,1832,0.81,8,8,Flash Cab
3990092,11/08/2019 01:45:00 PM,447,1.78,32,8,Sun Taxi
3990093,11/08/2019 01:45:00 PM,300,0.7,28,32,Taxi Affiliation Services
3990094,11/08/2019 01:45:00 PM,427,0.81,8,8,Flash Cab
3990095,11/08/2019 01:45:00 PM,480,1.1,32,8,Medallion Leasin
3990096,11/08/2019 01:45:00 PM,420,0.79,28,32,Chicago Carriage Cab Corp
3990097,11/08/2019 01:45:00 PM,456,0.77,32,32,Chicago Carriage Cab Corp
3990098,11/08/2019 01:45:00 PM,466,0.54,32,32,Chicago Carriage Cab Corp
3990099,11/08/2019 01:45:00 PM,554,1.4,32,8,Chicago Taxicab
3990100,11/08/2019 01:45:00 PM,2820,1.0,32,76,Blue Ribbon Taxi Association Inc.
3990101,11/08/2019 01:45:00 PM,480,1.5,33,33,Star North Management LLC
3990102,11/08/2019 01:45:00 PM,540,1.0,28,32,Medallion Leasin
3990103,11/08/2019 01:45:00 PM,576,1.41,32,8,Flash Cab
3990104,11/08/2019 01:45:00 PM,575,1.2,32,8,City Service
3990105,11/08/2019 01:45:00 PM,382,1.16,8,8,Sun Taxi
3990106,11/08/2019 01:45:00 PM,300,0.8,8,8,Taxi Affiliation Services
3990107,11/08/2019 01:45:00 PM,300,0.8,32,32,Star North Management LLC
3990108,11/08/2019 01:45:00 PM,360,1.5,8,8,Taxi Affiliation Services
3990109,11/08/2019 01:45:00 PM,554,1.62,28,28,Chicago Carriage Cab Corp
3990110,11/08/2019 01:45:00 PM,429,1.14,32,32,City Service
3990111,11/08/2019 01:45:00 PM,480,1.1,32,8,Taxi Affiliation Services
3990112,11/08/2019 01:45:00 PM,490,1.24,8,8,Nova Taxi Affiliation Llc
3990113,11/08/2019 01:45:00 PM,300,0.6,32,32,Taxi Affiliation Services
3990114,11/08/2019 01:45:00 PM,540,1.5,8,8,Taxi Affiliation Services
3990115,11/08/2019 01:45:00 PM,475,0.95,8,8,Taxi Affiliation Service Yellow
3990116,11/08/2019 01:45:00 PM,300,0.9,28,8,Choice Taxi Association
3990117,11/08/2019 01:45:00 PM,229,0.81,8,32,Chicago Carriage Cab Corp
3990118,11/08/2019 01:45:00 PM,447,1.23,8,32,Sun Taxi
3990119,11/08/2019 01:45:00 PM,240,0.7,8,32,Medallion Leasin
3990120,11/08/2019 01:45:00 PM,591,1.3,32,28,City Service
3990121,11/08/2019 01:45:00 PM,570,1.92,32,8,Chicago Carriage Cab Corp
3990122,11/08/2019 01:45:00 PM,300,0.9,8,8,Medallion Leasin
3990123,11/08/2019 01:45:00 PM,513,1.38,32,8,Chicago Carriage Cab Corp
3990124,11/08/2019 01:45:00 PM,540,1.3,28,8,Star North Management LLC
3990125,11/08/2019 01:45:00 PM,594,1.88,8,32,Chicago Carriage Cab Corp
3990126,11/08/2019 01:45:00 PM,580,0.78,8,32,City Service
3990127,11/08/2019 01:45:00 PM,387,1.23,28,28,Flash Cab
3990128,11/08/2019 01:45:00 PM,407,0.83,8,8,Flash Cab
3990129,11/08/2019 01:45:00 PM,322,0.7,8,32,City Service
3990130,11/08/2019 01:45:00 PM,369,1.06,32,32,Chicago Carriage Cab Corp
3990131,11/08/2019 01:45:00 PM,531,1.34,8,32,Chicago Carriage Cab Corp
3990132,11/08/2019 01:45:00 PM,356,0.69,8,32,Flash Cab
3990133,11/08/2019 01:45:00 PM,250,0.87,8,32,Chicago Carriage Cab Corp
3990134,11/08/2019 01:45:00 PM,351,1.34,32,33,Chicago Carriage Cab Corp
3990135,11/08/2019 01:45:00 PM,484,0.74,8,32,City Service
3990136,11/08/2019 01:45:00 PM,300,0.7,32,32,Taxi Affiliation Services
3990137,11/08/2019 01:45:00 PM,298,0.76,32,32,Sun Taxi
3990138,11/08/2019 01:45:00 PM,379,0.68,8,32,Sun Taxi
3990139,11/08/2019 01:45:00 PM,365,0.96,28,32,City Service
3990140,11/08/2019 01:45:00 PM,423,1.29,77,3,City Service
3990141,11/08/2019 01:45:00 PM,543,1.39,8,8,Chicago Carriage Cab Corp
3990142,11/08/2019 01:45:00 PM,540,1.6,28,8,Taxi Affiliation Services
3990143,11/08/2019 01:45:00 PM,420,0.7,32,32,Taxi Affiliation Services
3990144,11/08/2019 01:45:00 PM,540,0.9,8,32,Star North Management LLC
3990145,11/08/2019 01:45:00 PM,480,1.4,8,8,Taxi Affiliation Services
