,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4010000,11/10/2019 03:00:00 PM,342,0.63,8,8,Sun Taxi
4010001,11/10/2019 03:00:00 PM,493,1.0,8,32,City Service
4010002,11/10/2019 03:00:00 PM,358,0.7,8,8,Flash Cab
4010003,11/10/2019 03:00:00 PM,480,1.3,7,8,Choice Taxi Association
4010004,11/10/2019 03:00:00 PM,360,1.1,8,32,Taxi Affiliation Services
4010005,11/10/2019 03:00:00 PM,580,1.84,28,8,Flash Cab
4010006,11/10/2019 03:00:00 PM,2160,0.8,8,56,Taxi Affiliation Services
4010007,11/10/2019 03:00:00 PM,300,0.7,8,8,Taxi Affiliation Services
4010008,11/10/2019 03:00:00 PM,427,0.67,8,8,Patriot Taxi Dba Peace Taxi Associat
4010009,11/10/2019 03:00:00 PM,205,0.8,8,8,Medallion Leasin
4010010,11/10/2019 03:00:00 PM,297,1.15,32,8,City Service
4010011,11/10/2019 03:00:00 PM,313,1.2,32,28,City Service
4010012,11/10/2019 03:00:00 PM,567,1.4,8,8,Medallion Leasin
4010013,11/10/2019 03:00:00 PM,2100,0.8,6,76,Taxi Affiliation Services
4010014,11/10/2019 03:00:00 PM,355,0.68,8,8,Patriot Taxi Dba Peace Taxi Associat
4010015,11/10/2019 03:00:00 PM,412,0.94,7,22,Flash Cab
4010016,11/10/2019 03:00:00 PM,583,1.8,32,8,Chicago Carriage Cab Corp
4010017,11/10/2019 03:00:00 PM,314,0.68,8,8,Flash Cab
4010018,11/10/2019 03:00:00 PM,223,0.75,28,28,Chicago Carriage Cab Corp
4010019,11/10/2019 03:00:00 PM,540,1.4,8,32,Taxi Affiliation Services
4010020,11/10/2019 03:00:00 PM,420,1.45,77,3,Flash Cab
4010021,11/10/2019 03:00:00 PM,300,0.9,8,32,Star North Management LLC
4010022,11/10/2019 03:00:00 PM,2520,1.1,32,76,Taxi Affiliation Services
4010023,11/10/2019 03:00:00 PM,184,0.51,2,13,Flash Cab
4010024,11/10/2019 03:00:00 PM,589,1.88,8,8,Sun Taxi
4010025,11/10/2019 03:00:00 PM,523,1.3,8,32,City Service
4010026,11/10/2019 03:00:00 PM,300,0.7,32,8,Taxi Affiliation Services
4010027,11/10/2019 03:00:00 PM,540,1.1,8,32,Medallion Leasin
4010028,11/10/2019 03:00:00 PM,236,0.68,3,3,Flash Cab
4010029,11/10/2019 03:00:00 PM,480,1.1,8,28,Taxi Affiliation Services
4010030,11/10/2019 03:00:00 PM,356,0.9,32,8,Chicago Carriage Cab Corp
4010031,11/10/2019 03:00:00 PM,420,1.1,8,8,Taxi Affiliation Services
4010032,11/10/2019 03:00:00 PM,562,0.89,8,8,Flash Cab
4010033,11/10/2019 03:00:00 PM,240,1.0,6,6,Taxi Affiliation Services
4010034,11/10/2019 03:00:00 PM,411,1.28,8,8,Flash Cab
4010035,11/10/2019 03:00:00 PM,360,1.7,28,32,"Taxicab Insurance Agency, LLC"
4010036,11/10/2019 03:00:00 PM,300,0.7,32,8,Taxi Affiliation Services
4010037,11/10/2019 03:00:00 PM,540,1.8,28,8,"Taxicab Insurance Agency, LLC"
4010038,11/10/2019 03:00:00 PM,420,1.9,33,35,Star North Management LLC
4010039,11/10/2019 03:00:00 PM,469,1.0,32,8,City Service
4010040,11/10/2019 03:00:00 PM,410,0.99,8,32,Flash Cab
4010041,11/10/2019 03:00:00 PM,240,0.8,32,8,Taxi Affiliation Services
4010042,11/10/2019 03:00:00 PM,540,1.5,32,8,Taxi Affiliation Services
4010043,11/10/2019 03:00:00 PM,397,1.12,8,32,Chicago Carriage Cab Corp
4010044,11/10/2019 03:00:00 PM,300,0.9,8,8,Star North Management LLC
4010045,11/10/2019 03:00:00 PM,300,0.9,8,8,Taxi Affiliation Services
4010046,11/10/2019 03:00:00 PM,360,0.9,32,28,Taxi Affiliation Services
4010047,11/10/2019 03:00:00 PM,360,0.9,28,28,Taxi Affiliation Services
4010048,11/10/2019 03:00:00 PM,240,0.6,4,4,Taxi Affiliation Services
4010049,11/10/2019 03:00:00 PM,360,0.7,8,8,Taxi Affiliation Services
4010050,11/10/2019 03:00:00 PM,584,1.5,28,32,Nova Taxi Affiliation Llc
4010051,11/10/2019 03:00:00 PM,480,1.2,8,32,Choice Taxi Association
4010052,11/10/2019 03:00:00 PM,392,0.89,33,34,Nova Taxi Affiliation Llc
4010053,11/10/2019 03:00:00 PM,420,1.5,8,28,Star North Management LLC
4010054,11/10/2019 03:00:00 PM,570,1.85,32,8,Sun Taxi
4010055,11/10/2019 03:00:00 PM,528,1.3,8,8,Chicago Taxicab
4010056,11/10/2019 03:00:00 PM,208,1.08,8,32,Sun Taxi
4010057,11/10/2019 03:00:00 PM,416,1.78,33,33,Chicago Carriage Cab Corp
4010058,11/10/2019 03:00:00 PM,278,0.73,32,28,Flash Cab
4010059,11/10/2019 03:00:00 PM,402,0.93,32,8,Sun Taxi
4010060,11/10/2019 03:00:00 PM,517,1.78,32,33,Flash Cab
4010061,11/10/2019 03:00:00 PM,420,0.9,32,8,Medallion Leasin
4010062,11/10/2019 03:00:00 PM,236,0.78,28,28,Sun Taxi
4010063,11/10/2019 03:00:00 PM,413,1.75,28,32,Chicago Carriage Cab Corp
4010064,11/10/2019 03:00:00 PM,426,0.9,8,8,Flash Cab
4010065,11/10/2019 03:15:00 PM,2280,1.2,76,33,Taxi Affiliation Services
4010066,11/10/2019 03:15:00 PM,360,0.6,8,8,Taxi Affiliation Services
4010067,11/10/2019 03:15:00 PM,265,1.01,32,28,City Service
4010068,11/10/2019 03:15:00 PM,342,1.28,32,8,Chicago Carriage Cab Corp
4010069,11/10/2019 03:15:00 PM,492,1.1,6,6,City Service
4010070,11/10/2019 03:15:00 PM,360,0.9,8,32,Taxi Affiliation Services
4010071,11/10/2019 03:15:00 PM,293,0.7,8,32,Setare Inc
4010072,11/10/2019 03:15:00 PM,324,0.64,8,32,Flash Cab
4010073,11/10/2019 03:15:00 PM,353,0.95,32,8,City Service
4010074,11/10/2019 03:15:00 PM,240,1.0,8,32,Choice Taxi Association
4010075,11/10/2019 03:15:00 PM,401,1.2,3,6,Flash Cab
4010076,11/10/2019 03:15:00 PM,386,1.13,8,32,Flash Cab
4010077,11/10/2019 03:15:00 PM,545,1.36,8,8,Flash Cab
4010078,11/10/2019 03:15:00 PM,540,1.1,8,8,Star North Management LLC
4010079,11/10/2019 03:15:00 PM,489,1.54,32,8,Sun Taxi
4010080,11/10/2019 03:15:00 PM,265,0.83,32,32,City Service
4010081,11/10/2019 03:15:00 PM,249,0.64,4,4,Flash Cab
4010082,11/10/2019 03:15:00 PM,240,0.8,32,8,Taxi Affiliation Services
4010083,11/10/2019 03:15:00 PM,240,0.7,8,8,Choice Taxi Association
4010084,11/10/2019 03:15:00 PM,574,1.43,32,32,Flash Cab
4010085,11/10/2019 03:15:00 PM,319,1.68,8,7,City Service
4010086,11/10/2019 03:15:00 PM,423,1.17,8,8,Sun Taxi
4010087,11/10/2019 03:15:00 PM,420,0.8,32,8,Taxi Affiliation Services
4010088,11/10/2019 03:15:00 PM,506,1.14,8,32,Flash Cab
4010089,11/10/2019 03:15:00 PM,362,1.12,11,8,Sun Taxi
4010090,11/10/2019 03:15:00 PM,405,1.31,8,8,Sun Taxi
4010091,11/10/2019 03:15:00 PM,546,1.43,4,14,Flash Cab
4010092,11/10/2019 03:15:00 PM,405,1.3,7,7,Sun Taxi
4010093,11/10/2019 03:15:00 PM,540,1.2,8,8,Taxi Affiliation Services
4010094,11/10/2019 03:15:00 PM,510,1.71,8,7,Flash Cab
4010095,11/10/2019 03:15:00 PM,344,1.03,32,32,Sun Taxi
4010096,11/10/2019 03:15:00 PM,556,1.55,8,8,Sun Taxi
4010097,11/10/2019 03:15:00 PM,480,0.8,8,8,Taxi Affiliation Services
4010098,11/10/2019 03:15:00 PM,516,1.49,28,32,Flash Cab
4010099,11/10/2019 03:15:00 PM,360,1.0,8,8,Choice Taxi Association
4010100,11/10/2019 03:15:00 PM,382,0.93,8,32,Sun Taxi
4010101,11/10/2019 03:15:00 PM,230,0.8,32,32,City Service
