,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4020000,11/11/2019 04:00:00 PM,499,1.11,32,32,Nova Taxi Affiliation Llc
4020001,11/11/2019 04:00:00 PM,350,0.89,32,8,Sun Taxi
4020002,11/11/2019 04:00:00 PM,371,0.9,32,32,Chicago Independents
4020003,11/11/2019 04:00:00 PM,300,0.7,32,28,Medallion Leasin
4020004,11/11/2019 04:00:00 PM,292,0.6,8,32,Flash Cab
4020005,11/11/2019 04:00:00 PM,300,1.4,32,28,Choice Taxi Association
4020006,11/11/2019 04:00:00 PM,570,1.77,8,28,City Service
4020007,11/11/2019 04:00:00 PM,508,1.89,33,32,Chicago Carriage Cab Corp
4020008,11/11/2019 04:00:00 PM,420,0.9,32,28,Medallion Leasin
4020009,11/11/2019 04:00:00 PM,455,0.96,8,32,Chicago Carriage Cab Corp
4020010,11/11/2019 04:00:00 PM,360,1.5,7,8,Taxi Affiliation Services
4020011,11/11/2019 04:00:00 PM,504,1.18,32,28,Chicago Carriage Cab Corp
4020012,11/11/2019 04:00:00 PM,372,0.93,8,8,Flash Cab
4020013,11/11/2019 04:00:00 PM,378,0.96,32,28,Chicago Carriage Cab Corp
4020014,11/11/2019 04:00:00 PM,486,1.31,32,8,Sun Taxi
4020015,11/11/2019 04:00:00 PM,327,1.14,8,8,City Service
4020016,11/11/2019 04:00:00 PM,480,0.87,32,32,Nova Taxi Affiliation Llc
4020017,11/11/2019 04:00:00 PM,300,0.8,32,32,Top Cab Affiliation
4020018,11/11/2019 04:00:00 PM,521,1.59,32,8,Patriot Taxi Dba Peace Taxi Associat
4020019,11/11/2019 04:00:00 PM,420,1.0,32,8,Choice Taxi Association
4020020,11/11/2019 04:00:00 PM,570,1.44,8,8,Flash Cab
4020021,11/11/2019 04:00:00 PM,419,1.13,8,8,Flash Cab
4020022,11/11/2019 04:00:00 PM,550,1.41,32,33,City Service
4020023,11/11/2019 04:00:00 PM,461,0.69,32,32,Sun Taxi
4020024,11/11/2019 04:00:00 PM,420,0.6,33,6,Medallion Leasin
4020025,11/11/2019 04:00:00 PM,300,0.6,8,8,Choice Taxi Association
4020026,11/11/2019 04:00:00 PM,420,1.8,8,7,Star North Management LLC
4020027,11/11/2019 04:00:00 PM,560,1.24,32,32,Chicago Carriage Cab Corp
4020028,11/11/2019 04:00:00 PM,552,1.4,8,32,Chicago Independents
4020029,11/11/2019 04:00:00 PM,401,0.75,32,32,Sun Taxi
4020030,11/11/2019 04:00:00 PM,480,1.6,8,28,Taxi Affiliation Services
4020031,11/11/2019 04:00:00 PM,467,1.21,8,8,Flash Cab
4020032,11/11/2019 04:00:00 PM,233,0.6,32,32,Leonard Cab Co
4020033,11/11/2019 04:00:00 PM,566,1.41,7,7,Chicago Independents
4020034,11/11/2019 04:00:00 PM,420,1.0,28,32,Medallion Leasin
4020035,11/11/2019 04:00:00 PM,420,1.1,8,32,Taxi Affiliation Services
4020036,11/11/2019 04:00:00 PM,480,1.9,33,60,Taxi Affiliation Services
4020037,11/11/2019 04:00:00 PM,460,1.09,8,28,Chicago Carriage Cab Corp
4020038,11/11/2019 04:00:00 PM,1980,1.1,76,8,Blue Ribbon Taxi Association Inc.
4020039,11/11/2019 04:00:00 PM,314,0.95,8,8,Flash Cab
4020040,11/11/2019 04:00:00 PM,240,0.8,32,28,"Taxicab Insurance Agency, LLC"
4020041,11/11/2019 04:00:00 PM,464,1.1,32,8,City Service
4020042,11/11/2019 04:00:00 PM,193,0.68,8,8,Sun Taxi
4020043,11/11/2019 04:00:00 PM,240,0.7,32,32,Medallion Leasin
4020044,11/11/2019 04:00:00 PM,583,1.37,32,28,24 Seven Taxi
4020045,11/11/2019 04:00:00 PM,370,0.85,28,32,Nova Taxi Affiliation Llc
4020046,11/11/2019 04:00:00 PM,300,0.79,8,8,Chicago Carriage Cab Corp
4020047,11/11/2019 04:00:00 PM,300,0.8,8,32,Taxi Affiliation Services
4020048,11/11/2019 04:00:00 PM,360,1.1,8,8,Taxi Affiliation Services
4020049,11/11/2019 04:00:00 PM,420,1.8,9,10,Taxi Affiliation Services
4020050,11/11/2019 04:00:00 PM,360,0.6,8,32,Choice Taxi Association
4020051,11/11/2019 04:00:00 PM,360,1.0,32,8,Medallion Leasin
4020052,11/11/2019 04:00:00 PM,300,0.9,32,32,Taxi Affiliation Services
4020053,11/11/2019 04:00:00 PM,540,1.6,8,28,Choice Taxi Association
4020054,11/11/2019 04:15:00 PM,296,1.14,28,24,City Service
4020055,11/11/2019 04:15:00 PM,518,1.68,33,32,24 Seven Taxi
4020056,11/11/2019 04:15:00 PM,558,1.33,77,77,Flash Cab
4020057,11/11/2019 04:15:00 PM,460,1.7,32,33,City Service
4020058,11/11/2019 04:15:00 PM,540,1.5,32,32,Taxi Affiliation Services
4020059,11/11/2019 04:15:00 PM,540,1.1,32,28,Medallion Leasin
4020060,11/11/2019 04:15:00 PM,514,1.7,32,8,Medallion Leasin
4020061,11/11/2019 04:15:00 PM,578,1.3,32,28,City Service
4020062,11/11/2019 04:15:00 PM,532,1.2,32,8,Chicago Taxicab
4020063,11/11/2019 04:15:00 PM,535,1.39,8,28,Sun Taxi
4020064,11/11/2019 04:15:00 PM,480,1.5,32,28,Taxi Affiliation Services
4020065,11/11/2019 04:15:00 PM,353,1.15,32,8,Chicago Carriage Cab Corp
4020066,11/11/2019 04:15:00 PM,300,0.81,32,32,Nova Taxi Affiliation Llc
