,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4030000,11/12/2019 11:45:00 AM,420,1.25,32,8,Nova Taxi Affiliation Llc
4030001,11/12/2019 11:45:00 AM,274,0.53,32,32,Chicago Carriage Cab Corp
4030002,11/12/2019 11:45:00 AM,567,1.02,2,2,Flash Cab
4030003,11/12/2019 11:45:00 AM,391,1.11,3,77,Flash Cab
4030004,11/12/2019 11:45:00 AM,481,0.93,28,32,Chicago Carriage Cab Corp
4030005,11/12/2019 11:45:00 AM,565,1.13,28,32,Chicago Carriage Cab Corp
4030006,11/12/2019 11:45:00 AM,271,0.92,33,33,Flash Cab
4030007,11/12/2019 11:45:00 AM,497,1.78,8,32,Flash Cab
4030008,11/12/2019 11:45:00 AM,402,0.7,8,8,Medallion Leasin
4030009,11/12/2019 11:45:00 AM,300,0.6,32,32,Medallion Leasin
4030010,11/12/2019 11:45:00 AM,484,1.28,32,8,Chicago Carriage Cab Corp
4030011,11/12/2019 11:45:00 AM,360,0.6,32,32,Star North Management LLC
4030012,11/12/2019 11:45:00 AM,198,0.82,8,8,Chicago Carriage Cab Corp
4030013,11/12/2019 11:45:00 AM,377,0.9,8,32,Chicago Carriage Cab Corp
4030014,11/12/2019 11:45:00 AM,298,0.63,32,8,Sun Taxi
4030015,11/12/2019 11:45:00 AM,444,0.8,8,32,Chicago Independents
4030016,11/12/2019 11:45:00 AM,405,0.84,32,32,Nova Taxi Affiliation Llc
4030017,11/12/2019 11:45:00 AM,339,0.77,32,32,Sun Taxi
4030018,11/12/2019 11:45:00 AM,240,0.6,8,8,Star North Management LLC
4030019,11/12/2019 11:45:00 AM,427,0.8,32,28,City Service
4030020,11/12/2019 11:45:00 AM,240,0.7,8,8,Taxi Affiliation Services
4030021,11/12/2019 11:45:00 AM,541,1.7,32,33,City Service
4030022,11/12/2019 11:45:00 AM,443,0.95,32,32,Sun Taxi
4030023,11/12/2019 11:45:00 AM,486,1.31,28,32,Chicago Carriage Cab Corp
4030024,11/12/2019 11:45:00 AM,480,1.4,8,32,Taxi Affiliation Services
4030025,11/12/2019 11:45:00 AM,521,1.01,32,8,Nova Taxi Affiliation Llc
4030026,11/12/2019 11:45:00 AM,305,0.67,8,8,Sun Taxi
4030027,11/12/2019 11:45:00 AM,480,0.7,28,32,Taxi Affiliation Services
4030028,11/12/2019 11:45:00 AM,398,1.01,32,8,Flash Cab
4030029,11/12/2019 11:45:00 AM,360,1.1,8,8,Medallion Leasin
4030030,11/12/2019 11:45:00 AM,196,0.61,7,8,City Service
4030031,11/12/2019 11:45:00 AM,465,0.94,32,32,Flash Cab
4030032,11/12/2019 11:45:00 AM,408,0.87,32,8,Chicago Carriage Cab Corp
4030033,11/12/2019 11:45:00 AM,360,1.2,8,32,Medallion Leasin
4030034,11/12/2019 11:45:00 AM,421,1.05,32,32,Chicago Carriage Cab Corp
4030035,11/12/2019 11:45:00 AM,310,0.74,32,32,Flash Cab
4030036,11/12/2019 11:45:00 AM,420,0.9,28,32,"Taxicab Insurance Agency, LLC"
4030037,11/12/2019 11:45:00 AM,343,0.71,28,32,Flash Cab
4030038,11/12/2019 11:45:00 AM,286,0.84,7,7,Flash Cab
4030039,11/12/2019 11:45:00 AM,480,1.4,32,8,Taxi Affiliation Services
4030040,11/12/2019 11:45:00 AM,363,1.1,28,32,Sun Taxi
4030041,11/12/2019 11:45:00 AM,595,1.25,8,28,Flash Cab
4030042,11/12/2019 11:45:00 AM,480,1.3,8,32,Taxi Affiliation Services
4030043,11/12/2019 11:45:00 AM,242,0.56,32,8,Patriot Taxi Dba Peace Taxi Associat
4030044,11/12/2019 11:45:00 AM,540,1.56,28,32,Sun Taxi
4030045,11/12/2019 11:45:00 AM,212,0.59,32,8,Chicago Carriage Cab Corp
4030046,11/12/2019 11:45:00 AM,402,1.0,8,32,Flash Cab
4030047,11/12/2019 11:45:00 AM,312,0.6,8,8,City Service
4030048,11/12/2019 11:45:00 AM,501,1.76,33,32,24 Seven Taxi
4030049,11/12/2019 11:45:00 AM,457,0.76,8,32,City Service
4030050,11/12/2019 11:45:00 AM,502,0.79,28,28,Sun Taxi
4030051,11/12/2019 11:45:00 AM,320,1.0,8,8,Chicago Independents
4030052,11/12/2019 11:45:00 AM,397,0.81,28,32,Chicago Carriage Cab Corp
4030053,11/12/2019 11:45:00 AM,360,1.3,8,32,Star North Management LLC
4030054,11/12/2019 11:45:00 AM,349,0.89,32,8,Sun Taxi
4030055,11/12/2019 11:45:00 AM,550,1.5,8,8,City Service
4030056,11/12/2019 11:45:00 AM,2880,1.1,76,32,Taxi Affiliation Services
4030057,11/12/2019 11:45:00 AM,360,1.1,32,8,Choice Taxi Association
4030058,11/12/2019 11:45:00 AM,360,1.0,32,32,Star North Management LLC
4030059,11/12/2019 11:45:00 AM,241,0.75,32,32,Nova Taxi Affiliation Llc
4030060,11/12/2019 11:45:00 AM,294,0.65,28,32,Checker Taxi Affiliation
4030061,11/12/2019 11:45:00 AM,360,1.1,32,28,Star North Management LLC
4030062,11/12/2019 11:45:00 AM,433,1.4,32,28,Flash Cab
4030063,11/12/2019 11:45:00 AM,420,0.9,33,32,"Taxicab Insurance Agency, LLC"
4030064,11/12/2019 11:45:00 AM,349,0.7,8,8,City Service
4030065,11/12/2019 11:45:00 AM,397,0.97,32,8,Chicago Carriage Cab Corp
4030066,11/12/2019 11:45:00 AM,311,0.55,32,8,City Service
4030067,11/12/2019 11:45:00 AM,539,0.88,8,32,Chicago Carriage Cab Corp
4030068,11/12/2019 11:45:00 AM,290,0.6,8,32,Chicago Independents
4030069,11/12/2019 11:45:00 AM,300,0.9,32,28,"Taxicab Insurance Agency, LLC"
4030070,11/12/2019 11:45:00 AM,473,1.63,32,33,Chicago Carriage Cab Corp
4030071,11/12/2019 11:45:00 AM,491,1.17,32,32,Sun Taxi
4030072,11/12/2019 11:45:00 AM,287,0.67,32,32,Sun Taxi
4030073,11/12/2019 11:45:00 AM,350,0.84,32,28,Chicago Carriage Cab Corp
4030074,11/12/2019 11:45:00 AM,483,1.5,8,7,Chicago Independents
4030075,11/12/2019 11:45:00 AM,568,0.7,32,32,Chicago Carriage Cab Corp
4030076,11/12/2019 11:45:00 AM,480,1.3,32,32,"Taxicab Insurance Agency, LLC"
4030077,11/12/2019 11:45:00 AM,308,1.01,32,28,Sun Taxi
4030078,11/12/2019 11:45:00 AM,323,0.73,8,8,Chicago Carriage Cab Corp
4030079,11/12/2019 11:45:00 AM,262,0.75,28,32,Flash Cab
4030080,11/12/2019 11:45:00 AM,360,1.6,28,28,"Taxicab Insurance Agency, LLC"
4030081,11/12/2019 11:45:00 AM,343,0.56,28,32,Sun Taxi
4030082,11/12/2019 11:45:00 AM,548,1.62,8,8,Chicago Carriage Cab Corp
4030083,11/12/2019 11:45:00 AM,599,0.78,32,32,Sun Taxi
4030084,11/12/2019 11:45:00 AM,422,1.42,32,8,Flash Cab
4030085,11/12/2019 11:45:00 AM,330,0.98,8,8,Sun Taxi
4030086,11/12/2019 11:45:00 AM,300,0.6,8,8,Taxi Affiliation Services
4030087,11/12/2019 11:45:00 AM,360,0.8,8,32,Chicago Medallion Management
4030088,11/12/2019 11:45:00 AM,251,0.78,32,8,Flash Cab
4030089,11/12/2019 11:45:00 AM,480,0.8,32,8,Taxi Affiliation Services
4030090,11/12/2019 11:45:00 AM,360,0.8,8,32,Top Cab Affiliation
4030091,11/12/2019 11:45:00 AM,497,1.2,32,8,City Service
4030092,11/12/2019 11:45:00 AM,333,1.09,8,8,Chicago Carriage Cab Corp
4030093,11/12/2019 11:45:00 AM,515,1.01,8,32,Nova Taxi Affiliation Llc
4030094,11/12/2019 11:45:00 AM,420,1.1,8,8,Star North Management LLC
4030095,11/12/2019 11:45:00 AM,559,0.87,8,32,Flash Cab
4030096,11/12/2019 11:45:00 AM,546,1.37,32,8,Chicago Carriage Cab Corp
4030097,11/12/2019 11:45:00 AM,251,0.77,32,28,Sun Taxi
4030098,11/12/2019 11:45:00 AM,340,0.91,8,8,Chicago Carriage Cab Corp
4030099,11/12/2019 11:45:00 AM,336,1.29,32,8,Sun Taxi
4030100,11/12/2019 11:45:00 AM,300,0.8,8,32,Taxi Affiliation Services
4030101,11/12/2019 11:45:00 AM,507,1.31,28,32,Chicago Carriage Cab Corp
4030102,11/12/2019 11:45:00 AM,240,0.6,32,32,Taxi Affiliation Services
4030103,11/12/2019 11:45:00 AM,420,1.1,8,28,Medallion Leasin
4030104,11/12/2019 11:45:00 AM,498,0.85,32,8,Sun Taxi
4030105,11/12/2019 11:45:00 AM,527,0.71,32,32,Chicago Carriage Cab Corp
4030106,11/12/2019 11:45:00 AM,433,1.11,32,8,Flash Cab
4030107,11/12/2019 11:45:00 AM,240,0.7,32,8,"Taxicab Insurance Agency, LLC"
4030108,11/12/2019 11:45:00 AM,361,1.2,32,8,Medallion Leasin
