,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4060000,11/14/2019 11:30:00 AM,480,0.9,8,32,"Taxicab Insurance Agency, LLC"
4060001,11/14/2019 11:30:00 AM,395,0.75,32,8,Sun Taxi
4060002,11/14/2019 11:30:00 AM,2160,1.0,76,8,Blue Ribbon Taxi Association Inc.
4060003,11/14/2019 11:30:00 AM,480,1.1,32,32,Taxi Affiliation Services
4060004,11/14/2019 11:30:00 AM,579,1.0,28,8,City Service
4060005,11/14/2019 11:30:00 AM,360,1.6,35,33,5006 - 39261 Salifu Bawa
4060006,11/14/2019 11:30:00 AM,310,0.74,32,8,Patriot Taxi Dba Peace Taxi Associat
4060007,11/14/2019 11:30:00 AM,417,0.84,28,32,Patriot Taxi Dba Peace Taxi Associat
4060008,11/14/2019 11:30:00 AM,552,1.63,32,8,Chicago Carriage Cab Corp
4060009,11/14/2019 11:30:00 AM,359,1.1,32,32,Sun Taxi
4060010,11/14/2019 11:30:00 AM,469,0.98,32,32,City Service
4060011,11/14/2019 11:30:00 AM,540,1.6,8,8,Medallion Leasin
4060012,11/14/2019 11:45:00 AM,353,0.9,6,6,Medallion Leasin
4060013,11/14/2019 11:45:00 AM,448,1.38,28,32,Taxi Affiliation Service Yellow
4060014,11/14/2019 11:45:00 AM,478,1.07,8,8,24 Seven Taxi
4060015,11/14/2019 11:45:00 AM,420,1.0,32,8,Medallion Leasin
4060016,11/14/2019 11:45:00 AM,442,0.7,8,32,City Service
4060017,11/14/2019 11:45:00 AM,240,0.9,8,8,Choice Taxi Association
4060018,11/14/2019 11:45:00 AM,446,1.22,32,8,Chicago Carriage Cab Corp
4060019,11/14/2019 11:45:00 AM,514,1.82,7,8,Nova Taxi Affiliation Llc
4060020,11/14/2019 11:45:00 AM,540,1.3,8,8,Medallion Leasin
4060021,11/14/2019 11:45:00 AM,300,1.0,32,8,Star North Management LLC
4060022,11/14/2019 11:45:00 AM,544,0.86,8,32,Chicago Carriage Cab Corp
4060023,11/14/2019 11:45:00 AM,218,0.88,8,32,Sun Taxi
4060024,11/14/2019 11:45:00 AM,511,1.12,8,8,Flash Cab
4060025,11/14/2019 11:45:00 AM,582,1.83,28,24,Chicago Carriage Cab Corp
4060026,11/14/2019 11:45:00 AM,328,0.84,32,8,City Service
4060027,11/14/2019 11:45:00 AM,300,0.8,8,8,Choice Taxi Association
4060028,11/14/2019 11:45:00 AM,424,0.6,32,32,City Service
4060029,11/14/2019 11:45:00 AM,467,1.32,8,32,Chicago Carriage Cab Corp
4060030,11/14/2019 11:45:00 AM,233,0.78,8,8,Flash Cab
4060031,11/14/2019 11:45:00 AM,470,1.33,28,32,Sun Taxi
4060032,11/14/2019 11:45:00 AM,473,0.88,32,28,Chicago Carriage Cab Corp
4060033,11/14/2019 11:45:00 AM,300,0.6,6,6,Medallion Leasin
4060034,11/14/2019 11:45:00 AM,360,0.6,8,8,Medallion Leasin
