,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4080000,11/15/2019 04:30:00 PM,342,0.65,32,8,Chicago Carriage Cab Corp
4080001,11/15/2019 04:30:00 PM,343,0.85,8,8,Sun Taxi
4080002,11/15/2019 04:30:00 PM,357,0.64,32,32,Chicago Carriage Cab Corp
4080003,11/15/2019 04:30:00 PM,535,0.96,8,24,Sun Taxi
4080004,11/15/2019 04:30:00 PM,420,0.9,32,8,Taxi Affiliation Services
4080005,11/15/2019 04:30:00 PM,420,0.9,32,32,Taxi Affiliation Services
4080006,11/15/2019 04:30:00 PM,411,0.69,8,32,Chicago Carriage Cab Corp
4080007,11/15/2019 04:30:00 PM,360,0.9,8,32,Star North Management LLC
4080008,11/15/2019 04:30:00 PM,335,0.84,16,16,Flash Cab
4080009,11/15/2019 04:30:00 PM,360,1.1,8,28,Choice Taxi Association
4080010,11/15/2019 04:30:00 PM,184,0.6,32,32,Medallion Leasin
4080011,11/15/2019 04:30:00 PM,353,0.8,8,8,Medallion Leasin
4080012,11/15/2019 04:30:00 PM,570,1.09,8,8,Chicago Carriage Cab Corp
4080013,11/15/2019 04:30:00 PM,432,1.05,32,32,Chicago Carriage Cab Corp
4080014,11/15/2019 04:30:00 PM,300,0.7,32,32,Taxi Affiliation Services
4080015,11/15/2019 04:30:00 PM,360,0.6,32,32,Top Cab Affiliation
4080016,11/15/2019 04:30:00 PM,558,0.92,32,8,Nova Taxi Affiliation Llc
4080017,11/15/2019 04:30:00 PM,360,0.9,32,32,Taxi Affiliation Services
4080018,11/15/2019 04:30:00 PM,368,1.09,28,8,Chicago Carriage Cab Corp
4080019,11/15/2019 04:30:00 PM,333,0.54,8,8,Sun Taxi
4080020,11/15/2019 04:30:00 PM,284,0.6,28,32,Chicago Independents
4080021,11/15/2019 04:30:00 PM,528,1.29,28,8,Sun Taxi
4080022,11/15/2019 04:30:00 PM,323,0.76,8,8,Chicago Carriage Cab Corp
4080023,11/15/2019 04:30:00 PM,360,1.0,32,32,Star North Management LLC
4080024,11/15/2019 04:30:00 PM,539,1.1,28,32,City Service
4080025,11/15/2019 04:30:00 PM,540,1.7,6,32,Medallion Leasin
4080026,11/15/2019 04:30:00 PM,300,0.6,8,8,Star North Management LLC
4080027,11/15/2019 04:30:00 PM,477,0.74,32,32,Blue Diamond
4080028,11/15/2019 04:30:00 PM,551,1.0,28,32,Chicago Independents
4080029,11/15/2019 04:30:00 PM,460,1.37,32,32,Sun Taxi
4080030,11/15/2019 04:30:00 PM,573,0.86,32,32,Nova Taxi Affiliation Llc
4080031,11/15/2019 04:30:00 PM,240,0.7,8,24,Star North Management LLC
4080032,11/15/2019 04:30:00 PM,300,1.1,32,8,Star North Management LLC
4080033,11/15/2019 04:30:00 PM,480,1.1,32,32,Taxi Affiliation Services
4080034,11/15/2019 04:30:00 PM,333,0.79,32,28,Chicago Carriage Cab Corp
4080035,11/15/2019 04:30:00 PM,480,0.7,8,32,Taxi Affiliation Services
4080036,11/15/2019 04:30:00 PM,415,0.9,6,6,City Service
4080037,11/15/2019 04:30:00 PM,266,0.58,8,8,Sun Taxi
4080038,11/15/2019 04:30:00 PM,360,1.2,8,32,Star North Management LLC
4080039,11/15/2019 04:30:00 PM,424,0.97,8,8,Chicago Carriage Cab Corp
4080040,11/15/2019 04:30:00 PM,360,1.2,28,32,Taxi Affiliation Services
4080041,11/15/2019 04:30:00 PM,480,1.1,32,8,Taxi Affiliation Services
4080042,11/15/2019 04:30:00 PM,314,0.99,32,32,Flash Cab
4080043,11/15/2019 04:30:00 PM,2189,1.73,32,28,Chicago Carriage Cab Corp
4080044,11/15/2019 04:30:00 PM,2569,10.32,41,8,Chicago Carriage Cab Corp
4080045,11/15/2019 04:30:00 PM,341,0.8,32,32,Sun Taxi
4080046,11/15/2019 04:30:00 PM,409,0.79,32,8,Chicago Carriage Cab Corp
4080047,11/15/2019 04:30:00 PM,300,0.7,32,32,Taxi Affiliation Services
4080048,11/15/2019 04:30:00 PM,515,1.13,32,8,Chicago Carriage Cab Corp
4080049,11/15/2019 04:30:00 PM,470,1.46,8,32,Chicago Independents
4080050,11/15/2019 04:30:00 PM,300,0.9,8,8,Chicago Independents
4080051,11/15/2019 04:30:00 PM,540,1.1,32,32,Taxi Affiliation Services
4080052,11/15/2019 04:30:00 PM,386,0.7,32,32,Blue Diamond
4080053,11/15/2019 04:30:00 PM,365,0.77,32,32,24 Seven Taxi
4080054,11/15/2019 04:30:00 PM,579,1.22,32,8,Flash Cab
4080055,11/15/2019 04:30:00 PM,2193,1.07,32,28,Patriot Taxi Dba Peace Taxi Associat
4080056,11/15/2019 04:30:00 PM,480,1.3,32,32,Taxi Affiliation Services
4080057,11/15/2019 04:30:00 PM,533,0.53,8,8,Chicago Carriage Cab Corp
4080058,11/15/2019 04:30:00 PM,394,0.67,32,32,Nova Taxi Affiliation Llc
4080059,11/15/2019 04:30:00 PM,420,1.2,32,8,Taxi Affiliation Services
4080060,11/15/2019 04:30:00 PM,360,0.9,32,28,KOAM Taxi Association
4080061,11/15/2019 04:30:00 PM,395,0.96,28,32,Flash Cab
4080062,11/15/2019 04:30:00 PM,480,0.8,8,32,Chicago Medallion Management
4080063,11/15/2019 04:30:00 PM,459,1.02,28,32,Nova Taxi Affiliation Llc
4080064,11/15/2019 04:30:00 PM,420,1.1,32,28,Top Cab Affiliation
4080065,11/15/2019 04:30:00 PM,360,0.8,8,8,Taxi Affiliation Services
4080066,11/15/2019 04:30:00 PM,561,0.64,32,32,Chicago Carriage Cab Corp
4080067,11/15/2019 04:30:00 PM,454,0.92,8,32,Chicago Carriage Cab Corp
4080068,11/15/2019 04:30:00 PM,420,0.6,8,8,Taxi Affiliation Services
4080069,11/15/2019 04:30:00 PM,4759,10.08,1,28,Flash Cab
4080070,11/15/2019 04:30:00 PM,420,0.8,32,32,Star North Management LLC
4080071,11/15/2019 04:30:00 PM,480,0.8,8,8,Choice Taxi Association
4080072,11/15/2019 04:30:00 PM,300,0.6,32,32,Taxi Affiliation Services
4080073,11/15/2019 04:30:00 PM,394,0.6,28,32,Taxi Affiliation Service Yellow
4080074,11/15/2019 04:30:00 PM,504,1.3,8,32,City Service
4080075,11/15/2019 04:30:00 PM,253,0.52,32,8,Flash Cab
4080076,11/15/2019 04:30:00 PM,391,0.69,32,32,Sun Taxi
4080077,11/15/2019 04:30:00 PM,300,0.57,8,8,Chicago Carriage Cab Corp
4080078,11/15/2019 04:30:00 PM,599,0.95,32,28,Chicago Carriage Cab Corp
4080079,11/15/2019 04:30:00 PM,300,0.7,32,28,Taxi Affiliation Services
4080080,11/15/2019 04:30:00 PM,300,0.6,32,32,Choice Taxi Association
4080081,11/15/2019 04:30:00 PM,240,1.3,28,8,Star North Management LLC
4080082,11/15/2019 04:30:00 PM,480,1.3,4,3,Taxi Affiliation Services
4080083,11/15/2019 04:30:00 PM,540,1.9,8,7,Taxi Affiliation Services
4080084,11/15/2019 04:30:00 PM,309,0.61,28,32,Chicago Carriage Cab Corp
4080085,11/15/2019 04:30:00 PM,580,1.21,8,8,Sun Taxi
4080086,11/15/2019 04:30:00 PM,1809,10.19,56,28,Sun Taxi
4080087,11/15/2019 04:30:00 PM,217,1.25,46,46,Chicago Carriage Cab Corp
4080088,11/15/2019 04:30:00 PM,480,1.3,32,28,Blue Ribbon Taxi Association Inc.
4080089,11/15/2019 04:30:00 PM,540,1.1,8,32,Star North Management LLC
4080090,11/15/2019 04:30:00 PM,562,1.8,32,8,24 Seven Taxi
4080091,11/15/2019 04:30:00 PM,480,1.5,28,8,Taxi Affiliation Services
4080092,11/15/2019 04:30:00 PM,360,0.9,8,8,Taxi Affiliation Services
4080093,11/15/2019 04:30:00 PM,528,0.84,32,28,Flash Cab
4080094,11/15/2019 04:30:00 PM,420,1.6,33,35,Taxi Affiliation Services
4080095,11/15/2019 04:30:00 PM,568,0.74,32,8,Chicago Carriage Cab Corp
4080096,11/15/2019 04:30:00 PM,266,0.68,8,32,Chicago Carriage Cab Corp
4080097,11/15/2019 04:30:00 PM,540,1.2,8,32,Taxi Affiliation Services
4080098,11/15/2019 04:30:00 PM,3120,1.0,32,76,Taxi Affiliation Services
4080099,11/15/2019 04:30:00 PM,361,0.7,32,8,Sun Taxi
4080100,11/15/2019 04:30:00 PM,404,1.03,32,8,Sun Taxi
4080101,11/15/2019 04:30:00 PM,420,1.6,32,33,Choice Taxi Association
4080102,11/15/2019 04:30:00 PM,360,1.2,8,8,Choice Taxi Association
