,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4090000,11/16/2019 06:00:00 PM,540,1.4,8,28,Choice Taxi Association
4090001,11/16/2019 06:00:00 PM,297,0.93,32,8,Chicago Carriage Cab Corp
4090002,11/16/2019 06:00:00 PM,420,0.7,33,33,Taxi Affiliation Services
4090003,11/16/2019 06:00:00 PM,370,0.65,8,8,24 Seven Taxi
4090004,11/16/2019 06:00:00 PM,568,1.3,32,32,Chicago Taxicab
4090005,11/16/2019 06:00:00 PM,483,0.99,8,8,City Service
4090006,11/16/2019 06:00:00 PM,420,1.0,6,6,Taxi Affiliation Services
4090007,11/16/2019 06:00:00 PM,360,1.1,32,28,Top Cab Affiliation
4090008,11/16/2019 06:00:00 PM,300,1.4,32,8,Star North Management LLC
4090009,11/16/2019 06:00:00 PM,309,0.94,24,28,City Service
4090010,11/16/2019 06:00:00 PM,494,1.22,32,8,Sun Taxi
4090011,11/16/2019 06:00:00 PM,300,0.8,32,28,Star North Management LLC
4090012,11/16/2019 06:00:00 PM,398,1.31,28,24,Chicago Carriage Cab Corp
4090013,11/16/2019 06:00:00 PM,486,1.61,33,32,Chicago Carriage Cab Corp
4090014,11/16/2019 06:00:00 PM,480,0.9,8,32,Star North Management LLC
4090015,11/16/2019 06:00:00 PM,540,1.4,77,3,Medallion Leasin
4090016,11/16/2019 06:00:00 PM,460,0.93,32,8,Flash Cab
4090017,11/16/2019 06:00:00 PM,344,0.89,8,8,Chicago Carriage Cab Corp
4090018,11/16/2019 06:00:00 PM,276,0.8,32,32,24 Seven Taxi
4090019,11/16/2019 06:00:00 PM,420,1.6,8,28,Taxi Affiliation Services
4090020,11/16/2019 06:00:00 PM,480,1.1,32,32,Star North Management LLC
4090021,11/16/2019 06:00:00 PM,589,1.71,8,32,City Service
4090022,11/16/2019 06:00:00 PM,3420,1.0,76,8,Taxi Affiliation Services
4090023,11/16/2019 06:00:00 PM,545,0.8,8,8,Chicago Carriage Cab Corp
4090024,11/16/2019 06:00:00 PM,240,0.7,8,8,Star North Management LLC
4090025,11/16/2019 06:00:00 PM,329,0.54,32,8,Sun Taxi
4090026,11/16/2019 06:00:00 PM,240,0.8,22,22,Taxi Affiliation Services
4090027,11/16/2019 06:00:00 PM,364,1.0,8,8,City Service
4090028,11/16/2019 06:00:00 PM,321,0.76,8,8,Chicago Carriage Cab Corp
4090029,11/16/2019 06:00:00 PM,398,0.81,8,8,City Service
4090030,11/16/2019 06:00:00 PM,300,0.8,32,32,Choice Taxi Association
4090031,11/16/2019 06:00:00 PM,372,0.65,8,8,Sun Taxi
4090032,11/16/2019 06:00:00 PM,512,1.0,8,32,Medallion Leasin
4090033,11/16/2019 06:00:00 PM,546,1.46,8,8,Chicago Carriage Cab Corp
4090034,11/16/2019 06:00:00 PM,361,0.87,8,8,Flash Cab
4090035,11/16/2019 06:00:00 PM,317,1.15,1,2,Chicago Carriage Cab Corp
4090036,11/16/2019 06:00:00 PM,300,1.1,32,28,"Taxicab Insurance Agency, LLC"
4090037,11/16/2019 06:00:00 PM,454,1.66,32,8,Chicago Carriage Cab Corp
4090038,11/16/2019 06:00:00 PM,275,0.64,8,8,Flash Cab
4090039,11/16/2019 06:00:00 PM,300,0.9,32,32,Taxi Affiliation Services
4090040,11/16/2019 06:00:00 PM,540,1.2,8,28,Medallion Leasin
4090041,11/16/2019 06:00:00 PM,293,0.7,32,32,Chicago Independents
4090042,11/16/2019 06:00:00 PM,3960,0.9,76,7,Taxi Affiliation Services
4090043,11/16/2019 06:00:00 PM,573,1.03,8,8,Chicago Carriage Cab Corp
4090044,11/16/2019 06:00:00 PM,389,0.96,8,8,Sun Taxi
4090045,11/16/2019 06:00:00 PM,424,1.05,8,32,Sun Taxi
4090046,11/16/2019 06:00:00 PM,480,1.0,32,28,Medallion Leasin
4090047,11/16/2019 06:00:00 PM,300,0.7,32,8,Taxi Affiliation Services
4090048,11/16/2019 06:00:00 PM,426,0.58,8,8,Chicago Carriage Cab Corp
4090049,11/16/2019 06:00:00 PM,2580,0.6,2,8,Taxi Affiliation Services
4090050,11/16/2019 06:00:00 PM,360,0.8,32,28,Taxi Affiliation Services
4090051,11/16/2019 06:00:00 PM,499,1.07,32,8,Flash Cab
4090052,11/16/2019 06:00:00 PM,420,1.0,32,32,Taxi Affiliation Services
4090053,11/16/2019 06:00:00 PM,300,0.8,28,32,Star North Management LLC
4090054,11/16/2019 06:00:00 PM,393,0.89,32,28,Flash Cab
4090055,11/16/2019 06:00:00 PM,297,0.71,8,8,Sun Taxi
4090056,11/16/2019 06:00:00 PM,348,0.79,32,8,Flash Cab
4090057,11/16/2019 06:00:00 PM,432,0.84,32,8,Flash Cab
4090058,11/16/2019 06:00:00 PM,420,1.4,11,10,Star North Management LLC
4090059,11/16/2019 06:00:00 PM,240,0.6,32,28,Taxi Affiliation Services
4090060,11/16/2019 06:00:00 PM,540,1.8,28,28,"Taxicab Insurance Agency, LLC"
4090061,11/16/2019 06:00:00 PM,540,0.9,8,32,Taxi Affiliation Services
4090062,11/16/2019 06:00:00 PM,2040,10.9,7,2,Taxi Affiliation Services
4090063,11/16/2019 06:00:00 PM,564,1.18,8,8,City Service
4090064,11/16/2019 06:00:00 PM,420,1.1,8,8,KOAM Taxi Association
4090065,11/16/2019 06:00:00 PM,300,0.8,32,8,"Taxicab Insurance Agency, LLC"
4090066,11/16/2019 06:00:00 PM,402,0.77,8,8,Sun Taxi
4090067,11/16/2019 06:00:00 PM,300,1.0,32,32,Taxi Affiliation Services
4090068,11/16/2019 06:00:00 PM,362,1.23,32,32,Nova Taxi Affiliation Llc
4090069,11/16/2019 06:00:00 PM,300,0.7,32,28,Medallion Leasin
4090070,11/16/2019 06:00:00 PM,540,1.5,8,28,Taxi Affiliation Services
4090071,11/16/2019 06:00:00 PM,480,1.5,6,6,Blue Ribbon Taxi Association Inc.
4090072,11/16/2019 06:00:00 PM,561,1.53,8,32,Chicago Carriage Cab Corp
4090073,11/16/2019 06:00:00 PM,304,0.78,8,32,Flash Cab
4090074,11/16/2019 06:00:00 PM,312,1.09,24,24,Chicago Carriage Cab Corp
4090075,11/16/2019 06:00:00 PM,420,1.1,32,28,Choice Taxi Association
4090076,11/16/2019 06:00:00 PM,351,0.61,32,32,Flash Cab
4090077,11/16/2019 06:00:00 PM,480,1.3,8,32,Choice Taxi Association
4090078,11/16/2019 06:00:00 PM,360,0.7,8,32,Taxi Affiliation Services
4090079,11/16/2019 06:00:00 PM,540,1.5,8,28,Taxi Affiliation Services
4090080,11/16/2019 06:00:00 PM,360,1.1,8,28,Medallion Leasin
4090081,11/16/2019 06:00:00 PM,334,0.8,8,8,Sun Taxi
4090082,11/16/2019 06:00:00 PM,431,1.04,8,7,24 Seven Taxi
4090083,11/16/2019 06:00:00 PM,300,1.0,8,8,Medallion Leasin
4090084,11/16/2019 06:00:00 PM,575,1.56,32,28,Chicago Carriage Cab Corp
4090085,11/16/2019 06:00:00 PM,440,1.16,8,28,City Service
4090086,11/16/2019 06:00:00 PM,435,1.3,8,32,Setare Inc
4090087,11/16/2019 06:00:00 PM,2340,10.6,39,39,Taxi Affiliation Services
4090088,11/16/2019 06:00:00 PM,360,0.7,32,32,Taxi Affiliation Services
4090089,11/16/2019 06:00:00 PM,300,1.3,32,28,U Taxicab
