,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4110000,11/18/2019 07:15:00 PM,480,1.2,28,8,Taxi Affiliation Services
4110001,11/18/2019 07:15:00 PM,325,0.6,8,8,Flash Cab
4110002,11/18/2019 07:15:00 PM,355,0.7,32,32,Patriot Taxi Dba Peace Taxi Associat
4110003,11/18/2019 07:15:00 PM,556,1.36,32,8,Chicago Carriage Cab Corp
4110004,11/18/2019 07:15:00 PM,497,1.76,32,8,Sun Taxi
4110005,11/18/2019 07:15:00 PM,290,0.69,32,28,City Service
4110006,11/18/2019 07:15:00 PM,1920,0.8,56,8,Taxi Affiliation Services
4110007,11/18/2019 07:15:00 PM,360,1.0,32,8,Star North Management LLC
4110008,11/18/2019 07:15:00 PM,480,1.1,32,8,Taxi Affiliation Services
4110009,11/18/2019 07:15:00 PM,349,0.9,32,8,Flash Cab
4110010,11/18/2019 07:15:00 PM,361,0.8,32,8,City Service
4110011,11/18/2019 07:15:00 PM,343,1.11,28,28,24 Seven Taxi
4110012,11/18/2019 07:15:00 PM,497,1.2,8,28,Chicago Taxicab
4110013,11/18/2019 07:15:00 PM,540,1.5,32,28,Taxi Affiliation Services
4110014,11/18/2019 07:15:00 PM,480,1.0,8,32,Top Cab Affiliation
4110015,11/18/2019 07:15:00 PM,305,0.69,8,28,Sun Taxi
4110016,11/18/2019 07:15:00 PM,467,1.4,28,8,Medallion Leasin
4110017,11/18/2019 07:15:00 PM,2760,0.7,76,4,Taxi Affiliation Services
4110018,11/18/2019 07:15:00 PM,555,1.4,28,24,Medallion Leasin
4110019,11/18/2019 07:15:00 PM,253,0.9,8,8,City Service
4110020,11/18/2019 07:15:00 PM,475,0.99,8,28,Sun Taxi
4110021,11/18/2019 07:15:00 PM,300,1.3,8,8,Medallion Leasin
4110022,11/18/2019 07:15:00 PM,399,0.99,32,8,Sun Taxi
4110023,11/18/2019 07:15:00 PM,474,1.17,8,32,Sun Taxi
4110024,11/18/2019 07:15:00 PM,576,1.99,8,8,24 Seven Taxi
4110025,11/18/2019 07:15:00 PM,360,0.9,32,8,Choice Taxi Association
4110026,11/18/2019 07:15:00 PM,420,0.8,8,8,Taxi Affiliation Services
4110027,11/18/2019 07:15:00 PM,311,0.92,32,8,Flash Cab
4110028,11/18/2019 07:15:00 PM,509,1.13,28,8,Flash Cab
4110029,11/18/2019 07:15:00 PM,480,1.0,32,8,Taxi Affiliation Services
4110030,11/18/2019 07:15:00 PM,420,1.1,8,8,Choice Taxi Association
4110031,11/18/2019 07:15:00 PM,540,0.8,32,8,Taxi Affiliation Services
4110032,11/18/2019 07:15:00 PM,574,1.29,8,8,Flash Cab
4110033,11/18/2019 07:15:00 PM,505,1.48,8,32,Chicago Carriage Cab Corp
4110034,11/18/2019 07:15:00 PM,452,1.65,8,8,Flash Cab
4110035,11/18/2019 07:15:00 PM,300,1.47,32,8,City Service
4110036,11/18/2019 07:15:00 PM,540,1.1,28,32,Star North Management LLC
4110037,11/18/2019 07:15:00 PM,399,0.99,28,28,Sun Taxi
4110038,11/18/2019 07:15:00 PM,333,1.04,8,28,Sun Taxi
4110039,11/18/2019 07:15:00 PM,346,0.75,8,8,Sun Taxi
4110040,11/18/2019 07:15:00 PM,249,0.91,28,32,Chicago Carriage Cab Corp
4110041,11/18/2019 07:15:00 PM,361,0.9,32,32,Medallion Leasin
4110042,11/18/2019 07:15:00 PM,540,1.4,28,33,KOAM Taxi Association
4110043,11/18/2019 07:15:00 PM,523,1.86,19,19,Flash Cab
4110044,11/18/2019 07:15:00 PM,360,1.4,8,32,Taxi Affiliation Services
4110045,11/18/2019 07:15:00 PM,438,1.26,32,32,24 Seven Taxi
4110046,11/18/2019 07:15:00 PM,497,1.58,32,8,Sun Taxi
4110047,11/18/2019 07:15:00 PM,300,0.8,32,32,Choice Taxi Association
4110048,11/18/2019 07:15:00 PM,540,1.6,8,8,Taxi Affiliation Services
4110049,11/18/2019 07:15:00 PM,300,1.0,8,8,Medallion Leasin
4110050,11/18/2019 07:15:00 PM,360,1.1,32,28,Medallion Leasin
4110051,11/18/2019 07:15:00 PM,364,0.88,8,8,Chicago Carriage Cab Corp
4110052,11/18/2019 07:15:00 PM,222,0.75,8,8,Chicago Carriage Cab Corp
4110053,11/18/2019 07:15:00 PM,314,0.86,7,8,Chicago Carriage Cab Corp
4110054,11/18/2019 07:15:00 PM,234,0.54,3,3,Flash Cab
4110055,11/18/2019 07:15:00 PM,384,0.55,32,8,Flash Cab
4110056,11/18/2019 07:15:00 PM,480,0.8,32,28,Taxi Affiliation Services
4110057,11/18/2019 07:15:00 PM,535,1.31,32,8,Chicago Carriage Cab Corp
4110058,11/18/2019 07:15:00 PM,540,0.9,28,8,Taxi Affiliation Services
4110059,11/18/2019 07:15:00 PM,593,1.47,32,28,Flash Cab
4110060,11/18/2019 07:15:00 PM,240,0.6,8,8,"Taxicab Insurance Agency, LLC"
4110061,11/18/2019 07:15:00 PM,386,1.2,32,8,Chicago Taxicab
4110062,11/18/2019 07:15:00 PM,352,0.93,8,8,Flash Cab
4110063,11/18/2019 07:15:00 PM,300,0.8,8,32,Taxi Affiliation Services
4110064,11/18/2019 07:15:00 PM,423,0.97,32,32,Flash Cab
4110065,11/18/2019 07:15:00 PM,480,1.1,8,8,Medallion Leasin
4110066,11/18/2019 07:15:00 PM,579,1.27,8,8,Chicago Carriage Cab Corp
4110067,11/18/2019 07:15:00 PM,236,0.62,28,28,Sun Taxi
4110068,11/18/2019 07:15:00 PM,240,0.6,32,28,Taxi Affiliation Services
4110069,11/18/2019 07:15:00 PM,1980,0.8,56,8,Taxi Affiliation Services
4110070,11/18/2019 07:15:00 PM,300,0.8,32,8,Star North Management LLC
4110071,11/18/2019 07:15:00 PM,281,0.95,28,32,Sun Taxi
4110072,11/18/2019 07:15:00 PM,352,1.16,32,8,Sun Taxi
4110073,11/18/2019 07:15:00 PM,300,0.8,32,32,"Taxicab Insurance Agency, LLC"
4110074,11/18/2019 07:15:00 PM,229,0.56,28,28,Chicago Carriage Cab Corp
4110075,11/18/2019 07:15:00 PM,360,1.0,32,32,"Taxicab Insurance Agency, LLC"
4110076,11/18/2019 07:15:00 PM,480,1.1,8,8,Medallion Leasin
4110077,11/18/2019 07:15:00 PM,453,1.2,32,28,Chicago Independents
4110078,11/18/2019 07:15:00 PM,240,0.7,32,32,Choice Taxi Association
4110079,11/18/2019 07:15:00 PM,420,1.2,8,32,Star North Management LLC
4110080,11/18/2019 07:15:00 PM,480,1.2,7,7,Taxi Affiliation Services
4110081,11/18/2019 07:15:00 PM,323,0.83,32,28,Blue Diamond
4110082,11/18/2019 07:15:00 PM,300,1.26,8,8,Flash Cab
4110083,11/18/2019 07:15:00 PM,540,1.6,32,8,Star North Management LLC
4110084,11/18/2019 07:15:00 PM,518,1.39,28,8,City Service
4110085,11/18/2019 07:15:00 PM,420,0.8,8,8,Taxi Affiliation Services
4110086,11/18/2019 07:15:00 PM,512,1.22,32,8,Sun Taxi
4110087,11/18/2019 07:15:00 PM,300,0.7,3,6,Top Cab Affiliation
4110088,11/18/2019 07:15:00 PM,366,0.77,28,28,Sun Taxi
4110089,11/18/2019 07:15:00 PM,443,1.51,8,32,Chicago Independents
4110090,11/18/2019 07:15:00 PM,452,1.36,8,32,Chicago Carriage Cab Corp
4110091,11/18/2019 07:15:00 PM,240,0.9,32,8,Star North Management LLC
