,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4130000,11/20/2019 10:45:00 AM,443,0.9,32,32,City Service
4130001,11/20/2019 10:45:00 AM,260,1.47,32,33,City Service
4130002,11/20/2019 10:45:00 AM,480,1.5,28,33,Star North Management LLC
4130003,11/20/2019 10:45:00 AM,566,1.24,32,8,City Service
4130004,11/20/2019 10:45:00 AM,401,0.85,32,32,Flash Cab
4130005,11/20/2019 10:45:00 AM,515,1.78,28,8,Chicago Carriage Cab Corp
4130006,11/20/2019 10:45:00 AM,240,0.6,32,32,Medallion Leasin
4130007,11/20/2019 10:45:00 AM,298,0.8,32,32,Flash Cab
4130008,11/20/2019 10:45:00 AM,483,0.94,8,8,Sun Taxi
4130009,11/20/2019 10:45:00 AM,383,1.11,8,32,City Service
4130010,11/20/2019 10:45:00 AM,477,1.03,32,8,Chicago Carriage Cab Corp
4130011,11/20/2019 10:45:00 AM,388,0.99,32,8,City Service
4130012,11/20/2019 10:45:00 AM,500,1.13,8,8,24 Seven Taxi
4130013,11/20/2019 10:45:00 AM,300,1.0,8,8,Star North Management LLC
4130014,11/20/2019 10:45:00 AM,480,1.2,32,8,Taxi Affiliation Services
4130015,11/20/2019 10:45:00 AM,447,1.7,7,8,Flash Cab
4130016,11/20/2019 10:45:00 AM,378,1.03,8,32,Nova Taxi Affiliation Llc
4130017,11/20/2019 10:45:00 AM,408,1.45,8,8,Sun Taxi
4130018,11/20/2019 10:45:00 AM,262,0.85,32,28,Sun Taxi
4130019,11/20/2019 10:45:00 AM,429,1.88,8,8,Sun Taxi
4130020,11/20/2019 11:00:00 AM,393,0.71,28,32,Flash Cab
4130021,11/20/2019 11:00:00 AM,420,0.9,32,8,Medallion Leasin
4130022,11/20/2019 11:00:00 AM,240,0.7,32,8,Taxi Affiliation Services
4130023,11/20/2019 11:00:00 AM,422,0.73,28,32,Flash Cab
4130024,11/20/2019 11:00:00 AM,517,1.16,8,8,Chicago Carriage Cab Corp
4130025,11/20/2019 11:00:00 AM,309,1.32,32,32,Chicago Carriage Cab Corp
4130026,11/20/2019 11:00:00 AM,540,1.1,28,8,Medallion Leasin
4130027,11/20/2019 11:00:00 AM,540,1.1,28,32,Choice Taxi Association
4130028,11/20/2019 11:00:00 AM,420,1.0,28,28,Taxi Affiliation Services
4130029,11/20/2019 11:00:00 AM,480,0.9,28,32,Medallion Leasin
4130030,11/20/2019 11:00:00 AM,452,1.68,28,8,City Service
4130031,11/20/2019 11:00:00 AM,492,0.83,28,32,Chicago Carriage Cab Corp
4130032,11/20/2019 11:00:00 AM,304,0.59,8,8,Flash Cab
4130033,11/20/2019 11:00:00 AM,540,1.1,32,8,Star North Management LLC
4130034,11/20/2019 11:00:00 AM,249,0.76,32,32,Chicago Carriage Cab Corp
4130035,11/20/2019 11:00:00 AM,540,1.4,8,32,Medallion Leasin
4130036,11/20/2019 11:00:00 AM,351,1.76,32,33,Nova Taxi Affiliation Llc
4130037,11/20/2019 11:00:00 AM,1860,0.9,76,6,Blue Ribbon Taxi Association Inc.
4130038,11/20/2019 11:00:00 AM,478,0.88,28,32,Flash Cab
4130039,11/20/2019 11:00:00 AM,420,0.7,8,28,U Taxicab
4130040,11/20/2019 11:00:00 AM,427,0.91,32,32,Flash Cab
4130041,11/20/2019 11:00:00 AM,405,0.7,32,8,City Service
4130042,11/20/2019 11:00:00 AM,584,1.63,32,8,Flash Cab
4130043,11/20/2019 11:00:00 AM,480,1.6,32,33,Medallion Leasin
4130044,11/20/2019 11:00:00 AM,598,1.54,8,8,Chicago Carriage Cab Corp
4130045,11/20/2019 11:00:00 AM,300,0.9,32,8,Choice Taxi Association
4130046,11/20/2019 11:00:00 AM,420,1.0,32,28,"Taxicab Insurance Agency, LLC"
4130047,11/20/2019 11:00:00 AM,2059,1.26,8,32,Chicago Carriage Cab Corp
4130048,11/20/2019 11:00:00 AM,295,0.8,32,32,Medallion Leasin
4130049,11/20/2019 11:00:00 AM,300,0.71,32,8,Nova Taxi Affiliation Llc
4130050,11/20/2019 11:00:00 AM,240,1.0,2,1,6743 - 78771 Luhak Corp
4130051,11/20/2019 11:00:00 AM,391,0.81,32,32,Sun Taxi
4130052,11/20/2019 11:00:00 AM,462,1.19,7,8,Flash Cab
4130053,11/20/2019 11:00:00 AM,360,0.7,28,32,Taxi Affiliation Services
4130054,11/20/2019 11:00:00 AM,360,0.9,32,8,Star North Management LLC
4130055,11/20/2019 11:00:00 AM,360,0.67,28,32,Nova Taxi Affiliation Llc
4130056,11/20/2019 11:00:00 AM,438,1.43,28,8,Sun Taxi
4130057,11/20/2019 11:00:00 AM,420,1.0,8,8,Taxi Affiliation Services
4130058,11/20/2019 11:00:00 AM,420,1.1,8,8,"Taxicab Insurance Agency, LLC"
4130059,11/20/2019 11:00:00 AM,420,1.0,8,32,"Taxicab Insurance Agency, LLC"
4130060,11/20/2019 11:00:00 AM,360,0.79,32,8,Sun Taxi
4130061,11/20/2019 11:00:00 AM,360,1.3,32,32,Star North Management LLC
4130062,11/20/2019 11:00:00 AM,1980,0.6,27,18,Taxi Affiliation Services
4130063,11/20/2019 11:00:00 AM,407,1.73,8,28,Chicago Carriage Cab Corp
4130064,11/20/2019 11:00:00 AM,540,1.1,32,8,Taxi Affiliation Services
4130065,11/20/2019 11:00:00 AM,422,0.81,32,32,Chicago Carriage Cab Corp
