,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4140000,11/20/2019 09:15:00 PM,413,1.55,8,32,Chicago Carriage Cab Corp
4140001,11/20/2019 09:15:00 PM,540,1.4,8,8,KOAM Taxi Association
4140002,11/20/2019 09:15:00 PM,240,1.1,8,32,Star North Management LLC
4140003,11/20/2019 09:15:00 PM,300,0.9,8,8,Top Cab Affiliation
4140004,11/20/2019 09:15:00 PM,360,1.1,32,28,Taxi Affiliation Services
4140005,11/20/2019 09:15:00 PM,1860,0.8,76,6,Taxi Affiliation Services
4140006,11/20/2019 09:15:00 PM,383,1.0,33,33,City Service
4140007,11/20/2019 09:15:00 PM,314,0.7,32,8,Sun Taxi
4140008,11/20/2019 09:15:00 PM,360,1.4,8,8,Medallion Leasin
4140009,11/20/2019 09:15:00 PM,300,1.0,32,8,Taxi Affiliation Services
4140010,11/20/2019 09:15:00 PM,360,1.0,32,8,Choice Taxi Association
4140011,11/20/2019 09:15:00 PM,240,0.8,8,32,Medallion Leasin
4140012,11/20/2019 09:15:00 PM,480,1.3,24,8,Taxi Affiliation Services
4140013,11/20/2019 09:15:00 PM,300,1.1,8,8,1085 - 72312 N and W Cab Co
4140014,11/20/2019 09:15:00 PM,563,1.5,8,8,City Service
4140015,11/20/2019 09:15:00 PM,422,1.79,28,32,Sun Taxi
4140016,11/20/2019 09:15:00 PM,480,1.3,8,8,Taxi Affiliation Services
4140017,11/20/2019 09:15:00 PM,540,1.39,28,8,Sun Taxi
4140018,11/20/2019 09:15:00 PM,359,0.91,8,8,City Service
4140019,11/20/2019 09:15:00 PM,300,0.8,32,8,Taxi Affiliation Services
4140020,11/20/2019 09:15:00 PM,299,1.22,32,32,Sun Taxi
4140021,11/20/2019 09:15:00 PM,420,1.3,8,8,Star North Management LLC
4140022,11/20/2019 09:15:00 PM,300,1.1,32,28,Star North Management LLC
4140023,11/20/2019 09:15:00 PM,397,1.09,8,8,Sun Taxi
4140024,11/20/2019 09:15:00 PM,360,0.8,32,8,Star North Management LLC
4140025,11/20/2019 09:15:00 PM,540,1.9,32,8,Taxi Affiliation Services
4140026,11/20/2019 09:15:00 PM,410,1.2,32,32,Flash Cab
4140027,11/20/2019 09:15:00 PM,300,0.9,8,8,"Taxicab Insurance Agency, LLC"
4140028,11/20/2019 09:15:00 PM,360,1.2,32,8,Taxi Affiliation Services
4140029,11/20/2019 09:15:00 PM,240,0.8,28,28,Star North Management LLC
4140030,11/20/2019 09:15:00 PM,540,1.2,41,41,Taxi Affiliation Services
4140031,11/20/2019 09:15:00 PM,346,0.96,16,14,Flash Cab
4140032,11/20/2019 09:15:00 PM,407,1.69,28,28,Chicago Carriage Cab Corp
4140033,11/20/2019 09:15:00 PM,360,1.3,32,8,Taxi Affiliation Services
4140034,11/20/2019 09:15:00 PM,360,1.7,33,32,Taxi Affiliation Services
4140035,11/20/2019 09:15:00 PM,420,1.4,32,8,Taxi Affiliation Services
4140036,11/20/2019 09:15:00 PM,184,0.61,28,28,24 Seven Taxi
4140037,11/20/2019 09:15:00 PM,340,1.2,32,32,City Service
4140038,11/20/2019 09:15:00 PM,239,0.77,8,28,Chicago Carriage Cab Corp
4140039,11/20/2019 09:15:00 PM,209,1.12,1,1,24 Seven Taxi
4140040,11/20/2019 09:15:00 PM,418,1.0,8,8,Medallion Leasin
4140041,11/20/2019 09:15:00 PM,300,0.7,32,8,Taxi Affiliation Services
4140042,11/20/2019 09:15:00 PM,531,1.58,28,8,24 Seven Taxi
4140043,11/20/2019 09:15:00 PM,540,1.3,28,8,Taxi Affiliation Services
4140044,11/20/2019 09:15:00 PM,360,1.0,7,7,3094 - 24059 G.L.B. Cab Co
4140045,11/20/2019 09:15:00 PM,420,1.22,8,32,Nova Taxi Affiliation Llc
4140046,11/20/2019 09:15:00 PM,460,1.5,8,28,City Service
4140047,11/20/2019 09:15:00 PM,300,0.9,32,8,6742 - 83735 Tasha ride inc
4140048,11/20/2019 09:15:00 PM,494,1.3,8,8,City Service
4140049,11/20/2019 09:15:00 PM,312,1.12,32,28,City Service
4140050,11/20/2019 09:15:00 PM,240,1.5,8,32,Taxi Affiliation Services
4140051,11/20/2019 09:15:00 PM,396,1.19,8,8,Sun Taxi
4140052,11/20/2019 09:15:00 PM,420,1.6,8,24,Chicago Medallion Management
4140053,11/20/2019 09:15:00 PM,491,1.4,32,32,Patriot Taxi Dba Peace Taxi Associat
4140054,11/20/2019 09:15:00 PM,230,0.71,8,32,Nova Taxi Affiliation Llc
4140055,11/20/2019 09:15:00 PM,230,0.55,8,8,City Service
4140056,11/20/2019 09:15:00 PM,197,0.7,28,28,Flash Cab
4140057,11/20/2019 09:15:00 PM,394,1.16,32,8,City Service
4140058,11/20/2019 09:15:00 PM,402,1.0,8,28,City Service
4140059,11/20/2019 09:15:00 PM,300,0.6,8,8,Taxi Affiliation Services
4140060,11/20/2019 09:15:00 PM,480,1.7,28,8,Choice Taxi Association
4140061,11/20/2019 09:15:00 PM,449,1.62,32,8,Sun Taxi
4140062,11/20/2019 09:15:00 PM,296,0.94,28,28,City Service
4140063,11/20/2019 09:15:00 PM,584,1.83,28,8,City Service
4140064,11/20/2019 09:15:00 PM,292,0.67,32,28,Flash Cab
4140065,11/20/2019 09:15:00 PM,360,1.0,8,32,Star North Management LLC
4140066,11/20/2019 09:15:00 PM,420,1.1,32,28,Star North Management LLC
4140067,11/20/2019 09:15:00 PM,448,1.9,8,7,Chicago Independents
4140068,11/20/2019 09:15:00 PM,350,1.48,32,32,Flash Cab
4140069,11/20/2019 09:15:00 PM,540,1.8,8,8,Star North Management LLC
4140070,11/20/2019 09:15:00 PM,480,1.5,32,24,Star North Management LLC
4140071,11/20/2019 09:15:00 PM,420,1.2,32,8,Taxi Affiliation Services
4140072,11/20/2019 09:15:00 PM,420,1.3,28,32,Taxi Affiliation Services
4140073,11/20/2019 09:15:00 PM,332,0.9,8,8,City Service
4140074,11/20/2019 09:15:00 PM,240,0.7,32,8,Star North Management LLC
4140075,11/20/2019 09:15:00 PM,420,1.3,8,28,Taxi Affiliation Services
4140076,11/20/2019 09:15:00 PM,291,0.7,32,28,Metro Jet Taxi A
4140077,11/20/2019 09:15:00 PM,456,1.18,8,32,Flash Cab
4140078,11/20/2019 09:15:00 PM,393,1.26,28,32,Chicago Carriage Cab Corp
4140079,11/20/2019 09:15:00 PM,275,0.68,32,32,Chicago Carriage Cab Corp
4140080,11/20/2019 09:30:00 PM,281,0.65,8,8,City Service
4140081,11/20/2019 09:30:00 PM,297,0.88,8,8,City Service
4140082,11/20/2019 09:30:00 PM,300,1.2,24,8,Taxi Affiliation Services
4140083,11/20/2019 09:30:00 PM,360,1.1,5,4,Taxi Affiliation Services
4140084,11/20/2019 09:30:00 PM,555,1.4,32,8,City Service
4140085,11/20/2019 09:30:00 PM,300,0.9,8,8,Taxi Affiliation Services
4140086,11/20/2019 09:30:00 PM,521,1.1,28,8,Taxi Affiliation Service Yellow
4140087,11/20/2019 09:30:00 PM,497,1.06,32,8,Sun Taxi
4140088,11/20/2019 09:30:00 PM,553,1.95,8,8,Chicago Carriage Cab Corp
4140089,11/20/2019 09:30:00 PM,480,1.3,8,32,Star North Management LLC
4140090,11/20/2019 09:30:00 PM,438,1.68,28,28,Chicago Carriage Cab Corp
4140091,11/20/2019 09:30:00 PM,420,1.6,32,8,Taxi Affiliation Services
4140092,11/20/2019 09:30:00 PM,360,1.1,32,28,Choice Taxi Association
4140093,11/20/2019 09:30:00 PM,360,1.3,32,8,Taxi Affiliation Services
4140094,11/20/2019 09:30:00 PM,412,0.9,8,8,City Service
4140095,11/20/2019 09:30:00 PM,304,1.0,8,8,City Service
4140096,11/20/2019 09:30:00 PM,255,0.6,32,8,City Service
4140097,11/20/2019 09:30:00 PM,274,0.65,8,32,Flash Cab
4140098,11/20/2019 09:30:00 PM,291,0.79,32,8,Chicago Carriage Cab Corp
4140099,11/20/2019 09:30:00 PM,300,1.1,32,8,Taxi Affiliation Services
4140100,11/20/2019 09:30:00 PM,300,0.6,8,32,KOAM Taxi Association
4140101,11/20/2019 09:30:00 PM,343,1.2,8,24,City Service
4140102,11/20/2019 09:30:00 PM,207,0.77,32,8,Flash Cab
4140103,11/20/2019 09:30:00 PM,357,0.57,8,32,Flash Cab
4140104,11/20/2019 09:30:00 PM,420,1.7,8,7,Medallion Leasin
4140105,11/20/2019 09:30:00 PM,275,1.0,32,24,City Service
4140106,11/20/2019 09:30:00 PM,420,1.4,8,8,Star North Management LLC
4140107,11/20/2019 09:30:00 PM,360,0.8,32,32,Star North Management LLC
4140108,11/20/2019 09:30:00 PM,306,0.85,8,8,Flash Cab
4140109,11/20/2019 09:30:00 PM,297,1.12,8,8,Chicago Carriage Cab Corp
4140110,11/20/2019 09:30:00 PM,557,1.98,8,32,Chicago Carriage Cab Corp
4140111,11/20/2019 09:30:00 PM,348,1.68,28,28,Sun Taxi
4140112,11/20/2019 09:30:00 PM,360,1.6,8,7,Taxi Affiliation Services
4140113,11/20/2019 09:30:00 PM,538,1.24,8,32,City Service
4140114,11/20/2019 09:30:00 PM,540,1.7,32,28,Taxi Affiliation Services
4140115,11/20/2019 09:30:00 PM,266,0.85,8,8,Sun Taxi
4140116,11/20/2019 09:30:00 PM,420,0.6,8,8,Taxi Affiliation Services
4140117,11/20/2019 09:30:00 PM,426,1.22,28,32,City Service
4140118,11/20/2019 09:30:00 PM,389,1.61,7,24,City Service
4140119,11/20/2019 09:30:00 PM,390,1.07,32,32,Chicago Carriage Cab Corp
4140120,11/20/2019 09:30:00 PM,345,1.2,8,8,Chicago Independents
4140121,11/20/2019 09:30:00 PM,353,1.3,28,28,City Service
4140122,11/20/2019 09:30:00 PM,240,1.0,32,32,Medallion Leasin
4140123,11/20/2019 09:30:00 PM,480,1.3,8,32,Chicago Medallion Management
4140124,11/20/2019 09:30:00 PM,420,1.0,8,32,Taxi Affiliation Services
4140125,11/20/2019 09:30:00 PM,480,1.8,8,24,Taxi Affiliation Services
4140126,11/20/2019 09:30:00 PM,240,1.0,8,8,Taxi Affiliation Services
4140127,11/20/2019 09:30:00 PM,360,1.0,32,24,Petani Cab Corp
