,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4180000,11/24/2019 02:00:00 AM,266,0.61,8,8,Flash Cab
4180001,11/24/2019 02:00:00 AM,360,0.9,8,8,Taxi Affiliation Services
4180002,11/24/2019 02:00:00 AM,431,0.73,8,8,Flash Cab
4180003,11/24/2019 02:00:00 AM,300,0.9,8,8,Star North Management LLC
4180004,11/24/2019 02:00:00 AM,300,0.7,8,8,Star North Management LLC
4180005,11/24/2019 02:00:00 AM,347,1.0,8,8,City Service
4180006,11/24/2019 02:00:00 AM,360,0.8,8,8,Medallion Leasin
4180007,11/24/2019 02:00:00 AM,322,1.19,8,32,City Service
4180008,11/24/2019 02:00:00 AM,360,1.6,21,16,Taxi Affiliation Services
4180009,11/24/2019 02:00:00 AM,300,0.7,28,28,Taxi Affiliation Services
4180010,11/24/2019 02:00:00 AM,384,1.81,24,8,Flash Cab
4180011,11/24/2019 02:00:00 AM,346,1.57,8,7,Flash Cab
4180012,11/24/2019 02:00:00 AM,264,0.69,8,8,Chicago Carriage Cab Corp
4180013,11/24/2019 02:00:00 AM,240,0.6,8,8,Medallion Leasin
4180014,11/24/2019 02:00:00 AM,480,1.9,8,24,Medallion Leasin
4180015,11/24/2019 02:00:00 AM,240,0.6,22,22,Medallion Leasin
4180016,11/24/2019 02:00:00 AM,392,1.22,8,8,Nova Taxi Affiliation Llc
4180017,11/24/2019 02:00:00 AM,337,1.87,28,8,Flash Cab
4180018,11/24/2019 02:00:00 AM,249,0.53,28,32,Chicago Carriage Cab Corp
4180019,11/24/2019 02:00:00 AM,350,1.49,6,7,Flash Cab
4180020,11/24/2019 02:00:00 AM,540,1.9,8,7,Choice Taxi Association
4180021,11/24/2019 02:00:00 AM,457,1.96,8,33,Nova Taxi Affiliation Llc
4180022,11/24/2019 02:00:00 AM,345,1.61,7,6,Flash Cab
4180023,11/24/2019 02:00:00 AM,360,0.8,8,8,Taxi Affiliation Services
4180024,11/24/2019 02:00:00 AM,540,1.3,8,28,Taxi Affiliation Services
4180025,11/24/2019 02:00:00 AM,300,1.4,8,8,Medallion Leasin
4180026,11/24/2019 02:00:00 AM,388,0.97,8,8,Flash Cab
4180027,11/24/2019 02:00:00 AM,540,1.3,8,8,Star North Management LLC
4180028,11/24/2019 02:00:00 AM,251,0.61,8,8,Chicago Carriage Cab Corp
4180029,11/24/2019 02:00:00 AM,294,0.8,8,8,Sun Taxi
4180030,11/24/2019 02:00:00 AM,338,1.6,6,3,City Service
4180031,11/24/2019 02:00:00 AM,240,1.3,28,8,Star North Management LLC
4180032,11/24/2019 02:00:00 AM,360,1.6,22,7,Taxi Affiliation Services
4180033,11/24/2019 02:00:00 AM,277,0.76,8,8,City Service
4180034,11/24/2019 02:00:00 AM,452,1.4,8,28,Chicago Carriage Cab Corp
4180035,11/24/2019 02:00:00 AM,240,0.7,8,7,Star North Management LLC
4180036,11/24/2019 02:00:00 AM,487,1.11,8,8,Flash Cab
4180037,11/24/2019 02:00:00 AM,392,1.22,8,32,Flash Cab
4180038,11/24/2019 02:00:00 AM,540,1.5,8,7,Medallion Leasin
4180039,11/24/2019 02:00:00 AM,442,1.54,3,6,Sun Taxi
4180040,11/24/2019 02:00:00 AM,480,1.9,8,33,Medallion Leasin
4180041,11/24/2019 02:00:00 AM,368,1.13,8,7,Flash Cab
4180042,11/24/2019 02:00:00 AM,540,1.3,8,8,Taxi Affiliation Services
4180043,11/24/2019 02:00:00 AM,203,0.57,6,6,Flash Cab
4180044,11/24/2019 02:00:00 AM,205,0.51,8,8,Chicago Carriage Cab Corp
4180045,11/24/2019 02:00:00 AM,194,0.93,32,32,City Service
4180046,11/24/2019 02:00:00 AM,277,0.6,8,8,City Service
4180047,11/24/2019 02:00:00 AM,382,1.01,8,8,Chicago Carriage Cab Corp
4180048,11/24/2019 02:00:00 AM,236,0.87,6,6,Flash Cab
4180049,11/24/2019 02:00:00 AM,500,0.77,8,8,Flash Cab
4180050,11/24/2019 02:00:00 AM,300,1.1,8,32,Star North Management LLC
4180051,11/24/2019 02:00:00 AM,373,1.1,8,7,Medallion Leasin
4180052,11/24/2019 02:00:00 AM,480,1.2,8,32,Taxi Affiliation Services
4180053,11/24/2019 02:00:00 AM,420,1.2,8,8,Star North Management LLC
4180054,11/24/2019 02:00:00 AM,228,1.03,16,16,Sun Taxi
