,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4190000,11/25/2019 01:00:00 PM,400,1.15,28,28,Chicago Carriage Cab Corp
4190001,11/25/2019 01:00:00 PM,325,0.69,8,8,Chicago Carriage Cab Corp
4190002,11/25/2019 01:00:00 PM,360,1.8,32,8,"Taxicab Insurance Agency, LLC"
4190003,11/25/2019 01:00:00 PM,540,1.1,8,32,Taxi Affiliation Services
4190004,11/25/2019 01:00:00 PM,412,0.96,8,8,Chicago Carriage Cab Corp
4190005,11/25/2019 01:00:00 PM,420,1.9,32,8,Star North Management LLC
4190006,11/25/2019 01:00:00 PM,480,1.0,8,28,Taxi Affiliation Services
4190007,11/25/2019 01:00:00 PM,301,1.1,7,8,Sun Taxi
4190008,11/25/2019 01:00:00 PM,420,1.0,32,8,Star North Management LLC
4190009,11/25/2019 01:00:00 PM,360,1.2,8,32,Medallion Leasin
4190010,11/25/2019 01:00:00 PM,535,0.9,8,8,Medallion Leasin
4190011,11/25/2019 01:00:00 PM,275,0.86,28,28,Flash Cab
4190012,11/25/2019 01:00:00 PM,270,0.7,8,7,City Service
4190013,11/25/2019 01:00:00 PM,540,1.9,28,8,Medallion Leasin
4190014,11/25/2019 01:00:00 PM,480,1.9,32,33,Star North Management LLC
4190015,11/25/2019 01:00:00 PM,278,0.67,32,32,Flash Cab
4190016,11/25/2019 01:00:00 PM,300,0.8,32,32,"Taxicab Insurance Agency, LLC"
4190017,11/25/2019 01:00:00 PM,346,1.0,28,28,Chicago Independents
4190018,11/25/2019 01:00:00 PM,332,0.96,32,32,Chicago Carriage Cab Corp
4190019,11/25/2019 01:00:00 PM,202,0.65,32,28,Sun Taxi
4190020,11/25/2019 01:00:00 PM,471,1.4,8,32,Flash Cab
4190021,11/25/2019 01:00:00 PM,432,1.05,32,32,Flash Cab
4190022,11/25/2019 01:00:00 PM,411,1.29,32,33,Flash Cab
4190023,11/25/2019 01:00:00 PM,360,1.0,32,28,Taxi Affiliation Services
4190024,11/25/2019 01:00:00 PM,570,1.21,32,32,Chicago Carriage Cab Corp
4190025,11/25/2019 01:00:00 PM,453,0.84,32,8,Flash Cab
4190026,11/25/2019 01:00:00 PM,294,0.93,28,32,Sun Taxi
4190027,11/25/2019 01:00:00 PM,300,0.8,8,32,Taxi Affiliation Services
4190028,11/25/2019 01:00:00 PM,360,0.8,32,28,Star North Management LLC
4190029,11/25/2019 01:00:00 PM,300,0.9,8,8,Star North Management LLC
4190030,11/25/2019 01:00:00 PM,240,0.7,32,28,Star North Management LLC
4190031,11/25/2019 01:00:00 PM,420,0.8,32,8,"Taxicab Insurance Agency, LLC"
4190032,11/25/2019 01:00:00 PM,540,1.4,32,8,"Taxicab Insurance Agency, LLC"
4190033,11/25/2019 01:00:00 PM,297,0.83,32,28,City Service
4190034,11/25/2019 01:00:00 PM,420,1.4,32,28,Top Cab Affiliation
4190035,11/25/2019 01:00:00 PM,480,1.1,28,28,"Taxicab Insurance Agency, LLC"
4190036,11/25/2019 01:00:00 PM,437,1.7,8,32,Chicago Carriage Cab Corp
4190037,11/25/2019 01:00:00 PM,360,1.0,8,8,Choice Taxi Association
4190038,11/25/2019 01:00:00 PM,352,1.12,8,8,Chicago Carriage Cab Corp
4190039,11/25/2019 01:00:00 PM,263,0.75,8,8,Sun Taxi
4190040,11/25/2019 01:00:00 PM,338,0.87,32,32,Chicago Carriage Cab Corp
4190041,11/25/2019 01:00:00 PM,328,0.98,8,28,Sun Taxi
4190042,11/25/2019 01:00:00 PM,360,1.5,33,32,Star North Management LLC
4190043,11/25/2019 01:00:00 PM,360,1.2,8,32,Taxi Affiliation Services
4190044,11/25/2019 01:00:00 PM,540,0.6,28,32,Taxi Affiliation Services
4190045,11/25/2019 01:00:00 PM,480,1.9,33,8,Star North Management LLC
4190046,11/25/2019 01:00:00 PM,434,0.84,28,32,Chicago Carriage Cab Corp
4190047,11/25/2019 01:00:00 PM,420,0.7,32,32,"Taxicab Insurance Agency, LLC"
4190048,11/25/2019 01:00:00 PM,300,1.2,32,28,"Taxicab Insurance Agency, LLC"
4190049,11/25/2019 01:00:00 PM,322,0.89,8,32,Flash Cab
4190050,11/25/2019 01:00:00 PM,360,0.8,32,28,Star North Management LLC
4190051,11/25/2019 01:00:00 PM,442,1.35,8,28,Chicago Carriage Cab Corp
4190052,11/25/2019 01:00:00 PM,505,1.2,28,32,City Service
4190053,11/25/2019 01:00:00 PM,240,0.7,28,8,Taxi Affiliation Services
4190054,11/25/2019 01:00:00 PM,234,0.6,32,8,City Service
4190055,11/25/2019 01:00:00 PM,377,0.85,8,32,Flash Cab
