,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
410000,02/04/2019 09:45:00 AM,300,0.8,32,8,"Taxicab Insurance Agency, LLC"
410001,02/04/2019 09:45:00 AM,480,0.6,32,28,Taxi Affiliation Services
410002,02/04/2019 09:45:00 AM,360,1.6,32,32,Star North Management LLC
410003,02/04/2019 09:45:00 AM,360,1.0,8,32,Chicago Medallion Management
410004,02/04/2019 09:45:00 AM,420,0.9,28,32,Star North Management LLC
410005,02/04/2019 09:45:00 AM,360,0.8,32,8,Taxi Affiliation Services
410006,02/04/2019 09:45:00 AM,360,0.9,32,32,Chicago Medallion Management
410007,02/04/2019 09:45:00 AM,540,1.4,8,32,Taxi Affiliation Services
410008,02/04/2019 09:45:00 AM,540,1.1,32,32,Choice Taxi Association
410009,02/04/2019 09:45:00 AM,420,0.9,8,32,Taxi Affiliation Services
410010,02/04/2019 09:45:00 AM,2340,0.8,56,32,Blue Ribbon Taxi Association Inc.
410011,02/04/2019 09:45:00 AM,240,0.7,32,32,"Taxicab Insurance Agency, LLC"
410012,02/04/2019 09:45:00 AM,540,1.8,32,8,Taxi Affiliation Services
410013,02/04/2019 09:45:00 AM,420,1.9,8,32,Taxi Affiliation Services
410014,02/04/2019 09:45:00 AM,420,0.7,32,32,KOAM Taxi Association
410015,02/04/2019 09:45:00 AM,360,1.0,32,32,Taxi Affiliation Services
410016,02/04/2019 09:45:00 AM,360,0.8,28,28,Top Cab Affiliation
410017,02/04/2019 09:45:00 AM,480,1.4,8,32,Taxi Affiliation Services
410018,02/04/2019 09:45:00 AM,420,1.4,32,8,24 Seven Taxi
410019,02/04/2019 09:45:00 AM,408,0.9,28,8,Chicago Taxicab
410020,02/04/2019 09:45:00 AM,540,1.5,8,32,Medallion Leasin
410021,02/04/2019 09:45:00 AM,412,0.86,32,32,Sun Taxi
410022,02/04/2019 09:45:00 AM,591,1.29,8,28,Globe Taxi
410023,02/04/2019 09:45:00 AM,285,1.02,32,8,Chicago Carriage Cab Corp
410024,02/04/2019 09:45:00 AM,354,1.0,8,32,Globe Taxi
410025,02/04/2019 09:45:00 AM,431,1.22,8,32,Chicago Carriage Cab Corp
410026,02/04/2019 09:45:00 AM,483,1.68,28,8,Sun Taxi
410027,02/04/2019 09:45:00 AM,540,1.2,28,28,Medallion Leasin
410028,02/04/2019 09:45:00 AM,374,0.64,32,32,Chicago Carriage Cab Corp
410029,02/04/2019 09:45:00 AM,553,1.63,28,32,Chicago Carriage Cab Corp
410030,02/04/2019 09:45:00 AM,404,0.82,8,32,Nova Taxi Affiliation Llc
410031,02/04/2019 09:45:00 AM,478,0.93,8,32,Flash Cab
410032,02/04/2019 09:45:00 AM,445,0.85,8,32,Sun Taxi
410033,02/04/2019 09:45:00 AM,536,1.76,2,1,Flash Cab
410034,02/04/2019 09:45:00 AM,339,0.82,32,8,Patriot Taxi Dba Peace Taxi Associat
410035,02/04/2019 09:45:00 AM,231,0.56,8,8,City Service
410036,02/04/2019 09:45:00 AM,312,0.75,8,8,Chicago Carriage Cab Corp
410037,02/04/2019 09:45:00 AM,500,0.8,32,32,Medallion Leasin
410038,02/04/2019 09:45:00 AM,338,1.58,7,8,Chicago Carriage Cab Corp
410039,02/04/2019 09:45:00 AM,472,1.15,32,8,Chicago Carriage Cab Corp
410040,02/04/2019 09:45:00 AM,597,0.84,32,32,Chicago Carriage Cab Corp
410041,02/04/2019 09:45:00 AM,240,0.6,8,32,Sun Taxi
410042,02/04/2019 09:45:00 AM,522,1.28,8,8,City Service
410043,02/04/2019 09:45:00 AM,521,1.01,28,32,Chicago Carriage Cab Corp
410044,02/04/2019 09:45:00 AM,300,0.7,8,32,Globe Taxi
410045,02/04/2019 09:45:00 AM,428,0.89,32,32,Sun Taxi
410046,02/04/2019 09:45:00 AM,540,1.39,32,8,Nova Taxi Affiliation Llc
410047,02/04/2019 09:45:00 AM,598,1.35,32,32,City Service
410048,02/04/2019 09:45:00 AM,351,0.85,8,32,Sun Taxi
410049,02/04/2019 09:45:00 AM,358,0.7,32,32,Leonard Cab Co
410050,02/04/2019 09:45:00 AM,574,1.06,28,32,Taxi Affiliation Service Yellow
410051,02/04/2019 09:45:00 AM,282,0.59,32,32,Sun Taxi
410052,02/04/2019 09:45:00 AM,445,0.95,32,32,Chicago Carriage Cab Corp
410053,02/04/2019 09:45:00 AM,499,1.55,8,32,24 Seven Taxi
410054,02/04/2019 09:45:00 AM,372,0.93,28,32,Chicago Carriage Cab Corp
410055,02/04/2019 09:45:00 AM,431,1.47,8,8,Patriot Taxi Dba Peace Taxi Associat
410056,02/04/2019 09:45:00 AM,240,0.7,8,32,Medallion Leasin
410057,02/04/2019 09:45:00 AM,422,1.55,7,8,Chicago Carriage Cab Corp
410058,02/04/2019 09:45:00 AM,254,0.52,7,6,Flash Cab
