,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4200000,11/26/2019 11:00:00 AM,240,0.8,8,8,Medallion Leasin
4200001,11/26/2019 11:00:00 AM,360,1.4,28,32,Star North Management LLC
4200002,11/26/2019 11:00:00 AM,540,1.4,32,8,Medallion Leasin
4200003,11/26/2019 11:00:00 AM,194,0.52,8,8,Chicago Carriage Cab Corp
4200004,11/26/2019 11:00:00 AM,360,0.8,32,32,Taxi Affiliation Services
4200005,11/26/2019 11:00:00 AM,538,0.88,8,8,Taxi Affiliation Service Yellow
4200006,11/26/2019 11:00:00 AM,307,0.9,8,32,City Service
4200007,11/26/2019 11:00:00 AM,259,0.64,8,8,City Service
4200008,11/26/2019 11:00:00 AM,292,0.65,32,28,Flash Cab
4200009,11/26/2019 11:00:00 AM,570,1.43,8,32,Sun Taxi
4200010,11/26/2019 11:00:00 AM,540,0.9,8,8,Top Cab Affiliation
4200011,11/26/2019 11:00:00 AM,374,1.42,33,32,Patriot Taxi Dba Peace Taxi Associat
4200012,11/26/2019 11:00:00 AM,443,0.9,8,32,Chicago Carriage Cab Corp
4200013,11/26/2019 11:00:00 AM,373,1.05,32,32,Sun Taxi
4200014,11/26/2019 11:00:00 AM,361,1.01,8,8,Chicago Carriage Cab Corp
4200015,11/26/2019 11:00:00 AM,360,0.8,32,8,Medallion Leasin
4200016,11/26/2019 11:00:00 AM,339,1.04,8,8,City Service
4200017,11/26/2019 11:00:00 AM,360,1.2,8,8,Taxi Affiliation Services
4200018,11/26/2019 11:00:00 AM,313,0.74,8,32,Nova Taxi Affiliation Llc
4200019,11/26/2019 11:00:00 AM,493,1.53,8,32,Sun Taxi
4200020,11/26/2019 11:00:00 AM,225,0.7,8,32,Medallion Leasin
4200021,11/26/2019 11:00:00 AM,490,1.24,32,8,Flash Cab
4200022,11/26/2019 11:00:00 AM,420,1.2,32,8,Taxi Affiliation Services
4200023,11/26/2019 11:00:00 AM,360,1.6,32,8,Taxi Affiliation Services
4200024,11/26/2019 11:00:00 AM,490,1.51,28,32,Chicago Carriage Cab Corp
4200025,11/26/2019 11:00:00 AM,453,1.33,8,8,Flash Cab
4200026,11/26/2019 11:00:00 AM,368,1.1,32,8,Flash Cab
4200027,11/26/2019 11:00:00 AM,346,1.01,59,59,Checker Taxi Affiliation
4200028,11/26/2019 11:00:00 AM,271,0.54,28,32,Flash Cab
4200029,11/26/2019 11:00:00 AM,540,1.5,8,8,Chicago Medallion Management
4200030,11/26/2019 11:00:00 AM,297,1.13,28,28,Nova Taxi Affiliation Llc
4200031,11/26/2019 11:00:00 AM,420,1.3,8,7,Taxi Affiliation Services
4200032,11/26/2019 11:00:00 AM,542,1.74,32,8,Sun Taxi
4200033,11/26/2019 11:00:00 AM,360,0.8,28,8,Taxi Affiliation Services
4200034,11/26/2019 11:00:00 AM,442,1.1,32,28,Medallion Leasin
4200035,11/26/2019 11:00:00 AM,433,1.01,32,32,City Service
4200036,11/26/2019 11:00:00 AM,300,0.7,32,8,"Taxicab Insurance Agency, LLC"
4200037,11/26/2019 11:00:00 AM,360,1.1,32,28,Chicago Carriage Cab Corp
4200038,11/26/2019 11:00:00 AM,420,1.3,8,8,Taxi Affiliation Services
4200039,11/26/2019 11:00:00 AM,293,0.81,32,8,Chicago Carriage Cab Corp
4200040,11/26/2019 11:00:00 AM,358,1.18,32,8,City Service
