,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4210000,11/26/2019 11:30:00 PM,300,1.2,28,8,Star North Management LLC
4210001,11/26/2019 11:30:00 PM,480,0.8,32,8,Taxi Affiliation Services
4210002,11/26/2019 11:30:00 PM,240,1.0,32,8,Taxi Affiliation Services
4210003,11/26/2019 11:30:00 PM,360,1.5,32,32,Taxi Affiliation Services
4210004,11/26/2019 11:30:00 PM,348,0.6,8,8,City Service
4210005,11/26/2019 11:30:00 PM,420,1.8,32,33,Star North Management LLC
4210006,11/26/2019 11:30:00 PM,239,1.06,8,24,Flash Cab
4210007,11/26/2019 11:30:00 PM,300,0.9,8,8,1085 - 72312 N and W Cab Co
4210008,11/26/2019 11:30:00 PM,360,0.8,32,8,Taxi Affiliation Services
4210009,11/26/2019 11:30:00 PM,540,1.3,32,32,KOAM Taxi Association
4210010,11/26/2019 11:30:00 PM,420,1.3,32,8,"Taxicab Insurance Agency, LLC"
4210011,11/26/2019 11:30:00 PM,362,1.14,3,77,Flash Cab
4210012,11/26/2019 11:30:00 PM,240,1.1,8,8,Taxi Affiliation Services
4210013,11/26/2019 11:30:00 PM,365,1.78,8,7,City Service
4210014,11/26/2019 11:30:00 PM,300,0.7,32,8,Star North Management LLC
4210015,11/26/2019 11:30:00 PM,420,1.2,8,8,Top Cab Affiliation
4210016,11/26/2019 11:30:00 PM,360,1.2,32,8,Taxi Affiliation Services
4210017,11/26/2019 11:30:00 PM,480,1.7,32,8,Taxi Affiliation Services
4210018,11/26/2019 11:30:00 PM,300,1.2,32,32,"Taxicab Insurance Agency, LLC"
4210019,11/26/2019 11:30:00 PM,360,1.4,32,8,Star North Management LLC
4210020,11/26/2019 11:30:00 PM,300,0.9,7,7,Taxi Affiliation Services
4210021,11/26/2019 11:30:00 PM,540,1.8,32,8,Taxi Affiliation Services
4210022,11/26/2019 11:30:00 PM,300,0.9,8,8,Medallion Leasin
4210023,11/26/2019 11:30:00 PM,1860,1.2,76,33,Taxi Affiliation Services
4210024,11/26/2019 11:30:00 PM,539,1.15,28,32,Patriot Taxi Dba Peace Taxi Associat
4210025,11/26/2019 11:30:00 PM,312,0.84,8,8,Flash Cab
4210026,11/26/2019 11:30:00 PM,360,1.6,6,6,KOAM Taxi Association
4210027,11/26/2019 11:30:00 PM,2280,1.2,32,76,Taxi Affiliation Services
4210028,11/26/2019 11:30:00 PM,300,0.6,8,8,City Service
4210029,11/26/2019 11:30:00 PM,332,1.18,28,28,Chicago Carriage Cab Corp
4210030,11/26/2019 11:45:00 PM,299,1.16,8,32,Chicago Carriage Cab Corp
4210031,11/26/2019 11:45:00 PM,314,1.2,24,8,City Service
4210032,11/26/2019 11:45:00 PM,540,1.2,32,8,Star North Management LLC
4210033,11/26/2019 11:45:00 PM,540,1.4,7,8,Top Cab Affiliation
4210034,11/26/2019 11:45:00 PM,360,1.3,8,8,1085 - 72312 N and W Cab Co
4210035,11/26/2019 11:45:00 PM,351,1.03,3,3,Flash Cab
4210036,11/26/2019 11:45:00 PM,360,1.1,8,8,Taxi Affiliation Services
4210037,11/26/2019 11:45:00 PM,300,0.9,8,8,Taxi Affiliation Services
4210038,11/26/2019 11:45:00 PM,480,1.5,8,32,Taxi Affiliation Services
4210039,11/26/2019 11:45:00 PM,480,1.1,8,8,Taxi Affiliation Services
