,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4220000,11/27/2019 09:00:00 PM,360,1.5,28,8,Star North Management LLC
4220001,11/27/2019 09:00:00 PM,468,1.44,32,8,Flash Cab
4220002,11/27/2019 09:00:00 PM,574,1.55,8,8,Chicago Carriage Cab Corp
4220003,11/27/2019 09:00:00 PM,314,0.94,32,32,Flash Cab
4220004,11/27/2019 09:00:00 PM,358,0.8,8,8,Flash Cab
4220005,11/27/2019 09:00:00 PM,480,1.7,28,8,Medallion Leasin
4220006,11/27/2019 09:00:00 PM,300,1.1,8,8,Star North Management LLC
4220007,11/27/2019 09:00:00 PM,566,1.28,32,32,Chicago Carriage Cab Corp
4220008,11/27/2019 09:00:00 PM,289,0.65,28,8,Taxi Affiliation Service Yellow
4220009,11/27/2019 09:00:00 PM,480,1.6,32,8,Taxi Affiliation Services
4220010,11/27/2019 09:00:00 PM,212,0.65,4,5,Flash Cab
4220011,11/27/2019 09:00:00 PM,240,0.6,8,8,Chicago Medallion Management
4220012,11/27/2019 09:00:00 PM,203,0.55,8,8,Chicago Carriage Cab Corp
4220013,11/27/2019 09:00:00 PM,323,1.19,32,32,Flash Cab
4220014,11/27/2019 09:00:00 PM,345,1.42,77,77,Flash Cab
4220015,11/27/2019 09:00:00 PM,431,1.7,32,28,Sun Taxi
4220016,11/27/2019 09:00:00 PM,371,1.03,8,8,Flash Cab
4220017,11/27/2019 09:00:00 PM,366,0.92,8,8,Flash Cab
4220018,11/27/2019 09:00:00 PM,240,0.8,6,6,Choice Taxi Association
4220019,11/27/2019 09:00:00 PM,219,0.6,8,8,City Service
4220020,11/27/2019 09:00:00 PM,3632,1.97,48,48,Flash Cab
4220021,11/27/2019 09:00:00 PM,300,1.2,28,32,Medallion Leasin
4220022,11/27/2019 09:00:00 PM,480,0.7,8,8,Chicago Independents
4220023,11/27/2019 09:00:00 PM,420,1.4,8,32,Top Cab Affiliation
4220024,11/27/2019 09:00:00 PM,523,1.86,8,24,Flash Cab
4220025,11/27/2019 09:00:00 PM,438,1.6,8,7,Chicago Taxicab
4220026,11/27/2019 09:00:00 PM,360,0.7,28,32,Taxi Affiliation Services
4220027,11/27/2019 09:15:00 PM,419,1.15,8,8,Flash Cab
4220028,11/27/2019 09:15:00 PM,300,1.0,8,8,Choice Taxi Association
4220029,11/27/2019 09:15:00 PM,533,1.46,8,8,Flash Cab
4220030,11/27/2019 09:15:00 PM,488,1.98,77,4,Flash Cab
4220031,11/27/2019 09:15:00 PM,420,1.1,32,32,Taxi Affiliation Services
4220032,11/27/2019 09:15:00 PM,420,1.6,32,28,Taxi Affiliation Services
4220033,11/27/2019 09:15:00 PM,317,1.63,8,32,Chicago Carriage Cab Corp
4220034,11/27/2019 09:15:00 PM,300,0.9,32,32,Taxi Affiliation Services
4220035,11/27/2019 09:15:00 PM,588,1.73,32,32,Flash Cab
4220036,11/27/2019 09:15:00 PM,343,0.68,8,32,Flash Cab
4220037,11/27/2019 09:15:00 PM,540,1.8,28,32,Taxi Affiliation Services
4220038,11/27/2019 09:15:00 PM,391,0.71,8,8,Sun Taxi
4220039,11/27/2019 09:15:00 PM,426,0.97,8,8,Flash Cab
4220040,11/27/2019 09:15:00 PM,183,0.64,8,8,Flash Cab
4220041,11/27/2019 09:15:00 PM,262,0.75,32,8,City Service
4220042,11/27/2019 09:15:00 PM,312,0.8,8,32,Medallion Leasin
4220043,11/27/2019 09:15:00 PM,269,0.8,8,8,Medallion Leasin
4220044,11/27/2019 09:15:00 PM,360,0.9,28,32,Taxi Affiliation Services
4220045,11/27/2019 09:15:00 PM,540,1.6,32,8,Taxi Affiliation Services
4220046,11/27/2019 09:15:00 PM,489,1.23,28,32,Nova Taxi Affiliation Llc
4220047,11/27/2019 09:15:00 PM,300,0.9,32,32,Medallion Leasin
4220048,11/27/2019 09:15:00 PM,300,0.6,8,8,KOAM Taxi Association
4220049,11/27/2019 09:15:00 PM,200,0.56,8,8,Patriot Taxi Dba Peace Taxi Associat
4220050,11/27/2019 09:15:00 PM,403,1.04,8,28,City Service
4220051,11/27/2019 09:15:00 PM,300,0.9,32,28,Star North Management LLC
4220052,11/27/2019 09:15:00 PM,319,1.3,7,8,Sun Taxi
4220053,11/27/2019 09:15:00 PM,241,0.6,32,28,Flash Cab
4220054,11/27/2019 09:15:00 PM,406,1.19,28,28,24 Seven Taxi
4220055,11/27/2019 09:15:00 PM,466,1.67,8,8,Flash Cab
4220056,11/27/2019 09:15:00 PM,300,0.8,32,8,U Taxicab
4220057,11/27/2019 09:15:00 PM,506,1.79,3,3,Sun Taxi
4220058,11/27/2019 09:15:00 PM,345,0.8,6,6,Medallion Leasin
4220059,11/27/2019 09:15:00 PM,317,0.75,8,8,City Service
4220060,11/27/2019 09:15:00 PM,211,0.52,32,32,Flash Cab
4220061,11/27/2019 09:15:00 PM,359,1.08,28,28,City Service
4220062,11/27/2019 09:15:00 PM,480,1.9,8,28,Star North Management LLC
4220063,11/27/2019 09:15:00 PM,360,1.7,2,77,Taxi Affiliation Services
4220064,11/27/2019 09:15:00 PM,546,1.26,28,8,5 Star Taxi
4220065,11/27/2019 09:15:00 PM,480,1.2,8,8,Taxi Affiliation Services
4220066,11/27/2019 09:15:00 PM,540,1.8,8,32,3591 - 63480 Chuks Cab
4220067,11/27/2019 09:15:00 PM,420,1.3,8,8,Choice Taxi Association
4220068,11/27/2019 09:15:00 PM,454,1.91,28,28,Flash Cab
4220069,11/27/2019 09:15:00 PM,360,1.3,6,7,Taxi Affiliation Services
4220070,11/27/2019 09:15:00 PM,597,1.59,28,32,Chicago Carriage Cab Corp
4220071,11/27/2019 09:15:00 PM,441,0.9,8,32,City Service
4220072,11/27/2019 09:15:00 PM,561,1.69,8,8,City Service
4220073,11/27/2019 09:15:00 PM,420,1.0,8,8,Medallion Leasin
4220074,11/27/2019 09:15:00 PM,480,1.2,8,8,Top Cab Affiliation
4220075,11/27/2019 09:15:00 PM,300,0.7,8,8,Star North Management LLC
4220076,11/27/2019 09:15:00 PM,262,0.52,28,32,Chicago Carriage Cab Corp
4220077,11/27/2019 09:15:00 PM,463,1.44,8,32,Nova Taxi Affiliation Llc
4220078,11/27/2019 09:15:00 PM,428,0.85,3,3,Sun Taxi
4220079,11/27/2019 09:15:00 PM,323,0.88,32,8,Flash Cab
4220080,11/27/2019 09:15:00 PM,300,0.7,8,8,Taxi Affiliation Services
4220081,11/27/2019 09:15:00 PM,420,0.9,8,8,Medallion Leasin
4220082,11/27/2019 09:15:00 PM,420,0.8,8,8,Medallion Leasin
4220083,11/27/2019 09:15:00 PM,446,1.2,28,32,City Service
4220084,11/27/2019 09:15:00 PM,526,1.23,32,28,Chicago Carriage Cab Corp
4220085,11/27/2019 09:15:00 PM,392,0.93,8,8,Flash Cab
4220086,11/27/2019 09:15:00 PM,420,0.9,32,8,Top Cab Affiliation
4220087,11/27/2019 09:15:00 PM,403,1.6,8,8,Sun Taxi
4220088,11/27/2019 09:15:00 PM,495,1.44,8,32,Flash Cab
4220089,11/27/2019 09:15:00 PM,475,1.11,2,2,Flash Cab
4220090,11/27/2019 09:15:00 PM,355,0.65,8,8,Flash Cab
4220091,11/27/2019 09:15:00 PM,548,1.45,8,32,Chicago Carriage Cab Corp
4220092,11/27/2019 09:15:00 PM,480,1.4,28,8,Taxi Affiliation Services
4220093,11/27/2019 09:15:00 PM,480,1.5,8,32,Taxi Affiliation Services
4220094,11/27/2019 09:15:00 PM,240,0.9,32,28,Taxi Affiliation Services
4220095,11/27/2019 09:15:00 PM,240,1.0,1,2,Taxi Affiliation Services
4220096,11/27/2019 09:15:00 PM,429,1.69,8,8,Flash Cab
4220097,11/27/2019 09:15:00 PM,249,0.93,8,32,Chicago Carriage Cab Corp
4220098,11/27/2019 09:15:00 PM,501,1.82,8,7,Sun Taxi
4220099,11/27/2019 09:15:00 PM,287,0.92,8,8,City Service
4220100,11/27/2019 09:15:00 PM,418,1.77,28,24,Sun Taxi
4220101,11/27/2019 09:15:00 PM,260,0.9,32,8,Sun Taxi
4220102,11/27/2019 09:15:00 PM,396,1.6,7,8,Chicago Carriage Cab Corp
4220103,11/27/2019 09:15:00 PM,360,1.1,8,28,Choice Taxi Association
4220104,11/27/2019 09:15:00 PM,350,1.0,8,8,Medallion Leasin
