,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4240000,11/30/2019 11:45:00 PM,393,1.34,28,8,City Service
4240001,11/30/2019 11:45:00 PM,420,1.4,8,28,Star North Management LLC
4240002,11/30/2019 11:45:00 PM,360,0.9,8,8,"Taxicab Insurance Agency, LLC"
4240003,11/30/2019 11:45:00 PM,300,1.0,8,32,Top Cab Affiliation
4240004,11/30/2019 11:45:00 PM,300,0.8,8,32,Taxi Affiliation Services
4240005,11/30/2019 11:45:00 PM,322,1.0,8,8,City Service
4240006,11/30/2019 11:45:00 PM,451,1.6,8,8,Flash Cab
4240007,11/30/2019 11:45:00 PM,540,1.6,32,8,Taxi Affiliation Services
4240008,11/30/2019 11:45:00 PM,357,1.35,56,64,Flash Cab
4240009,11/30/2019 11:45:00 PM,480,1.4,8,32,Star North Management LLC
4240010,11/30/2019 11:45:00 PM,240,0.7,6,6,Medallion Leasin
4240011,11/30/2019 11:45:00 PM,209,0.67,8,8,Chicago Carriage Cab Corp
4240012,11/30/2019 11:45:00 PM,420,1.2,8,8,Star North Management LLC
4240013,11/30/2019 11:45:00 PM,360,0.9,8,32,Chicago Medallion Management
4240014,11/30/2019 11:45:00 PM,420,1.1,8,8,Medallion Leasin
4240015,11/30/2019 11:45:00 PM,377,1.14,24,24,Sun Taxi
4240016,11/30/2019 11:45:00 PM,261,0.86,32,32,Sun Taxi
4240017,11/30/2019 11:45:00 PM,284,0.95,8,8,Chicago Carriage Cab Corp
4240018,11/30/2019 11:45:00 PM,540,1.9,8,32,Star North Management LLC
4240019,11/30/2019 11:45:00 PM,540,1.3,28,32,Star North Management LLC
4240020,11/30/2019 11:45:00 PM,428,1.4,8,32,City Service
4240021,11/30/2019 11:45:00 PM,360,0.7,8,8,Taxi Affiliation Services
4240022,11/30/2019 11:45:00 PM,441,1.37,6,7,Flash Cab
4240023,11/30/2019 11:45:00 PM,360,1.1,32,8,1085 - 72312 N and W Cab Co
4240024,11/30/2019 11:45:00 PM,308,0.9,28,28,Flash Cab
4240025,11/30/2019 11:45:00 PM,372,1.4,32,8,City Service
4240026,11/30/2019 11:45:00 PM,420,1.2,32,32,Medallion Leasin
4240027,11/30/2019 11:45:00 PM,360,0.9,8,32,Star North Management LLC
4240028,11/30/2019 11:45:00 PM,360,1.9,11,10,Star North Management LLC
4240029,11/30/2019 11:45:00 PM,573,1.85,32,8,Flash Cab
4240030,11/30/2019 11:45:00 PM,420,1.5,8,32,Star North Management LLC
4240031,11/30/2019 11:45:00 PM,420,1.2,8,8,"Taxicab Insurance Agency, LLC"
4240032,11/30/2019 11:45:00 PM,577,1.79,28,8,Chicago Carriage Cab Corp
4240033,11/30/2019 11:45:00 PM,251,0.59,8,8,Nova Taxi Affiliation Llc
4240034,11/30/2019 11:45:00 PM,360,1.5,8,24,"Taxicab Insurance Agency, LLC"
4240035,11/30/2019 11:45:00 PM,240,0.8,32,32,Taxi Affiliation Services
4240036,11/30/2019 11:45:00 PM,240,1.0,8,8,Star North Management LLC
4240037,11/30/2019 11:45:00 PM,300,1.0,8,8,Taxi Affiliation Services
4240038,11/30/2019 11:45:00 PM,240,0.6,8,8,Taxi Affiliation Services
4240039,11/30/2019 11:45:00 PM,360,1.4,32,8,Taxi Affiliation Services
4240040,11/30/2019 11:45:00 PM,489,1.47,28,8,Chicago Carriage Cab Corp
4240041,11/30/2019 11:45:00 PM,360,1.0,8,8,Medallion Leasin
4240042,11/30/2019 11:45:00 PM,360,1.1,28,8,"Taxicab Insurance Agency, LLC"
4240043,11/30/2019 11:45:00 PM,296,0.9,8,8,Chicago Carriage Cab Corp
4240044,11/30/2019 11:45:00 PM,420,0.9,8,8,Taxi Affiliation Services
4240045,11/30/2019 11:45:00 PM,227,0.55,6,6,Flash Cab
4240046,11/30/2019 11:45:00 PM,325,0.63,8,8,Sun Taxi
4240047,11/30/2019 11:45:00 PM,186,0.6,8,7,Medallion Leasin
4240048,11/30/2019 11:45:00 PM,338,0.9,8,8,City Service
4240049,11/30/2019 11:45:00 PM,1860,1.1,76,8,Taxi Affiliation Services
4240050,12/01/2019 12:00:00 AM,365,1.04,24,24,Sun Taxi
4240051,12/01/2019 12:00:00 AM,300,1.4,8,24,Medallion Leasin
