,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4250000,12/02/2019 09:30:00 AM,585,1.92,32,24,Chicago Carriage Cab Corp
4250001,12/02/2019 09:30:00 AM,360,0.9,32,32,Taxi Affiliation Services
4250002,12/02/2019 09:30:00 AM,485,1.08,8,32,Flash Cab
4250003,12/02/2019 09:30:00 AM,2820,1.2,8,76,Taxi Affiliation Services
4250004,12/02/2019 09:30:00 AM,480,0.8,28,32,Star North Management LLC
4250005,12/02/2019 09:30:00 AM,373,1.03,4,8,Sun Taxi
4250006,12/02/2019 09:30:00 AM,420,1.2,32,32,"Taxicab Insurance Agency, LLC"
4250007,12/02/2019 09:30:00 AM,420,1.1,32,32,Medallion Leasin
4250008,12/02/2019 09:30:00 AM,540,0.9,32,32,Chicago Medallion Management
4250009,12/02/2019 09:30:00 AM,540,1.4,32,8,Choice Taxi Association
4250010,12/02/2019 09:30:00 AM,360,0.7,32,32,Choice Taxi Association
4250011,12/02/2019 09:30:00 AM,458,1.1,8,32,24 Seven Taxi
4250012,12/02/2019 09:30:00 AM,480,1.1,8,32,"Taxicab Insurance Agency, LLC"
4250013,12/02/2019 09:30:00 AM,438,1.14,8,32,Flash Cab
4250014,12/02/2019 09:30:00 AM,504,0.8,32,32,City Service
4250015,12/02/2019 09:30:00 AM,329,0.61,32,32,Flash Cab
4250016,12/02/2019 09:30:00 AM,465,1.41,8,32,Patriot Taxi Dba Peace Taxi Associat
4250017,12/02/2019 09:30:00 AM,300,0.6,28,32,Taxi Affiliation Services
4250018,12/02/2019 09:30:00 AM,360,1.1,32,32,Star North Management LLC
4250019,12/02/2019 09:30:00 AM,356,0.91,8,8,Chicago Carriage Cab Corp
4250020,12/02/2019 09:30:00 AM,530,1.67,32,33,Chicago Carriage Cab Corp
4250021,12/02/2019 09:30:00 AM,543,1.65,8,32,Sun Taxi
4250022,12/02/2019 09:30:00 AM,272,1.2,3,3,City Service
4250023,12/02/2019 09:30:00 AM,427,1.03,32,28,Chicago Carriage Cab Corp
4250024,12/02/2019 09:30:00 AM,412,1.01,8,32,Patriot Taxi Dba Peace Taxi Associat
4250025,12/02/2019 09:30:00 AM,2820,0.9,76,6,Blue Ribbon Taxi Association Inc.
4250026,12/02/2019 09:30:00 AM,204,0.83,28,28,Chicago Carriage Cab Corp
4250027,12/02/2019 09:30:00 AM,408,0.91,28,32,Chicago Carriage Cab Corp
4250028,12/02/2019 09:30:00 AM,497,1.58,28,32,Chicago Carriage Cab Corp
4250029,12/02/2019 09:30:00 AM,217,0.54,32,32,Sun Taxi
4250030,12/02/2019 09:30:00 AM,401,1.41,8,8,Sun Taxi
4250031,12/02/2019 09:30:00 AM,360,1.0,8,32,Taxi Affiliation Services
4250032,12/02/2019 09:30:00 AM,394,1.0,32,32,Medallion Leasin
4250033,12/02/2019 09:30:00 AM,240,0.8,28,28,Taxi Affiliation Services
4250034,12/02/2019 09:30:00 AM,300,0.8,32,32,Choice Taxi Association
4250035,12/02/2019 09:30:00 AM,371,0.83,32,32,Flash Cab
4250036,12/02/2019 09:30:00 AM,573,1.3,33,32,Medallion Leasin
4250037,12/02/2019 09:30:00 AM,540,1.0,32,32,Chicago Medallion Management
4250038,12/02/2019 09:30:00 AM,300,0.6,32,32,Choice Taxi Association
4250039,12/02/2019 09:30:00 AM,300,0.8,32,32,Medallion Leasin
4250040,12/02/2019 09:30:00 AM,433,1.57,28,33,Chicago Carriage Cab Corp
4250041,12/02/2019 09:30:00 AM,351,1.24,3,32,24 Seven Taxi
4250042,12/02/2019 09:30:00 AM,420,1.4,32,8,Taxi Affiliation Services
4250043,12/02/2019 09:30:00 AM,540,1.3,32,28,"Taxicab Insurance Agency, LLC"
4250044,12/02/2019 09:30:00 AM,448,1.38,28,28,24 Seven Taxi
4250045,12/02/2019 09:30:00 AM,540,1.1,8,8,Taxi Affiliation Services
4250046,12/02/2019 09:30:00 AM,540,0.9,8,8,312 Medallion Management Corp
4250047,12/02/2019 09:30:00 AM,540,1.8,28,27,Taxi Affiliation Services
4250048,12/02/2019 09:30:00 AM,208,0.73,32,8,Nova Taxi Affiliation Llc
4250049,12/02/2019 09:30:00 AM,360,0.8,8,8,"Taxicab Insurance Agency, LLC"
4250050,12/02/2019 09:30:00 AM,360,0.8,8,32,Medallion Leasin
4250051,12/02/2019 09:30:00 AM,548,1.61,8,28,City Service
4250052,12/02/2019 09:30:00 AM,285,0.62,8,32,Chicago Carriage Cab Corp
4250053,12/02/2019 09:30:00 AM,325,1.07,28,28,Chicago Carriage Cab Corp
4250054,12/02/2019 09:30:00 AM,240,0.8,32,8,Taxi Affiliation Services
4250055,12/02/2019 09:30:00 AM,420,0.8,32,32,Star North Management LLC
4250056,12/02/2019 09:30:00 AM,229,0.51,32,32,Chicago Carriage Cab Corp
4250057,12/02/2019 09:30:00 AM,480,1.8,8,32,Taxi Affiliation Services
4250058,12/02/2019 09:30:00 AM,480,1.1,8,32,Taxi Affiliation Services
4250059,12/02/2019 09:30:00 AM,476,1.9,38,41,Taxi Affiliation Service Yellow
4250060,12/02/2019 09:30:00 AM,401,1.36,32,33,Sun Taxi
4250061,12/02/2019 09:30:00 AM,192,0.57,28,32,Chicago Carriage Cab Corp
4250062,12/02/2019 09:30:00 AM,370,0.85,28,32,City Service
4250063,12/02/2019 09:30:00 AM,2280,10.7,56,28,Taxi Affiliation Services
4250064,12/02/2019 09:30:00 AM,536,1.36,32,8,Chicago Carriage Cab Corp
4250065,12/02/2019 09:30:00 AM,339,1.07,32,8,24 Seven Taxi
4250066,12/02/2019 09:30:00 AM,236,1.3,8,32,Chicago Carriage Cab Corp
4250067,12/02/2019 09:30:00 AM,426,1.0,8,8,Blue Diamond
4250068,12/02/2019 09:30:00 AM,480,0.8,8,32,Star North Management LLC
4250069,12/02/2019 09:30:00 AM,540,1.2,8,8,Taxi Affiliation Services
4250070,12/02/2019 09:30:00 AM,288,1.29,8,8,Chicago Carriage Cab Corp
4250071,12/02/2019 09:30:00 AM,360,1.0,28,32,Medallion Leasin
4250072,12/02/2019 09:30:00 AM,522,0.93,28,32,City Service
4250073,12/02/2019 09:30:00 AM,360,1.6,32,28,Taxi Affiliation Services
4250074,12/02/2019 09:30:00 AM,412,1.04,2,2,Sun Taxi
4250075,12/02/2019 09:30:00 AM,196,0.53,8,8,Patriot Taxi Dba Peace Taxi Associat
4250076,12/02/2019 09:30:00 AM,420,1.1,8,28,Medallion Leasin
4250077,12/02/2019 09:30:00 AM,480,1.3,28,32,Taxi Affiliation Services
4250078,12/02/2019 09:30:00 AM,2460,10.2,56,28,U Taxicab
4250079,12/02/2019 09:30:00 AM,300,0.7,8,32,Taxi Affiliation Services
4250080,12/02/2019 09:30:00 AM,480,1.6,32,8,Taxi Affiliation Services
4250081,12/02/2019 09:30:00 AM,480,1.0,8,8,Taxi Affiliation Services
4250082,12/02/2019 09:30:00 AM,480,0.9,8,8,Medallion Leasin
4250083,12/02/2019 09:30:00 AM,360,1.1,28,32,Star North Management LLC
4250084,12/02/2019 09:30:00 AM,300,0.9,32,8,Medallion Leasin
4250085,12/02/2019 09:30:00 AM,224,0.52,32,32,Flash Cab
4250086,12/02/2019 09:30:00 AM,558,1.37,32,8,Chicago Carriage Cab Corp
4250087,12/02/2019 09:30:00 AM,361,0.7,8,32,Medallion Leasin
4250088,12/02/2019 09:30:00 AM,287,0.87,32,32,City Service
4250089,12/02/2019 09:30:00 AM,3600,1.0,76,8,Blue Ribbon Taxi Association Inc.
4250090,12/02/2019 09:30:00 AM,480,0.9,32,32,Star North Management LLC
4250091,12/02/2019 09:30:00 AM,213,0.61,28,32,Nova Taxi Affiliation Llc
4250092,12/02/2019 09:30:00 AM,309,1.2,6,6,24 Seven Taxi
4250093,12/02/2019 09:30:00 AM,480,1.2,32,8,Medallion Leasin
4250094,12/02/2019 09:30:00 AM,525,0.9,32,32,City Service
4250095,12/02/2019 09:30:00 AM,479,1.0,8,32,Medallion Leasin
4250096,12/02/2019 09:30:00 AM,300,0.9,28,28,Taxi Affiliation Services
4250097,12/02/2019 09:30:00 AM,300,1.1,8,8,Star North Management LLC
4250098,12/02/2019 09:30:00 AM,420,0.99,32,28,Nova Taxi Affiliation Llc
4250099,12/02/2019 09:30:00 AM,411,1.32,33,32,Sun Taxi
