,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4290000,12/04/2019 06:15:00 PM,540,1.0,8,8,Star North Management LLC
4290001,12/04/2019 06:15:00 PM,541,0.89,28,24,Sun Taxi
4290002,12/04/2019 06:15:00 PM,480,0.9,8,8,Taxi Affiliation Services
4290003,12/04/2019 06:15:00 PM,480,1.1,32,28,Taxi Affiliation Services
4290004,12/04/2019 06:15:00 PM,506,1.24,32,8,City Service
4290005,12/04/2019 06:15:00 PM,480,1.5,32,32,Choice Taxi Association
4290006,12/04/2019 06:15:00 PM,269,0.88,28,32,City Service
4290007,12/04/2019 06:15:00 PM,5248,1.49,32,8,Flash Cab
4290008,12/04/2019 06:15:00 PM,423,0.9,28,32,Chicago Independents
4290009,12/04/2019 06:15:00 PM,464,0.71,8,8,Sun Taxi
4290010,12/04/2019 06:15:00 PM,277,0.89,32,32,Chicago Carriage Cab Corp
4290011,12/04/2019 06:15:00 PM,453,0.94,8,32,Flash Cab
4290012,12/04/2019 06:15:00 PM,442,1.1,8,8,City Service
4290013,12/04/2019 06:15:00 PM,506,0.81,4,4,Flash Cab
4290014,12/04/2019 06:15:00 PM,480,1.2,8,32,Taxi Affiliation Services
4290015,12/04/2019 06:15:00 PM,529,1.46,33,32,Flash Cab
4290016,12/04/2019 06:15:00 PM,335,0.94,6,6,Flash Cab
4290017,12/04/2019 06:15:00 PM,480,1.3,8,8,Choice Taxi Association
4290018,12/04/2019 06:15:00 PM,540,1.1,28,32,Taxi Affiliation Services
4290019,12/04/2019 06:15:00 PM,511,1.16,28,32,Chicago Carriage Cab Corp
4290020,12/04/2019 06:15:00 PM,343,1.89,8,7,Flash Cab
4290021,12/04/2019 06:15:00 PM,480,0.6,32,32,Taxi Affiliation Services
4290022,12/04/2019 06:15:00 PM,520,0.67,8,8,Chicago Carriage Cab Corp
4290023,12/04/2019 06:15:00 PM,480,0.9,32,28,Taxi Affiliation Services
4290024,12/04/2019 06:15:00 PM,427,1.01,8,8,Flash Cab
4290025,12/04/2019 06:15:00 PM,540,0.8,32,8,KOAM Taxi Association
4290026,12/04/2019 06:15:00 PM,308,0.73,8,32,Sun Taxi
4290027,12/04/2019 06:15:00 PM,568,0.88,8,8,Flash Cab
4290028,12/04/2019 06:15:00 PM,480,1.1,28,28,Taxi Affiliation Services
4290029,12/04/2019 06:15:00 PM,596,1.7,33,33,Medallion Leasin
4290030,12/04/2019 06:15:00 PM,300,0.6,8,32,Taxi Affiliation Services
4290031,12/04/2019 06:15:00 PM,546,1.1,32,8,Chicago Carriage Cab Corp
4290032,12/04/2019 06:15:00 PM,427,0.8,8,8,City Service
4290033,12/04/2019 06:15:00 PM,489,0.7,8,8,Flash Cab
4290034,12/04/2019 06:15:00 PM,571,1.41,32,32,Sun Taxi
4290035,12/04/2019 06:15:00 PM,2185,10.98,3,28,Flash Cab
4290036,12/04/2019 06:15:00 PM,579,1.04,32,28,24 Seven Taxi
4290037,12/04/2019 06:15:00 PM,480,1.0,32,32,Star North Management LLC
4290038,12/04/2019 06:15:00 PM,336,0.88,6,6,Flash Cab
4290039,12/04/2019 06:15:00 PM,486,1.01,32,32,City Service
