,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4300000,12/05/2019 12:15:00 PM,300,0.8,32,8,"Taxicab Insurance Agency, LLC"
4300001,12/05/2019 12:15:00 PM,319,1.01,32,28,City Service
4300002,12/05/2019 12:15:00 PM,328,1.04,32,32,Nova Taxi Affiliation Llc
4300003,12/05/2019 12:15:00 PM,240,0.7,8,32,Choice Taxi Association
4300004,12/05/2019 12:15:00 PM,240,1.1,33,35,Taxi Affiliation Services
4300005,12/05/2019 12:15:00 PM,540,1.4,32,8,KOAM Taxi Association
4300006,12/05/2019 12:15:00 PM,535,1.11,32,8,Chicago Carriage Cab Corp
4300007,12/05/2019 12:15:00 PM,229,0.63,32,32,Chicago Carriage Cab Corp
4300008,12/05/2019 12:15:00 PM,300,1.09,32,32,Chicago Carriage Cab Corp
4300009,12/05/2019 12:15:00 PM,385,1.0,32,32,Chicago Carriage Cab Corp
4300010,12/05/2019 12:15:00 PM,420,1.0,28,32,Medallion Leasin
4300011,12/05/2019 12:15:00 PM,558,0.94,32,8,Sun Taxi
4300012,12/05/2019 12:15:00 PM,408,1.1,8,32,Sun Taxi
4300013,12/05/2019 12:15:00 PM,480,0.8,8,32,"Taxicab Insurance Agency, LLC"
4300014,12/05/2019 12:15:00 PM,540,1.7,33,32,Medallion Leasin
4300015,12/05/2019 12:15:00 PM,307,0.7,32,28,Medallion Leasin
4300016,12/05/2019 12:15:00 PM,1895,10.13,15,28,Flash Cab
4300017,12/05/2019 12:15:00 PM,2280,0.9,56,22,Blue Ribbon Taxi Association Inc.
4300018,12/05/2019 12:15:00 PM,519,1.91,6,8,Flash Cab
4300019,12/05/2019 12:15:00 PM,230,0.55,8,32,City Service
4300020,12/05/2019 12:15:00 PM,440,0.86,8,32,Chicago Carriage Cab Corp
4300021,12/05/2019 12:15:00 PM,321,1.37,32,32,Chicago Carriage Cab Corp
4300022,12/05/2019 12:15:00 PM,189,0.79,33,33,Chicago Carriage Cab Corp
4300023,12/05/2019 12:15:00 PM,505,0.9,8,8,City Service
4300024,12/05/2019 12:15:00 PM,262,0.71,8,8,24 Seven Taxi
4300025,12/05/2019 12:15:00 PM,375,1.03,8,8,Flash Cab
4300026,12/05/2019 12:15:00 PM,420,0.8,28,8,Star North Management LLC
4300027,12/05/2019 12:15:00 PM,553,1.08,32,32,City Service
4300028,12/05/2019 12:15:00 PM,294,1.02,32,8,Chicago Carriage Cab Corp
4300029,12/05/2019 12:15:00 PM,315,0.81,8,32,Sun Taxi
4300030,12/05/2019 12:15:00 PM,458,1.11,32,8,Sun Taxi
4300031,12/05/2019 12:15:00 PM,300,0.7,28,32,Taxi Affiliation Services
4300032,12/05/2019 12:15:00 PM,540,1.2,28,32,Taxi Affiliation Services
4300033,12/05/2019 12:15:00 PM,420,1.2,8,32,Taxi Affiliation Services
4300034,12/05/2019 12:15:00 PM,434,0.72,32,32,24 Seven Taxi
4300035,12/05/2019 12:15:00 PM,509,1.17,32,8,Chicago Carriage Cab Corp
4300036,12/05/2019 12:15:00 PM,542,0.9,32,28,Medallion Leasin
4300037,12/05/2019 12:15:00 PM,497,0.8,32,8,City Service
4300038,12/05/2019 12:15:00 PM,353,1.02,33,34,Sun Taxi
4300039,12/05/2019 12:15:00 PM,480,0.9,32,32,KOAM Taxi Association
4300040,12/05/2019 12:15:00 PM,300,0.7,8,8,Top Cab Affiliation
4300041,12/05/2019 12:15:00 PM,267,0.81,8,8,Sun Taxi
4300042,12/05/2019 12:15:00 PM,520,1.1,32,28,Flash Cab
4300043,12/05/2019 12:15:00 PM,540,1.2,28,8,Medallion Leasin
4300044,12/05/2019 12:15:00 PM,457,1.76,32,33,City Service
4300045,12/05/2019 12:15:00 PM,521,1.04,28,8,Chicago Carriage Cab Corp
4300046,12/05/2019 12:15:00 PM,546,1.53,32,8,City Service
4300047,12/05/2019 12:15:00 PM,300,1.0,8,8,"Taxicab Insurance Agency, LLC"
4300048,12/05/2019 12:15:00 PM,570,1.66,32,8,Flash Cab
4300049,12/05/2019 12:15:00 PM,2400,1.1,76,32,Taxi Affiliation Services
4300050,12/05/2019 12:15:00 PM,2580,1.1,76,32,Taxi Affiliation Services
4300051,12/05/2019 12:15:00 PM,445,1.1,8,32,Chicago Carriage Cab Corp
4300052,12/05/2019 12:15:00 PM,574,1.7,8,32,City Service
4300053,12/05/2019 12:15:00 PM,451,0.92,32,8,Sun Taxi
4300054,12/05/2019 12:15:00 PM,550,1.03,76,76,Sun Taxi
4300055,12/05/2019 12:15:00 PM,420,1.3,32,33,Medallion Leasin
4300056,12/05/2019 12:15:00 PM,300,1.8,11,10,Star North Management LLC
4300057,12/05/2019 12:15:00 PM,480,1.7,8,28,Taxi Affiliation Services
4300058,12/05/2019 12:15:00 PM,540,1.5,8,28,"Taxicab Insurance Agency, LLC"
4300059,12/05/2019 12:15:00 PM,340,0.83,8,8,Sun Taxi
4300060,12/05/2019 12:15:00 PM,420,1.1,8,32,"Taxicab Insurance Agency, LLC"
4300061,12/05/2019 12:15:00 PM,477,0.9,8,32,City Service
4300062,12/05/2019 12:15:00 PM,376,0.6,8,8,City Service
4300063,12/05/2019 12:15:00 PM,480,0.8,8,32,Medallion Leasin
4300064,12/05/2019 12:15:00 PM,512,1.19,32,8,Chicago Carriage Cab Corp
4300065,12/05/2019 12:15:00 PM,360,0.6,32,32,Choice Taxi Association
4300066,12/05/2019 12:15:00 PM,360,1.8,32,33,Taxi Affiliation Services
4300067,12/05/2019 12:15:00 PM,331,0.77,28,32,Chicago Carriage Cab Corp
4300068,12/05/2019 12:15:00 PM,245,0.68,28,28,City Service
4300069,12/05/2019 12:15:00 PM,483,0.84,8,8,Nova Taxi Affiliation Llc
4300070,12/05/2019 12:15:00 PM,463,1.3,32,28,City Service
4300071,12/05/2019 12:15:00 PM,420,1.1,32,32,Choice Taxi Association
4300072,12/05/2019 12:15:00 PM,553,1.64,32,28,Chicago Carriage Cab Corp
4300073,12/05/2019 12:15:00 PM,552,1.6,32,8,City Service
4300074,12/05/2019 12:15:00 PM,378,0.88,32,8,Sun Taxi
4300075,12/05/2019 12:15:00 PM,300,0.9,28,32,"Taxicab Insurance Agency, LLC"
4300076,12/05/2019 12:15:00 PM,203,0.7,32,32,City Service
4300077,12/05/2019 12:15:00 PM,240,0.8,32,8,Taxi Affiliation Services
4300078,12/05/2019 12:15:00 PM,344,0.69,32,8,Flash Cab
4300079,12/05/2019 12:15:00 PM,360,0.8,32,8,Taxi Affiliation Services
4300080,12/05/2019 12:15:00 PM,316,0.83,8,8,Chicago Carriage Cab Corp
4300081,12/05/2019 12:15:00 PM,300,0.7,32,32,Taxi Affiliation Services
4300082,12/05/2019 12:15:00 PM,240,0.7,32,32,Taxi Affiliation Services
4300083,12/05/2019 12:15:00 PM,590,0.96,8,32,Flash Cab
4300084,12/05/2019 12:15:00 PM,270,0.57,32,32,Flash Cab
4300085,12/05/2019 12:15:00 PM,300,0.8,28,32,Top Cab Affiliation
4300086,12/05/2019 12:15:00 PM,217,0.71,8,8,Flash Cab
4300087,12/05/2019 12:15:00 PM,549,1.62,32,8,Sun Taxi
4300088,12/05/2019 12:15:00 PM,501,1.04,32,8,Sun Taxi
4300089,12/05/2019 12:15:00 PM,287,0.67,8,8,Flash Cab
4300090,12/05/2019 12:15:00 PM,467,0.8,32,32,Chicago Independents
4300091,12/05/2019 12:15:00 PM,480,0.9,8,32,"Taxicab Insurance Agency, LLC"
4300092,12/05/2019 12:15:00 PM,480,1.0,32,8,Star North Management LLC
4300093,12/05/2019 12:15:00 PM,349,1.2,8,8,Chicago Taxicab
