,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4310000,12/05/2019 09:30:00 PM,299,0.72,8,8,Chicago Carriage Cab Corp
4310001,12/05/2019 09:30:00 PM,270,0.59,8,7,Flash Cab
4310002,12/05/2019 09:30:00 PM,480,1.2,8,32,"Taxicab Insurance Agency, LLC"
4310003,12/05/2019 09:30:00 PM,406,0.8,8,8,Flash Cab
4310004,12/05/2019 09:30:00 PM,287,0.99,28,28,Sun Taxi
4310005,12/05/2019 09:30:00 PM,383,1.2,7,6,Medallion Leasin
4310006,12/05/2019 09:30:00 PM,420,1.6,32,8,"Taxicab Insurance Agency, LLC"
4310007,12/05/2019 09:30:00 PM,430,1.01,24,8,Chicago Carriage Cab Corp
4310008,12/05/2019 09:30:00 PM,360,1.1,28,8,Taxi Affiliation Services
4310009,12/05/2019 09:30:00 PM,373,0.94,8,8,Flash Cab
4310010,12/05/2019 09:30:00 PM,360,1.0,32,8,Top Cab Affiliation
4310011,12/05/2019 09:30:00 PM,473,1.15,8,32,Nova Taxi Affiliation Llc
4310012,12/05/2019 09:30:00 PM,371,0.9,32,8,Flash Cab
4310013,12/05/2019 09:30:00 PM,300,0.9,32,8,Medallion Leasin
4310014,12/05/2019 09:30:00 PM,343,0.9,8,8,City Service
4310015,12/05/2019 09:30:00 PM,561,1.62,8,8,Flash Cab
4310016,12/05/2019 09:30:00 PM,540,1.8,7,8,Taxi Affiliation Services
4310017,12/05/2019 09:30:00 PM,262,1.0,8,8,City Service
4310018,12/05/2019 09:30:00 PM,202,0.67,28,28,Chicago Carriage Cab Corp
4310019,12/05/2019 09:30:00 PM,479,1.1,8,8,Medallion Leasin
4310020,12/05/2019 09:30:00 PM,485,1.85,32,28,Chicago Carriage Cab Corp
4310021,12/05/2019 09:30:00 PM,415,1.95,8,7,Flash Cab
4310022,12/05/2019 09:30:00 PM,348,1.27,8,8,Chicago Carriage Cab Corp
4310023,12/05/2019 09:30:00 PM,516,1.51,8,28,5 Star Taxi
4310024,12/05/2019 09:30:00 PM,300,1.3,8,28,Taxi Affiliation Services
4310025,12/05/2019 09:30:00 PM,368,0.91,32,8,Flash Cab
4310026,12/05/2019 09:30:00 PM,300,1.1,32,32,Taxi Affiliation Services
4310027,12/05/2019 09:30:00 PM,300,1.2,32,32,Taxi Affiliation Services
4310028,12/05/2019 09:30:00 PM,420,1.8,28,32,Star North Management LLC
4310029,12/05/2019 09:30:00 PM,383,1.04,14,14,City Service
4310030,12/05/2019 09:30:00 PM,405,1.26,8,8,Flash Cab
4310031,12/05/2019 09:30:00 PM,300,0.6,8,8,Star North Management LLC
4310032,12/05/2019 09:30:00 PM,234,0.56,28,28,Flash Cab
4310033,12/05/2019 09:30:00 PM,360,1.3,32,28,Choice Taxi Association
4310034,12/05/2019 09:30:00 PM,584,1.96,28,28,Sun Taxi
4310035,12/05/2019 09:30:00 PM,480,0.7,8,8,Taxi Affiliation Services
4310036,12/05/2019 09:30:00 PM,374,1.1,8,28,City Service
4310037,12/05/2019 09:30:00 PM,319,0.8,32,28,City Service
4310038,12/05/2019 09:30:00 PM,480,1.3,32,32,Taxi Affiliation Services
4310039,12/05/2019 09:30:00 PM,483,1.45,8,8,Flash Cab
4310040,12/05/2019 09:30:00 PM,559,1.4,8,32,Flash Cab
4310041,12/05/2019 09:30:00 PM,360,1.0,8,28,Taxi Affiliation Services
4310042,12/05/2019 09:30:00 PM,360,0.7,32,8,Star North Management LLC
4310043,12/05/2019 09:30:00 PM,291,0.72,32,8,Chicago Carriage Cab Corp
4310044,12/05/2019 09:30:00 PM,252,0.75,32,8,Sun Taxi
4310045,12/05/2019 09:30:00 PM,364,1.33,8,32,City Service
4310046,12/05/2019 09:30:00 PM,420,1.3,32,32,Taxi Affiliation Services
4310047,12/05/2019 09:30:00 PM,358,0.88,8,8,Chicago Carriage Cab Corp
4310048,12/05/2019 09:30:00 PM,480,0.9,32,8,Star North Management LLC
4310049,12/05/2019 09:30:00 PM,258,0.76,77,2,Flash Cab
4310050,12/05/2019 09:30:00 PM,252,1.08,32,32,City Service
4310051,12/05/2019 09:30:00 PM,351,1.09,8,28,Chicago Carriage Cab Corp
4310052,12/05/2019 09:30:00 PM,372,1.03,8,8,Sun Taxi
4310053,12/05/2019 09:30:00 PM,399,1.19,8,32,Flash Cab
4310054,12/05/2019 09:30:00 PM,300,0.8,8,8,Taxi Affiliation Services
4310055,12/05/2019 09:30:00 PM,420,1.2,32,8,Taxi Affiliation Services
4310056,12/05/2019 09:30:00 PM,404,1.17,8,28,City Service
4310057,12/05/2019 09:30:00 PM,386,1.1,28,8,City Service
4310058,12/05/2019 09:30:00 PM,474,1.5,8,32,Chicago Independents
4310059,12/05/2019 09:30:00 PM,334,1.27,8,24,Sun Taxi
4310060,12/05/2019 09:30:00 PM,360,1.4,8,8,Medallion Leasin
4310061,12/05/2019 09:30:00 PM,360,1.2,32,28,Taxi Affiliation Services
4310062,12/05/2019 09:30:00 PM,420,1.0,8,8,Taxi Affiliation Services
