,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4330000,12/07/2019 03:45:00 AM,343,1.21,8,32,Patriot Taxi Dba Peace Taxi Associat
4330001,12/07/2019 03:45:00 AM,342,0.57,8,8,Flash Cab
4330002,12/07/2019 03:45:00 AM,393,0.95,8,8,Sun Taxi
4330003,12/07/2019 03:45:00 AM,442,1.48,8,8,Flash Cab
4330004,12/07/2019 03:45:00 AM,235,0.6,8,8,Flash Cab
4330005,12/07/2019 03:45:00 AM,311,1.71,6,5,Flash Cab
4330006,12/07/2019 04:00:00 AM,327,1.22,1,77,Flash Cab
4330007,12/07/2019 04:00:00 AM,300,1.3,8,8,Taxi Affiliation Services
4330008,12/07/2019 04:00:00 AM,305,0.95,6,6,Flash Cab
4330009,12/07/2019 04:00:00 AM,375,1.1,8,8,Medallion Leasin
4330010,12/07/2019 04:00:00 AM,481,1.33,8,24,City Service
4330011,12/07/2019 04:00:00 AM,316,1.5,1,2,Medallion Leasin
4330012,12/07/2019 04:00:00 AM,215,0.97,6,3,Chicago Carriage Cab Corp
4330013,12/07/2019 04:00:00 AM,240,0.6,8,8,KOAM Taxi Association
4330014,12/07/2019 04:00:00 AM,412,1.35,8,8,Chicago Carriage Cab Corp
4330015,12/07/2019 04:00:00 AM,368,1.45,6,5,City Service
4330016,12/07/2019 04:00:00 AM,283,0.69,8,8,Flash Cab
4330017,12/07/2019 04:00:00 AM,546,1.42,8,8,Flash Cab
4330018,12/07/2019 04:00:00 AM,386,1.1,8,8,City Service
4330019,12/07/2019 04:00:00 AM,214,0.75,6,6,24 Seven Taxi
4330020,12/07/2019 04:00:00 AM,273,0.97,8,8,Sun Taxi
4330021,12/07/2019 04:00:00 AM,329,1.15,8,32,City Service
4330022,12/07/2019 04:00:00 AM,271,0.73,8,8,Flash Cab
4330023,12/07/2019 04:00:00 AM,374,1.07,8,8,Chicago Carriage Cab Corp
4330024,12/07/2019 04:00:00 AM,312,1.21,6,6,Sun Taxi
4330025,12/07/2019 04:00:00 AM,475,1.78,22,24,Flash Cab
4330026,12/07/2019 04:00:00 AM,240,1.0,8,8,Taxi Affiliation Services
4330027,12/07/2019 04:00:00 AM,442,1.71,6,6,Chicago Carriage Cab Corp
4330028,12/07/2019 04:00:00 AM,223,0.6,32,32,Flash Cab
4330029,12/07/2019 04:00:00 AM,291,1.11,6,6,Flash Cab
4330030,12/07/2019 04:00:00 AM,360,1.2,8,32,Star North Management LLC
4330031,12/07/2019 04:00:00 AM,480,1.5,24,22,Taxi Affiliation Services
4330032,12/07/2019 04:00:00 AM,360,1.7,24,22,Taxi Affiliation Services
4330033,12/07/2019 04:00:00 AM,263,0.95,24,24,Nova Taxi Affiliation Llc
4330034,12/07/2019 04:00:00 AM,240,0.8,11,11,Star North Management LLC
4330035,12/07/2019 04:00:00 AM,419,1.41,8,24,Patriot Taxi Dba Peace Taxi Associat
4330036,12/07/2019 04:00:00 AM,424,1.41,7,6,Flash Cab
4330037,12/07/2019 04:00:00 AM,435,1.79,8,8,City Service
4330038,12/07/2019 04:00:00 AM,343,0.88,8,28,Sun Taxi
4330039,12/07/2019 04:00:00 AM,420,1.9,6,3,Star North Management LLC
4330040,12/07/2019 04:00:00 AM,240,1.0,8,8,Taxi Affiliation Services
4330041,12/07/2019 04:00:00 AM,440,1.2,8,8,Medallion Leasin
4330042,12/07/2019 04:00:00 AM,185,0.7,28,27,Medallion Leasin
4330043,12/07/2019 04:00:00 AM,480,1.0,8,8,Taxi Affiliation Services
4330044,12/07/2019 04:15:00 AM,300,1.4,6,6,"Taxicab Insurance Agency, LLC"
4330045,12/07/2019 04:15:00 AM,356,0.52,8,8,Flash Cab
4330046,12/07/2019 04:15:00 AM,217,0.85,8,8,Flash Cab
4330047,12/07/2019 04:15:00 AM,240,0.9,8,8,Taxi Affiliation Services
4330048,12/07/2019 04:15:00 AM,413,1.9,1,3,City Service
4330049,12/07/2019 04:15:00 AM,266,0.58,7,7,Flash Cab
4330050,12/07/2019 04:15:00 AM,240,1.3,8,24,Star North Management LLC
4330051,12/07/2019 04:15:00 AM,284,1.8,33,32,Flash Cab
4330052,12/07/2019 04:15:00 AM,300,0.7,8,8,Star North Management LLC
4330053,12/07/2019 04:15:00 AM,240,0.6,6,3,Taxi Affiliation Services
4330054,12/07/2019 04:15:00 AM,480,0.8,8,8,Taxi Affiliation Services
4330055,12/07/2019 04:15:00 AM,413,1.63,2,77,Flash Cab
4330056,12/07/2019 04:15:00 AM,374,1.23,8,8,Flash Cab
4330057,12/07/2019 04:15:00 AM,360,0.8,8,8,Choice Taxi Association
4330058,12/07/2019 04:15:00 AM,231,0.9,1,77,Medallion Leasin
4330059,12/07/2019 04:15:00 AM,360,1.2,8,32,Star North Management LLC
4330060,12/07/2019 04:15:00 AM,300,1.7,8,7,Taxi Affiliation Services
4330061,12/07/2019 04:15:00 AM,420,1.4,8,7,Taxi Affiliation Services
4330062,12/07/2019 04:15:00 AM,300,1.3,8,8,3011 - 66308 JBL Cab Inc.
4330063,12/07/2019 04:15:00 AM,240,0.7,8,8,Taxi Affiliation Services
4330064,12/07/2019 04:15:00 AM,434,1.71,24,8,Chicago Carriage Cab Corp
4330065,12/07/2019 04:15:00 AM,410,1.0,8,8,City Service
4330066,12/07/2019 04:15:00 AM,300,1.8,14,16,Chicago Medallion Management
4330067,12/07/2019 04:30:00 AM,2100,10.4,8,68,Taxi Affiliation Services
4330068,12/07/2019 04:30:00 AM,240,0.6,8,8,"Taxicab Insurance Agency, LLC"
4330069,12/07/2019 04:30:00 AM,420,1.7,7,6,"Taxicab Insurance Agency, LLC"
4330070,12/07/2019 04:30:00 AM,360,1.0,8,8,Taxi Affiliation Services
4330071,12/07/2019 04:30:00 AM,273,1.59,32,33,Chicago Carriage Cab Corp
4330072,12/07/2019 04:30:00 AM,360,1.2,8,8,KOAM Taxi Association
4330073,12/07/2019 04:30:00 AM,300,1.0,8,8,Taxi Affiliation Services
4330074,12/07/2019 04:30:00 AM,240,1.2,24,24,Taxi Affiliation Services
4330075,12/07/2019 04:30:00 AM,360,1.7,8,7,Choice Taxi Association
4330076,12/07/2019 04:30:00 AM,480,1.5,28,32,Taxi Affiliation Services
4330077,12/07/2019 04:30:00 AM,236,0.6,8,8,Chicago Independents
4330078,12/07/2019 04:30:00 AM,240,0.6,8,32,Taxi Affiliation Services
4330079,12/07/2019 04:30:00 AM,420,1.2,8,8,Star North Management LLC
4330080,12/07/2019 04:30:00 AM,358,1.71,1,2,Chicago Carriage Cab Corp
4330081,12/07/2019 04:30:00 AM,240,0.8,8,32,Taxi Affiliation Services
4330082,12/07/2019 04:30:00 AM,247,0.9,24,22,Setare Inc
4330083,12/07/2019 04:30:00 AM,420,1.7,8,24,Star North Management LLC
4330084,12/07/2019 04:30:00 AM,300,1.4,32,32,Medallion Leasin
4330085,12/07/2019 04:30:00 AM,480,1.8,8,8,Taxi Affiliation Services
4330086,12/07/2019 04:30:00 AM,360,1.5,8,32,Taxi Affiliation Services
4330087,12/07/2019 04:45:00 AM,240,1.7,24,22,Star North Management LLC
4330088,12/07/2019 04:45:00 AM,240,1.1,8,32,Star North Management LLC
4330089,12/07/2019 04:45:00 AM,240,1.2,28,28,Taxi Affiliation Services
4330090,12/07/2019 04:45:00 AM,240,1.0,8,28,Taxi Affiliation Services
4330091,12/07/2019 04:45:00 AM,360,1.9,8,32,Star North Management LLC
4330092,12/07/2019 04:45:00 AM,420,1.5,8,7,KOAM Taxi Association
4330093,12/07/2019 04:45:00 AM,410,1.47,24,8,Flash Cab
4330094,12/07/2019 04:45:00 AM,192,0.9,8,24,Chicago Carriage Cab Corp
4330095,12/07/2019 04:45:00 AM,336,1.31,14,16,Chicago Carriage Cab Corp
4330096,12/07/2019 04:45:00 AM,420,1.7,8,7,Taxi Affiliation Services
4330097,12/07/2019 04:45:00 AM,196,0.62,8,8,Flash Cab
4330098,12/07/2019 04:45:00 AM,300,1.2,7,7,Taxi Affiliation Services
4330099,12/07/2019 05:00:00 AM,540,1.2,8,8,Taxi Affiliation Services
4330100,12/07/2019 05:00:00 AM,420,1.4,6,6,Taxi Affiliation Services
4330101,12/07/2019 05:00:00 AM,300,1.4,28,28,Taxi Affiliation Services
4330102,12/07/2019 05:00:00 AM,246,0.68,8,8,Flash Cab
4330103,12/07/2019 05:00:00 AM,360,1.5,8,7,Choice Taxi Association
4330104,12/07/2019 05:00:00 AM,420,1.2,8,32,Star North Management LLC
4330105,12/07/2019 05:00:00 AM,540,1.8,32,28,Medallion Leasin
4330106,12/07/2019 05:00:00 AM,240,1.3,32,8,Medallion Leasin
4330107,12/07/2019 05:00:00 AM,240,0.8,6,6,Taxi Affiliation Services
4330108,12/07/2019 05:00:00 AM,420,1.3,8,32,Taxi Affiliation Services
4330109,12/07/2019 05:00:00 AM,300,1.3,8,32,Taxi Affiliation Services
4330110,12/07/2019 05:00:00 AM,300,0.8,8,8,Medallion Leasin
4330111,12/07/2019 05:00:00 AM,240,1.2,6,6,Taxi Affiliation Services
4330112,12/07/2019 05:00:00 AM,240,1.0,8,8,Star North Management LLC
4330113,12/07/2019 05:15:00 AM,307,1.93,22,8,Sun Taxi
4330114,12/07/2019 05:15:00 AM,480,1.9,6,5,Taxi Affiliation Services
4330115,12/07/2019 05:15:00 AM,260,1.26,1,2,Chicago Carriage Cab Corp
4330116,12/07/2019 05:30:00 AM,359,1.21,8,8,City Service
4330117,12/07/2019 05:30:00 AM,320,1.4,6,3,Flash Cab
