,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4350000,12/09/2019 12:15:00 PM,360,1.2,28,32,Taxi Affiliation Services
4350001,12/09/2019 12:15:00 PM,599,1.95,32,8,City Service
4350002,12/09/2019 12:15:00 PM,592,1.3,8,32,Medallion Leasin
4350003,12/09/2019 12:15:00 PM,300,0.7,32,32,Taxi Affiliation Services
4350004,12/09/2019 12:15:00 PM,459,1.07,8,28,City Service
4350005,12/09/2019 12:15:00 PM,360,1.1,8,32,Taxi Affiliation Services
4350006,12/09/2019 12:15:00 PM,347,0.85,56,56,Flash Cab
4350007,12/09/2019 12:15:00 PM,491,1.53,32,32,Chicago Carriage Cab Corp
4350008,12/09/2019 12:30:00 PM,476,1.24,32,8,Flash Cab
4350009,12/09/2019 12:30:00 PM,297,0.88,8,32,Flash Cab
4350010,12/09/2019 12:30:00 PM,420,1.0,8,32,Star North Management LLC
4350011,12/09/2019 12:30:00 PM,423,0.99,32,8,Nova Taxi Affiliation Llc
4350012,12/09/2019 12:30:00 PM,360,0.6,32,32,KOAM Taxi Association
4350013,12/09/2019 12:30:00 PM,445,1.24,8,32,Sun Taxi
4350014,12/09/2019 12:30:00 PM,269,1.0,24,8,City Service
4350015,12/09/2019 12:30:00 PM,300,0.9,8,32,Taxi Affiliation Services
4350016,12/09/2019 12:30:00 PM,235,0.75,32,32,Chicago Carriage Cab Corp
4350017,12/09/2019 12:30:00 PM,240,0.7,32,8,"Taxicab Insurance Agency, LLC"
4350018,12/09/2019 12:30:00 PM,536,1.44,28,8,Flash Cab
4350019,12/09/2019 12:30:00 PM,420,0.7,32,32,Star North Management LLC
4350020,12/09/2019 12:30:00 PM,360,1.2,8,32,Choice Taxi Association
4350021,12/09/2019 12:30:00 PM,353,0.62,32,32,Sun Taxi
4350022,12/09/2019 12:30:00 PM,248,0.6,8,8,Chicago Independents
4350023,12/09/2019 12:30:00 PM,300,0.9,32,28,Taxi Affiliation Services
4350024,12/09/2019 12:30:00 PM,348,0.62,6,6,City Service
4350025,12/09/2019 12:30:00 PM,503,0.78,28,32,Flash Cab
4350026,12/09/2019 12:30:00 PM,340,0.71,32,32,Flash Cab
4350027,12/09/2019 12:30:00 PM,325,1.08,28,8,Sun Taxi
4350028,12/09/2019 12:30:00 PM,300,0.8,32,8,Medallion Leasin
4350029,12/09/2019 12:30:00 PM,420,0.7,32,32,Taxi Affiliation Services
4350030,12/09/2019 12:30:00 PM,540,1.8,32,8,Choice Taxi Association
4350031,12/09/2019 12:30:00 PM,436,1.14,8,32,Chicago Carriage Cab Corp
4350032,12/09/2019 12:30:00 PM,480,1.6,8,28,"Taxicab Insurance Agency, LLC"
4350033,12/09/2019 12:30:00 PM,420,1.1,8,28,"Taxicab Insurance Agency, LLC"
4350034,12/09/2019 12:30:00 PM,518,1.4,32,8,Medallion Leasin
4350035,12/09/2019 12:30:00 PM,540,1.6,8,32,Taxi Affiliation Services
4350036,12/09/2019 12:30:00 PM,300,0.7,8,8,Taxi Affiliation Services
4350037,12/09/2019 12:30:00 PM,300,0.9,32,8,Taxi Affiliation Services
4350038,12/09/2019 12:30:00 PM,434,1.35,8,8,Sun Taxi
4350039,12/09/2019 12:30:00 PM,223,0.78,32,32,City Service
4350040,12/09/2019 12:30:00 PM,260,0.79,32,32,Nova Taxi Affiliation Llc
4350041,12/09/2019 12:30:00 PM,360,0.9,8,28,6574 - Babylon Express Inc.
4350042,12/09/2019 12:30:00 PM,334,0.79,32,28,Sun Taxi
4350043,12/09/2019 12:30:00 PM,519,1.26,8,8,Chicago Carriage Cab Corp
4350044,12/09/2019 12:30:00 PM,480,1.4,56,33,Medallion Leasin
4350045,12/09/2019 12:30:00 PM,302,0.75,7,6,Flash Cab
4350046,12/09/2019 12:30:00 PM,300,1.1,28,32,"Taxicab Insurance Agency, LLC"
4350047,12/09/2019 12:30:00 PM,315,1.05,32,32,City Service
4350048,12/09/2019 12:30:00 PM,242,0.59,32,32,Flash Cab
4350049,12/09/2019 12:30:00 PM,528,1.8,28,28,City Service
4350050,12/09/2019 12:30:00 PM,466,1.3,32,32,Chicago Independents
4350051,12/09/2019 12:30:00 PM,320,0.9,32,8,City Service
4350052,12/09/2019 12:30:00 PM,300,1.2,32,8,Star North Management LLC
4350053,12/09/2019 12:30:00 PM,314,0.78,8,8,Chicago Carriage Cab Corp
4350054,12/09/2019 12:30:00 PM,229,0.87,8,8,Chicago Carriage Cab Corp
4350055,12/09/2019 12:30:00 PM,568,1.2,28,8,City Service
4350056,12/09/2019 12:30:00 PM,404,1.02,28,8,Flash Cab
4350057,12/09/2019 12:30:00 PM,290,1.1,8,8,Chicago Taxicab
4350058,12/09/2019 12:30:00 PM,430,0.88,8,32,Chicago Carriage Cab Corp
4350059,12/09/2019 12:30:00 PM,314,0.7,32,28,Chicago Carriage Cab Corp
4350060,12/09/2019 12:30:00 PM,360,0.7,32,32,Taxi Affiliation Services
4350061,12/09/2019 12:30:00 PM,599,1.43,8,28,Flash Cab
4350062,12/09/2019 12:30:00 PM,410,0.88,32,32,Sun Taxi
4350063,12/09/2019 12:30:00 PM,284,0.99,28,8,24 Seven Taxi
4350064,12/09/2019 12:30:00 PM,512,1.34,32,28,Chicago Carriage Cab Corp
4350065,12/09/2019 12:30:00 PM,360,0.8,28,32,Medallion Leasin
4350066,12/09/2019 12:30:00 PM,240,0.6,8,8,Taxi Affiliation Services
4350067,12/09/2019 12:30:00 PM,360,0.8,8,8,Star North Management LLC
4350068,12/09/2019 12:30:00 PM,420,1.2,32,8,Medallion Leasin
4350069,12/09/2019 12:30:00 PM,540,1.4,32,32,Star North Management LLC
4350070,12/09/2019 12:30:00 PM,328,0.88,32,32,Chicago Carriage Cab Corp
4350071,12/09/2019 12:30:00 PM,300,0.8,28,32,Star North Management LLC
4350072,12/09/2019 12:30:00 PM,209,0.67,8,8,24 Seven Taxi
4350073,12/09/2019 12:30:00 PM,527,0.71,8,32,Taxi Affiliation Service Yellow
4350074,12/09/2019 12:30:00 PM,399,0.6,8,8,Chicago Independents
4350075,12/09/2019 12:30:00 PM,540,1.5,32,8,Chicago Independents
4350076,12/09/2019 12:30:00 PM,574,1.39,32,8,Flash Cab
4350077,12/09/2019 12:30:00 PM,300,0.6,8,8,Medallion Leasin
4350078,12/09/2019 12:30:00 PM,207,0.68,8,32,Chicago Carriage Cab Corp
4350079,12/09/2019 12:30:00 PM,394,0.84,32,8,Flash Cab
4350080,12/09/2019 12:30:00 PM,369,0.86,32,32,Nova Taxi Affiliation Llc
4350081,12/09/2019 12:30:00 PM,314,1.3,32,8,Flash Cab
4350082,12/09/2019 12:30:00 PM,240,0.6,32,8,Chicago Medallion Management
4350083,12/09/2019 12:30:00 PM,300,1.0,38,39,Taxi Affiliation Services
4350084,12/09/2019 12:30:00 PM,306,0.99,32,8,Sun Taxi
4350085,12/09/2019 12:30:00 PM,420,0.8,8,32,Choice Taxi Association
4350086,12/09/2019 12:30:00 PM,583,1.14,32,32,Chicago Carriage Cab Corp
4350087,12/09/2019 12:30:00 PM,438,0.9,8,8,Nova Taxi Affiliation Llc
4350088,12/09/2019 12:30:00 PM,300,1.3,32,8,"Taxicab Insurance Agency, LLC"
4350089,12/09/2019 12:30:00 PM,506,1.21,8,32,Flash Cab
4350090,12/09/2019 12:30:00 PM,360,1.0,32,28,Taxi Affiliation Services
4350091,12/09/2019 12:30:00 PM,307,0.86,32,8,Chicago Carriage Cab Corp
