,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4360000,12/10/2019 07:45:00 AM,366,0.74,32,8,Nova Taxi Affiliation Llc
4360001,12/10/2019 07:45:00 AM,409,1.2,28,8,Chicago Taxicab
4360002,12/10/2019 07:45:00 AM,521,1.08,32,28,City Service
4360003,12/10/2019 07:45:00 AM,360,1.3,28,28,Taxi Affiliation Services
4360004,12/10/2019 07:45:00 AM,371,0.87,32,8,Chicago Carriage Cab Corp
4360005,12/10/2019 07:45:00 AM,300,1.2,32,32,"Taxicab Insurance Agency, LLC"
4360006,12/10/2019 07:45:00 AM,300,0.6,32,32,Star North Management LLC
4360007,12/10/2019 07:45:00 AM,281,0.59,28,32,City Service
4360008,12/10/2019 07:45:00 AM,300,1.3,8,32,Medallion Leasin
4360009,12/10/2019 07:45:00 AM,266,0.85,28,28,Flash Cab
4360010,12/10/2019 07:45:00 AM,540,1.38,32,32,Nova Taxi Affiliation Llc
4360011,12/10/2019 07:45:00 AM,434,1.04,8,32,Sun Taxi
4360012,12/10/2019 07:45:00 AM,494,1.1,28,8,City Service
4360013,12/10/2019 07:45:00 AM,360,1.0,28,32,Taxi Affiliation Services
4360014,12/10/2019 07:45:00 AM,491,1.09,32,32,City Service
4360015,12/10/2019 07:45:00 AM,586,1.58,32,32,Sun Taxi
4360016,12/10/2019 07:45:00 AM,407,1.6,8,8,Sun Taxi
4360017,12/10/2019 07:45:00 AM,462,0.78,8,32,Flash Cab
4360018,12/10/2019 07:45:00 AM,240,0.6,32,8,Medallion Leasin
4360019,12/10/2019 07:45:00 AM,344,0.83,28,32,Chicago Carriage Cab Corp
4360020,12/10/2019 07:45:00 AM,199,0.63,32,28,Chicago Carriage Cab Corp
4360021,12/10/2019 07:45:00 AM,300,0.97,32,28,Chicago Carriage Cab Corp
4360022,12/10/2019 07:45:00 AM,234,0.78,8,32,City Service
4360023,12/10/2019 07:45:00 AM,516,1.63,33,32,Chicago Carriage Cab Corp
4360024,12/10/2019 07:45:00 AM,240,1.0,8,32,Petani Cab Corp
4360025,12/10/2019 07:45:00 AM,385,0.63,6,3,Flash Cab
4360026,12/10/2019 07:45:00 AM,420,1.4,32,8,Medallion Leasin
4360027,12/10/2019 07:45:00 AM,350,0.8,28,32,Flash Cab
4360028,12/10/2019 07:45:00 AM,373,1.22,28,32,24 Seven Taxi
4360029,12/10/2019 07:45:00 AM,408,1.16,28,32,Patriot Taxi Dba Peace Taxi Associat
4360030,12/10/2019 07:45:00 AM,535,0.9,8,8,Chicago Taxicab
4360031,12/10/2019 07:45:00 AM,300,0.8,8,32,Choice Taxi Association
4360032,12/10/2019 07:45:00 AM,500,1.3,32,28,Medallion Leasin
