,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4420000,12/13/2019 06:15:00 PM,540,0.8,32,8,Choice Taxi Association
4420001,12/13/2019 06:15:00 PM,407,0.85,8,28,City Service
4420002,12/13/2019 06:15:00 PM,360,0.8,8,32,Star North Management LLC
4420003,12/13/2019 06:15:00 PM,472,1.24,32,28,City Service
4420004,12/13/2019 06:15:00 PM,304,0.76,28,32,Flash Cab
4420005,12/13/2019 06:15:00 PM,540,1.2,32,8,"Taxicab Insurance Agency, LLC"
4420006,12/13/2019 06:15:00 PM,420,0.8,28,28,Taxi Affiliation Services
4420007,12/13/2019 06:15:00 PM,508,1.2,8,32,Chicago Taxicab
4420008,12/13/2019 06:15:00 PM,304,1.14,32,28,City Service
4420009,12/13/2019 06:15:00 PM,314,0.91,32,28,City Service
4420010,12/13/2019 06:15:00 PM,2373,10.61,8,28,Sun Taxi
4420011,12/13/2019 06:15:00 PM,420,1.3,8,32,Taxi Affiliation Services
4420012,12/13/2019 06:15:00 PM,360,1.4,8,8,"Taxicab Insurance Agency, LLC"
4420013,12/13/2019 06:15:00 PM,574,0.99,8,32,Chicago Carriage Cab Corp
4420014,12/13/2019 06:15:00 PM,360,0.6,8,8,Star North Management LLC
4420015,12/13/2019 06:15:00 PM,420,0.88,8,32,Sun Taxi
4420016,12/13/2019 06:15:00 PM,591,1.47,8,32,Sun Taxi
4420017,12/13/2019 06:15:00 PM,540,1.1,32,33,"Taxicab Insurance Agency, LLC"
4420018,12/13/2019 06:15:00 PM,426,0.7,8,8,Sun Taxi
4420019,12/13/2019 06:15:00 PM,420,1.0,28,32,Taxi Affiliation Services
4420020,12/13/2019 06:15:00 PM,366,0.86,8,8,Sun Taxi
4420021,12/13/2019 06:15:00 PM,337,0.52,8,28,Sun Taxi
4420022,12/13/2019 06:15:00 PM,348,0.7,8,8,City Service
4420023,12/13/2019 06:15:00 PM,285,0.56,28,8,Sun Taxi
4420024,12/13/2019 06:15:00 PM,400,1.0,32,8,Sun Taxi
4420025,12/13/2019 06:15:00 PM,569,1.31,8,8,Nova Taxi Affiliation Llc
4420026,12/13/2019 06:15:00 PM,523,1.63,33,32,Flash Cab
4420027,12/13/2019 06:15:00 PM,540,1.5,8,8,Choice Taxi Association
4420028,12/13/2019 06:15:00 PM,372,1.44,32,33,Chicago Carriage Cab Corp
4420029,12/13/2019 06:15:00 PM,360,0.9,8,8,Medallion Leasin
