,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4480000,12/18/2019 01:30:00 PM,226,0.65,32,32,Chicago Carriage Cab Corp
4480001,12/18/2019 01:30:00 PM,557,1.07,32,28,Chicago Carriage Cab Corp
4480002,12/18/2019 01:30:00 PM,386,0.9,28,24,Medallion Leasin
4480003,12/18/2019 01:30:00 PM,584,1.56,32,28,Flash Cab
4480004,12/18/2019 01:30:00 PM,273,0.97,32,32,Chicago Carriage Cab Corp
4480005,12/18/2019 01:30:00 PM,480,0.8,8,32,Taxi Affiliation Services
4480006,12/18/2019 01:30:00 PM,300,0.8,32,28,Taxi Affiliation Services
4480007,12/18/2019 01:30:00 PM,419,0.79,32,32,Chicago Carriage Cab Corp
4480008,12/18/2019 01:30:00 PM,569,1.13,32,32,Flash Cab
4480009,12/18/2019 01:30:00 PM,360,1.8,32,8,Star North Management LLC
4480010,12/18/2019 01:30:00 PM,392,0.72,32,28,Flash Cab
4480011,12/18/2019 01:30:00 PM,347,0.7,32,32,Medallion Leasin
4480012,12/18/2019 01:30:00 PM,540,1.4,8,32,Taxi Affiliation Services
4480013,12/18/2019 01:30:00 PM,2640,1.2,76,33,Taxi Affiliation Services
4480014,12/18/2019 01:30:00 PM,480,1.12,8,32,Nova Taxi Affiliation Llc
4480015,12/18/2019 01:30:00 PM,420,0.8,32,8,Medallion Leasin
4480016,12/18/2019 01:30:00 PM,420,1.4,32,33,Choice Taxi Association
4480017,12/18/2019 01:30:00 PM,397,0.77,32,32,City Service
4480018,12/18/2019 01:30:00 PM,288,1.15,8,32,Chicago Carriage Cab Corp
4480019,12/18/2019 01:30:00 PM,309,1.16,11,11,Sun Taxi
4480020,12/18/2019 01:30:00 PM,355,1.38,3,3,Sun Taxi
4480021,12/18/2019 01:30:00 PM,300,0.7,32,28,Medallion Leasin
4480022,12/18/2019 01:30:00 PM,363,0.98,32,8,Chicago Carriage Cab Corp
4480023,12/18/2019 01:30:00 PM,371,0.72,8,32,Chicago Carriage Cab Corp
4480024,12/18/2019 01:30:00 PM,480,1.0,8,8,Taxi Affiliation Services
4480025,12/18/2019 01:30:00 PM,492,1.08,32,8,Flash Cab
4480026,12/18/2019 01:30:00 PM,540,0.7,8,32,"Taxicab Insurance Agency, LLC"
4480027,12/18/2019 01:30:00 PM,420,0.8,32,28,Medallion Leasin
4480028,12/18/2019 01:30:00 PM,455,1.12,8,32,Sun Taxi
4480029,12/18/2019 01:30:00 PM,254,0.78,1,1,Flash Cab
4480030,12/18/2019 01:30:00 PM,569,1.35,32,8,Chicago Carriage Cab Corp
4480031,12/18/2019 01:30:00 PM,383,0.6,32,28,Chicago Independents
4480032,12/18/2019 01:30:00 PM,260,0.9,8,8,City Service
4480033,12/18/2019 01:45:00 PM,284,0.94,32,32,Chicago Carriage Cab Corp
4480034,12/18/2019 01:45:00 PM,551,0.82,8,8,Patriot Taxi Dba Peace Taxi Associat
4480035,12/18/2019 01:45:00 PM,360,0.8,32,32,Choice Taxi Association
4480036,12/18/2019 01:45:00 PM,342,0.92,32,32,City Service
4480037,12/18/2019 01:45:00 PM,395,0.9,32,28,Flash Cab
4480038,12/18/2019 01:45:00 PM,446,1.12,28,8,Chicago Carriage Cab Corp
4480039,12/18/2019 01:45:00 PM,207,0.59,32,32,Chicago Carriage Cab Corp
4480040,12/18/2019 01:45:00 PM,300,1.1,8,8,Taxi Affiliation Services
4480041,12/18/2019 01:45:00 PM,266,0.61,32,8,Chicago Carriage Cab Corp
4480042,12/18/2019 01:45:00 PM,540,1.6,28,8,Choice Taxi Association
4480043,12/18/2019 01:45:00 PM,350,0.96,32,32,Flash Cab
4480044,12/18/2019 01:45:00 PM,295,0.88,32,8,Flash Cab
4480045,12/18/2019 01:45:00 PM,553,1.31,32,28,Chicago Carriage Cab Corp
4480046,12/18/2019 01:45:00 PM,240,0.7,32,8,Taxi Affiliation Services
4480047,12/18/2019 01:45:00 PM,240,1.0,38,38,Taxi Affiliation Services
4480048,12/18/2019 01:45:00 PM,287,0.94,2,1,Flash Cab
4480049,12/18/2019 01:45:00 PM,480,1.21,32,32,Nova Taxi Affiliation Llc
