,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4490000,12/19/2019 12:30:00 AM,360,0.6,8,8,Taxi Affiliation Services
4490001,12/19/2019 12:30:00 AM,396,1.19,28,8,Flash Cab
4490002,12/19/2019 12:30:00 AM,451,1.74,6,32,Sun Taxi
4490003,12/19/2019 12:30:00 AM,305,0.87,32,8,Flash Cab
4490004,12/19/2019 12:30:00 AM,240,0.9,24,22,"Taxicab Insurance Agency, LLC"
4490005,12/19/2019 12:30:00 AM,286,1.07,28,8,Chicago Carriage Cab Corp
4490006,12/19/2019 12:30:00 AM,240,1.5,8,7,Medallion Leasin
4490007,12/19/2019 12:30:00 AM,240,0.9,8,32,Taxi Affiliation Services
4490008,12/19/2019 12:30:00 AM,540,1.5,6,6,Taxi Affiliation Services
4490009,12/19/2019 12:30:00 AM,377,1.18,8,8,Flash Cab
4490010,12/19/2019 12:30:00 AM,540,0.8,32,32,Taxi Affiliation Services
4490011,12/19/2019 12:30:00 AM,280,1.58,32,33,Chicago Carriage Cab Corp
4490012,12/19/2019 12:30:00 AM,257,0.55,8,8,Flash Cab
4490013,12/19/2019 12:30:00 AM,360,1.1,32,28,Choice Taxi Association
4490014,12/19/2019 12:30:00 AM,420,1.5,32,8,Star North Management LLC
4490015,12/19/2019 12:30:00 AM,360,1.5,8,8,Taxi Affiliation Services
4490016,12/19/2019 12:30:00 AM,294,0.87,28,28,Chicago Carriage Cab Corp
4490017,12/19/2019 12:30:00 AM,428,1.74,32,33,Chicago Carriage Cab Corp
4490018,12/19/2019 12:30:00 AM,343,1.13,8,32,City Service
4490019,12/19/2019 12:30:00 AM,527,1.44,8,28,City Service
4490020,12/19/2019 12:30:00 AM,300,1.0,8,8,Taxi Affiliation Services
4490021,12/19/2019 12:30:00 AM,298,0.53,8,8,Flash Cab
4490022,12/19/2019 12:30:00 AM,420,1.29,8,28,Nova Taxi Affiliation Llc
4490023,12/19/2019 12:30:00 AM,257,0.9,22,23,Flash Cab
4490024,12/19/2019 12:30:00 AM,360,0.8,8,32,Medallion Leasin
4490025,12/19/2019 12:30:00 AM,302,1.26,8,8,Chicago Carriage Cab Corp
4490026,12/19/2019 12:30:00 AM,240,1.2,7,7,5062 - 34841 Sam Mestas
4490027,12/19/2019 12:30:00 AM,300,1.3,8,32,Taxi Affiliation Services
4490028,12/19/2019 12:30:00 AM,240,0.8,8,8,Star North Management LLC
4490029,12/19/2019 12:30:00 AM,231,0.72,8,8,City Service
4490030,12/19/2019 12:30:00 AM,183,0.71,76,76,Flash Cab
4490031,12/19/2019 12:30:00 AM,215,1.31,8,32,Chicago Carriage Cab Corp
4490032,12/19/2019 12:30:00 AM,190,0.71,8,8,Flash Cab
4490033,12/19/2019 12:30:00 AM,240,0.7,32,28,Taxi Affiliation Services
4490034,12/19/2019 12:30:00 AM,227,1.02,8,8,Chicago Carriage Cab Corp
4490035,12/19/2019 12:30:00 AM,240,0.9,28,8,Star North Management LLC
4490036,12/19/2019 12:30:00 AM,240,0.7,8,32,Taxi Affiliation Services
4490037,12/19/2019 12:30:00 AM,528,0.63,32,32,Chicago Carriage Cab Corp
4490038,12/19/2019 12:30:00 AM,420,1.7,8,8,Medallion Leasin
4490039,12/19/2019 12:45:00 AM,420,1.4,32,24,Choice Taxi Association
4490040,12/19/2019 12:45:00 AM,277,1.16,32,32,City Service
4490041,12/19/2019 12:45:00 AM,235,0.64,8,8,Flash Cab
4490042,12/19/2019 12:45:00 AM,480,1.9,8,28,"Taxicab Insurance Agency, LLC"
4490043,12/19/2019 12:45:00 AM,399,1.3,32,32,Medallion Leasin
4490044,12/19/2019 12:45:00 AM,454,1.44,32,32,Flash Cab
4490045,12/19/2019 12:45:00 AM,408,1.84,28,8,Patriot Taxi Dba Peace Taxi Associat
4490046,12/19/2019 12:45:00 AM,375,1.51,8,8,Flash Cab
4490047,12/19/2019 12:45:00 AM,237,1.09,6,6,Flash Cab
4490048,12/19/2019 12:45:00 AM,227,0.8,3,3,Medallion Leasin
4490049,12/19/2019 12:45:00 AM,229,0.77,8,8,Chicago Carriage Cab Corp
4490050,12/19/2019 12:45:00 AM,360,0.9,3,6,Medallion Leasin
4490051,12/19/2019 12:45:00 AM,300,1.2,8,32,Taxi Affiliation Services
4490052,12/19/2019 12:45:00 AM,300,0.9,28,28,Chicago Medallion Management
4490053,12/19/2019 12:45:00 AM,360,1.2,8,32,Taxi Affiliation Services
4490054,12/19/2019 12:45:00 AM,390,1.37,8,24,Flash Cab
4490055,12/19/2019 12:45:00 AM,200,0.64,76,76,Sun Taxi
4490056,12/19/2019 12:45:00 AM,355,1.7,32,33,Flash Cab
4490057,12/19/2019 12:45:00 AM,240,0.8,32,32,Taxi Affiliation Services
4490058,12/19/2019 12:45:00 AM,300,1.1,8,28,Medallion Leasin
4490059,12/19/2019 12:45:00 AM,409,1.2,28,32,City Service
4490060,12/19/2019 12:45:00 AM,518,1.46,32,28,Sun Taxi
4490061,12/19/2019 12:45:00 AM,442,0.74,8,8,Flash Cab
4490062,12/19/2019 12:45:00 AM,282,0.95,8,7,Flash Cab
4490063,12/19/2019 12:45:00 AM,369,0.75,8,8,Flash Cab
