,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4520000,12/20/2019 07:15:00 PM,568,1.3,8,8,City Service
4520001,12/20/2019 07:15:00 PM,539,0.76,32,8,City Service
4520002,12/20/2019 07:15:00 PM,289,0.69,8,28,Chicago Carriage Cab Corp
4520003,12/20/2019 07:15:00 PM,288,0.6,32,32,City Service
4520004,12/20/2019 07:15:00 PM,554,1.1,32,32,Setare Inc
4520005,12/20/2019 07:15:00 PM,268,0.51,32,32,Chicago Carriage Cab Corp
4520006,12/20/2019 07:15:00 PM,300,0.9,32,33,Taxi Affiliation Services
4520007,12/20/2019 07:15:00 PM,300,0.7,32,28,Chicago Medallion Management
4520008,12/20/2019 07:15:00 PM,469,1.1,32,8,City Service
4520009,12/20/2019 07:15:00 PM,495,1.6,33,32,Flash Cab
4520010,12/20/2019 07:15:00 PM,398,1.04,8,28,24 Seven Taxi
4520011,12/20/2019 07:15:00 PM,378,0.86,32,32,Sun Taxi
4520012,12/20/2019 07:15:00 PM,480,0.9,28,32,Taxi Affiliation Services
4520013,12/20/2019 07:15:00 PM,446,1.51,32,32,Sun Taxi
4520014,12/20/2019 07:15:00 PM,480,1.1,8,8,"Taxicab Insurance Agency, LLC"
4520015,12/20/2019 07:15:00 PM,380,0.9,8,32,Medallion Leasin
4520016,12/20/2019 07:15:00 PM,540,1.4,28,8,Choice Taxi Association
4520017,12/20/2019 07:15:00 PM,420,0.7,32,28,Star North Management LLC
4520018,12/20/2019 07:15:00 PM,360,0.8,32,28,Taxi Affiliation Services
4520019,12/20/2019 07:15:00 PM,271,0.6,8,8,City Service
4520020,12/20/2019 07:15:00 PM,327,0.77,8,8,Chicago Carriage Cab Corp
4520021,12/20/2019 07:15:00 PM,411,1.2,8,28,City Service
4520022,12/20/2019 07:15:00 PM,566,1.4,8,8,City Service
4520023,12/20/2019 07:15:00 PM,420,0.9,8,32,Medallion Leasin
4520024,12/20/2019 07:15:00 PM,420,1.3,28,28,Star North Management LLC
4520025,12/20/2019 07:15:00 PM,311,0.56,24,24,24 Seven Taxi
4520026,12/20/2019 07:15:00 PM,493,1.32,8,28,Flash Cab
4520027,12/20/2019 07:15:00 PM,436,0.9,32,28,Chicago Independents
4520028,12/20/2019 07:15:00 PM,540,1.8,7,8,Medallion Leasin
4520029,12/20/2019 07:15:00 PM,420,1.0,8,8,"Taxicab Insurance Agency, LLC"
4520030,12/20/2019 07:15:00 PM,300,0.7,32,28,Taxi Affiliation Services
4520031,12/20/2019 07:15:00 PM,495,1.82,32,28,City Service
4520032,12/20/2019 07:15:00 PM,327,0.59,8,32,Blue Diamond
4520033,12/20/2019 07:15:00 PM,529,1.88,8,32,Sun Taxi
4520034,12/20/2019 07:15:00 PM,360,1.19,8,8,Flash Cab
4520035,12/20/2019 07:15:00 PM,300,0.9,8,8,Medallion Leasin
4520036,12/20/2019 07:15:00 PM,540,1.6,6,5,Choice Taxi Association
4520037,12/20/2019 07:15:00 PM,540,1.7,8,32,Medallion Leasin
4520038,12/20/2019 07:15:00 PM,519,1.23,8,24,Flash Cab
4520039,12/20/2019 07:15:00 PM,360,0.7,32,32,Taxi Affiliation Services
4520040,12/20/2019 07:15:00 PM,540,1.1,8,8,"Taxicab Insurance Agency, LLC"
4520041,12/20/2019 07:15:00 PM,240,0.8,6,6,Taxi Affiliation Services
4520042,12/20/2019 07:15:00 PM,300,1.0,8,28,Taxi Affiliation Services
4520043,12/20/2019 07:15:00 PM,240,0.6,28,28,Taxi Affiliation Services
4520044,12/20/2019 07:15:00 PM,434,0.83,32,8,Chicago Carriage Cab Corp
4520045,12/20/2019 07:15:00 PM,420,1.3,28,8,Star North Management LLC
4520046,12/20/2019 07:15:00 PM,360,1.2,32,28,"Taxicab Insurance Agency, LLC"
4520047,12/20/2019 07:15:00 PM,359,0.76,8,28,City Service
4520048,12/20/2019 07:15:00 PM,532,1.4,32,28,Flash Cab
4520049,12/20/2019 07:15:00 PM,476,1.28,32,8,Flash Cab
4520050,12/20/2019 07:15:00 PM,241,0.61,8,8,Chicago Carriage Cab Corp
4520051,12/20/2019 07:15:00 PM,360,0.9,28,32,Top Cab Affiliation
4520052,12/20/2019 07:15:00 PM,332,0.51,32,32,City Service
4520053,12/20/2019 07:15:00 PM,494,0.7,32,8,24 Seven Taxi
4520054,12/20/2019 07:15:00 PM,300,0.92,32,28,Flash Cab
4520055,12/20/2019 07:15:00 PM,280,0.76,32,8,Nova Taxi Affiliation Llc
4520056,12/20/2019 07:15:00 PM,480,1.3,28,8,Taxi Affiliation Services
4520057,12/20/2019 07:15:00 PM,240,0.8,28,28,Star North Management LLC
4520058,12/20/2019 07:15:00 PM,300,1.1,8,32,"Taxicab Insurance Agency, LLC"
4520059,12/20/2019 07:15:00 PM,379,0.88,33,34,Flash Cab
4520060,12/20/2019 07:15:00 PM,480,1.0,8,28,Star North Management LLC
4520061,12/20/2019 07:15:00 PM,319,0.59,8,8,Sun Taxi
4520062,12/20/2019 07:15:00 PM,329,0.59,32,8,Sun Taxi
4520063,12/20/2019 07:15:00 PM,409,1.56,4,4,Sun Taxi
4520064,12/20/2019 07:15:00 PM,240,0.7,6,6,Taxi Affiliation Services
4520065,12/20/2019 07:15:00 PM,420,0.6,32,28,Taxi Affiliation Services
4520066,12/20/2019 07:15:00 PM,300,0.9,7,8,Taxi Affiliation Services
4520067,12/20/2019 07:15:00 PM,480,1.2,32,28,"Taxicab Insurance Agency, LLC"
4520068,12/20/2019 07:15:00 PM,300,0.6,32,32,Taxi Affiliation Services
4520069,12/20/2019 07:15:00 PM,426,1.38,33,32,Chicago Carriage Cab Corp
4520070,12/20/2019 07:15:00 PM,311,1.22,27,28,Flash Cab
4520071,12/20/2019 07:15:00 PM,420,0.7,32,28,Taxi Affiliation Services
4520072,12/20/2019 07:15:00 PM,420,1.4,32,8,Choice Taxi Association
4520073,12/20/2019 07:15:00 PM,360,0.6,32,8,Taxi Affiliation Services
4520074,12/20/2019 07:15:00 PM,271,0.66,32,32,City Service
4520075,12/20/2019 07:15:00 PM,513,0.77,32,32,Sun Taxi
4520076,12/20/2019 07:15:00 PM,540,1.9,8,7,Taxi Affiliation Services
4520077,12/20/2019 07:15:00 PM,300,0.7,8,32,1085 - 72312 N and W Cab Co
4520078,12/20/2019 07:15:00 PM,519,1.39,3,3,Sun Taxi
4520079,12/20/2019 07:15:00 PM,360,0.7,8,32,Star North Management LLC
4520080,12/20/2019 07:15:00 PM,222,0.7,32,28,Setare Inc
4520081,12/20/2019 07:15:00 PM,424,0.9,7,7,Flash Cab
4520082,12/20/2019 07:15:00 PM,480,0.8,8,32,Taxi Affiliation Services
4520083,12/20/2019 07:15:00 PM,420,0.9,32,32,Taxi Affiliation Services
4520084,12/20/2019 07:15:00 PM,480,0.7,32,28,Star North Management LLC
4520085,12/20/2019 07:15:00 PM,360,0.9,32,32,Choice Taxi Association
4520086,12/20/2019 07:15:00 PM,420,1.0,8,8,Medallion Leasin
4520087,12/20/2019 07:15:00 PM,360,0.9,32,32,Star North Management LLC
4520088,12/20/2019 07:15:00 PM,360,1.0,6,6,Taxi Affiliation Services
4520089,12/20/2019 07:15:00 PM,566,1.4,32,8,Sun Taxi
4520090,12/20/2019 07:15:00 PM,480,1.1,32,32,Choice Taxi Association
4520091,12/20/2019 07:15:00 PM,491,1.52,32,8,City Service
4520092,12/20/2019 07:15:00 PM,273,0.51,32,32,Sun Taxi
