,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4550000,12/24/2019 08:15:00 AM,240,0.8,28,32,Taxi Affiliation Services
4550001,12/24/2019 08:15:00 AM,467,1.71,32,8,Sun Taxi
4550002,12/24/2019 08:15:00 AM,256,0.61,32,32,Taxi Affiliation Service Yellow
4550003,12/24/2019 08:15:00 AM,240,0.8,32,8,Taxi Affiliation Services
4550004,12/24/2019 08:15:00 AM,214,0.73,28,32,Chicago Carriage Cab Corp
4550005,12/24/2019 08:15:00 AM,312,0.82,8,32,Flash Cab
4550006,12/24/2019 08:15:00 AM,540,1.7,28,8,Taxi Affiliation Services
4550007,12/24/2019 08:15:00 AM,239,0.66,28,32,Sun Taxi
4550008,12/24/2019 08:15:00 AM,240,1.1,8,32,Taxi Affiliation Services
4550009,12/24/2019 08:15:00 AM,247,0.61,32,28,Chicago Carriage Cab Corp
4550010,12/24/2019 08:15:00 AM,399,1.6,11,15,Chicago Independents
4550011,12/24/2019 08:15:00 AM,491,1.69,32,8,Chicago Carriage Cab Corp
4550012,12/24/2019 08:15:00 AM,396,1.56,8,32,Flash Cab
4550013,12/24/2019 08:15:00 AM,235,0.67,32,8,Flash Cab
4550014,12/24/2019 08:15:00 AM,264,0.91,33,32,Sun Taxi
4550015,12/24/2019 08:15:00 AM,540,1.6,28,8,Medallion Leasin
4550016,12/24/2019 08:15:00 AM,480,1.6,32,8,Taxi Affiliation Services
4550017,12/24/2019 08:15:00 AM,317,1.44,76,76,Flash Cab
4550018,12/24/2019 08:15:00 AM,420,1.3,32,32,Medallion Leasin
4550019,12/24/2019 08:15:00 AM,420,1.1,8,28,Taxi Affiliation Services
4550020,12/24/2019 08:15:00 AM,334,1.19,8,32,City Service
4550021,12/24/2019 08:15:00 AM,394,1.35,28,32,Chicago Carriage Cab Corp
4550022,12/24/2019 08:15:00 AM,456,1.49,28,8,Chicago Carriage Cab Corp
4550023,12/24/2019 08:15:00 AM,499,1.6,32,8,City Service
4550024,12/24/2019 08:15:00 AM,401,1.21,28,32,Chicago Carriage Cab Corp
4550025,12/24/2019 08:15:00 AM,587,1.83,8,28,Chicago Carriage Cab Corp
4550026,12/24/2019 08:15:00 AM,467,1.02,28,32,Sun Taxi
4550027,12/24/2019 08:15:00 AM,402,1.73,7,6,Flash Cab
4550028,12/24/2019 08:15:00 AM,326,0.72,28,8,Sun Taxi
4550029,12/24/2019 08:15:00 AM,409,1.33,33,32,Flash Cab
4550030,12/24/2019 08:15:00 AM,319,1.01,28,32,Chicago Carriage Cab Corp
4550031,12/24/2019 08:15:00 AM,288,0.82,32,32,Sun Taxi
4550032,12/24/2019 08:15:00 AM,393,1.47,8,32,Flash Cab
4550033,12/24/2019 08:15:00 AM,300,1.51,32,28,Sun Taxi
4550034,12/24/2019 08:15:00 AM,481,1.39,8,32,Sun Taxi
4550035,12/24/2019 08:15:00 AM,240,0.6,32,32,Taxi Affiliation Services
4550036,12/24/2019 08:15:00 AM,338,1.04,32,32,Chicago Independents
