,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4580000,12/29/2019 01:15:00 AM,258,0.77,32,8,Sun Taxi
4580001,12/29/2019 01:15:00 AM,244,0.84,8,8,Chicago Carriage Cab Corp
4580002,12/29/2019 01:15:00 AM,420,1.3,8,32,Taxi Affiliation Services
4580003,12/29/2019 01:15:00 AM,465,1.6,8,24,Leonard Cab Co
4580004,12/29/2019 01:30:00 AM,345,1.2,8,8,Medallion Leasin
4580005,12/29/2019 01:30:00 AM,360,1.5,8,8,Chicago Carriage Cab Corp
4580006,12/29/2019 01:30:00 AM,194,0.52,8,8,Flash Cab
4580007,12/29/2019 01:30:00 AM,519,1.74,32,8,Flash Cab
4580008,12/29/2019 01:30:00 AM,540,1.7,7,7,Taxi Affiliation Services
4580009,12/29/2019 01:30:00 AM,258,0.92,8,8,Flash Cab
4580010,12/29/2019 01:30:00 AM,240,1.0,8,8,Medallion Leasin
4580011,12/29/2019 01:30:00 AM,466,1.73,3,3,Flash Cab
4580012,12/29/2019 01:30:00 AM,452,0.97,8,8,Chicago Carriage Cab Corp
4580013,12/29/2019 01:30:00 AM,320,0.91,8,8,Chicago Carriage Cab Corp
4580014,12/29/2019 01:30:00 AM,420,1.1,8,24,KOAM Taxi Association
4580015,12/29/2019 01:30:00 AM,252,0.6,8,8,City Service
4580016,12/29/2019 01:30:00 AM,284,0.69,8,8,Flash Cab
4580017,12/29/2019 01:30:00 AM,329,1.13,8,28,Chicago Carriage Cab Corp
4580018,12/29/2019 01:30:00 AM,480,1.9,8,28,Taxi Affiliation Services
4580019,12/29/2019 01:30:00 AM,480,1.7,3,77,Taxi Affiliation Services
4580020,12/29/2019 01:30:00 AM,215,0.8,24,8,Flash Cab
4580021,12/29/2019 01:30:00 AM,360,0.9,8,28,"Taxicab Insurance Agency, LLC"
4580022,12/29/2019 01:30:00 AM,480,1.2,8,8,Taxi Affiliation Services
4580023,12/29/2019 01:30:00 AM,283,1.35,2,2,Sun Taxi
4580024,12/29/2019 01:30:00 AM,420,1.3,8,8,"Taxicab Insurance Agency, LLC"
4580025,12/29/2019 01:30:00 AM,240,0.8,8,8,Top Cab Affiliation
4580026,12/29/2019 01:30:00 AM,532,1.89,6,3,24 Seven Taxi
4580027,12/29/2019 01:30:00 AM,360,0.9,8,8,Taxi Affiliation Services
4580028,12/29/2019 01:30:00 AM,540,1.4,8,32,Top Cab Affiliation
4580029,12/29/2019 01:30:00 AM,397,0.62,8,8,Flash Cab
4580030,12/29/2019 01:30:00 AM,310,0.63,8,8,Flash Cab
4580031,12/29/2019 01:30:00 AM,479,1.7,8,7,Sun Taxi
4580032,12/29/2019 01:30:00 AM,360,1.1,8,8,Star North Management LLC
4580033,12/29/2019 01:30:00 AM,376,0.82,6,6,Sun Taxi
4580034,12/29/2019 01:30:00 AM,382,1.47,8,32,Flash Cab
4580035,12/29/2019 01:30:00 AM,286,0.6,8,8,Chicago Carriage Cab Corp
4580036,12/29/2019 01:30:00 AM,471,1.01,8,8,Chicago Carriage Cab Corp
4580037,12/29/2019 01:30:00 AM,440,1.05,32,8,Flash Cab
4580038,12/29/2019 01:30:00 AM,480,1.6,8,8,Taxi Affiliation Services
4580039,12/29/2019 01:30:00 AM,399,1.75,3,1,City Service
4580040,12/29/2019 01:30:00 AM,189,0.63,8,8,Chicago Carriage Cab Corp
4580041,12/29/2019 01:30:00 AM,432,0.96,28,8,Chicago Carriage Cab Corp
4580042,12/29/2019 01:30:00 AM,503,1.34,8,7,Flash Cab
4580043,12/29/2019 01:30:00 AM,279,0.76,8,8,City Service
4580044,12/29/2019 01:30:00 AM,303,0.91,6,6,Flash Cab
4580045,12/29/2019 01:30:00 AM,378,1.95,28,32,Sun Taxi
4580046,12/29/2019 01:30:00 AM,235,0.92,8,8,Flash Cab
4580047,12/29/2019 01:30:00 AM,300,1.1,8,7,Taxi Affiliation Services
4580048,12/29/2019 01:30:00 AM,300,1.6,7,7,Taxi Affiliation Services
4580049,12/29/2019 01:30:00 AM,480,1.9,28,28,Taxi Affiliation Services
4580050,12/29/2019 01:30:00 AM,480,1.8,8,32,Star North Management LLC
4580051,12/29/2019 01:30:00 AM,486,1.95,8,24,Sun Taxi
4580052,12/29/2019 01:30:00 AM,451,1.14,8,8,5 Star Taxi
4580053,12/29/2019 01:30:00 AM,300,1.5,3,6,Taxi Affiliation Services
4580054,12/29/2019 01:30:00 AM,489,1.21,8,8,Flash Cab
4580055,12/29/2019 01:30:00 AM,282,0.71,8,8,Chicago Independents
4580056,12/29/2019 01:30:00 AM,432,1.3,8,8,City Service
4580057,12/29/2019 01:30:00 AM,300,1.1,6,6,Medallion Leasin
4580058,12/29/2019 01:30:00 AM,228,0.53,8,8,Flash Cab
4580059,12/29/2019 01:30:00 AM,360,0.9,8,8,Taxi Affiliation Services
4580060,12/29/2019 01:30:00 AM,207,0.79,8,8,Flash Cab
4580061,12/29/2019 01:30:00 AM,389,1.04,32,8,Flash Cab
4580062,12/29/2019 01:30:00 AM,528,1.78,3,1,Flash Cab
4580063,12/29/2019 01:30:00 AM,264,0.74,24,24,Flash Cab
4580064,12/29/2019 01:30:00 AM,375,1.83,8,24,Flash Cab
4580065,12/29/2019 01:30:00 AM,480,1.8,8,24,Taxi Affiliation Services
4580066,12/29/2019 01:30:00 AM,360,1.08,8,8,Nova Taxi Affiliation Llc
4580067,12/29/2019 01:30:00 AM,365,1.25,7,7,Sun Taxi
4580068,12/29/2019 01:30:00 AM,274,0.85,8,8,Sun Taxi
4580069,12/29/2019 01:30:00 AM,480,1.5,8,8,Medallion Leasin
4580070,12/29/2019 01:30:00 AM,502,0.88,28,24,Flash Cab
4580071,12/29/2019 01:30:00 AM,308,0.83,8,8,City Service
4580072,12/29/2019 01:30:00 AM,429,1.35,8,28,Flash Cab
4580073,12/29/2019 01:30:00 AM,338,0.89,8,8,Chicago Carriage Cab Corp
4580074,12/29/2019 01:30:00 AM,485,1.84,1,2,Patriot Taxi Dba Peace Taxi Associat
4580075,12/29/2019 01:30:00 AM,300,0.9,8,8,Taxi Affiliation Services
4580076,12/29/2019 01:30:00 AM,236,0.52,8,8,Chicago Carriage Cab Corp
4580077,12/29/2019 01:30:00 AM,213,0.69,8,7,Sun Taxi
4580078,12/29/2019 01:30:00 AM,192,0.55,7,7,City Service
4580079,12/29/2019 01:30:00 AM,420,1.3,6,6,Medallion Leasin
4580080,12/29/2019 01:30:00 AM,382,1.37,8,8,Chicago Carriage Cab Corp
4580081,12/29/2019 01:30:00 AM,420,1.2,8,8,Taxi Affiliation Services
4580082,12/29/2019 01:30:00 AM,240,0.8,8,8,Taxi Affiliation Services
4580083,12/29/2019 01:45:00 AM,334,1.52,24,8,Flash Cab
4580084,12/29/2019 01:45:00 AM,360,1.2,8,8,Taxi Affiliation Services
4580085,12/29/2019 01:45:00 AM,300,1.0,8,8,Taxi Affiliation Services
4580086,12/29/2019 01:45:00 AM,571,1.5,8,32,City Service
4580087,12/29/2019 01:45:00 AM,420,1.8,8,24,Medallion Leasin
4580088,12/29/2019 01:45:00 AM,323,1.4,6,6,Medallion Leasin
4580089,12/29/2019 01:45:00 AM,394,1.19,8,8,Chicago Carriage Cab Corp
4580090,12/29/2019 01:45:00 AM,350,0.74,8,32,Chicago Carriage Cab Corp
4580091,12/29/2019 01:45:00 AM,240,0.9,6,6,Medallion Leasin
4580092,12/29/2019 01:45:00 AM,300,0.6,8,8,Choice Taxi Association
4580093,12/29/2019 01:45:00 AM,360,1.6,7,6,Medallion Leasin
4580094,12/29/2019 01:45:00 AM,300,1.3,28,8,Medallion Leasin
4580095,12/29/2019 01:45:00 AM,240,0.9,6,6,Medallion Leasin
4580096,12/29/2019 01:45:00 AM,394,1.5,6,6,Medallion Leasin
4580097,12/29/2019 01:45:00 AM,285,1.21,8,8,City Service
4580098,12/29/2019 01:45:00 AM,296,0.58,8,8,Flash Cab
4580099,12/29/2019 01:45:00 AM,285,1.36,22,7,Chicago Carriage Cab Corp
4580100,12/29/2019 01:45:00 AM,441,1.51,7,6,Flash Cab
4580101,12/29/2019 01:45:00 AM,360,1.3,8,8,Taxi Affiliation Services
4580102,12/29/2019 01:45:00 AM,464,1.49,8,32,Chicago Carriage Cab Corp
