,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
450000,02/06/2019 06:15:00 PM,419,1.22,8,8,Chicago Carriage Cab Corp
450001,02/06/2019 06:15:00 PM,541,1.72,32,32,Sun Taxi
450002,02/06/2019 06:15:00 PM,476,1.4,8,32,Chicago Carriage Cab Corp
450003,02/06/2019 06:15:00 PM,283,0.74,28,32,Sun Taxi
450004,02/06/2019 06:15:00 PM,360,1.2,32,32,Medallion Leasin
450005,02/06/2019 06:15:00 PM,381,0.8,32,8,Leonard Cab Co
450006,02/06/2019 06:15:00 PM,407,0.95,32,8,Nova Taxi Affiliation Llc
450007,02/06/2019 06:15:00 PM,518,1.1,32,28,City Service
450008,02/06/2019 06:15:00 PM,306,0.99,28,32,Chicago Carriage Cab Corp
450009,02/06/2019 06:15:00 PM,480,1.0,32,28,Medallion Leasin
450010,02/06/2019 06:15:00 PM,399,0.91,8,8,Taxi Affiliation Service Yellow
450011,02/06/2019 06:15:00 PM,360,0.9,32,8,Globe Taxi
450012,02/06/2019 06:15:00 PM,428,1.15,32,8,Sun Taxi
450013,02/06/2019 06:15:00 PM,241,0.55,32,32,Chicago Carriage Cab Corp
450014,02/06/2019 06:15:00 PM,314,0.77,8,32,Globe Taxi
450015,02/06/2019 06:15:00 PM,297,0.69,8,8,Chicago Carriage Cab Corp
450016,02/06/2019 06:15:00 PM,353,0.67,32,28,Chicago Carriage Cab Corp
450017,02/06/2019 06:15:00 PM,360,1.0,28,8,Globe Taxi
450018,02/06/2019 06:15:00 PM,492,1.06,8,8,Chicago Carriage Cab Corp
450019,02/06/2019 06:15:00 PM,300,0.9,8,8,Sun Taxi
450020,02/06/2019 06:15:00 PM,193,0.57,8,32,24 Seven Taxi
450021,02/06/2019 06:15:00 PM,269,0.61,32,32,24 Seven Taxi
450022,02/06/2019 06:15:00 PM,443,0.99,28,8,Chicago Carriage Cab Corp
450023,02/06/2019 06:15:00 PM,380,1.16,32,32,Chicago Carriage Cab Corp
450024,02/06/2019 06:15:00 PM,316,0.96,32,32,Nova Taxi Affiliation Llc
450025,02/06/2019 06:15:00 PM,452,1.0,32,8,Medallion Leasin
450026,02/06/2019 06:15:00 PM,377,0.8,32,8,Blue Diamond
450027,02/06/2019 06:15:00 PM,456,1.19,32,32,Blue Diamond
450028,02/06/2019 06:15:00 PM,470,0.92,32,8,Sun Taxi
450029,02/06/2019 06:15:00 PM,508,0.71,32,32,Taxi Affiliation Service Yellow
450030,02/06/2019 06:15:00 PM,291,0.71,28,32,Taxi Affiliation Service Yellow
450031,02/06/2019 06:15:00 PM,413,1.6,32,33,Taxi Affiliation Service Yellow
450032,02/06/2019 06:15:00 PM,466,1.0,32,8,Setare Inc
450033,02/06/2019 06:15:00 PM,574,1.9,28,8,Checker Taxi Affiliation
450034,02/06/2019 06:15:00 PM,360,1.0,8,8,Sun Taxi
450035,02/06/2019 06:15:00 PM,550,1.05,32,8,Checker Taxi Affiliation
450036,02/06/2019 06:15:00 PM,215,0.65,28,28,Sun Taxi
450037,02/06/2019 06:15:00 PM,363,0.76,8,8,Blue Diamond
450038,02/06/2019 06:15:00 PM,384,0.9,28,28,Flash Cab
450039,02/06/2019 06:15:00 PM,237,0.6,32,8,Flash Cab
450040,02/06/2019 06:15:00 PM,433,0.7,8,28,Flash Cab
450041,02/06/2019 06:15:00 PM,392,0.8,32,8,Flash Cab
450042,02/06/2019 06:15:00 PM,288,0.7,8,32,Flash Cab
450043,02/06/2019 06:15:00 PM,494,0.7,8,32,Flash Cab
450044,02/06/2019 06:15:00 PM,358,0.7,32,8,Flash Cab
450045,02/06/2019 06:15:00 PM,536,1.0,8,32,Flash Cab
450046,02/06/2019 06:15:00 PM,447,0.8,32,32,Flash Cab
450047,02/06/2019 06:15:00 PM,555,1.9,28,8,Flash Cab
450048,02/06/2019 06:15:00 PM,292,0.8,32,32,Flash Cab
450049,02/06/2019 06:15:00 PM,372,0.6,8,8,Flash Cab
450050,02/06/2019 06:15:00 PM,304,0.9,32,32,Flash Cab
450051,02/06/2019 06:30:00 PM,360,1.0,8,32,Taxi Affiliation Services
450052,02/06/2019 06:30:00 PM,360,0.9,32,32,KOAM Taxi Association
450053,02/06/2019 06:30:00 PM,420,0.7,8,32,Taxi Affiliation Services
450054,02/06/2019 06:30:00 PM,540,0.9,8,32,Taxi Affiliation Services
450055,02/06/2019 06:30:00 PM,360,0.8,8,8,Taxi Affiliation Services
450056,02/06/2019 06:30:00 PM,480,1.7,8,33,Chicago Medallion Management
450057,02/06/2019 06:30:00 PM,480,1.0,32,8,Star North Management LLC
450058,02/06/2019 06:30:00 PM,240,0.6,7,7,6574 - Babylon Express Inc.
450059,02/06/2019 06:30:00 PM,240,0.7,32,8,Choice Taxi Association
450060,02/06/2019 06:30:00 PM,240,0.8,32,32,Top Cab Affiliation
450061,02/06/2019 06:30:00 PM,480,0.7,32,8,Choice Taxi Association
450062,02/06/2019 06:30:00 PM,420,0.9,8,32,Taxi Affiliation Services
450063,02/06/2019 06:30:00 PM,420,1.1,32,32,Taxi Affiliation Services
450064,02/06/2019 06:30:00 PM,540,1.2,32,32,Star North Management LLC
450065,02/06/2019 06:30:00 PM,300,0.9,32,8,Choice Taxi Association
450066,02/06/2019 06:30:00 PM,3180,0.8,76,77,Taxi Affiliation Services
450067,02/06/2019 06:30:00 PM,240,0.6,28,32,Taxi Affiliation Services
450068,02/06/2019 06:30:00 PM,540,1.1,8,28,"Taxicab Insurance Agency, LLC"
450069,02/06/2019 06:30:00 PM,300,1.0,8,8,Taxi Affiliation Services
450070,02/06/2019 06:30:00 PM,420,0.9,28,28,Taxi Affiliation Services
450071,02/06/2019 06:30:00 PM,480,1.2,32,28,Taxi Affiliation Services
450072,02/06/2019 06:30:00 PM,480,0.8,28,28,Taxi Affiliation Services
450073,02/06/2019 06:30:00 PM,360,0.8,32,32,Star North Management LLC
450074,02/06/2019 06:30:00 PM,480,1.7,8,32,Choice Taxi Association
450075,02/06/2019 06:30:00 PM,360,1.3,8,7,Chicago Medallion Management
450076,02/06/2019 06:30:00 PM,3060,0.9,76,24,Blue Ribbon Taxi Association Inc.
450077,02/06/2019 06:30:00 PM,300,0.6,32,32,Choice Taxi Association
450078,02/06/2019 06:30:00 PM,360,0.8,32,32,Choice Taxi Association
450079,02/06/2019 06:30:00 PM,480,0.9,8,8,Taxi Affiliation Services
450080,02/06/2019 06:30:00 PM,540,1.0,28,28,Taxi Affiliation Services
450081,02/06/2019 06:30:00 PM,420,0.7,28,32,Taxi Affiliation Services
450082,02/06/2019 06:30:00 PM,3960,1.4,76,29,Taxi Affiliation Services
450083,02/06/2019 06:30:00 PM,540,1.3,28,8,Star North Management LLC
450084,02/06/2019 06:30:00 PM,540,1.2,32,32,Taxi Affiliation Services
450085,02/06/2019 06:30:00 PM,480,1.8,33,32,Choice Taxi Association
450086,02/06/2019 06:30:00 PM,360,1.0,28,32,Choice Taxi Association
450087,02/06/2019 06:30:00 PM,360,0.9,32,32,Taxi Affiliation Services
450088,02/06/2019 06:30:00 PM,480,1.1,8,7,Star North Management LLC
450089,02/06/2019 06:30:00 PM,540,0.8,8,8,Taxi Affiliation Services
450090,02/06/2019 06:30:00 PM,480,1.0,32,8,Taxi Affiliation Services
450091,02/06/2019 06:30:00 PM,480,1.0,28,32,Star North Management LLC
450092,02/06/2019 06:30:00 PM,540,0.6,32,8,Taxi Affiliation Services
450093,02/06/2019 06:30:00 PM,360,0.6,32,32,Taxi Affiliation Services
