,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
4600000,12/31/2019 04:15:00 PM,420,1.2,32,32,KOAM Taxi Association
4600001,12/31/2019 04:15:00 PM,435,0.94,32,24,Flash Cab
4600002,12/31/2019 04:15:00 PM,534,1.33,32,28,Chicago Carriage Cab Corp
4600003,12/31/2019 04:15:00 PM,480,0.8,8,8,KOAM Taxi Association
4600004,12/31/2019 04:15:00 PM,300,0.8,32,28,Taxi Affiliation Services
4600005,12/31/2019 04:15:00 PM,420,1.3,32,8,"Taxicab Insurance Agency, LLC"
4600006,12/31/2019 04:15:00 PM,435,0.81,32,8,Flash Cab
4600007,12/31/2019 04:15:00 PM,540,1.2,28,32,Taxi Affiliation Services
4600008,12/31/2019 04:15:00 PM,383,0.67,8,32,Sun Taxi
4600009,12/31/2019 04:15:00 PM,480,1.6,3,77,Taxi Affiliation Services
4600010,12/31/2019 04:15:00 PM,420,1.5,32,8,Taxi Affiliation Services
4600011,12/31/2019 04:15:00 PM,240,0.82,32,8,Sun Taxi
4600012,12/31/2019 04:15:00 PM,480,1.3,8,32,Taxi Affiliation Services
4600013,12/31/2019 04:15:00 PM,211,0.62,32,32,Chicago Carriage Cab Corp
4600014,12/31/2019 04:15:00 PM,205,0.8,8,8,Flash Cab
4600015,12/31/2019 04:15:00 PM,480,1.0,8,8,Taxi Affiliation Services
4600016,12/31/2019 04:15:00 PM,238,0.8,32,28,City Service
4600017,12/31/2019 04:15:00 PM,444,0.8,8,8,City Service
4600018,12/31/2019 04:15:00 PM,290,0.56,32,8,Flash Cab
4600019,12/31/2019 04:15:00 PM,540,1.3,8,32,"Taxicab Insurance Agency, LLC"
4600020,12/31/2019 04:15:00 PM,2640,0.9,76,6,Taxi Affiliation Services
4600021,12/31/2019 04:15:00 PM,540,1.2,8,32,Choice Taxi Association
4600022,12/31/2019 04:15:00 PM,420,1.2,32,8,Taxi Affiliation Services
4600023,12/31/2019 04:15:00 PM,300,0.6,8,8,Taxi Affiliation Services
4600024,12/31/2019 04:15:00 PM,588,1.67,8,32,Chicago Carriage Cab Corp
4600025,12/31/2019 04:15:00 PM,394,1.18,28,32,Chicago Carriage Cab Corp
4600026,12/31/2019 04:15:00 PM,420,1.2,8,8,Taxi Affiliation Services
4600027,12/31/2019 04:15:00 PM,300,0.9,32,28,Taxi Affiliation Services
4600028,12/31/2019 04:15:00 PM,370,0.9,32,8,Flash Cab
4600029,12/31/2019 04:15:00 PM,289,0.87,8,32,24 Seven Taxi
4600030,12/31/2019 04:15:00 PM,573,1.29,8,32,Flash Cab
4600031,12/31/2019 04:15:00 PM,240,0.9,32,28,Taxi Affiliation Services
4600032,12/31/2019 04:15:00 PM,487,1.24,32,8,City Service
4600033,12/31/2019 04:15:00 PM,240,0.7,32,8,Taxi Affiliation Services
4600034,12/31/2019 04:15:00 PM,346,0.64,8,8,Flash Cab
4600035,12/31/2019 04:15:00 PM,246,0.6,32,32,City Service
4600036,12/31/2019 04:15:00 PM,480,1.7,8,7,Top Cab Affiliation
4600037,12/31/2019 04:15:00 PM,360,0.7,32,8,"Taxicab Insurance Agency, LLC"
4600038,12/31/2019 04:15:00 PM,384,1.08,32,32,Chicago Carriage Cab Corp
4600039,12/31/2019 04:15:00 PM,540,1.3,6,3,Taxi Affiliation Services
4600040,12/31/2019 04:15:00 PM,556,1.65,32,28,Sun Taxi
4600041,12/31/2019 04:15:00 PM,541,1.58,32,8,Flash Cab
4600042,12/31/2019 04:15:00 PM,2700,0.6,56,73,Taxi Affiliation Services
4600043,12/31/2019 04:15:00 PM,360,1.0,32,8,Taxi Affiliation Services
4600044,12/31/2019 04:15:00 PM,372,1.1,32,8,Chicago Independents
4600045,12/31/2019 04:15:00 PM,374,0.81,8,8,Chicago Carriage Cab Corp
4600046,12/31/2019 04:15:00 PM,480,0.9,8,8,"Taxicab Insurance Agency, LLC"
4600047,12/31/2019 04:15:00 PM,420,1.1,8,8,Taxi Affiliation Services
4600048,12/31/2019 04:15:00 PM,480,1.0,28,8,Star North Management LLC
4600049,12/31/2019 04:15:00 PM,2220,0.8,76,77,Taxi Affiliation Services
4600050,12/31/2019 04:15:00 PM,257,0.53,8,32,Flash Cab
4600051,12/31/2019 04:15:00 PM,540,1.6,33,8,U Taxicab
4600052,12/31/2019 04:15:00 PM,321,0.93,32,32,Sun Taxi
4600053,12/31/2019 04:15:00 PM,518,1.24,32,8,Chicago Carriage Cab Corp
4600054,12/31/2019 04:15:00 PM,480,1.1,32,28,Taxi Affiliation Services
4600055,12/31/2019 04:15:00 PM,540,1.6,6,6,"Taxicab Insurance Agency, LLC"
4600056,12/31/2019 04:15:00 PM,2580,1.1,33,76,Blue Ribbon Taxi Association Inc.
4600057,12/31/2019 04:15:00 PM,443,0.87,8,8,Flash Cab
4600058,12/31/2019 04:15:00 PM,451,1.34,8,8,Chicago Carriage Cab Corp
4600059,12/31/2019 04:15:00 PM,240,0.8,32,28,1085 - 72312 N and W Cab Co
4600060,12/31/2019 04:15:00 PM,480,1.0,28,32,Taxi Affiliation Services
4600061,12/31/2019 04:15:00 PM,565,0.51,8,8,City Service
4600062,12/31/2019 04:15:00 PM,353,0.77,32,8,Flash Cab
4600063,12/31/2019 04:15:00 PM,221,0.7,32,28,Sun Taxi
4600064,12/31/2019 04:15:00 PM,356,0.73,8,32,Chicago Carriage Cab Corp
4600065,12/31/2019 04:15:00 PM,3240,1.1,76,8,Taxi Affiliation Services
4600066,12/31/2019 04:15:00 PM,300,1.3,38,39,Taxi Affiliation Services
4600067,12/31/2019 04:30:00 PM,461,1.4,32,24,Flash Cab
4600068,12/31/2019 04:30:00 PM,376,0.9,8,8,Flash Cab
4600069,12/31/2019 04:30:00 PM,540,0.7,32,8,Star North Management LLC
4600070,12/31/2019 04:30:00 PM,300,0.6,32,32,Star North Management LLC
4600071,12/31/2019 04:30:00 PM,454,1.1,32,8,Sun Taxi
4600072,12/31/2019 04:30:00 PM,540,1.1,8,8,Taxi Affiliation Services
4600073,12/31/2019 04:30:00 PM,420,1.4,28,8,Star North Management LLC
4600074,12/31/2019 04:30:00 PM,568,1.67,32,8,Flash Cab
4600075,12/31/2019 04:30:00 PM,440,1.38,32,28,Chicago Carriage Cab Corp
4600076,12/31/2019 04:30:00 PM,420,0.7,32,28,1085 - 72312 N and W Cab Co
4600077,12/31/2019 04:30:00 PM,247,0.83,32,8,Nova Taxi Affiliation Llc
4600078,12/31/2019 04:30:00 PM,488,0.95,28,28,Sun Taxi
4600079,12/31/2019 04:30:00 PM,379,0.68,32,28,Flash Cab
4600080,12/31/2019 04:30:00 PM,420,1.2,32,32,Choice Taxi Association
4600081,12/31/2019 04:30:00 PM,305,0.86,8,8,Sun Taxi
4600082,12/31/2019 04:30:00 PM,542,1.4,8,28,City Service
4600083,12/31/2019 04:30:00 PM,240,0.9,8,8,Choice Taxi Association
4600084,12/31/2019 04:30:00 PM,480,1.7,28,31,Taxi Affiliation Services
4600085,12/31/2019 04:30:00 PM,351,0.75,8,8,Sun Taxi
4600086,12/31/2019 04:30:00 PM,420,1.9,8,24,Star North Management LLC
4600087,12/31/2019 04:30:00 PM,571,1.01,8,28,Sun Taxi
4600088,12/31/2019 04:30:00 PM,480,1.5,32,8,Medallion Leasin
4600089,12/31/2019 04:30:00 PM,487,1.0,32,8,Medallion Leasin
4600090,12/31/2019 04:30:00 PM,302,0.79,32,32,City Service
4600091,12/31/2019 04:30:00 PM,300,1.39,35,35,Chicago Carriage Cab Corp
4600092,12/31/2019 04:30:00 PM,263,0.57,28,32,Chicago Carriage Cab Corp
4600093,12/31/2019 04:30:00 PM,480,1.0,32,8,KOAM Taxi Association
4600094,12/31/2019 04:30:00 PM,515,0.7,8,8,City Service
4600095,12/31/2019 04:30:00 PM,2280,0.7,56,8,Taxi Affiliation Services
4600096,12/31/2019 04:30:00 PM,487,1.23,8,28,Chicago Carriage Cab Corp
4600097,12/31/2019 04:30:00 PM,204,0.53,8,8,Nova Taxi Affiliation Llc
4600098,12/31/2019 04:30:00 PM,568,0.91,32,32,Sun Taxi
4600099,12/31/2019 04:30:00 PM,367,0.91,8,32,Flash Cab
4600100,12/31/2019 04:30:00 PM,463,1.22,8,28,Nova Taxi Affiliation Llc
4600101,12/31/2019 04:30:00 PM,240,0.8,8,8,Taxi Affiliation Services
4600102,12/31/2019 04:30:00 PM,300,0.6,33,33,Star North Management LLC
4600103,12/31/2019 04:30:00 PM,300,0.6,8,8,Taxi Affiliation Services
4600104,12/31/2019 04:30:00 PM,540,1.7,8,32,Taxi Affiliation Services
4600105,12/31/2019 04:30:00 PM,408,1.7,34,34,Flash Cab
4600106,12/31/2019 04:30:00 PM,276,0.69,32,8,Flash Cab
4600107,12/31/2019 04:30:00 PM,480,1.2,33,32,Taxi Affiliation Services
